"","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M872.81T67.519"," 1306.2581","  673.9441","    0.0000"," 1354.6681"," 3360.7535"," 8946.0235","29176.2987","23249.9696"," 2760.8704"," 1453.1712"," 6349.0180"," 1507.0632"," 2348.0514"," 1452.1692"," 1562.8098","    0.0000","  444.6102"," 6491.9408"
"M429.365T315.31","21833.0387","12813.5873","  276.2706","19251.4305","22251.2006"," 9110.5773","13080.8588","16486.2064","19092.7860","20744.7256","17123.8587","  812.2025","17347.9241","20748.7405","15842.8023","  181.0000","14544.4985","22841.2079"
"M471.046T618.546"," 8545.3966"," 2372.0560","    0.0000","16843.0891"," 1618.1793"," 4383.6635"," 8179.9438"," 3214.3909","  178.0137","  944.6176"," 1080.6274"," 1169.5004"," 7708.1350"," 7146.0857"," 7533.4858","  313.0000"," 2830.7414"," 2899.3419"
"M1043.424T909.662","31401.37","39405.30","    0.00","67263.05","28138.32","22541.18","36195.88","22412.20","30083.54","11513.59","35393.16","    0.00","37550.67","26393.25","42184.55","    0.00","39218.36","57665.21"
"M401.144T790.222"," 7531.233"," 6251.315","    0.000","11573.148","10386.460"," 9689.044"," 9777.979"," 7640.427"," 6578.733"," 4861.169"," 8596.935","  439.401"," 7989.952"," 8270.670"," 8078.736","  223.000","11694.140"," 5623.052"
"M712.22T783.012","2848.3598"," 969.8927","   0.0000","2493.0747"," 633.4491","1434.3869","3257.3912","3040.8636"," 567.7998"," 832.1027"," 936.0310","   0.0000"," 734.0689","2255.9253","1779.1433","   0.0000","1715.2619","2551.6996"
"M469.036T876.272","3276.6222","3231.3717","   0.0000","7556.8622","3186.5270","3077.6118","4564.8986","5396.5247"," 341.4188"," 204.7261","   0.0000","   0.0000","6624.6045","1961.7620","8609.0784","   0.0000"," 147.5536"," 868.7025"
"M884.8T66.979"," 1690.154","    0.000","    0.000"," 5941.456","10980.568"," 5335.531","32864.202","14239.518"," 5280.105"," 4080.890","11329.153"," 1469.159"," 3504.644"," 3841.963"," 4927.444","    0.000"," 1639.979","10211.203"
"M333.926T91.902","18281.1389","18876.1595","  911.2577"," 9872.5524","16744.7592","18109.1768","18662.5930","14830.9570"," 9910.2409","14513.7004","16535.2193","  645.9572","20077.0361","19883.6113","18623.5766"," 1000.0000","20710.4447","25930.2804"
"M473.173T881.847"," 6674.575"," 6157.990","    0.000","13349.877"," 8173.552"," 7079.228"," 9738.916"," 9486.000"," 5879.082"," 3797.314"," 7108.467","    0.000"," 7639.617"," 5387.840"," 6150.431","    0.000"," 6559.912"," 5629.550"
"M621.037T758.225"," 5819.278"," 4464.059","    0.000","11219.929"," 8396.586"," 5528.054"," 8573.689"," 9516.886"," 4237.649"," 5712.259"," 5226.994","    0.000"," 6751.562"," 2508.464"," 6536.544","    0.000"," 6922.572"," 8193.855"
"M611.147T106.977","14644.0892"," 9946.4995","    0.0000","12127.2315"," 6047.5974"," 6311.4415"," 8123.6855"," 5802.6991"," 5924.8637"," 5723.1424"," 8250.3412","  172.6506"," 9945.7180"," 6485.1375"," 9385.8336","    0.0000","10022.9200"," 7473.5037"
"M461.037T823.98","1289.9928","1211.1065","2093.0555","2620.9964"," 871.8175","1539.0915","2265.0586","1792.8433"," 704.3211","   0.0000","1129.5717","2159.5995","1598.4741","3355.4670","1864.7143","1430.0000"," 958.6000"," 993.7689"
"M870.702T1303.064","14435.110","13328.677"," 1801.799","13606.137","17343.045"," 7061.731","11174.662"," 7957.204","11743.401","10925.833","11418.122"," 4474.630","12513.043","13967.068","11751.061","  352.000","11535.280","16667.471"
"M567.171T792.05","11411.137"," 8878.249","    0.000","10981.011"," 8920.716"," 8206.272"," 7826.857","19589.014"," 9819.865"," 7205.070","11318.563","    0.000","10765.395"," 8719.243"," 8598.486","    0.000","13271.580","11607.013"
"M476.876T67.016"," 5928.636"," 6429.166"," 2323.489"," 9430.824"," 8909.875"," 4049.614"," 6669.260"," 5851.620"," 6643.648"," 5540.384"," 8789.706"," 4577.455"," 6016.640"," 7292.916","15675.522"," 2510.000"," 6420.488","13966.660"
"M431.759T791.911"," 4304.6613"," 2861.8370","    0.0000"," 7177.4400"," 4111.1275"," 6381.3569"," 7579.6221","18643.2936"," 8257.3004"," 3562.6858"," 8276.7671","  439.9352","  410.6975"," 6713.7564"," 5153.8098","    0.0000"," 8992.3258","13922.3571"
"M609.054T106.871"," 5358.959"," 3975.441","    0.000","10016.833"," 6861.487"," 5836.763"," 6103.512"," 5910.761"," 4157.284"," 5386.889"," 5673.155","    0.000"," 5511.160"," 6497.394"," 6931.512","    0.000"," 6856.012","10040.567"
"M657.266T958.998"," 9620.631"," 9975.966","    0.000","18161.459"," 6024.302"," 6685.244","12393.617","11319.468"," 9329.406"," 8754.498"," 9292.025","    0.000","11012.769"," 9667.652"," 8111.047","    0.000","20637.179","10207.299"
"M508.215T930.69","21712.74","39069.67","    0.00","68739.51","32640.11","15007.55","30894.22","36064.36","23286.79","16521.01","34333.09","    0.00","17624.18","25438.38","36024.95","    0.00","56494.80","57151.57"
"M915.823T68.606"," 1187.7026"," 1015.3364","    0.0000","  639.8888"," 6702.4305"," 3378.0426","14079.4955","24771.5500"," 8157.2533"," 4454.6578"," 5815.4046","  740.0464"," 2300.1196"," 3497.1112"," 3236.8298","    0.0000"," 1674.7581"," 7967.1917"
"M772.809T66.771"," 1541.0759"," 1106.2547","    0.0000"," 4289.7470"," 4377.8521"," 9095.7478","21502.8097","40836.3776"," 5669.0908"," 3041.5355"," 9793.6520"," 1900.9323"," 3949.1569"," 3814.3332"," 4602.9792","    0.0000","  596.9883"," 8389.5850"
"M1130.433T884.599"," 9958.2341"," 9805.8369","  402.6159","19178.5346","10854.3422"," 8439.4783","17055.4642","14199.4894"," 6090.0870"," 4941.7411","10850.1287","  295.3701"," 7972.5010","14174.8903","14793.8540","  256.0000","12085.1926","13592.7533"
"M619.26T816.529"," 8973.3301"," 7873.7834","  623.7327","11961.6848","12165.5357"," 7275.6246"," 5138.8550","17111.9752","10164.8474"," 7580.4104"," 9653.6811","  672.2833"," 4402.1095","12271.2101"," 6946.4780","    0.0000","10532.0946","18177.6069"
"M292.991T104.104","13407.614","14070.996"," 3244.120","14305.481","14105.118","15241.917"," 7531.225","41217.800"," 8315.927","13935.654","16258.634"," 1237.592","14486.771","14057.610","16492.861"," 1530.000","15374.814","12398.511"
