"","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Xanthomonas","Xanthomonas"
"M331.068T223.104","-0.382083459","-0.432292238","-0.433029656"," 0.311443753"," 1.567957554"," 0.704255701"," 0.405723868","-0.581075628","-0.608133376","-0.218375191","-0.333226775","-0.001164553"
"M384.092T841.195"," 1.04736028"," 0.65060777"," 0.46621656"," 0.03771883"," 0.21685823"," 0.23091455","-0.03638184","-0.54920053","-0.32169703","-0.73348441","-0.80022002","-0.20869239"
"M1611.697T937.933"," 0.23533274","-0.16279186","-1.37474986"," 0.54049764"," 1.56648278"," 1.03072557"," 0.44001611","-0.45909293","-1.25071746","-0.57560333","-0.01660791"," 0.02650850"
"M465.105T746.988","-0.3256002","-0.4978005","-0.4048389"," 0.5412187"," 1.4156679"," 0.2206177"," 0.5909086","-0.5022205"," 0.0284683","-0.3886315","-0.6295079","-0.0482816"
"M653.913T316.046"," 0.01215761","-0.08157940","-0.52212161"," 0.43988547"," 1.04393758"," 0.39747333"," 0.39742312","-0.87092966","-0.66301297","-0.27881977"," 0.01508428"," 0.11050203"
"M969.317T316.321"," 0.2207593","-0.5519286","-0.4911683"," 0.4825410"," 0.4807354"," 0.5274801"," 0.3300734","-0.4561753","-0.9010052","-0.1618591"," 0.2581908"," 0.2623565"
"M354.082T204.227"," 1.45269802"," 1.25656049"," 0.88857903","-1.06299477","-0.54349823"," 0.33039974"," 0.05153271","-0.70215708"," 0.24680195","-0.72946997"," 0.05485335","-1.24330523"
"M311.104T1075.82","-0.15284599"," 0.23793966","-0.89912924"," 0.40317405"," 0.55518330","-0.08692282"," 0.01991801","-0.17319009","-1.07023230","-0.48495405"," 0.86004724"," 0.79101225"
"M380.071T778.258"," 0.1565143","-0.1456115"," 0.3816216"," 0.4120730"," 1.1043735"," 0.6377586"," 1.1318808","-0.8423766","-1.2345667","-0.7776261","-0.9406798"," 0.1166388"
"M638.078T817.768","-0.3421006","-0.1579889","-0.5734938"," 0.2598481"," 0.5334988"," 0.2530563"," 0.5294026","-0.2159885","-1.0306663"," 0.1491551"," 0.1880935"," 0.4071837"
"M735.222T927.83"," 0.16426766","-0.19496308","-0.40624834","-0.01885278"," 1.17945271"," 0.64575899"," 0.05976015","-0.75307436","-0.95947207","-0.38423856"," 0.33253393"," 0.33507575"
"M651.317T893.83","-0.21420974","-0.10220384","-0.72320749"," 0.29984267"," 1.08117702"," 0.58406784"," 0.27281648","-0.47808573","-0.45491173","-0.24115073"," 0.04148485","-0.06561961"
"M1167.557T907.179","-0.07850697","-0.36911310","-0.40137337"," 0.96243417"," 1.06340377"," 0.90961347"," 0.29978372","-0.54605382","-0.14083655","-0.01592219","-0.95620835","-0.72722077"
"M221.066T891.624","-0.29103053","-0.68646643","-0.01443395"," 0.18512469"," 0.59593311"," 0.73430644"," 0.42013398","-0.52144301","-0.72444632","-0.35614342","-0.06557010"," 0.72403556"
"M204.085T413.719"," 1.2140032"," 0.5948154"," 0.6880490","-0.2477649"," 1.0557409","-0.1221215"," 0.3808477","-1.3959071","-1.3974121","-1.4166672"," 0.3985069"," 0.2479097"
"M621.125T857.148","-0.529839646","-0.784584989","-0.408059746"," 0.353544654"," 1.069119503"," 0.894204691"," 0.784067294","-0.860463796","-0.428247489"," 0.136896533","-0.236502656"," 0.009865646"
"M453.101T88.055","-0.37958784"," 0.06363576","-0.23562961"," 0.15858743"," 1.06105429","-0.01923561"," 0.93598787","-0.08884452","-0.45620614","-0.49344189","-0.29523417","-0.25108558"
"M1009.554T1308.282","-0.22555958","-0.02156582","-0.65710201"," 0.34594515"," 1.20034849"," 0.28683573"," 0.09877750","-0.42368681","-0.34429175","-0.34326563"," 0.10397593","-0.02041120"
"M483.178T941.182","-0.004860884"," 0.043686356","-0.619153507"," 0.395572823"," 0.881098980"," 0.384765894"," 0.101301687","-1.173354452","-0.522860031","-0.194674994"," 0.248201137"," 0.460276992"
"M1057.411T880.24","-0.3189274","-0.4146007","-0.3683939"," 0.3454469"," 1.0876062"," 0.8764742"," 0.3116199","-0.1850449","-1.2240416","-0.3351831","-0.0687802"," 0.2938247"
"M478.295T1238.56"," 0.02048022","-0.09136932","-0.42714119"," 0.27368915"," 1.03814634"," 0.28989268"," 0.22035680","-0.33964470","-0.29590628","-0.17127739","-0.01787693","-0.49934937"
"M469.208T948.545","-0.535063641"," 0.059841871","-0.246458228"," 0.329373753"," 0.953916791"," 0.480305158"," 0.416678229","-0.301455588","-1.045725395","-0.776493374"," 0.006883857"," 0.658196567"
"M632.993T321.252","-0.01056279","-0.39038777","-0.54263556"," 0.40560559"," 1.08000386"," 0.35148969","-0.03145941","-0.57003927","-0.52526238","-0.29914531"," 0.20413552"," 0.32825781"
"M1308.932T316.358"," 0.11549088","-0.57174682","-0.33824214"," 0.44924214"," 0.10956740"," 0.55145490"," 0.58926729","-0.45150388","-0.95938370","-0.07210347"," 0.28227177"," 0.29568564"
"M771.369T883.552","-0.22382169","-0.03816936","-0.25062497"," 0.33066846"," 0.94210026"," 0.48035467"," 0.26162571","-0.32225252","-0.34526895","-0.02857455","-0.65894100","-0.14709605"
"M673.289T892.945","-0.40295154"," 0.02993175","-0.72669840"," 0.24524295"," 1.14401507"," 0.46804509"," 0.30016901","-0.56508848","-0.72795395","-0.18197998"," 0.11442075"," 0.30284774"
"M833.365T968.818","-0.76504687","-0.20946391","-0.46324897"," 0.23220922"," 1.35007949"," 0.45658169"," 0.57390223","-0.56566368","-1.12515354","-0.05605882"," 0.05661293"," 0.51525023"
"M893.38T934.735"," 0.04346812","-0.04767756"," 0.10502109"," 0.47291275"," 1.12939357"," 0.61377276"," 0.28036221","-0.35651599","-1.68797550","-0.44477040","-0.05411223","-0.05387882"
"M393.176T847.594","-0.2428515589","-0.1751798911","-0.5375014225"," 0.1538697437"," 1.0835110558"," 0.4658193052"," 0.3859782653","-0.5696985020","-0.7306780694","-0.2733583962","-0.0005632377"," 0.4406527080"
"M653.935T315.929","-0.02556029","-0.12464202","-0.54577964"," 0.40226013"," 1.04138385"," 0.29009319"," 0.37702328","-0.54017340","-0.76196061","-0.29028833"," 0.08225800"," 0.09538586"
"M865.491T1326.551","-0.37603068","-0.01439973","-0.75822272"," 0.45969141"," 1.30608782"," 0.24847403"," 0.15313975","-0.39010890","-0.42575106","-0.20500479","-0.06182672"," 0.06395158"
"M449.202T630.506","-0.32425035","-0.20281972","-0.46685924"," 0.29200700"," 0.95581039"," 0.38324845"," 0.42334927","-0.39994609","-0.61607687","-0.41419175","-0.01991361"," 0.38964251"
"M437.065T776.272","-0.2288094","-0.6053703","-0.4427453"," 0.5725471"," 1.1795371"," 0.5210493"," 0.2321329","-0.2812558","-0.3121337","-0.2254740","-0.2923332","-0.1171448"
"M268.959T125.12","-0.20908059","-0.18342539","-0.67355183"," 0.10799367"," 1.12149127"," 0.32004872"," 0.07694089","-0.38394649","-0.60498357","-0.15124495"," 0.08539006"," 0.49436821"
"M551.272T837.928","-0.19431615","-0.05552520","-0.06880548"," 0.43061783"," 1.12106054"," 0.44027285"," 0.17791347","-0.32278424","-1.16537725","-0.45889815"," 0.20677101","-0.11092924"
"M456.197T892.811","-0.27557793","-0.14694808","-0.41383696"," 0.35759717"," 1.13791632"," 0.54471069"," 0.42936669","-0.65889746","-0.80007539","-0.26414426","-0.02832785"," 0.11821705"
"M356.995T88.504"," 0.29696383"," 0.01356216","-0.28513205"," 0.59426906"," 1.22386434"," 0.19545241"," 0.51427286","-0.41103726","-0.69898390","-0.74627335","-0.28632899","-0.41062912"
"M567.778T908.116","-0.62818081","-0.30047570","-0.18415362"," 0.29978994"," 1.29761377"," 0.37844177"," 0.45477620","-0.21001552"," 0.03862025"," 0.13771043","-0.87096218","-0.41316454"
"M559.667T1200.71","-0.32648678","-0.31687822","-0.75227254"," 0.32504160"," 1.43223085"," 0.51081683"," 0.14626804"," 0.07337017","-0.30691515","-0.38187588","-0.45607418"," 0.05277526"
"M455.193T892.238","-0.63602156"," 0.07477206","-0.26859370"," 0.36701552"," 1.05814728"," 0.35341028"," 0.49448632","-0.97976300","-1.10193766","-0.02300588"," 0.16065004"," 0.50084032"
"M651.363T1268.695","-0.1400402","-0.1778237","-0.5355177"," 0.1471347"," 1.5372753"," 0.3522359"," 0.4081690","-0.4420206"," 0.1470713","-0.2741823","-0.3887735","-0.6335283"
"M1255.613T888.434","-0.29842998","-0.38461747","-0.79215168"," 0.25020261"," 1.30548353"," 0.43127694"," 0.75293982","-0.38057672","-0.24205485","-0.27935909","-0.42489001"," 0.06217689"
"M701.195T940.853","-0.4107418","-0.2140958","-0.5536806"," 0.3386028"," 1.4389977"," 0.3890305"," 0.6087250","-0.4615509","-0.3215139","-0.3394635","-0.3167154","-0.1575941"
"M573.017T749.518","-0.11471104","-0.50305800","-0.17959977"," 0.45230891"," 1.36638934"," 0.23155525"," 0.51418663","-0.17219585","-0.13617952","-0.49197472","-1.01787704"," 0.05115581"
"M587.201T848.147","-0.11741274"," 0.15614200","-0.29667630"," 0.25034815"," 1.22355340"," 0.53735150"," 0.05522204","-0.89144110","-0.68353955","-0.36691560"," 0.06258474"," 0.07078345"
"M429.419T313.767"," 0.08527203","-1.13924601","-0.45857991"," 0.36982027"," 1.36489440"," 0.57456638"," 0.23329496","-0.09032705","-0.23868230","-0.41196283","-0.29953924"," 0.01048928"
"M1223.501T894.767","-0.3563682","-0.2544566","-0.5400886"," 0.4415481"," 1.4425418"," 0.5299043"," 0.2809677","-0.5111414","-0.2956598","-0.2272382","-0.4152791","-0.0947300"
"M1014.419T974.744","-0.34972855"," 0.26519544","-0.03682724"," 0.64400040"," 0.76986386"," 0.79401645"," 0.28587714","-0.92427179","-1.59620394","-0.35482740"," 0.02389495"," 0.47901069"
"M383.555T317.319","-0.13671211","-0.07626537","-0.49666893"," 0.40725415"," 1.17765250"," 0.49201714"," 0.15848030","-0.47711235","-0.44123034","-0.44555958","-0.24850275"," 0.08664733"
"M743.208T992.462","-0.09855239","-0.35376433","-0.32092007","-0.12589074"," 1.10218899"," 0.48119975"," 1.03323416","-0.56144418"," 0.11720792","-0.42949133","-0.63691040","-0.20685738"
"M1305.428T315.265"," 0.2737398","-0.7457425","-0.3921709"," 0.4590183"," 0.1148687"," 0.6060738"," 0.4927888","-0.3725131","-0.9280089","-0.1361911"," 0.3288930"," 0.2992441"
"M593.857T757.673","-0.30329916","-0.60781024","-0.44291970"," 0.73962724"," 1.50434537"," 0.21448349"," 0.48018817","-0.34673602"," 0.15912419","-0.14507764","-1.26580047"," 0.01387478"
"M569.35T895.921","-0.41421070","-0.27985449","-0.44258562"," 0.51569965"," 1.42213143"," 0.62199742"," 0.23969154","-0.25314739"," 0.09142685","-0.15518098","-1.15784782","-0.18811989"
"M325.2T1323.486"," 0.03384042","-0.15211300","-0.32129858"," 0.10463443"," 0.98916158"," 0.46765289"," 0.23015934","-0.28417871","-0.43662793","-0.57966635"," 0.07653298","-0.12809709"
"M269.103T792.774"," 0.04501892","-0.61048282","-0.79712981"," 0.36279166"," 1.04969805"," 0.43952944"," 0.60016796","-0.39829895","-0.60422594","-0.36122426"," 0.06149274"," 0.21266300"
"M637.025T106.841","-0.23956374","-0.42829166","-0.53699531"," 0.23231104"," 1.10005803"," 0.40136777"," 0.28209775","-0.55665377","-0.59707253","-0.04174014"," 0.31281517"," 0.07166740"
"M334.932T113.331","-0.35392967","-0.21655485","-0.35791555"," 0.38000343"," 1.24709747"," 0.46375939"," 0.22490269","-0.41472285","-0.33107465","-0.35592034","-0.33133198"," 0.04568693"
"M433.784T801.352","-0.380793308","-0.096825897","-0.889993564"," 0.476496234"," 0.977622472"," 0.520221053","-0.005884959","-0.212915787","-0.941560903","-0.223645912"," 0.285934925"," 0.491345647"
"M1197.053T906.963"," 0.04792170","-1.43045948","-0.11213018"," 0.27073418"," 0.78640614"," 0.55127810"," 0.75038486","-0.05417424"," 0.50454811"," 0.81100156","-1.10584206","-1.01966870"
"M1048.557T894.929","-0.68991829","-0.33313893","-0.38798957"," 0.52826794"," 1.42810071"," 0.58419533"," 0.30803150","-0.29058146","-0.08225303","-0.47966440","-0.44193025","-0.14311956"
"M295.104T156.471"," 0.06428400","-0.19319105","-0.37711419"," 0.43962475"," 1.22451175"," 0.34772493"," 0.30609337","-0.54629616","-0.59000843","-0.67524985","-0.08208375"," 0.08170462"
"M354.093T750.969","-0.1631135","-0.6408984","-0.2096857"," 0.4863719"," 1.2822773"," 0.3238639"," 0.4737738","-0.1091531","-0.2177953","-0.3178633","-1.0903692"," 0.1825916"
"M398.263T1317.762","-0.0749144","-0.1234290","-0.2833947"," 0.5074650"," 0.8577027"," 0.4459711"," 0.2918623","-0.6727080","-0.5560032","-0.8115437"," 0.1088460"," 0.3101458"
"M807.166T938.699"," 0.05372978","-0.27872768","-0.40952155"," 0.55433258"," 1.27917359"," 0.84115063"," 0.03318011","-0.95877363","-0.72893354","-0.12909667","-0.27317911"," 0.01666549"
"M653.828T318.352","-0.34775601","-0.20779383","-0.37132512"," 0.42750421"," 1.20505080","-0.01115199"," 0.27325408","-0.45697311","-0.44696452","-0.17877875"," 0.03170218"," 0.08323205"
"M1103.415T879.391","-0.0960984","-0.1955076","-0.4362647"," 0.4340889"," 1.0377978"," 0.9455468","-0.0130544","-0.1719497","-1.2325094","-0.2875792","-0.1589297"," 0.1744597"
"M355.571T782.72"," 0.3170970","-0.5463400","-0.4645767"," 0.1400120"," 1.1103219"," 0.8863856"," 0.4989695","-0.3464660","-0.6903144","-0.5909205","-0.5801984"," 0.2660300"
"M633.572T315.643"," 0.16108730","-0.12792565","-0.59668992"," 0.46032770"," 0.81828188"," 0.55650399","-0.02225034","-0.35635590","-0.59383582","-0.43726724","-0.22305700"," 0.36118100"
"M1039.403T917.165","-0.01387828","-0.25442508","-0.08641113"," 0.19114281"," 1.12146350"," 0.85576355"," 0.21383485","-0.31918051","-1.46310136","-0.33507358","-0.25314392"," 0.34300914"
"M1037.324T316.098"," 0.094870125","-0.309070781","-0.489097276"," 0.378791744"," 0.917959185"," 0.468060558"," 0.297664180","-0.472498257","-0.806456719","-0.290114614","-0.004861467"," 0.214753322"
"M509.218T928.864","-0.22291998"," 0.08129096","-0.26421535"," 0.33479822"," 0.94259875"," 0.57634563"," 0.41883486","-0.54926400","-0.87956374","-0.37377184","-0.23446821"," 0.17033470"
"M1308.415T315.705"," 0.03535223","-0.54171966","-0.36786231"," 0.58538811"," 0.04714416"," 0.32119215"," 0.48549276","-0.29977904","-0.94847654","-0.24602151"," 0.48809395"," 0.44119567"
"M311.186T1077.614"," 0.06245375"," 0.17507375","-0.26366891","-0.09254372"," 1.08225725"," 0.64154206"," 0.44350855","-0.49285950","-0.61749265","-0.63720637","-0.48675084"," 0.18568665"
"M969.321T316.442"," 0.1755283","-0.5724838","-0.5136984"," 0.4436412"," 0.4329657"," 0.6649928"," 0.2769524","-0.4497301","-0.9004072","-0.1959029"," 0.4165748"," 0.2215673"
"M333.083T110.42","-0.006879934","-0.194738723","-0.271196146"," 0.151756566"," 1.187084021"," 0.459330105"," 0.625936976","-0.550892897","-0.631575210","-0.339804971","-0.506482862"," 0.077463077"
"M1063.398T908.83"," 0.1498697","-0.0253448","-1.0170786"," 0.3623578"," 1.0774844"," 0.5409447"," 0.1556248","-0.2150667","-1.0064664","-0.8186633"," 0.2100702"," 0.5862682"
"M969.813T316.499"," 0.18349939","-0.60685691","-0.25156309"," 0.75157871"," 0.16344906"," 0.31300205"," 0.57919300","-0.37482893","-0.76824631","-0.03786975","-0.17654654"," 0.22518932"
"M459.959T106.348"," 0.06044018","-0.24290837","-0.10992678"," 0.21088943"," 0.77415040"," 0.66083573"," 0.30700659","-1.20346575","-0.59061241"," 0.01213184"," 0.24987015","-0.12841099"
"M485.178T783.442","-0.29175614"," 0.08693556","-0.96581030"," 0.24479370"," 0.79900775"," 0.62112403"," 0.43056435","-0.22902219","-0.87386572","-0.29230916"," 0.33279036"," 0.13754777"
"M371.133T805.134"," 0.06388494","-0.12966210","-0.39077464"," 0.69138535"," 0.98374512"," 0.74896779","-0.08556338","-0.18944693","-1.22251187","-0.16045735","-0.13388135","-0.17568557"
"M439.083T756.683","-0.12713474","-0.10377230"," 0.12673160"," 0.12773477"," 1.12340592"," 0.70940266"," 0.24486726","-0.64038453","-0.56178729","-0.67262320","-0.15150856","-0.07493157"
"M985.784T316.247"," 0.19325637","-0.60820205","-0.49972629"," 0.64508274"," 0.50453065"," 0.58314049"," 0.04146695","-0.46768708","-0.93395252","-0.08380727"," 0.30838643"," 0.31751158"
"M479.19T902.518","-0.43312414","-0.15236593","-0.92276558"," 0.50374574"," 0.98338798"," 0.31859337"," 0.18496371","-0.19801173","-0.72726414","-0.04881602"," 0.31404221"," 0.17761453"
"M413.081T316.361","-0.3979170","-0.2416032","-0.3849141"," 0.4098981"," 1.1272172"," 0.4580265"," 0.1451111","-0.5035823","-0.5688564","-0.3700640"," 0.1238389"," 0.2028451"
"M417.177T763.775","-1.17380295","-0.20576580","-0.67977065"," 0.26759078"," 1.22898252"," 0.43986025"," 0.65013578","-0.34375041","-0.28966745","-0.16835207","-0.04847067"," 0.32301066"
"M225.002T107.866"," 0.243305664"," 0.219614118","-0.702043997"," 0.490970614"," 1.171618655"," 0.278599403"," 0.200477072","-0.793211118","-0.703572938","-0.469003436"," 0.067522287","-0.004276324"
"M547.145T895.878","-0.3885783","-0.4686959","-0.3398845"," 0.7647874"," 0.9810557"," 0.1353996"," 0.3795520","-0.5475714","-0.5477851","-0.2387501","-0.3773484"," 0.6478190"
"M947.485T901.595","-0.07463401","-0.58572008"," 0.09270305"," 0.37123486"," 1.42190957"," 0.46098722"," 0.43559827","-0.57471028","-0.58256468","-0.27731006","-0.41785348","-0.26964039"
"M399.165T851.906","-0.14295323"," 0.05933189","-0.42785837"," 0.41037694"," 0.88950583"," 0.49289478"," 0.41003578","-0.46399985","-0.94822847","-0.38816065","-0.03136188"," 0.14041723"
"M895.304T938.238","-0.2434274216","-0.2037752164"," 0.1722409053"," 0.3411081423"," 1.2310707165"," 0.8492020207"," 0.2992690207","-0.6127346346","-1.1418587284","-0.4425202089","-0.2480807717","-0.0004938238"
"M455.081T744.378"," 0.08542679"," 0.11560656","-0.27598456","-0.05347132"," 1.17939539"," 0.71903425"," 0.23233183","-0.69738948","-0.45304725","-0.54860231","-0.42518526"," 0.12188538"
"M430.136T769.014","-0.50630502"," 0.13724334","-0.47611178"," 0.66916198"," 1.13587843"," 0.83743885"," 0.70697141","-1.02413681","-1.30160293","-0.05994202","-0.67777312"," 0.55917765"
"M590.274T907.848","-0.03059533","-0.33109490"," 0.26818901"," 0.18864274"," 1.18766981"," 0.17274359"," 0.45921318","-0.24417867"," 0.16300168","-0.09658120","-1.16180846","-0.57520146"
"M353.181T807.324","-0.42139910"," 0.12774250","-0.63948381"," 0.26295571"," 1.10424834"," 0.68954040"," 0.35425456","-0.58524636","-1.01463876","-0.14129227"," 0.06454029"," 0.19877850"
"M456.925T66.979","-0.15201504","-0.07313633","-0.85494646"," 0.30497532"," 0.63849383"," 0.74453218"," 0.72748081","-0.32076539","-0.40770751"," 0.05115876","-0.71748091"," 0.05941075"
"M419.115T799.29","-0.32934740","-0.09347785","-0.31279821"," 0.53874143"," 1.13559528"," 0.27610334"," 0.55686746","-0.50514539","-0.34871804","-0.47575195","-0.42273278","-0.01933589"
"M698.988T986.183","-0.15854966","-0.65668719"," 0.17565187"," 0.02454691"," 1.03636366"," 0.52401709"," 0.77491490","-0.89120837","-0.12683149","-0.51927057","-0.27025741"," 0.08731027"
"M139.002T112.479"," 0.16297172","-0.32041435","-0.36909620"," 0.32277669"," 1.18522994"," 0.58113551"," 0.22968968","-0.51306417","-0.41669646","-0.36062846","-0.41146892","-0.09043498"
"M1095.872T896.96","-0.33444357","-0.11757814","-0.39076819"," 0.52778529"," 1.33488990"," 0.68979414"," 0.21400403","-0.49705161","-0.22694040","-0.86349591","-0.28329887","-0.05289666"
"M957.374T926.518"," 0.31666793","-0.36486369","-0.10255792","-0.02954487"," 1.15188054"," 0.68583932"," 0.27173311","-0.47061622","-1.22363972","-0.32950901","-0.04425177"," 0.13886230"
"M429.646T308.971"," 0.01732052","-0.30640270","-0.53485966"," 0.52802152"," 0.90622647"," 0.62593522"," 0.22283907","-0.53726535","-0.63171340","-0.28180331","-0.25414841"," 0.24585005"
"M968.4T974.568","-0.66193993","-0.06501728"," 0.10491465"," 0.31694279"," 1.06364527"," 1.11692760"," 0.28729769","-0.44535355","-1.38368140","-0.28808486","-0.02381942","-0.02183155"
"M1015.586T1347.819","-0.2586493","-0.1007412","-0.5368727"," 0.3985030"," 1.0460900"," 0.4866183"," 0.1424400","-0.5005549","-0.7500368","-0.2503117"," 0.2216786"," 0.1018367"
"M1033.603T1229.397","-0.32565628"," 0.02099890","-0.69582209"," 0.34900055"," 0.93179372"," 0.43372812"," 0.27624842","-0.32374678","-0.61108857","-0.19326476"," 0.05671819"," 0.08109057"
"M533.169T900.984"," 0.15432928","-0.18768357","-0.80114863"," 0.37585420"," 1.02480136"," 0.67784313"," 0.54706563","-0.54317994","-0.59338001","-0.71853909"," 0.05430852"," 0.00972912"
"M443.193T725.675"," 0.23234796","-0.27991800","-0.13157358"," 0.21569293"," 1.04979233"," 0.61057542"," 0.28810015","-0.60736822","-0.83721568","-0.08517044","-0.48353202"," 0.02826915"
"M1162.58T906.276"," 0.4187020","-0.9368190"," 0.1177466"," 0.2521840"," 0.7711669"," 0.4068431"," 0.8485602"," 0.4566832"," 0.6744550"," 0.4980355","-1.4295783","-2.0779792"
"M1095.01T894.541","-0.3251815","-0.4430947","-0.3996835"," 0.9776606"," 0.8098221"," 0.7315254"," 0.1929211","-0.1192567","-0.2165060"," 0.1258569","-0.7357725","-0.5982912"
"M1209.581T888.373","-0.11208796","-0.79147096","-0.50169369"," 0.18977258"," 1.31522818"," 0.46483700"," 0.53658035","-0.33221966","-0.22131628","-0.18133429","-0.41024714"," 0.04395187"
"M492.868T66.13","-0.1339779","-0.1913997","-0.5052219"," 0.2787923"," 0.8741849"," 0.6154122"," 0.1448539","-0.5905389","-0.3076224","-0.2536030","-0.2134866"," 0.2826073"
"M567.276T907.878","-0.13530343","-0.40985866"," 0.24785983"," 0.25062795"," 1.28990349"," 0.32626142"," 0.26126420","-0.39461525"," 0.02218030","-0.04216224","-1.04444499","-0.37171262"
"M664.226T813.714","-0.6315946","-0.2472503"," 0.2150890"," 0.4383747"," 1.0777642"," 0.2372871"," 0.4193014","-0.3861726","-1.0973733","-0.4385248"," 0.2060233"," 0.2070759"
"M1035.397T978.889","-0.69109249"," 0.03878438","-0.22039890"," 0.37555756"," 0.61441046"," 1.07859497"," 0.42316669","-0.50618179","-1.21972184","-0.24136667"," 0.01456565"," 0.33368197"
"M1162.051T893.06","-0.32788263","-0.40457398","-0.60096998"," 0.53124214"," 1.45470539"," 0.55367201"," 0.25086712","-0.34724512","-0.06947966","-0.18380127","-0.60627545","-0.25025859"
"M812.842T69.273","-0.45375654","-0.56093832","-0.82087262"," 0.78848029"," 1.06535798"," 0.31975291"," 0.47423823","-0.55424225","-0.52786283","-0.04907726","-0.26918411"," 0.58810451"
"M691.153T854.793","-0.5535451","-0.6504139","-0.2330636"," 0.4132776"," 1.3060541"," 0.4832300"," 0.5593801","-0.5958100","-0.3507435","-0.3134337","-0.2667473"," 0.2018152"
"M433.351T780.04","-0.6332044537","-0.1666636933","-0.3444803602"," 0.1692530175"," 1.2522844363"," 0.7278572820"," 0.0644681082","-0.6626819030","-0.5137074979","-0.4843897200"," 0.5922426363","-0.0009778521"
"M209.961T64.78"," 0.21618427"," 0.29992159","-0.41811824"," 0.10476510"," 0.68308511"," 0.78339180"," 0.13451060","-0.33174042","-0.07624031","-0.23902795","-0.86172118","-0.29501038"
"M1363.57T899.951","-0.03185277","-0.36180446","-0.10804274"," 0.44109084"," 1.32421231"," 0.47381423"," 0.66174147","-0.78117024","-0.15987472","-0.27242791","-0.88366349","-0.30202252"
"M410.078T615.621"," 0.694050532","-0.154625173"," 0.763492343"," 0.239531992"," 1.073502365"," 0.867537294"," 0.296240093","-0.765263446","-1.163878022","-1.959019699"," 0.114456752","-0.006025029"
"M1125.418T877.844","-0.1555360","-0.4470627","-0.2404173"," 0.4619749"," 0.9305028"," 0.6610308"," 0.2573724","-0.2300620","-1.4950902","-0.1934463"," 0.1496594"," 0.3010741"
"M483.183T857.732","-0.26540830"," 0.12462430","-0.32235266"," 0.47427495"," 0.93949886"," 0.54236155"," 0.32424394","-1.25200762","-0.74569643","-0.25379957"," 0.09052622"," 0.34373475"
"M1323.575T889.628","-0.3025363","-0.4714039","-0.7846367"," 0.3693706"," 1.2982981"," 0.4527980"," 0.7561518","-0.3098561","-0.2732962","-0.2522474","-0.3337070","-0.1489348"
"M695.298T853.355"," 0.05512477","-0.82381675","-0.09700481"," 0.37929292"," 1.20707897"," 0.50701229"," 0.28431017","-0.78052063","-0.86911264","-0.12683061","-0.03993506"," 0.30440139"
"M921.12T945.55","-0.22818636","-0.06576159","-0.80290346"," 0.33113863"," 1.17840556"," 0.28797331"," 0.41374672","-0.58351682","-0.02065357","-0.23372007","-0.40181849"," 0.12529614"
"M331.103T255.151","-0.1438698","-0.1293669","-0.5546427"," 0.3251103"," 1.1625152"," 0.3675328"," 0.4044669","-0.8006744","-0.5316675","-0.1310619","-0.1719634"," 0.2036214"
"M322.871T96.154"," 0.05562493","-0.41330541","-0.45970145"," 0.39232301"," 0.76392648"," 0.64573129"," 0.62734632","-1.23056636","-0.35121310"," 0.19717740","-0.28065430"," 0.05331120"
"M539.134T89.251","-0.17958674","-0.49859619","-0.40469527"," 0.07222306"," 1.32167776"," 0.29008664"," 0.42420668","-0.08136724","-0.63869116","-0.30537940","-0.16039568"," 0.16051753"
"M502.995T105.736","-0.29718422","-0.24461160","-0.59248706"," 0.25621879"," 1.47622237"," 0.47415742"," 0.01526996","-0.61182719","-0.50910792","-0.43726479","-0.09100525"," 0.56161951"
"M641.302T1183.734"," 0.32497752"," 0.07477093"," 0.99226207"," 0.25155011"," 0.63880054"," 0.81984462","-0.01376829","-1.03749950","-1.18805850","-1.01802329"," 0.29058525","-0.13544146"
"M967.36T964.868"," 0.039633500","-0.162136149"," 0.009881294"," 1.288742105"," 0.764054134"," 0.508451549"," 0.425610956","-1.067612120","-1.468014573","-0.125093205"," 0.055341123","-0.268858614"
"M329.088T474.939","-0.12225600","-0.39087464","-0.40940143"," 0.33992358"," 1.16995704"," 0.50799705"," 0.39529593","-0.47255444","-0.45044212","-0.27856696","-0.34566471"," 0.05658669"
"M617.133T750.744","-0.3798840"," 0.4969681","-0.6259348"," 0.2169085"," 1.1309356"," 0.4865747"," 0.4145074","-0.4445702","-0.5816040","-0.6626522","-0.3564735"," 0.3052244"
"M669.182T316.584","-0.03513499","-0.32938744","-0.51040269"," 0.42518480"," 0.83428832"," 0.75264903"," 0.07468484","-0.48696428","-0.64519255","-0.35194405"," 0.14605391"," 0.12616510"
"M447.152T782.273","-0.23714076","-0.01549447","-0.74981339"," 0.43403628"," 1.29410705"," 0.45506101"," 0.38906829","-0.63387469","-0.39992868","-0.09565699","-0.32415474","-0.11620890"
"M1097.514T1402.931","-0.22566909"," 0.08030397","-0.57490380"," 0.25850959"," 1.08436737"," 0.49433103"," 0.14688934","-0.66054163","-0.52764057","-0.36444638"," 0.17257004"," 0.11623012"
