"","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Mock","Mock","Mock","Xanthomonas","Xanthomonas"
"M983.568T1252.43","-0.39006324","-0.48573575","-0.50435020"," 0.80535665"," 1.38699504"," 0.39247934"," 0.17805882","-0.24041360","-0.42105950","-0.44972485","-0.30464775"," 0.03310504"
"M457.19T799.683","-0.29686428","-0.16848615","-0.82181272"," 0.20593427"," 1.11966168"," 0.64410606"," 0.49502679","-0.36134010","-0.48144932","-0.24335874","-0.03030987","-0.06110763"
"M821.506T1329.663","-0.5088193","-0.2397191","-0.7665223"," 0.6731204"," 1.2696422"," 0.3970045"," 0.2465824","-0.2717532","-0.5795198","-0.2513395","-0.1391646"," 0.1704883"
"M768.448T1315.096","-0.32250513","-0.08269665","-0.55313766"," 0.49296573"," 1.19629473"," 0.35237349"," 0.21194378","-0.42792263","-0.74557513","-0.47423101"," 0.00385311"," 0.34863738"
"M531.078T845.355","-0.17123389","-0.48948581","-0.42680862"," 0.39950665"," 1.37211820"," 0.39727979"," 0.55259608","-0.13940922","-0.07156118","-0.48727024","-1.09705039"," 0.16131862"
"M309.118T727.508","-0.1633769","-0.7073900","-0.3877529"," 0.4831350"," 1.4725148"," 0.4212980"," 0.6081966","-0.1527203","-0.3857459","-0.2828100","-0.6156143","-0.2897340"
"M655.999T943.196"," 0.09269997","-0.02725474","-0.51301603"," 0.37143180"," 1.34949533"," 0.40096252"," 0.21528571","-0.39396850","-0.01075875","-0.07674338","-0.35955458","-1.04857937"
"M277.129T811.716","-0.5415365","-0.1553511","-0.7909591"," 0.3434272"," 0.8770951"," 0.7494132"," 0.4500629","-0.3152573","-0.8357803","-0.1915573"," 0.1414982"," 0.2689449"
"M649.026T106.128"," 0.03613412"," 0.02779238","-0.51707063"," 0.50039609"," 0.95368758"," 0.51912154","-0.02302318","-0.71502217","-0.63959126","-0.41497916"," 0.15805173"," 0.11450296"
"M1097.561T894.34","-0.06495732","-0.29374223","-0.79111863"," 0.42483450"," 1.44153449"," 0.23341056"," 0.62667313"," 0.03480105"," 0.17134805","-0.41958950","-1.09895937","-0.26423474"
"M921.374T936.829"," 0.0361352867","-0.2012324819","-0.3025667599"," 0.3998200864"," 1.2482670485"," 0.7335256449"," 0.3718207981","-0.5326921136","-1.2233392535","-0.3710989713","-0.1594069757"," 0.0007676914"
"M851.794T1356.146","-0.49332101","-0.03861972","-0.45226850"," 0.50871160"," 1.10899594"," 0.15730771"," 0.42535651","-0.16386965","-0.09128810","-0.63058134","-0.10602938","-0.22439406"
"M451.007T107.467"," 0.03200732"," 0.18415519","-0.40760428"," 0.34718239"," 1.07929461"," 0.44047007"," 0.13306443","-0.59562690","-0.49710388","-0.17749513","-0.02293818","-0.51540564"
"M1100.582T1225.322","-0.37577049","-0.05885522","-0.49042241"," 0.28214686"," 1.21341175"," 0.42198935"," 0.06992256","-0.47421661","-0.54886171","-0.11408279"," 0.03882213"," 0.03591657"
"M649.302T900.549","-0.2322357","-0.1795317","-0.3624647"," 0.2852377"," 1.1745043"," 0.4773614"," 0.1491675","-0.5497541","-0.6309252","-0.3419209","-0.0238241"," 0.2343856"
"M1161.883T894.146","-0.25844585","-0.53469258","-0.84760229"," 0.62786876"," 0.97087224"," 0.81568358"," 0.04293565","-0.28379346"," 0.09557298"," 0.17116101","-0.73679979","-0.06276026"
"M286.972T107.919"," 0.131603398","-0.008604198","-0.305379358"," 0.317973010"," 1.207935057"," 0.335083415"," 0.139427295","-0.552947398","-0.433983485","-0.305232269","-0.171185051","-0.354690417"
"M581.318T900.123","-0.25650359","-0.48409384","-0.63003548"," 0.35715696"," 1.09747345"," 0.42994194"," 0.34765393","-0.53185191","-0.61276850","-0.08438527"," 0.15635126"," 0.21106106"
"M1014.585T1348.471","-0.2268892","-0.1142890","-0.5295009"," 0.3667874"," 1.0762890"," 0.4590458"," 0.1470258","-0.4982740","-0.7789925","-0.2654318"," 0.2248878"," 0.1393415"
"M799.289T814.54","-0.1284870","-0.2742164","-0.7445192"," 0.4805320"," 0.4411059"," 0.4811267"," 0.3272251","-0.1518408","-0.4087635","-0.5074459"," 0.1584674"," 0.3268157"
"M1053.272T316.465","-0.0446507","-0.4293169","-0.5710366"," 0.3927767"," 0.8188885"," 0.7212149"," 0.2504449","-0.6139631","-0.6068172","-0.3268901"," 0.2291082"," 0.1802415"
"M1097.037T893.528","-0.91514630","-0.11353563","-0.36756422"," 0.73057001"," 1.42753275"," 0.55333976"," 0.57149628","-0.35203594"," 0.06645359","-0.52391536","-0.48632380","-0.59087114"
"M869.849T1307.413","-0.230883230","-0.169843476","-0.702613572"," 0.712433025"," 1.169014707"," 0.384917720"," 0.097860600","-0.482565308","-0.442502442","-0.105899472","-0.226031652","-0.003886901"
"M1071.559T892.477","-0.50626529","-0.36307205","-0.46641366"," 0.58834607"," 1.39986549"," 0.49861418"," 0.53912490","-0.29131347","-0.08431013","-0.36075774","-0.57926404","-0.37455427"
"M1000.263T316.358"," 0.24799860","-0.27973664","-0.45084664"," 0.30565395"," 0.82906465"," 0.53701428"," 0.43405886","-0.80360810","-0.58763491","-0.10829473","-0.10345610","-0.02021322"
"M767.194T317.413","-0.93414873","-0.08918269","-0.45616221"," 0.42253910"," 0.95608851"," 0.63883613"," 0.34827091","-0.36530362","-0.61482842","-0.15924036"," 0.02552725"," 0.22760412"
"M280.961T95.439","-0.14031233","-0.03006591","-0.54725892"," 0.36339991"," 1.25159377"," 0.61656040"," 0.11881281","-0.69701731","-0.48144163"," 0.11563944","-0.19296376","-0.37694647"
"M650.407T1378.088","-0.0942266","-0.3434976","-0.5802287"," 0.4737632"," 1.3088626"," 0.6937591"," 0.1783788","-0.6238436","-0.7965481","-0.4484812"," 0.1139538"," 0.1181082"
"M653.891T318.024"," 0.03512446","-0.05743527","-0.49026296"," 0.42354578"," 1.05883311"," 0.53006472"," 0.04954380","-0.46365474","-0.66168779","-0.70251393"," 0.12805918"," 0.15038365"
"M560.841T1187.938","-0.40561314","-1.11929296","-0.24067977"," 0.23589524"," 0.75796085"," 0.09041365"," 0.64517877"," 0.01536226","-0.23572560","-0.04259834","-0.06942179"," 0.36852084"
"M354.957T108.842","-0.14472800"," 0.03589045","-0.45521569"," 0.36523788"," 1.20492337"," 0.58763928"," 0.13856444","-0.58686292","-0.50975610","-0.37710967","-0.18041236","-0.07817067"
