"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M956.3T17.56","10763.978"," 9390.086"," 8691.378"," 9414.673"," 8429.212"," 9461.579"," 9157.390","10757.119"," 8305.189"," 9648.311"," 8567.696"," 9322.993"," 9331.432","10344.942","12461.272","11163.390"," 7408.209"," 8620.355"," 8620.355"," 9225.594","10291.076"
"M957.8T18.56","7849.424","7542.481","7484.177","6668.894","7762.762","9554.005","5609.550","7388.342","6737.592","9097.559","6999.330","7970.818","9049.066","9439.552","9215.642","9007.458","5466.429","5979.370","5979.370","8565.620","7732.631"
"M958.79T18.56","16950.51","20051.98","17109.24","17878.51","20427.10","17745.74","12299.44","18654.23","18925.85","17567.84","19737.84","28380.54","18761.20","18663.82","19933.62","19257.60","11505.79","17947.45","17947.45","17799.24","17372.14"
"M958.8T11.54"," 9467.041","11943.724"," 9373.263","11241.762","10358.924","11316.331"," 9685.628","10803.146","10140.330","11405.966","10844.279","10350.244","10685.358"," 9233.618","11544.234"," 9819.464","10237.026","10238.624","10238.624","11053.060","10093.158"
"M959.48T16.56","5153.456","3101.708","3788.189","4036.607","3730.940","4239.706","4553.908","6676.642","3702.588","3406.188","5016.849","4724.666","3594.107","5350.486","3485.722","3810.342","3055.555","4939.180","4939.180","3831.460","3937.420"
"M959.81T17.56","17298.19","14421.13","11527.75","13349.72","12611.72","12931.56","11833.59","14945.75","11934.31","17369.95","12276.56","25687.01","13989.12","13049.32","17133.25","13887.54","11154.04","13097.00","13097.00","14377.00","13434.72"
"M961.31T814.89"," 51640.62"," 64293.98","100063.25"," 98128.96"," 78633.73"," 94528.09"," 74190.68"," 87140.19"," 70909.15","133920.93","101953.74"," 20886.41","121078.70","108655.64"," 89225.24"," 95888.38"," 30644.91"," 79909.60"," 79909.60"," 88245.01"," 76547.10"
"M962.48T16.56","12888.685","12270.702"," 8128.697","18284.873","10426.914","11131.103"," 9389.950"," 8651.008","11112.074","11143.964"," 9793.152","17452.624","10950.802","10418.141"," 9820.214","18708.576"," 6525.199"," 8744.657"," 8744.657"," 9069.126","12473.649"
"M962.8T17.56","21378.98","18675.86","17440.91","19964.41","22222.47","21552.03","18685.89","20495.48","21151.24","19421.53","19623.95","30388.38","21841.33","17211.03","19014.87","17920.46","13170.01","29504.84","29504.84","19574.55","17505.85"
"M963.81T17.56","21878.55","19365.10","19273.84","21352.86","17751.99","18374.63","24208.41","22115.87","20493.71","20911.32","17475.86","20510.99","21887.47","20553.48","19180.67","22511.33","14898.53","21447.10","21447.10","17213.49","19162.14"
"M963.81T12.29","13523.76","14977.32","14284.50","14666.26","14829.61","15320.60","13086.64","14340.04","14358.95","16218.20","14649.54","14929.63","13608.00","12611.72","15153.23","13605.28","14180.95","15036.98","15036.98","17171.36","23079.03"
"M964.31T17.56","6398.410","8270.738","6934.801","8838.973","5910.657","7994.704","7370.044","8201.978","7142.256","8620.841","8846.460","9247.175","8595.710","8579.662","7574.101","8177.274","5226.209","8213.646","8213.646","8780.262","8434.029"
"M964.8T17.56","11605.782","11969.182","11618.441","12823.544","13983.826","11370.371","14019.934","14565.428","11795.115","10959.291","13221.737","20609.782","15059.042","12334.894","13133.282","16643.782"," 8254.897","16214.194","16214.194","10936.712","10834.251"
"M964.81T12.54","10463.044"," 9994.912","11470.308"," 8485.379"," 9277.906","10202.361"," 9705.168"," 9484.482"," 8531.735"," 9971.935"," 8180.842"," 8994.282"," 8610.041","12076.120"," 8957.010"," 9568.814"," 8125.009"," 9378.050"," 9378.050"," 9829.400","14104.186"
"M965.81T12.55","21655.18","17664.84","15547.41","13980.87","16235.33","15117.88","14662.00","35511.39","15113.20","15634.76","15149.55","16456.09","19270.44","20667.82","16106.95","15898.65","15480.65","17973.76","17973.76","15191.44","15802.60"
"M966.31T17.55"," 7026.712"," 6702.046"," 6031.921"," 6264.896"," 8391.098"," 6315.354"," 5150.366"," 6504.792"," 6372.248"," 7861.514"," 5775.885"," 6970.400"," 6586.160"," 6998.934"," 6921.218"," 7691.023"," 4804.558"," 7914.361"," 7914.361"," 6974.862","10170.977"
"M967.31T17.56","13709.276","12852.442","12415.394","13209.758","14108.536","14587.703"," 9247.937","11675.051","11900.493","11582.397","10059.733","12607.799","10810.414","11643.876","14391.044","14609.698"," 7805.279"," 9704.037"," 9704.037","11466.296","14825.888"
"M967.47T17.56","10864.295"," 8042.359"," 9319.066"," 8878.497"," 7750.106","12104.209"," 9317.870","10684.416","10256.849","11674.920"," 7376.069"," 8801.595","18688.208"," 9967.814"," 8341.625"," 9172.152"," 6941.178","10828.126","10828.126"," 6346.984","10762.407"
"M967.82T12.55","10575.270","10758.178"," 9571.798"," 9094.849","10642.942","10639.921","11130.865"," 9810.902","10027.546","10745.187","13376.975","10458.561","10966.621"," 9661.376","10338.408","10822.064","10642.249","13227.564","13227.564"," 8968.826","11184.581"
"M968.81T12.55","19277.83","19731.02","22497.29","21635.89","18668.12","19023.80","22852.72","17124.20","29171.11","24228.47","18473.58","20225.10","17848.38","24330.77","19825.49","23983.79","21291.80","22531.39","22531.39","18651.79","24135.09"
"M969.48T16.46","30963.74","30619.49","31145.94","26182.90","30771.13","52173.34","52717.20","30917.15","26539.50","31550.37","30520.34","55659.87","31415.58","27886.14","30240.15","29640.36","18117.78","22681.20","22681.20","31849.26","32931.04"
"M970.48T13.55","10544.125"," 8826.073"," 6236.654"," 8714.610","10670.238","11396.713"," 9388.080","12235.278"," 9730.098"," 5950.982"," 9949.742","10487.251","11282.087"," 9194.198"," 9602.345"," 9683.063"," 7803.417","10081.039","10081.039","10190.480","11270.911"
"M970.8T18.56","13997.855","12062.078","15121.590","15604.240","13596.668","12420.915","10856.454","14595.509","12055.247","12770.761","11928.092","21075.132","11976.342","15438.339"," 9731.975","11859.217"," 8540.461","18125.963","18125.963","13398.074","14507.331"
"M970.81T12.01"," 8164.798","10312.846"," 8882.802"," 6866.538","11658.940","11739.221"," 8084.744"," 7954.210"," 8255.010"," 9449.739"," 8430.670"," 8751.573"," 8749.677"," 9428.200"," 7414.982"," 9388.637"," 7964.414","11852.714","11852.714"," 7404.146"," 7514.476"
"M972.82T12.55","31179.06","31469.63","29458.25","38178.60","30497.15","34609.75","35618.37","33603.83","37313.42","32013.75","39901.35","67454.17","29763.10","30768.03","32294.17","34892.49","32754.00","40274.46","40274.46","32252.47","31022.79"
"M976.47T17.54","10443.003","10995.506","11216.169","21217.352"," 9487.475","10271.743"," 9191.131"," 9388.690"," 8986.845"," 9157.390"," 9867.470"," 9104.407","13759.154","10560.539"," 9034.751","10144.835"," 8047.304"," 7689.726"," 7689.726","10547.548","12782.114"
"M977.3T17.56","11671.229","14348.918","13662.866","14109.777","16563.542","11684.308","11395.185","14085.461","12544.034","11463.778","23959.664","13821.052","17046.988","22986.754","11355.217","25008.280"," 8705.307"," 9560.695"," 9560.695","16403.062","17379.514"
"M977.8T12.55","11424.98","10754.17","10748.97","13533.79","10666.98","13904.98","13714.48","11498.10","12788.13","13913.62","13241.61","11654.05","11117.04","10582.18","12932.55","11170.97","12904.97","13406.10","13406.10","13225.56","13773.20"
"M977.8T17.56","14186.793","15251.618","12729.543","14102.024","12923.292","13127.439","10555.572","16583.355","12371.621","13394.062","10427.188","23891.300","14469.278","12097.273","13069.054","16475.278"," 7562.208","12774.394","12774.394","12980.826","12700.183"
"M978.14T17.55"," 9378.289"," 9022.042","11728.414","10434.018","10749.934","12742.223"," 9251.672"," 9937.432"," 8538.737","11841.418"," 9770.843","10579.928","11263.690","11313.840"," 9870.440"," 9594.078"," 7033.827"," 9153.863"," 9153.863"," 9648.860"," 9912.400"
"M978.15T11.61","7982.054","7713.399","7573.146","7122.793","7388.630","8221.320","7176.611","7444.897","6590.919","7873.550","7344.507","8165.861","7420.720","8060.108","7161.993","6006.057","6771.152","6060.126","6060.126","8344.960","7443.704"
"M978.79T18.56","19318.18","20308.74","17574.58","15531.88","18621.70","18284.96","14234.77","14330.72","18344.03","17163.34","17671.37","29281.15","19087.46","19877.45","19508.35","18850.38","11940.76","18876.11","18876.11","19022.90","19694.11"
"M978.8T11.54"," 9687.048","12549.536","10332.851","11141.108","10485.277","10775.945","12186.892","13586.386","10302.816","11201.504"," 9628.886","11910.804"," 9620.863","10110.240","11139.102","10489.201"," 9820.598","11438.212","11438.212","11743.124","10633.806"
"M979.31T813.63"," 73661.91"," 97191.59","139139.42","143078.05","105257.02","117662.85","102379.90","123087.31","112013.53","187080.23","129299.22"," 47335.95","152825.15","127589.41","109399.45","107215.46"," 45087.26"," 89892.99"," 89892.99","117255.06","115161.54"
"M979.8T18.56","13434.327","15534.464","11804.315","15078.726","12647.136","15385.931","10769.345","14870.253","14555.263","15604.674","14106.530","24220.725","16387.050","13779.790","14072.090","15277.696"," 9943.699","14477.504","14477.504","15644.794","15763.189"
"M979.81T11.54","10531.181"," 9247.660"," 9156.679"," 8417.660"," 8353.297"," 8552.178"," 9437.182"," 8934.948"," 8397.116"," 9781.256"," 8028.417","10049.365"," 9881.591"," 8274.750"," 9031.217"," 9053.478"," 9172.614"," 8718.076"," 8718.076"," 9799.310"," 9359.996"
"M980.13T17.56","5726.598","6259.629","7405.920","6246.382","6535.318","6863.613","4336.522","7069.555","5887.525","6170.175","8918.152","6185.761","6204.558","9266.552","7731.124","7373.494","4465.018","6020.310","6020.310","7847.472","6997.937"
"M980.8T12.66","10340.87","14575.60","12883.78","13285.54","13708.73","13668.35","14849.49","13042.85","13137.12","14381.19","12832.94","23037.00","13466.62","13032.98","14153.99","11831.65","12854.44","18797.55","18797.55","11646.84","14669.88"
"M980.8T18.55","15336.412","13687.669","13887.353","15261.118","12435.194","12132.701","10902.610","13050.709","11112.606","14507.842"," 9913.214","10323.643","12628.538","12904.598","12920.646","11756.723"," 6903.967","10770.214","10770.214","16409.080","13183.247"
"M981.47T17.4"," 6161.654"," 6506.551"," 5705.058"," 6917.277"," 7704.070"," 7754.040"," 5426.819"," 6254.219"," 6653.265"," 7825.406"," 9333.463"," 6264.536"," 6620.275"," 6152.983"," 7192.441","12627.258"," 5617.608"," 8740.245"," 8740.245"," 6688.004"," 7986.565"
"M981.81T12.55","10592.775"," 8873.219","10441.230"," 6637.854","10872.719","12335.391","11344.921"," 9314.316"," 9554.678"," 9717.064","10666.050","10681.230"," 9438.667"," 8078.162"," 8985.119"," 8571.623"," 9519.172","11668.902","11668.902"," 8543.554"," 8750.172"
"M984.29T13.55","12481.332","10439.570","11885.174","11062.246"," 7966.268","12803.137","13241.411","10814.280","11237.091","11114.204","11220.095","11187.203"," 6191.287","10235.391"," 9560.168","11617.265","10961.002","10370.656","10370.656","10894.586","11819.408"
"M985.47T17.56"," 9869.154"," 8241.109"," 7908.081","10299.098"," 8208.467"," 6598.392"," 7064.712"," 8905.685"," 9482.704"," 7901.634"," 9040.341"," 8195.972"," 8269.856","10360.990"," 7095.222","11205.516"," 6332.336"," 9392.760"," 9392.760"," 8734.124"," 7783.040"
"M985.47T12.55","8417.503","7352.210","9205.534","6453.302","7491.926","7679.369","7675.650","9671.325","7164.937","9263.708","7927.987","7678.437","7337.533","7318.252","9430.206","8664.469","6991.504","7500.434","7500.434","6479.380","7814.187"
"M985.8T17.56","11058.786","10435.375","10339.048"," 6667.944"," 9853.103","11026.808"," 7288.766","11863.585"," 9214.957","11230.562","12746.124","16987.604","10940.724"," 7859.508","12559.566","10218.564"," 6066.829","10898.877","10898.877"," 9141.342"," 8885.145"
"M985.8T12.54","7006.091","8140.807","6636.530","9886.293","6778.928","7341.037","6347.495","6568.340","6553.524","7925.329","6442.266","8201.967","7510.972","8744.154","5745.757","5744.325","7392.993","8487.995","8487.995","7468.338","7459.725"
"M986.8T18.55","18174.94","17727.02","17874.82","19251.58","18056.01","17516.88","16956.72","17637.99","18743.41","18653.79","17661.83","30055.76","14733.63","15172.69","15678.85","17755.11","12926.05","20185.93","20185.93","16758.12","20454.27"
"M989.8T17.56","30451.40","31086.98","29587.68","28127.47","26880.40","28049.88","26084.02","30552.70","26363.37","28447.09","26575.89","46931.04","28784.09","28449.09","29678.77","24998.61","18463.36","21139.73","21139.73","23540.41","28938.45"
"M989.8T12.54","18579.88","17913.58","18176.75","17099.14","20082.07","18552.11","21581.97","19913.60","19030.92","18719.99","18870.69","18776.87","18630.02","19428.11","18096.53","20110.19","19704.69","24314.73","24314.73","19402.03","19329.82"
"M990.14T17.56","10803.849","11550.548"," 9177.626"," 9573.691"," 9049.130","10352.680","15824.184"," 8651.694"," 7815.308"," 9622.782"," 9514.989"," 8649.187","10188.474"," 7974.571","10276.738","11341.924"," 5925.811"," 9483.627"," 9483.627","10593.686","10199.774"
"M990.29T17.56","13422.370","11709.022","11555.080","11078.123"," 9613.574","11115.196","10822.370"," 9624.960","12521.148"," 9340.831"," 9911.531","10646.541","10553.063","11610.728","10371.020","11626.776"," 7843.096"," 9334.373"," 9334.373"," 9688.980"," 9223.754"
"M990.79T18.35","18668.156","15520.422","14915.049","14777.752","13560.807","15045.137","10720.110","11732.499","16242.525","16545.488","12912.761","22964.786","15917.610","13933.676","11737.035","17181.390"," 9166.434","14944.577","14944.577","15245.600","13596.372"
"M995.46T17.54"," 7463.808"," 9202.724"," 9090.254"," 9110.446"," 8669.366"," 7576.590"," 6095.749"," 9324.344"," 7865.055","13495.707"," 7159.076","13705.859","10388.954"," 8253.463"," 8134.691","12906.036"," 4828.122","10556.108","10556.108"," 7965.826"," 9599.121"
"M996.14T12.55"," 7065.964"," 6778.963"," 6432.862"," 6443.818"," 6349.200"," 5439.386"," 6086.204"," 6972.953"," 6406.565"," 5440.881"," 7316.497"," 6962.356"," 6876.745"," 5936.126"," 6772.471"," 5458.136"," 7174.004"," 9986.451"," 9986.451","11552.554","12025.048"
"M996.8T17.56","19058.78","16549.50","19025.17","19446.36","18134.24","22418.77","19620.69","18911.82","15916.11","21107.13","21726.58","34295.74","23464.18","20856.38","16558.82","24268.59","13137.86","26934.06","26934.06","22910.53","18387.95"
"M997.14T13.55","11592.674","10722.159","12264.366"," 9902.315","10852.447"," 9788.120"," 9554.578","11433.129","11919.701","12147.541","10630.957","11119.106","11255.696","11118.105"," 9370.026","10669.556","10049.912","10721.241","10721.241","10914.646","10139.823"
"M999.14T16.55","13277.914","11485.318","12542.216","12477.633","10537.613","13254.853","18970.970","12098.176","11188.789"," 9857.484","12102.725","11045.800","18240.745","10470.344"," 9271.732","11798.667"," 9071.908","11960.074","11960.074","11452.254","11076.929"
"M1000.81T17.56"," 67643.53"," 64683.47"," 63473.78"," 66229.28"," 60001.47"," 66014.82"," 41901.41"," 60124.75"," 59265.58"," 63463.82"," 47652.29","106854.75"," 52693.50"," 57939.30"," 57826.96"," 53449.88"," 36410.43"," 50335.41"," 50335.41"," 61708.57"," 65035.75"
"M1001.14T16.56"," 6680.713"," 7144.948"," 7700.235"," 6907.771"," 7754.486"," 7020.230"," 5308.969"," 7113.740"," 7377.874"," 7613.602"," 7688.998","13667.645"," 6479.776"," 4660.396"," 7037.048"," 8696.010"," 5811.544"," 5889.100"," 5889.100"," 6934.742"," 6278.735"
"M1001.3T17.55","15336.412","21534.410","12358.620","11488.021","12139.564","13022.528","10101.913","13915.008","11843.535","13530.470","10556.411","12256.353","11476.615","10941.757","11596.305","13265.859"," 9858.703","10447.518","10447.518","10589.674","14882.047"
"M1001.81T17.56","16082.39","16621.72","15588.81","15419.57","17161.33","14842.36","11243.70","16403.63","13122.35","14013.26","14334.91","13817.04","15961.74","14828.35","14625.75","14868.47","10807.89","13895.26","13895.26","12862.47","16352.20"
"M1002.13T17.56"," 6594.087"," 6651.896"," 8589.693"," 6692.141"," 7248.090"," 9408.806"," 3798.717"," 7653.416"," 6116.879"," 6581.686"," 6198.362","13180.487"," 9518.470"," 7174.076"," 8018.166"," 8942.748"," 5176.095"," 7256.502"," 7256.502"," 6070.156"," 9846.227"
"M1002.47T16.93","5478.120","4422.574","5368.626","5118.676","6427.319","6390.969","5114.977","7222.538","4142.330","5359.517","6283.102","6407.538","5755.320","6098.865","5062.755","5472.222","5193.317","7574.746","7574.746","7097.228","6080.275"
"M1003.47T13.55","13705.761","15515.217","14367.019","15237.978","15706.013","15297.251","15978.615","11664.890"," 9544.968","14001.270"," 8409.481","16487.825","14213.099"," 9396.104","14252.630","16161.418","12666.082","17396.461","17396.461","14962.754","15919.607"
"M1003.79T17.56","12017.937"," 8716.916"," 8094.198"," 9045.408","11803.304","10254.710"," 7255.295","10084.151"," 8404.899","11705.010"," 7528.156"," 9419.045"," 8671.398"," 8030.707"," 8514.055","10822.214"," 6521.884","11038.571","11038.571"," 9646.854"," 8512.736"
"M1004.13T17.56"," 6897.774"," 7787.371"," 8131.485"," 7956.072"," 7597.919"," 7535.609","11819.001"," 8186.859"," 6806.216"," 7189.395"," 8515.174"," 8801.963"," 7962.760"," 7886.362"," 8212.978"," 8070.138"," 6496.144"," 8668.512"," 8668.512"," 5969.856"," 9026.930"
"M1004.8T12.55","10849.822","12657.860","11989.862","10268.642","10230.285","10862.168","13866.880","10078.140","10147.211","10166.408"," 9707.104","11728.271","10856.313","10040.030"," 9804.321","14416.341","11307.040","16330.846","16330.846","12509.416","13087.144"
"M1005.47T17.56"," 7993.360"," 7064.668"," 8262.223"," 9064.018"," 6564.941"," 8139.965"," 6485.295"," 4916.645"," 6626.682"," 9823.382"," 7317.990"," 7933.268"," 8868.526"," 7272.407"," 6161.843"," 6231.999"," 4876.409","10515.545","10515.545"," 7518.488"," 8806.809"
"M1007.47T16.56","22055.62","21506.33","20505.33","20758.65","22059.63","21746.65","13557.58","20995.84","26865.09","20534.81","21038.55","35145.95","21781.15","20738.03","21845.34","38002.80","11299.50","16749.91","16749.91","21869.41","21746.06"
"M1008.13T17.48","10647.611"," 9885.568"," 8196.045","10044.628"," 8911.021"," 9088.242"," 7543.771"," 9799.362"," 8690.638","11496.386","12282.738","17294.295"," 8319.994"," 7769.971","12491.362"," 9716.774"," 6812.602"," 6932.886"," 6932.886"," 9235.624"," 9142.078"
"M1011.79T12.55","12294.737"," 9889.580"," 9285.928","11749.768","12146.317","13405.653","13297.365","11666.963","11518.544"," 8998.916","13438.194","12592.819","12082.136","11809.322"," 9802.313","10149.444","11450.706","16025.657","16025.657"," 9729.100","12740.078"
"M1012.8T17.55","21752.67","22659.78","21435.93","19962.40","19918.88","22105.26","20098.11","19715.73","20573.84","19154.13","18380.80","35853.24","17874.00","21097.10","17310.22","17396.03","14134.50","24607.52","24607.52","19337.84","23647.37"
"M1012.81T12.55","16265.42","15608.69","14560.66","18245.55","15579.50","16895.81","16781.52","16310.00","15672.88","15874.76","15865.13","16349.77","18608.58","14607.69","16713.33","18547.33","16729.94","19155.29","19155.29","16296.74","17925.62"
"M1013.8T17.56","14583.691","12822.352","12304.804","15073.211","12523.066","14551.936"," 9742.972","12952.915","13467.351","13380.020","14661.936","20667.951","14898.562","12940.706","13868.554","14210.405"," 9423.631","13277.291","13277.291","13420.140","14806.580"
"M1013.8T11.54"," 9316.012"," 8383.074"," 7930.142"," 8443.254"," 8679.817"," 8913.114"," 8222.976"," 9216.866"," 8906.640"," 8565.620"," 8437.559"," 8695.409"," 9037.234"," 7351.990"," 9513.183"," 9599.414"," 7981.220"," 8828.878"," 8828.878"," 9311.852","10531.730"
"M1015.79T18.56","10990.694","10162.396","10471.649","10589.674"," 9435.097","10206.557"," 7482.556"," 7073.987"," 8693.544"," 9491.746"," 9370.491","10584.392"," 9159.164"," 8293.516"," 7130.504"," 9307.008"," 4936.809","10423.177","10423.177"," 9690.986","10358.733"
"M1015.8T13.55","12350.90","16302.76","13193.46","13997.23","23099.18","12643.63","15403.68","14489.34","16326.51","24517.33","17038.96","24312.71","23901.49","21468.21","21568.56","10577.43","13861.48","15334.08","15334.08","15333.86","15444.00"
"M1016.14T12.55","5573.209","5249.285","4741.065","4606.935","5530.804","5630.066","4854.956","4606.428","6963.840","5145.639","5903.072","5770.843","4935.782","4680.108","6506.383","5057.114","5073.696","5123.276","5123.276","5937.760","5485.151"
"M1017.79T17.56","18427.73","10286.77","13480.26","15552.52","15989.02","17627.65","13809.30","14649.80","18044.01","13534.48","13458.16","29722.21","18284.69","15917.61","15983.81","18521.40","10817.41","14579.10","14579.10","13608.70","15141.14"
"M1018.13T17.55","8255.406","8518.127","8205.483","7197.528","6245.923","7146.811","7229.624","7777.357","7010.786","8399.690","8120.564","8222.385","7613.587","8609.612","9038.695","7825.406","4543.626","9159.447","9159.447","7767.232","9006.972"
"M1018.8T12.55","12537.01","11225.58","12383.38","11394.08","10541.43","12015.16","12551.15","15814.68","11859.47","12331.86","13168.77","12400.23","10964.61","11490.37","15443.63","11730.42","11381.74","18218.49","18218.49","12027.98","11458.27"
"M1018.79T17.56","18276.94","18543.46","14620.11","19699.33","17592.62","17771.68","12322.16","15758.18","17657.10","14773.23","18626.80","28494.87","16826.42","16758.12","13049.03","18744.06","10874.15","14783.28","14783.28","17107.17","19098.41"
"M1019.8T12.61","13466.046","14947.586","22057.225","15190.335","16340.554","15891.016","13900.971"," 9664.986","20640.272","10744.136","13175.408","22618.045","14844.182","10144.342","20886.743","22950.844","13840.862","16452.874","16452.874","11049.048","15736.538"
"M1021.29T17.56"," 5901.958"," 7568.638"," 6894.545"," 7409.884"," 7256.908"," 5726.375"," 5298.060"," 6054.183"," 4325.382"," 5498.746"," 6544.935","12741.205"," 6066.434"," 5673.481"," 5977.008"," 7247.678"," 4948.260"," 7874.636"," 7874.636"," 5171.468"," 6244.393"
"M1021.33T830.41"," 84396.48"," 84770.10","155063.56","141284.28","104134.76","115643.07","109148.21","130810.60"," 80397.71","179173.69","106844.26"," 37658.35","130439.13","133104.06"," 98952.17","103476.62"," 44197.26","107782.97","107782.97","112465.15","122099.88"
"M1022.13T17.55","10908.175"," 7901.828"," 6916.604"," 7922.352"," 8041.651","11305.219"," 6036.532"," 8139.107"," 6909.598","11877.526","13827.358"," 8410.547"," 7396.916","10713.381","11079.138"," 7883.951"," 6269.939","10798.766","10798.766","10104.222"," 8702.588"
"M1023.79T17.56","23946.84","29452.09","25530.59","32329.51","25538.41","27086.76","26788.12","29098.77","27428.45","27361.03","30318.99","27503.73","29101.04","28274.57","24685.54","26459.66","19660.46","19268.90","19268.90","32481.15","27803.41"
"M1024.13T17.48"," 6544.286"," 7656.902"," 6741.466"," 5761.340"," 6401.043"," 6441.573"," 5532.856"," 6977.236"," 6346.773"," 8383.607"," 7109.349","11764.124"," 7591.513"," 5932.058"," 7033.668"," 6284.182"," 4129.537"," 4915.265"," 4915.265"," 4762.244"," 7552.046"
"M1024.29T17.56","10998.458"," 9427.588"," 9311.044"," 9569.231"," 8828.982"," 8974.329"," 8818.857","10756.539"," 9189.562"," 9507.703","11945.425"," 8556.940","11243.630"," 9417.493","12246.630","10593.686"," 7606.230"," 8523.843"," 8523.843"," 9490.386","11646.906"
"M1024.29T12.55"," 8503.744"," 8006.364"," 8360.533"," 8132.420"," 8040.799","11416.363"," 8979.520"," 7776.981"," 7396.788","10596.562"," 8022.000","17406.490"," 7440.405"," 7430.593"," 7631.829"," 7870.410"," 7495.699"," 6797.614"," 6797.614"," 7991.904"," 8294.810"
"M1024.79T17.56","18329.43","18031.93","13114.35","14380.63","16621.72","15867.08","15030.96","17371.02","16033.32","15959.74","14531.60","27755.04","17179.52","17153.31","18934.63","12982.64","10792.83","11910.38","11910.38","13702.99","14476.45"
"M1024.8T12.54","10499.316","12003.904","12254.654","13542.261","10399.036","12107.150","10372.900","10559.484","10507.428","10655.872","10515.286","11551.755","10794.139","11055.066","10715.921","11667.042","11729.070"," 9845.512"," 9845.512","13528.464","12139.827"
"M1025.46T17.56","10061.762","16732.046","11673.257"," 7522.768"," 8933.038"," 7690.531"," 6735.240"," 8361.301"," 7296.946"," 8088.176"," 7550.584"," 9264.837"," 7909.658"," 8169.170"," 8016.157"," 9867.514"," 6082.748","10782.040","10782.040"," 7077.168"," 8078.396"
"M1025.8T13.55","21813.24","13241.61","21965.72","14890.31","19451.76","21897.52","17926.53","21676.96","16089.84","16579.59","12928.67","21462.04","24063.98","24051.94","15704.97","21849.40","21018.62","29656.02","29656.02","23347.83","18482.99"
"M1026.78T18.56","14250.83","16892.53","17630.71","15561.98","17841.36","19270.03","15662.85","17032.10","12433.16","19046.97","15508.96","25375.80","14196.46","13936.89","14455.32","18756.10","10997.07","17118.77","17118.77","15618.72","16921.13"
"M1026.79T12.54","10547.213","10076.138","11455.987"," 9082.536","11746.799","10246.572","10902.272","10239.232"," 8649.530"," 9504.428","10527.394"," 9852.791","12756.040","10243.145","10633.562","10346.832","10858.867","11329.888","11329.888","13871.490","11667.210"
"M1027.79T17.56","11378.294"," 9522.482","12647.343","11584.731"," 9303.026","12162.104"," 7071.593"," 9458.646","13510.732","10772.220","10612.317","11649.229","10884.664","10288.774","13749.124","14862.454"," 6981.518","15748.869","15748.869","12208.516","12118.238"
"M1028.47T13.54"," 7745.597"," 9464.247"," 6816.388"," 7340.366"," 8990.992"," 9390.074"," 8076.517"," 9200.956","10544.851"," 8933.283"," 9543.556"," 9175.593","11113.578"," 7775.848"," 8691.358"," 7585.536"," 8375.573","14810.355","14810.355","10693.986","10766.982"
"M1030.79T17.56","20709.37","22519.36","21071.02","18778.17","20257.95","21153.90","18990.80","17855.11","19250.81","21418.06","20899.48","32993.70","21099.11","20182.37","16655.82","21127.19","13894.33","25898.66","25898.66","19177.36","22072.36"
"M1031.79T17.56","18899.21","17724.91","19822.02","21674.13","16802.26","21172.33","17462.23","19123.77","18370.51","16176.57","17190.26","17713.49","19141.25","17271.66","15960.12","15436.48","11505.79","15339.34","15339.34","14375.00","17575.70"
"M1031.8T12.47","13152.73","14610.11","12524.97","12457.26","12222.13","14343.20","14565.77","12408.65","11189.47","12404.16","11183.23","13535.55","11909.25","11979.83","12629.36","13778.83","12335.97","17560.52","17560.52","13779.21","17542.87"
"M1032.29T13.55","20740.30","19471.30","20047.97","17969.96","20157.80","20210.44","12266.62","12346.88","20945.71","13105.20","19315.77","18627.87","17749.49","17355.91","20814.38","18816.88","17539.97","14296.73","14296.73","18286.70","20788.30"
"M1033.8T17.55","22358.58","20011.86","18026.97","21821.65","24832.39","25253.12","35473.69","23996.96","24172.56","18864.62","22270.30","18537.70","23588.55","18395.02","18654.29","38985.56","13298.61","18255.58","18255.58","19468.23","19200.16"
"M1034.29T12.55","11645.231"," 8042.054"," 9718.496"," 9170.600"," 8595.818"," 9282.567"," 8641.610","15762.873"," 9936.073"," 9945.748"," 9227.419"," 9784.608","10854.668"," 9567.213"," 9719.079"," 7796.218"," 9191.634"," 9793.292"," 9793.292"," 8978.856","10358.194"
"M1034.29T16.62"," 9608.650"," 9845.448"," 7829.058","11653.545"," 8048.341"," 9098.288"," 7233.235"," 7800.543"," 7131.753"," 7418.188"," 9580.014"," 7939.284"," 8671.208"," 8030.744"," 7407.411"," 7260.952"," 6022.242"," 7192.082"," 7192.082"," 8232.624"," 7964.644"
