"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"M352.92T20.57",-0.037922,0.0053587,0.0018589,0.01169,0.0081391,0.0172,0.0064031,-0.018164,-0.013904,-0.024478,0.0089371,-0.011645,-0.017596,-0.027409,-0.013136,0.029643,0.0031392,-0.0040265,0.044414,-0.0020476,0.0010976
"M360.93T17.56",-0.077567,0.015863,0.011163,0.0063215,-0.047976,0.03048,-0.00065736,-0.0020208,0.027424,0.0028895,-0.010487,-0.0050142,0.043127,0.011362,0.0019414,0.00097808,0.017809,0.0011193,0.0033391,0.00034175,-0.0048031
"M372.36T1639.49",0.00063763,0.018327,-0.00846,0.035915,-0.00018071,-0.028595,-0.045629,0.018504,-0.042613,0.035186,-0.019783,-0.00047838,-0.047687,-0.042223,0.0021581,-0.0042454,0.030243,-0.046539,-0.045748,0.00049798,0.0030086
"M372.36T1624.16",0.0020754,0.021227,-0.0038057,0.045898,0.020436,-0.083947,-0.050251,0.01286,-0.035804,0.038467,-0.052517,0.026509,0.0081268,0.0077311,-0.061234,0.0329,0.047396,-0.034511,-0.015338,-0.0085657,0.021602
"M380.92T18.56",-0.054006,0.018048,-0.033457,0.0076761,0.0018447,0.024547,-0.013205,-0.016857,0.0028895,0.008067,0.014005,-0.02186,0.0074669,-0.011199,-0.02221,0.021365,0.00479,0.02735,-0.0083047,-0.011445,-0.0010487
"M382.31T1622.76",-0.0030921,0.0014891,-0.0036522,-0.02787,-0.025664,0.024047,-0.0396,0.021243,-0.021712,0.025276,-0.027342,0.027402,0.015961,-0.024267,0.00035112,-0.024468,-0.068013,-0.038282,-0.031855,0.0032665,-0.0029844
"M385.29T1369.89",-0.021647,0.022217,-0.020151,0.052177,-0.020615,0.1415,0.1229,-0.082723,0.007484,-0.017708,0.012105,-0.031639,-0.009628,-0.00051992,0.018547,0.024804,-0.024162,0.024539,0.021508,0.0014381,-0.018522
"M392.9T19.57",-0.042528,0.02097,-0.029355,0.016327,-0.0029963,0.009284,-0.021726,0.018738,-0.0022546,0.017829,-0.023966,-0.019591,-0.0095892,-0.0067828,-0.015796,-0.0012906,-0.01557,-0.019961,-0.0070125,-0.003791,0.0030469
"M400.92T17.56",-0.0084901,0.023106,-0.0033203,0.0049408,0.03209,-0.02324,0.0041967,0.034527,0.023615,0.0010931,0.029763,-0.052438,0.012019,-0.01954,-0.02727,0.027172,0.0053565,0.024475,-0.019186,-0.0088087,0.0065023
"M408.91T18.56",-0.042808,0.027577,-0.013556,0.0040115,0.018425,0.02807,-0.01951,0.013338,0.030968,-0.030261,0.0030706,0.0096443,0.01135,-0.010756,-0.018404,-0.0047335,-0.0011536,0.018326,0.012002,-0.0017763,-0.0054599
