"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK_2","QC.1_Dup","QC.1","QC.2","QC.3"
"Label","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Control","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Drought","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Fusarium","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","First_Time-Point_Xanthomonas","Other","Other","Other","Other","Other"
"M322.92T21.56","-0.41585885"," 0.07576064","-0.37191051"," 0.28438835"," 0.21112562"," 0.15240595","-0.13574452"," 0.12245986"," 0.15011194"," 0.19404382"," 0.21018993","-0.32969960","-0.02974233","-0.10781770"," 0.05632021","-0.03653055"," 0.02713061","-0.19698537","-0.19698537","-0.11385478"," 0.45119264"
"M324.92T20.56"," 0.270409136"," 0.035463066","-0.027359416"," 0.130055704"," 0.005391230"," 0.129683495","-0.461317129"," 0.118691919","-0.420530304"," 0.476544272","-0.351418807","-0.025853939","-0.005625317"," 0.140638768"," 0.058785306"," 0.183830329","-0.550568014","-0.062002801","-0.062002801"," 0.053507916"," 0.363677388"
"M326.38T1622.84","-0.075913825","-0.446771165","-0.194894691"," 0.140065314","-0.100304809","-0.081833871","-0.088324872","-0.084120877","-0.035260281","-0.047206827"," 0.002362623","-0.040617447"," 0.019211111"," 0.397842935"," 0.382256726","-0.058398355","-0.039903899"," 0.183031728"," 0.183031728"," 0.142081979","-0.156333222"
"M337.06T22.56"," 0.16835806"," 0.19037959"," 0.38425614","-0.05354317"," 0.34560002"," 0.15639863","-0.21816632"," 0.09879530"," 0.12283214","-0.11355137","-0.20607588"," 0.01200510"," 0.13173320"," 0.05595241","-0.02337408"," 0.09061237","-0.64312022","-0.28109654","-0.28109654"," 0.23594886","-0.17284770"
"M338.34T1639.2"," 0.57465516"," 0.19949260","-0.47626274","-0.32298173"," 1.38037256"," 0.70761980","-0.18141071","-0.26467814","-0.48308538"," 0.50169073","-0.29195344","-0.93027483","-0.48623316","-0.25578073"," 0.56900209"," 0.93269878","-0.70900002","-0.06238112","-0.06238112","-0.37449313"," 0.03538455"
"M341.27T1369.82"," 0.53349571","-0.13143718","-0.31806318","-0.08934712"," 0.81885577"," 0.51957276","-0.27303898","-0.28004207"," 0.10362993"," 0.82981030"," 0.34339722","-0.52658152","-0.24496676","-0.29880021"," 0.54867052"," 0.44548886","-0.50001446","-0.42292798","-0.42292798","-0.29736046","-0.33741315"
"M349.25T12.55"," 0.342308242"," 0.099015802","-0.095615602","-0.215376439"," 0.066724108","-0.273021155"," 0.219171729","-0.095354136","-0.012957244"," 0.135375452"," 0.257000173","-0.013460511"," 0.299442099","-0.087292755","-0.006689876"," 0.067524685"," 0.059840466","-0.643624156","-0.643624156"," 0.260746532"," 0.279866740"
"M352.92T20.57"," 0.160387451"," 0.118584282"," 0.061457169"," 0.133031428"," 0.109337242"," 0.255758981","-0.280754442","-0.001166473","-0.185234826","-0.083601361"," 0.235669952"," 0.385779832"," 0.134852215","-0.240021152","-0.085451404"," 0.018401630","-0.288184430","-0.150154409","-0.150154409","-0.227643823"," 0.079106546"
"M360.93T17.56"," 0.242583019","-0.001249923","-0.012949246"," 0.062719255","-0.006451943","-0.032278244","-0.606624892","-0.130773426"," 0.324890001"," 0.138754533","-0.046522539"," 0.910395446","-0.044380447","-0.079451061"," 0.339410034"," 0.226520382","-0.672806367","-0.257696202","-0.257696202","-0.069447975","-0.026944204"
"M372.36T1639.49","-0.381132975"," 0.372281556"," 0.300020794"," 0.292865373"," 0.144176124","-0.086800830","-0.166333226"," 0.133204227","-0.006846357"," 0.121495606"," 0.052614965","-0.198132962"," 0.223861592"," 0.256913064","-0.316730623","-0.198663395","-0.223204688","-0.007462671","-0.007462671"," 0.192018692","-0.496681595"
