"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5"
"M799.191T949.166",0.037069,0.011197,0.0089789,-0.043444,-0.011723
"M1263.489T907.902",-0.0056453,0.016142,-0.074437,0.013025,0.0016215
"M451.174T880.577",0.024751,-0.085344,0.0016591,0.0034935,-0.00082077
"M405.08T802.267",0.0018059,-0.014201,0.066784,-0.049549,0.029268
"M309.119T137.634",0.042811,-0.049273,0.017678,0.006651,0.0065601
"M385.077T746.611",0.0059411,-0.0085018,-0.051047,-0.033051,0.041474
"M1030.642T1193.369",-0.0066757,-0.018696,-0.085056,-0.013236,0.037459
"M429.414T851.13",0.027751,-0.066169,0.025369,0.016638,0.046647
"M723.577T942.094",0.0035069,0.054261,-0.044335,-0.061948,0.026791
"M1071.439T878.893",0.024732,-0.083462,-0.016516,0.014854,0.020869
"M1069.501T1402.821",0.019289,0.0085473,0.064773,-0.040418,0.040234
"M281.07T709.104",0.023579,0.026493,-0.0032019,-0.0067132,-0.042498
"M577.137T781.037",-0.020288,0.043581,0.033988,0.014958,0.039616
"M397.075T138.684",0.033329,-0.020947,0.012769,-0.011998,-0.03066
"M653.861T317.501",0.00098831,-0.025123,0.032709,0.019958,-0.05349
"M375.104T216.821",0.026269,-0.03131,0.020945,-0.036675,-0.027521
"M384.097T310.658",0.029451,-0.0069115,0.013561,-0.03255,-0.0050822
"M351.085T316.423",0.026253,-0.016691,0.021136,-0.037504,0.014236
"M460.969T105.772",0.029365,0.025117,0.012219,-0.04639,0.0041592
"M665.267T889.419",-0.0024599,-0.042506,0.014995,-0.055348,-0.0037248
"M969.939T315.438",0.011532,0.031947,0.034069,0.030851,0.058121
"M289.065T88.687",0.021068,-0.0012807,-0.026407,-0.050249,-0.060187
"M289.086T1163.856",0.0060891,-0.063516,0.029598,-0.044094,-0.012202
"M655.873T943.419",0.0045092,-0.018334,0.050567,-0.067651,0.030656
"M642.242T817.768",0.028926,0.0066909,-0.041025,0.063976,-0.0042994
"M695.12T755.765",-0.035961,0.020185,-0.085852,0.0065055,-0.015115
"M487.016T806.181",-0.0055178,-0.035607,-0.070079,0.02119,0.06405
"M967.561T1349.704",0.030162,-0.025192,0.026043,-0.035446,-0.0046229
"M821.606T900.199",0.044014,0.0053273,0.0036216,0.040217,-0.035889
"M1095.063T894.34",-0.039621,0.0025018,-0.010894,-0.018187,-0.0052951
"M279.139T1150.344",0.051686,0.035483,0.065009,0.028009,-0.06526
"M579.301T894.416",0.024854,-0.0059295,-0.0076992,-0.036621,-0.0062901
"M593.947T757.746",-0.021827,0.049118,-0.092104,-0.00079213,0.016849
"M367.102T765.544",-0.0025431,-0.042972,0.029857,-0.040013,0.016106
"M585.15T892.945",0.039106,-0.013153,0.017878,-0.035363,0.0025683
"M988.312T316.465",0.023292,-0.033674,-0.03867,-0.019926,0.039267
"M735.437T1351.512",-0.0011861,-0.0091901,0.05794,-0.052121,-0.033301
"M851.154T319.552",0.022128,-0.0054786,0.028048,-0.045585,0.0057204
"M265.093T134.502",0.034202,-0.015766,0.020944,-0.014884,-0.0012923
"M575.708T1045.732",0.015873,0.027028,0.040196,-0.057742,0.030644
"M657.063T941.851",-0.0070835,0.05303,0.052692,-0.030653,0.011985
"M632.663T319.55",-0.00063697,-0.048089,0.016194,0.019276,-0.030249
"M809.433T1339.33",0.0066963,-0.007707,0.064077,-0.021687,0.022159
"M654.008T318.692",0.018985,-0.050941,0.026057,-0.0043521,0.018588
"M923.402T931.508",0.066255,-0.024817,-0.027774,0.020715,-0.0111
"M428.2T856.891",0.031155,-0.035503,-0.0015255,0.014609,-0.035493
"M281.069T746.743",0.03504,-0.0016725,0.022843,-0.035488,0.024444
"M703.247T844.715",0.021118,-0.033722,0.016806,0.03217,-0.030508
"M590.015T907.684",-0.026821,0.0079132,0.02329,-0.054041,-0.016052
"M455.081T704.884",0.029482,0.0067212,0.0084794,-0.011393,-0.036916
"M970.813T317.253",0.029457,-0.034909,-0.025184,-0.034631,0.050407
"M997.575T1403.78",0.02432,0.001391,0.038588,-0.040444,-0.023382
"M1053.286T316.584",0.029352,-0.035891,-0.0069049,-0.018528,0.03626
"M1163.085T907.707",-0.054907,0.013302,-0.09389,0.0019367,0.025081
"M421.636T753.774",0.021025,0.035645,-0.022415,-0.00081917,0.074559
"M709.31T874.193",0.036886,-0.022741,0.0035042,-0.027002,-0.0099525
"M361.589T316.501",0.01605,-0.016154,0.040317,-0.043408,0.032893
"M517.099T802.454",-0.022596,-0.020286,-0.024996,-0.010564,-0.0013817
"M982.374T904.236",0.02779,-0.045408,0.011585,0.015926,-0.006786
"M383.433T314.152",0.0077814,0.0043762,0.0042508,-0.062008,0.017597
"M362.298T315.255",0.012394,-0.017687,0.0042228,-0.053618,-0.007412
"M481.183T769.795",0.0476,0.038402,0.030223,-0.036052,-0.037537
"M407.173T414.983",0.069514,0.036867,-0.079409,-0.023631,-0.021538
"M1297.451T316.098",0.025279,-0.061443,-0.048208,-0.00089907,0.037584
"M727.283T864.823",0.0071455,-0.037331,-0.032372,0.013526,-0.017724
"M847.495T1389.03",0.0053105,0.00068345,0.050552,-0.043367,-0.040254
"M1031.84T1213.333",0.010863,0.00016958,0.019424,-0.053354,-0.0093781
"M937.515T1306.76",0.0095342,-0.038168,0.058461,-0.022139,-0.02952
"M570.518T894.146",-0.028343,0.0010466,-0.016989,-0.055497,-0.011314
"M1162.717T895.445",-0.033777,-0.0077586,-0.0033565,-0.043759,0.043138
"M289.446T802.654",-0.037605,0.0030527,-0.01983,-0.037805,0.071423
"M970.001T316.098",-0.0061387,0.012739,0.025404,0.034062,-0.018228
"M647.193T836.421",0.037929,-0.037803,0.0051311,0.012586,0.022322
"M968.365T965.957",0.044158,-0.050517,0.012251,0.06705,-0.025606
"M863.184T809.21",-0.032384,0.022011,-0.016166,-0.023191,-0.033699
