"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"M852.339T915.443",1.4288,1.3661,1.3652,1.3652,1.3652
"M1130.437T924.326",1.4258,1.3974,1.3965,1.3965,1.3965
"M507.209T930.4",1.425,1.3674,1.3668,1.3667,1.3667
"M475.366T1425.395",1.421,1.3704,1.3696,1.3695,1.3695
"M521.224T935.29",1.4206,1.3638,1.363,1.363,1.363
"M804.318T962.853",1.4105,1.4061,1.4053,1.4053,1.4053
"M643.245T933.361",1.4007,1.355,1.3542,1.3542,1.3542
"M349.056T728.324",1.4005,1.3399,1.3402,1.3402,1.3402
"M1432.595T1048.493",1.3982,1.351,1.3504,1.3504,1.3504
"M313.119T883.187",1.391,1.4081,1.4072,1.4073,1.4073
"M884.8T66.979",1.3907,1.3817,1.3849,1.3849,1.3849
"M549.258T834.983",1.3861,1.4042,1.4036,1.4036,1.4036
"M180.067T785.272",1.3796,1.3272,1.3265,1.3265,1.3265
"M942.309T937.647",1.3792,1.3637,1.363,1.363,1.363
"M823.337T914.416",1.3656,1.3282,1.3274,1.3274,1.3274
"M564.929T1201.416",1.3605,1.3322,1.3317,1.3317,1.3317
"M711.218T782.65",1.3501,1.304,1.3037,1.3037,1.3037
"M518.153T824.178",1.3479,1.2945,1.2937,1.2937,1.2937
"M696.3T853.355",1.3451,1.3084,1.3082,1.3082,1.3082
"M369.569T765.536",1.3416,1.2837,1.2844,1.2844,1.2844
"M895.304T938.238",1.3369,1.2836,1.2828,1.2828,1.2828
"M1035.367T890.845",1.3319,1.2746,1.2738,1.2738,1.2738
"M851.338T916.834",1.3319,1.2783,1.2775,1.2775,1.2775
"M447.222T1194.448",1.321,1.3279,1.3279,1.3278,1.3278
"M401.18T764.21",1.3167,1.3798,1.3797,1.3797,1.3797
"M798.851T67.54",1.3148,1.3016,1.3027,1.3027,1.3027
"M505.3T1291.082",1.3145,1.2891,1.2883,1.2883,1.2883
"M356.995T88.504",1.3102,1.255,1.2543,1.2542,1.2542
"M1132.537T923.907",1.3093,1.2515,1.251,1.2509,1.2509
"M1005.392T917.562",1.3085,1.2595,1.2588,1.2588,1.2588
"M1243.514T983.057",1.3021,1.2486,1.2481,1.2481,1.2481
"M1197.439T886.215",1.3008,1.2505,1.2499,1.2499,1.2499
"M467.156T971.498",1.2992,1.2511,1.2521,1.252,1.252
"M1396.865T985.147",1.2977,1.2501,1.2528,1.2528,1.2528
"M775.338T1039.594",1.2894,1.2504,1.2501,1.2501,1.2501
"M439.083T756.683",1.2863,1.2619,1.2611,1.2611,1.2611
"M1193.041T904.79",1.2859,1.3183,1.3198,1.3198,1.3198
"M1130.433T884.599",1.2837,1.2313,1.2306,1.2305,1.2305
"M821.606T900.199",1.2831,1.2277,1.227,1.227,1.227
"M699.093T985.159",1.2694,1.267,1.2671,1.2671,1.2671
"M391.157T830.263",1.2687,1.4188,1.4184,1.4184,1.4184
"M497.083T319.72",1.266,1.3047,1.3048,1.3048,1.3048
"M693.278T872.306",1.2641,1.2132,1.2134,1.2133,1.2133
"M591.465T1235.608",1.2605,1.3312,1.3307,1.3307,1.3307
"M809.324T904.082",1.2592,1.2325,1.2319,1.2319,1.2319
"M359.123T830.487",1.2511,1.2579,1.2572,1.2572,1.2572
"M385.113T835.894",1.2506,1.2513,1.2513,1.2513,1.2513
"M950.337T882.881",1.243,1.245,1.2443,1.2442,1.2442
"M808.342T938.944",1.243,1.2082,1.2076,1.2076,1.2076
"M401.049T776.54",1.2414,1.1895,1.1889,1.1889,1.1889
"M732.876T67.374",1.2396,1.3401,1.3393,1.3393,1.3393
"M311.186T1077.614",1.2388,1.1892,1.1889,1.1889,1.1889
"M850.805T68.208",1.2332,1.2129,1.2122,1.2123,1.2123
"M1463.523T939.044",1.231,1.3282,1.3277,1.3278,1.3278
"M702.25T942.066",1.2228,1.1708,1.1702,1.1701,1.1701
"M333.135T1582.426",1.2195,1.1957,1.195,1.195,1.195
"M361.323T326.759",1.2138,1.1793,1.1796,1.1796,1.1796
"M487.212T857.117",1.2104,1.1619,1.1619,1.1619,1.1619
"M341.088T439.204",1.208,1.1549,1.1543,1.1543,1.1543
"M1094.946T896.052",1.204,1.187,1.1867,1.1867,1.1867
"M455.081T744.378",1.1966,1.1573,1.1566,1.1566,1.1566
"M698.26T899.18",1.1964,1.1894,1.1899,1.1899,1.1899
"M357.108T784.337",1.192,1.1415,1.141,1.141,1.141
"M728.88T67.591",1.19,1.3222,1.3216,1.3216,1.3216
"M1007.373T920.82",1.1847,1.1496,1.1489,1.1488,1.1488
"M587.201T848.147",1.181,1.129,1.1283,1.1283,1.1283
"M1094.047T894.516",1.1779,1.1261,1.1254,1.1254,1.1254
"M1095.84T892.791",1.1779,1.3656,1.3656,1.3655,1.3655
"M645.252T899.393",1.1752,1.124,1.1236,1.1236,1.1236
"M293.177T1099.499",1.1749,1.1254,1.1247,1.1247,1.1247
"M398.263T1317.762",1.1746,1.1539,1.1532,1.1532,1.1532
"M1105.431T888.552",1.1738,1.1248,1.1245,1.1245,1.1245
"M921.374T936.829",1.1692,1.1739,1.1731,1.1731,1.1731
"M429.074T115.482",1.1691,1.1175,1.1172,1.1171,1.1171
"M843.287T936.679",1.1687,1.1665,1.1658,1.1657,1.1657
"M1614.109T935.709",1.1666,1.1194,1.1188,1.1187,1.1187
"M950.342T882.081",1.1658,1.1848,1.184,1.184,1.184
"M873.638T939.705",1.1642,1.2375,1.237,1.237,1.237
"M483.183T857.732",1.1627,1.1115,1.1108,1.1108,1.1108
"M941.306T938.915",1.1626,1.1314,1.1308,1.1308,1.1308
"M565.05T98.887",1.1623,1.1303,1.1313,1.1313,1.1313
"M990.329T838.789",1.1576,1.1886,1.1881,1.188,1.188
"M475.187T823.258",1.1558,1.1522,1.1516,1.1516,1.1516
"M508.215T930.69",1.1516,1.1022,1.1018,1.1017,1.1017
"M1096.548T894.929",1.1508,1.106,1.1054,1.1053,1.1053
"M927.368T972.44",1.1483,1.1613,1.1614,1.1614,1.1614
"M313.275T1417.53",1.1396,1.1084,1.1078,1.1078,1.1078
"M473.196T813.174",1.1395,1.0906,1.0902,1.0902,1.0902
"M731.208T950.406",1.1374,1.0904,1.0897,1.0897,1.0897
"M473.173T881.847",1.1341,1.0895,1.0889,1.0888,1.0888
"M1039.403T917.165",1.1321,1.1675,1.1668,1.1668,1.1668
"M489.187T785.097",1.1312,1.0882,1.088,1.0879,1.0879
"M333.06T88.804",1.1268,1.0775,1.0771,1.0771,1.0771
"M409.172T733.287",1.1267,1.0947,1.0942,1.0942,1.0942
"M795.198T1006.041",1.1258,1.1056,1.1078,1.1078,1.1078
"M1095.063T894.34",1.119,1.0697,1.0691,1.0691,1.0691
"M1269.507T907.7",1.1164,1.0724,1.0717,1.0718,1.0717
"M529.154T821.794",1.1157,1.0765,1.076,1.0759,1.0759
"M264T169.106",1.1142,1.0652,1.0646,1.0645,1.0645
"M799.191T949.166",1.1111,1.0662,1.0655,1.0656,1.0656
"M864.188T806.912",1.1096,1.0669,1.0663,1.0663,1.0663
"M544.284T936.329",1.1096,1.0771,1.0765,1.0764,1.0764
"M225.002T107.866",1.1025,1.0568,1.0562,1.0563,1.0563
"M822.313T886.782",1.1,1.1102,1.11,1.11,1.11
"M503.126T874.193",1.0973,1.0838,1.0847,1.0847,1.0847
"M765.729T983.05",1.0971,1.2009,1.2002,1.2002,1.2002
"M551.272T837.928",1.0947,1.0709,1.0705,1.0705,1.0705
"M418.896T66.885",1.0941,1.0999,1.0999,1.0999,1.0999
"M868.801T68.637",1.0932,1.2,1.1995,1.1995,1.1995
"M1143.426T942.716",1.0929,1.1676,1.167,1.167,1.167
"M807.007T938.915",1.0926,1.0502,1.0513,1.0513,1.0513
"M924.351T839.79",1.0888,1.0961,1.0954,1.0954,1.0954
"M596.277T932.512",1.0888,1.0501,1.0497,1.0497,1.0497
"M557.187T899.436",1.0826,1.0403,1.0403,1.0402,1.0402
"M549.147T750.744",1.0818,1.0477,1.0479,1.0479,1.0479
"M285.243T1390.408",1.0796,1.0444,1.0437,1.0437,1.0437
"M617.247T870.852",1.0791,1.0339,1.0336,1.0336,1.0336
"M445.095T115.802",1.0767,1.0354,1.0348,1.0348,1.0348
"M367.08T114.463",1.0761,1.0432,1.0433,1.0433,1.0433
"M697.905T994.286",1.0759,1.0398,1.0392,1.0392,1.0392
"M430.136T769.014",1.074,1.1208,1.1203,1.1202,1.1202
"M657.266T958.998",1.0735,1.0346,1.034,1.0339,1.0339
"M848.315T857.496",1.0729,1.1528,1.1523,1.1523,1.1523
"M289.446T802.654",1.0647,1.0178,1.0175,1.0175,1.0175
"M1044.425T908.907",1.0635,1.066,1.0662,1.0662,1.0662
"M399.092T115.22",1.0556,1.0118,1.0126,1.0125,1.0125
"M415.161T821.344",1.0538,1.0129,1.0123,1.0123,1.0123
"M295.104T156.471",1.051,1.0101,1.0095,1.0095,1.0095
"M585.15T892.945",1.0465,1.0055,1.0049,1.0049,1.0049
"M705.205T926.435",1.0451,1.1188,1.1194,1.1194,1.1194
"M1095.906T894.31",1.0406,1.0191,1.0191,1.0192,1.0192
"M1096.195T893.605",1.0369,1.0254,1.0251,1.0251,1.0251
"M1008.375T923.099",1.0365,1.093,1.0923,1.0923,1.0923
"M715.427T310.719",1.0352,1.0315,1.0309,1.0309,1.0309
"M1397.968T984.092",1.0282,1.1242,1.1266,1.1267,1.1267
"M715.392T322.783",1.0281,1.0166,1.0161,1.0161,1.0161
"M495.025T292.616",1.0253,1.0239,1.0237,1.0237,1.0237
"M507.151T845.473",1.0249,1.0226,1.0221,1.0221,1.0221
"M889.313T902.886",1.0233,1.0116,1.0111,1.0111,1.0111
"M807.744T937.741",1.0208,0.99095,0.99046,0.99047,0.99047
"M509.218T928.864",1.02,0.98622,0.98595,0.98593,0.98593
"M621.037T758.225",1.0187,1.0028,1.0026,1.0026,1.0026
"M399.275T1363.391",1.0166,0.97522,0.97467,0.97468,0.97468
"M1144.448T942.538",1.0141,1.0878,1.0873,1.0873,1.0873
"M399.065T319.722",1.0126,1.1565,1.1581,1.1581,1.1581
"M593.934T851.064",1.0124,1.0583,1.0585,1.0585,1.0585
"M941.317T938.576",1.0112,0.98653,0.98603,0.98603,0.98603
"M901.161T984.095",1.0107,1.0667,1.0674,1.0674,1.0674
"M245.094T862.962",1.0099,1.0328,1.0323,1.0323,1.0323
"M1031.347T966.014",1.0058,1.0008,1.0002,1.0002,1.0002
"M1162.717T895.445",1.0054,0.96392,0.96338,0.96339,0.96339
"M409.002T109.878",1.0042,0.96115,0.96068,0.96067,0.96067
"M968.365T965.957",1.0013,1.0378,1.0374,1.0375,1.0375
"M469.208T948.545",1.0005,0.95681,0.95894,0.95895,0.95895
"M1103.384T928.554",0.99967,1.0368,1.0362,1.0361,1.0361
"M702.255T837.404",0.99657,0.95886,0.95837,0.95836,0.95836
"M1106.454T890.453",0.99411,0.95799,0.95776,0.95774,0.95774
"M281.069T746.743",0.99391,0.95008,0.94962,0.94962,0.94962
"M653.891T318.024",0.99138,0.94858,0.94831,0.9483,0.9483
"M316.427T318.614",0.99031,0.95701,0.95729,0.95727,0.95727
"M968.4T974.568",0.98816,0.99695,0.99674,0.99679,0.99679
"M1461.92T936.679",0.98762,0.97674,0.9763,0.97629,0.97629
"M830.24T316.247",0.98708,1.0042,1.0036,1.0036,1.0036
"M445.207T780.093",0.98673,0.946,0.94574,0.94573,0.94573
"M451.125T735.96",0.98413,0.9537,0.95319,0.95318,0.95318
"M545.298T995.647",0.98018,0.93776,0.93723,0.93721,0.93721
"M483.209T897.853",0.97925,0.94177,0.94162,0.9416,0.9416
"M807.113T936.925",0.97799,0.95751,0.95729,0.95731,0.95731
"M413.167T733.785",0.97463,0.93275,0.93234,0.93233,0.93233
"M505.029T765.672",0.97432,0.93909,0.94021,0.94019,0.94019
"M367.058T823.98",0.97381,1.1331,1.1326,1.1326,1.1326
"M463.182T861.112",0.96961,0.93143,0.93242,0.93246,0.93246
"M241.108T881.116",0.96919,0.94916,0.94985,0.94996,0.94995
"M289.026T88.643",0.96814,0.92631,0.92753,0.92757,0.92757
"M593.857T757.673",0.96794,0.93087,0.93159,0.93159,0.93159
"M460.969T105.772",0.96688,0.94817,0.94757,0.94759,0.94759
"M309.119T137.634",0.96637,1.005,1.0045,1.0045,1.0045
"M1129.441T885.407",0.96516,0.92361,0.92358,0.92356,0.92356
"M1161.521T895.466",0.96451,0.92198,0.9214,0.92141,0.92141
"M909.388T926.435",0.96432,1.1132,1.1125,1.1125,1.1125
"M632.847T316.374",0.96396,0.98723,0.9867,0.98668,0.98668
"M560.841T1187.938",0.95761,0.93801,0.93925,0.93925,0.93925
"M695.12T755.765",0.95702,0.92044,0.92381,0.92379,0.92379
"M590.775T907.789",0.95129,0.94263,0.94205,0.94212,0.94212
"M769.419T945.253",0.95081,0.90925,0.90906,0.90907,0.90907
"M526.316T1188.04",0.94969,0.95627,0.95944,0.95943,0.95943
"M335.137T198.47",0.94918,0.93136,0.931,0.93098,0.93098
"M548.179T817.387",0.94424,0.92894,0.92836,0.9284,0.9284
"M890.319T900.562",0.93825,0.96618,0.9656,0.96559,0.96559
