"","PC1","PC2","PC3","PC4","PC5","PC6"
"M851.819T1425.446",0.015681,0.013745,0.0088231,-0.041663,0.11463,-0.0052984
"M530.968T106.005",0.012247,0.02238,0.03071,-0.042755,0.027476,-0.00067932
"M1009.607T1323.757",0.009847,0.045728,0.044575,0.011812,-0.0095161,-0.0071904
"M653.717T312.26",-0.010326,0.027536,-0.0041509,-0.078494,-0.0057492,-0.017438
"M1031.899T1225.646",0.0036723,0.040792,0.041027,-0.005256,0.026831,0.0073871
"M297.119T136.686",0.019183,0.042294,0.03698,0.011619,0.020969,0.0079795
"M769.419T945.253",0.033332,-0.0059839,-0.023009,0.027336,0.038534,-0.0064084
"M1201.918T909.936",0.026775,0.023744,0.0022163,-0.0032846,-0.014007,-0.0040119
"M864.188T806.912",-0.033871,0.027964,0.019535,-0.01019,-0.030747,-0.0040397
"M865.489T1291.829",-0.0075719,0.030582,0.050544,0.049312,-0.014967,0.0048342
"M799.191T949.166",0.034652,-0.011225,0.043539,-0.0055149,-0.022307,0.0056086
"M1263.489T907.902",-0.0071264,-0.031926,-0.034014,-0.053223,-0.019211,-0.0062805
"M451.174T880.577",0.031823,0.073768,-0.027154,-0.011519,-0.00455,-0.0078591
"M405.08T802.267",0.0032377,0.035664,0.062896,0.016219,0.030982,0.02075
"M309.119T137.634",0.045859,0.038241,-0.010129,0.0077796,0.011915,-0.00067775
"M385.077T746.611",0.0063982,0.0012402,0.0078817,-0.077243,0.0065794,0.00062878
"M1030.642T1193.369",-0.0048728,0.0034695,-0.025408,-0.096444,-0.0027473,-0.006425
"M429.414T851.13",0.032967,0.058517,-0.018474,-0.0013222,0.053394,-0.0083996
"M723.577T942.094",-0.0018073,-0.051268,0.051857,-0.068201,-0.010726,0.0097377
"M1071.439T878.893",0.031583,0.066493,-0.040805,-0.029635,0.013044,-0.0037033
"M1069.501T1402.821",0.017924,0.0080037,0.064321,0.019498,0.045532,-0.006408
"M281.07T709.104",0.020201,-0.031072,0.010976,0.017595,-0.040027,0.0030529
"M577.137T781.037",-0.023531,-0.030417,0.016372,0.026487,0.056542,0.0092273
"M397.075T138.684",0.03407,0.01552,0.0080332,0.014845,-0.028763,0.0070573
"M653.861T317.501",0.003381,0.026631,-0.015487,0.054529,-0.031239,-0.00012035
"M375.104T216.821",0.028272,0.032858,0.02719,0.005903,-0.033055,0.0030473
"M384.097T310.658",0.029028,0.0070811,0.030832,-0.002793,-0.011972,0.0021929
"M351.085T316.423",0.026886,0.019763,0.035862,-0.0089312,0.0056982,0.006357
"M460.969T105.772",0.025942,-0.020994,0.052159,-0.0085806,-0.0069411,0.0066919
"M665.267T889.419",0.0016631,0.052742,0.035825,-0.021419,-0.021772,0.0019527
"M969.939T315.438",0.0081791,-0.02994,0.0041212,0.025869,0.078989,-0.0082613
"M289.065T88.687",0.02034,-0.0025073,0.026351,-0.02114,-0.082687,-0.008894
"M289.086T1163.856",0.011893,0.071575,0.025835,-0.0038055,-0.021416,0.01435
"M655.873T943.419",0.006191,0.038284,0.070118,-0.0074211,0.019428,0.0047291
"M642.242T817.768",0.0271,-0.032924,-0.062445,0.0017954,0.0062507,-0.002175
"M695.12T755.765",-0.036706,-0.029585,-0.035679,-0.059474,-0.041119,-0.005761
"M487.016T806.181",-0.0021431,0.017094,-0.050182,-0.081158,0.038451,-0.0050718
"M967.561T1349.704",0.031457,0.027274,0.032227,0.0025495,-0.0094654,0.0028789
"M821.606T900.199",0.041859,-0.022386,-0.028243,0.040583,-0.015239,0.0051592
"M1095.063T894.34",-0.038387,0.0082964,0.0074902,-0.017003,-0.015935,0.0022039
"M279.139T1150.344",0.046564,-0.037825,0.012695,0.10365,-0.022279,0.0014018
"M579.301T894.416",0.024462,0.0033762,0.025795,-0.021953,-0.022193,0.0035003
"M593.947T757.746",-0.02583,-0.060238,-0.019454,-0.07552,-0.014749,-0.0038221
"M367.102T765.544",0.0016597,0.054178,0.030737,-0.009826,0.0072608,0.0061958
"M585.15T892.945",0.038916,0.011959,0.034132,-0.0045421,-0.0048217,0.0071944
"M988.312T316.465",0.025483,0.021027,-0.0045543,-0.063568,0.012376,-0.0045488
"M735.437T1351.512",-0.00013224,0.02949,0.057917,0.034378,-0.029698,-0.019009
"M851.154T319.552",0.021883,0.012964,0.047455,-0.0017257,-0.0018544,-0.00058084
"M265.093T134.502",0.034445,0.012995,0.017496,0.0090278,0.00015556,-0.00045146
"M575.708T1045.732",0.012848,-0.011152,0.073502,-0.0021586,0.02282,0.01928
"M657.063T941.851",-0.011657,-0.031621,0.061614,0.033255,0.02195,0.0065644
"M632.663T319.55",0.0039306,0.045468,-0.026776,0.026475,-0.017938,-0.0035647
"M809.433T1339.33",0.0073239,0.023148,0.041585,0.032105,0.034501,0.0045352
"M654.008T318.692",0.023109,0.049633,0.00034173,0.0030073,0.021246,-0.0097706
"M923.402T931.508",0.066017,-0.0030741,-0.030482,-0.010115,-0.013027,-0.016547
"M428.2T856.891",0.033304,0.022344,-0.023732,0.015315,-0.029396,0.00073288
"M281.069T746.743",0.033938,0.0035436,0.041168,-0.0075762,0.017544,-0.0065596
"M703.247T844.715",0.023519,0.024432,-0.030538,0.037054,-0.011777,0.0016145
"M590.015T907.684",-0.026488,0.01297,0.050927,-0.00034055,-0.026303,0.00592
"M455.081T704.884",0.027764,-0.010631,0.013837,0.019203,-0.033844,0.00049122
"M970.813T317.253",0.031566,0.026025,0.013279,-0.064237,0.021835,-0.002864
"M997.575T1403.78",0.023373,0.0070533,0.047416,0.023011,-0.022093,-0.0017688
"M1053.286T316.584",0.031598,0.028173,0.0060121,-0.035432,0.021458,-0.0052259
"M1163.085T907.707",-0.054311,-0.018795,-0.035602,-0.08715,-0.0099486,0.0031482
"M421.636T753.774",0.016838,-0.042778,0.010966,-0.042386,0.06231,0.001962
"M709.31T874.193",0.037642,0.01695,0.017793,-0.0090348,-0.018935,-0.0010059
"M361.589T316.501",0.017064,0.027185,0.04872,-0.0039918,0.027188,-0.0113
"M517.099T802.454",-0.019901,0.021151,-0.0094697,-0.030127,-0.015935,-0.003319
"M982.374T904.236",0.031025,0.035483,-0.020879,0.012943,0.0011166,-0.0062838
"M383.433T314.152",0.0070992,0.0049962,0.05433,-0.033264,-0.0052233,0.0037501
"M362.298T315.255",0.013605,0.022932,0.039063,-0.02271,-0.026331,0.0083536
"M481.183T769.795",0.042286,-0.036416,0.053145,0.032009,-0.03331,-0.0015967
"M407.173T414.983",0.063254,-0.066109,0.003947,-0.058854,-0.053098,0.0015352
"M1297.451T316.098",0.029973,0.041505,-0.032061,-0.066505,0.012596,0.0022228
"M727.283T864.823",0.010296,0.023917,-0.035736,-0.019528,-0.025181,-0.0046434
"M847.495T1389.03",0.0051749,0.015447,0.051217,0.037574,-0.034585,0.0048136
"M1031.84T1213.333",0.010493,0.0097425,0.050014,-0.0058673,-0.021335,0.011481
"M937.515T1306.76",0.012897,0.049346,0.026297,0.04307,-0.016774,-0.001086
"M570.518T894.146",-0.027405,0.011398,0.034791,-0.037802,-0.037456,0.0036871
"M1162.717T895.445",-0.031778,0.022766,0.031792,-0.045152,0.020584,0.00055563
"M289.446T802.654",-0.036516,0.009377,0.026126,-0.065748,0.043337,0.0023907
"M970.001T316.098",-0.007047,-0.010617,-0.015304,0.047604,0.0060569,0.0020913
"M647.193T836.421",0.040055,0.02521,-0.015155,-0.0042927,0.024715,0.0071275
"M968.365T965.957",0.047249,0.027797,-0.06307,0.04628,0.0032398,-0.0012092
"M863.184T809.21",-0.033263,-0.01258,0.013927,-0.0081134,-0.044004,-0.0031769
"M565.23T844.341",0.013107,0.0019038,0.033067,-0.045809,-0.011302,0.00026488
"M293.118T1042.937",0.058202,-0.010817,0.0040266,-0.00052563,0.1346,-0.013997
"M483.209T897.853",0.036888,0.011138,0.0088629,0.033004,-0.015164,0.012965
"M1094.047T894.516",-0.040647,0.010714,0.011725,-0.0017702,-0.032266,0.0011191
"M317.087T121.975",0.021166,0.03405,0.038099,-0.027268,0.00059332,-0.0015277
"M909.388T926.435",0.053095,0.057737,-0.028516,-0.011998,0.027951,0.0026811
"M549.258T834.983",0.062418,0.03717,-0.039548,0.022026,0.034216,-0.014806
"M415.744T872.34",0.02379,0.056797,0.018127,0.021891,0.010756,-0.005383
"M451.125T735.96",0.038306,-0.0010635,-0.028138,-0.016417,0.030115,-0.0016417
"M361.481T320.767",0.024551,0.0175,0.028619,-0.035192,0.036646,0.0077482
"M409.075T744.412",0.017793,-0.0041034,0.044409,0.016023,0.0058528,-0.0068451
"M457.136T788.61",0.034534,0.034636,-0.043282,0.024329,-0.0055982,0.0029797
"M311.138T170.155",0.025026,0.021663,0.036992,-0.0063906,-0.017699,-0.0038855
"M593.763T756.056",-0.034705,-0.036434,-0.02963,0.0013096,-0.026213,0.0037815
"M392.068T765.784",-0.008333,0.03008,0.048099,-0.015655,0.0117,-0.007455
"M433.661T789.942",0.021569,0.040137,0.032738,-0.01694,-0.0051981,-0.014594
"M919.493T1102.884",0.011529,0.0073816,0.070204,0.016265,-0.059046,0.014538
"M437.044T765.875",0.016998,0.048873,0.02661,-0.033253,0.036775,0.00061496
"M715.427T310.719",0.025749,-0.03159,0.042345,-0.0084684,0.036109,0.0025355
"M1095.84T892.791",0.015271,-0.079943,0.046345,0.039175,0.06442,-0.010006
"M485.168T916.74",0.028204,0.041536,0.024036,-0.025456,0.016909,0.0070132
"M313.119T883.187",0.062275,0.025763,-0.066928,0.01226,0.033566,-0.020591
"M433.039T456.919",0.083898,-0.083708,-0.035779,0.035736,0.058867,-0.029588
"M447.259T942.596",0.009826,0.0061032,0.028168,-0.048498,0.01954,-0.0050742
"M355.067T660.488",0.012783,0.0017775,-0.0071085,-0.014473,-0.051447,0.0014423
"M1134.038T907.684",-0.049709,0.0382,-0.0012263,0.0078439,-0.054582,-0.0033687
"M819.254T316.358",0.031849,0.015875,-0.0076066,-0.048438,-0.0058178,0.011255
"M383.609T322.831",0.019547,-0.0016007,0.049251,-0.0058396,0.0098497,-0.0016876
"M341.31T626.276",0.051567,-0.046184,-0.0070433,-0.045465,0.00074007,0.0026407
"M579.151T798.32",-0.020934,0.0045976,-0.028471,-0.0076863,0.028263,-0.0014231
"M784.154T761.471",0.0094504,0.034395,0.020558,-0.0042411,-0.010691,-0.0022603
"M323.187T1016.246",0.017406,0.011084,0.067795,0.04329,-0.035659,0.0022104
"M1099.581T1224.487",0.017908,0.045536,0.011122,-0.0030117,-0.029346,-0.0011026
"M206.988T126.118",0.012565,0.027773,0.049322,0.0019433,0.025227,0.015008
"M685.228T857.881",0.021042,0.024234,-0.057065,-0.028455,-0.027066,-0.010146
"M441.162T763.637",-0.0032305,0.068509,-0.024388,-0.016527,0.0069943,0.00689
"M963.275T732.778",0.014018,0.033671,-0.0081283,0.02891,-0.018936,0.00075349
"M991.316T318.206",0.03138,0.02406,4.2177e-05,-0.03307,0.030735,0.011706
"M867.206T809.129",0.018274,0.027825,0.019114,-0.030449,0.07831,0.001828
"M403.064T798.991",-0.031614,-0.0384,0.015601,-0.030282,-0.00070563,-0.00020391
"M836.522T1479.692",0.013079,0.010747,0.051544,0.039276,-0.036017,-0.00043639
"M399.275T1363.391",0.031959,-0.0067609,0.042415,0.002676,-0.012116,0.0047547
"M548.179T817.387",0.039147,0.0033944,-0.057905,0.030537,-0.01101,-0.016554
"M524.183T892.811",0.032523,0.032191,0.0047492,0.0080045,-0.016848,0.00062885
"M518.153T824.178",0.049802,0.0079776,0.027844,-0.024095,0.023266,-0.0042752
"M1096.548T894.929",-0.035309,0.023365,-0.00132,0.0072454,-0.04995,0.0051092
"M999.268T316.316",0.028284,0.012713,0.016177,-0.040227,-0.022378,-0.0028437
"M266.366T1577.236",0.012534,0.025456,0.053214,-0.024639,-0.0028106,-0.0072768
"M836.743T1479.398",0.028004,0.0085611,0.042075,0.042043,0.0061626,-0.0021725
"M252.965T98.618",-0.019136,0.033618,-0.034017,0.013138,0.057531,-0.0037794
"M529.154T821.794",0.042777,0.011909,0.0094208,0.00079043,0.025576,0.0042233
"M487.212T857.117",0.038045,-0.0069171,0.03242,0.043301,-0.0092091,0.0090768
"M1323.386T316.247",0.031854,0.037229,-0.0047623,-0.054632,0.0095988,0.00013801
"M501.206T823.684",0.048803,0.066172,-0.037438,0.0035512,0.0051174,0.0035035
"M438.049T766.588",0.015873,0.023851,0.056164,0.026603,0.024331,0.0082328
"M1013.583T1347.533",0.026645,0.029886,0.025353,0.0047322,-0.0081443,0.0040324
"M407.045T415.442",0.050847,-0.043615,0.0048128,-0.017775,-0.0017294,-0.019011
"M331.068T223.104",0.016359,0.024369,-0.010812,-0.022022,-0.048544,-0.003271
"M384.092T841.195",0.053543,-0.050571,0.042078,-0.014202,0.027442,0.014364
"M1611.697T937.933",0.040821,0.076209,0.059037,-0.047088,0.064843,-0.010145
"M653.913T316.046",0.033911,0.01166,0.038996,-0.02613,-0.036933,0.0031844
"M969.317T316.321",0.027995,0.028689,-0.0093729,-0.069726,0.0090182,-0.0010684
"M311.104T1075.82",0.033016,0.061324,0.03378,0.029725,0.050246,-0.0097789
