"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M923.451T1327.672","-0.4684633","-0.3131249","-0.3252868","-0.1765565"," 0.3526383","-0.8111604"," 0.4501516"," 0.9513276"," 0.3536670"," 0.2066203","-0.1150243","-0.1047888"
"M917.49T1360.024","-0.363165839","-0.166708573","-0.327716421","-0.405863231"," 0.208012162","-0.796342055"," 0.359495144"," 1.287801091"," 0.235188756"," 0.122160782","-0.148002150","-0.004859666"
"M875.467T1241.171","-0.3740610","-0.4369425","-0.3089723","-0.4706225","-0.1368429","-0.5739661"," 0.6523045"," 1.0560119"," 0.5962432"," 0.3451604","-0.4989177"," 0.1506051"
"M1085.513T1348.399","-0.67696044","-0.67684637","-0.28164191","-0.18872065","-0.02072423","-0.53209782"," 0.30703982"," 1.06996454"," 0.51756408"," 0.10363230"," 0.19537474"," 0.18341595"
"M466.978T106.664","-0.54411666","-0.42873810","-0.09890246","-0.03140294"," 0.05010123","-0.28423142"," 0.23108708"," 1.13102470"," 0.45388178"," 0.27061369","-0.30340714","-0.44590975"
"M851.519T1328.051","-0.25027390","-0.16631285","-0.38339812","-0.32696890"," 0.34667899","-0.75186107"," 0.40176712"," 1.12651375"," 0.09086804"," 0.08151751"," 0.01375711","-0.18228767"
"M861.451T1062.153","-0.47467776","-0.01691049","-0.26619362","-0.07321931"," 0.17743104","-0.41130380"," 0.51834032"," 1.32431322"," 0.01499656"," 0.31441853","-0.63605423","-0.47114047"
"M559.975T1203.448"," 0.15729341","-0.58639355","-1.01659153","-0.27293844"," 0.58379498","-0.52362456","-0.07647869"," 1.02067511"," 0.02600254","-0.04668822","-0.02094905"," 0.75589800"
"M545.297T1155.639","-0.46390808","-0.41712590","-0.34922607","-0.18803632"," 0.09284155","-0.04900104","-0.59744245"," 0.43976946","-0.01180156"," 0.35377504"," 0.77030308"," 0.41985229"
"M1059.606T1053.565"," 0.1420822327"," 0.1127270119"," 0.0107752345"," 0.5294640544"," 0.7785286511","-0.1857156556","-0.0005540771","-1.5572673665","-0.7651581949","-0.4586877224"," 0.8115129358"," 0.5822928962"
