"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X34.F9.2.neg","X36.F9.3.neg","X46.F9.4.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg","X15.C15.4.neg","X31.C15.3.neg","X47.C15.1.neg","X50.C15.2.neg","X04.D15.4.neg","X06.D15.2.neg","X35.D15.1.neg","X37.D15.3.neg","X17.F15.3.neg","X25.F15.1.neg","X30.F15.2.neg","X51.F15.4.neg","X08.X15.4.neg","X11.X15.3.neg","X29.X15.1.neg","X42.X15.2.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"sodium_formate","37106.31986","43639.211","25870.119","34384.9696","27087.456","5727.026305","40636.144","59326.395","32934.746","6850.879244","9559.066946","3838.1654","42465.827","16454.016","40000.41743","24862.34941","9733.549522","40652.91743","44568.976","42179.90343","36356.68429","36475.958","38037.10154","24379.5029","24067.49696","4791.109597","46229.05891","15034.7638","5203.542746","13165.026","18752.09783","5376.874366","26380.92488","21733.08686","7990.931329","46746.52457","10849.89471","31844.35262","6961.449492","16961.89286","6872.473557","5832.336167","6212.932315","5060.170537","7169.999163","34151.48286","29823.95486","25789.824","32798.43257","6535.424467"
"M375.07T470.729","63114.134","24045.7246","61377.3149","37088.4552","63455.5976","47516.7016","36826.2951","90083.2517","33838.4357","929.4902","42386.1871","780","46943.4044","63454.5958","64738.7051","59182.802","728.3991","34258.2139","43417.6251","46642.6188","53854.7379","21693.2307","44825.5197","32847.429","46337.6789","876.28796","35087.243","56774.4485","68054.6405","57164.8254","70969.4114","1040","70434.6155","103290.8089","25658.3234","16637.953","24847.7828","32952.3043","683.7704","18700","693.7202","895.5258","766.3622","623.0682","3491.1656","16591.9568","30394.604","14812.9288","23712.2376","1080"
"M562.053T1195.871","10982.6635","8068.8821","7652.1681","8538.4261","9500.4405","6940.5996","10533.3898","7204.384","5152.5742","316","9473.7142","316","7262.6054","8194.8011","7479.0614","10157.0482","316","7020.9668","6031.352","8455.3897","9780.2119","7252.6544","9535.5545","6168.7171","6053.4883","316","6715.875","5193.9151","2726.7986","3325.2594","7669.1965","316","5613.1593","7009.0768","8043.1224","9069.4581","8872.5775","9485.9398","316","1580","316","316","316","316","4912.5101","4384.5243","8020.9341","1877.6517","4896.4887","316"
"M943.502T1194.413","10326.2914","10307.5717","10700.9439","15467.4465","13118.2844","18058.5432","12974.9388","10501.2186","8523.1871","472","5433.9543","472","15534.7826","10351.4941","7705.6736","15494.3379","472","9655.7324","11894.094","11688.5558","8976.6274","11418.0713","13915.9295","12214.864","10020.8265","472","12750.6177","8535.4349","2932.5879","5760.0491","9309.7863","472","10247.3498","10438.2055","10557.9487","10933.1124","12979.6678","11899.9363","472","2360","472","472","472","472","9889.9197","8553.8608","10292.4568","7696.0449","7239.1444","472"
"M1096.565T894.076","20013.1855","10295.9764","54579.5147","5199.6191","28246.7125","42038.7333","3418.6826","6809.154","1504.2264","174.11308","1287.3454","174.11308","16701.6716","27957.2778","5458.8195","18660.9046","870.5654","31447.0489","15930.503","7931.9341","27155.8049","43410.048","12588.8818","13334.9727","7817.684","174.11308","14467.4962","3348.0444","49661.0025","12326.2366","3893.3877","174.11308","2413.6365","2861.5566","28189.4171","8416.1807","12266.993","14290.8174","174.11308","4210","174.11308","174.11308","174.11308","174.11308","174.11308","1034.8719","6206.4414","9495.4647","9474.6201","174.11308"
"M354.093T469.671","42683.2003","16162.4812","39594.5156","23214.5676","42709.1777","32450.7784","24294.061","55200.8784","22583.3083","35.8887","27700.8837","35.8887","33492.4648","37184.3951","42356.9372","35605.1163","179.4435","25510.7259","27513.0066","28553.341","33093.7363","13809.0422","28888.2772","21974.7847","28875.5319","35.8887","22265.5727","38193.4389","42310.9145","39137.3024","44049.5636","35.8887","46899.3489","68268.343","17109.8772","10310.6311","17230.8551","21536.835","35.8887","11600","35.8887","35.8887","35.8887","35.8887","440.8911","9594.6","19696.2135","9800.429","17896.6579","35.8887"
"M437.041T470.729","12642.6803","5875.515","13519.041","7659.3813","12559.3147","11156.3056","7656.2356","17476.34","6963.4375","783.2885","8989.499","1420","8222.1977","12172.36","9305.3236","10365.0361","1506.2419","6718.6296","7591.2533","7517.1654","10634.0974","4613.9787","9527.0293","6168.5989","7908.8229","212.75686","7192.0376","12388.7509","12789.3672","13053.9787","14517.2379","158","13733.4267","21605.7946","5341.3948","3624.0437","3656.273","6639.8742","529.9144","4040","646.0269","1156.9973","1080.2269","1151.2534","578.8851","3337.9123","6003.0133","2747.3094","4913.3948","1200"
"M444.996T106.721","21176.1054","22788.624","18512.535","22560.4365","16349.97","23018.9391","22458.87","17760.7832","13333.7324","450.8803","19358.844","525","17156.8818","27883.262","17562.3465","14690.4317","758.6653","12051.7333","12770.526","14352.4108","12243.1075","13214.1037","22546.5238","14864.256","25142.712","1155.50056","20560.4","13085.5417","12393.4074","12142.5143","15153.854","889","19026.8017","12237.7046","31760.7303","17086.796","20907.88","48240.304","764.5218","11400","1436.7347","247.5623","547.4676","1618.5958","16031.0709","8832.544","13763.46","2798.031","6608.7","439"
"M808.155T1200.534","8242.8431","16593.4714","8574.3237","10339.3583","14274.1179","4969.1346","6195.7402","2333.1349","2365.5037","72.23282","7838.5375","72.23282","21182.7556","6066.0704","7688.9848","6144.003","72.23282","8598.271","9012.4719","5664.778","7348.5298","11917.2455","7095.642","8058.0423","4707.8704","72.23282","4671.8616","3428.9575","531.475","2152.8443","3940.8265","72.23282","1296.1252","7914.9217","5109.1262","15225.7301","15545.642","10198.716","72.23282","694","72.23282","72.23282","361.1641","72.23282","3176.9596","6738.8949","8006.4944","4912.4327","3545.1012","493"
