"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X34.F9.2.neg","X36.F9.3.neg","X46.F9.4.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg","X15.C15.4.neg","X31.C15.3.neg","X47.C15.1.neg","X50.C15.2.neg","X04.D15.4.neg","X06.D15.2.neg","X35.D15.1.neg","X37.D15.3.neg","X17.F15.3.neg","X25.F15.1.neg","X30.F15.2.neg","X51.F15.4.neg","X08.X15.4.neg","X11.X15.3.neg","X29.X15.1.neg","X42.X15.2.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M1013.474T983.582"," 30838.0285","     0.0000"," 25128.8495"," 12611.0806"," 34851.6577"," 72829.7143"," 43217.5503"," 62614.6456"," 71847.8245","     0.0000"," 31475.8542","     0.0000"," 48522.7198","106167.3106"," 39721.9092"," 52189.8435","     0.0000"," 22841.0840"," 29297.7071"," 44209.1422"," 25800.8341","  6340.6972"," 53604.7200"," 97048.2027"," 18571.4960","     0.0000","148429.1230"," 43502.6100"," 57228.2037"," 33514.2953"," 37330.0589","     0.0000"," 30875.7675"," 23145.7420","  8217.5741"," 10835.9138"," 21466.9516"," 20234.4410","     0.0000","127000.0000","   444.7166","     0.0000","     0.0000","     0.0000","  1190.4422"," 35688.1580"," 11888.8000"," 15980.1005"," 25025.9885","     0.0000"
"M445.18T1125.961","15158.0231","12290.2345","10282.8177","19312.8227","13868.4687","20225.7552"," 8347.6017","13220.4867","14034.2621","  651.5626","14580.5128","    0.0000","25114.1916"," 8980.1883","15698.7027","18309.8027","  520.1104"," 9974.9918","14899.9212","13266.6950","13865.3772","18331.6319","16635.8810","16540.2495","22144.9930","  642.4575","11907.3356"," 8907.2231"," 7782.2397","10245.5148"," 9700.8170","    0.0000","19734.7215","11816.2560","17819.9173","13026.8580","20920.2905","40820.6861","    0.0000"," 7870.0000","    0.0000","    0.0000","  319.3683","  368.2542","12550.8752","18346.9680","13117.1898","29597.1754","13676.8685","  413.0000"
"M753.188T948.401"," 7758.6325"," 7364.2181"," 7937.0301","18021.8858"," 4990.4357","10722.8486","12775.2334"," 6741.1687"," 5284.7047","  266.2929"," 3951.5510","    0.0000"," 7794.1437"," 8233.5642","10199.5822"," 9142.3131","  425.0633"," 7269.6705"," 7458.7918"," 7381.8022"," 8010.6903"," 4640.3551","14744.8965","12829.8119"," 6338.9792","    0.0000"," 7809.9055"," 6150.0866"," 9797.9541"," 8821.0249","11221.2726","    0.0000"," 7126.4832"," 8127.0103"," 7476.2209"," 9613.8121"," 5124.8208","13380.8977","    0.0000"," 4700.0000","    0.0000","    0.0000","    0.0000","  348.1065","21096.9036","13389.2859"," 6698.5916"," 5833.1623"," 6829.0524","  386.0000"
"M455.081T744.378","15115.5247"," 6820.2763"," 7815.4347","21740.9971"," 9767.2103","10094.5867","16504.3109","20867.5437","14006.2303","  397.2173","13463.7520","  225.0000","20089.8560","13225.5240","22083.2686","22453.5477","  492.2320","19420.8496","13075.1859","24809.2309","11166.1331","15210.2497","14073.3840","19945.2548","20447.9486","    0.0000","24059.4838","10337.4619","16739.2312","23802.9568","18438.0153","  445.0000","11391.0540","18610.2865"," 6829.4952"," 4484.7323"," 3812.3544"," 8019.1323","    0.0000","12200.0000","  225.6882","  402.9422","  898.1645","  266.3090"," 1927.2942"," 5903.6028"," 6747.5700","38156.5567","74018.6160","    0.0000"
"M1455.98T315.74"," 4151.7865","    0.0000"," 3769.5470","  834.9563"," 5563.2458"," 1046.2902"," 6713.7627"," 9817.3094"," 4059.7262","    0.0000","  696.7576","    0.0000"," 1696.1465"," 3795.7482"," 2457.7844","  949.3909","  187.5092"," 1845.1806"," 2141.6518"," 2050.1149"," 3356.1623"," 1306.6336"," 6386.5271"," 6865.7758"," 1058.8518","    0.0000"," 4882.8754"," 5697.1875","  567.6196"," 4473.2321"," 4534.9264","    0.0000","10497.4167"," 6647.7451"," 3505.8183"," 5708.1551"," 3634.8429"," 1787.1226","    0.0000","  315.0000","    0.0000","  175.7656","    0.0000","  227.7421","    0.0000","  642.1456"," 6595.6275","  152.3729","    0.0000","    0.0000"
"M430.136T769.014"," 1275.1759","    0.0000"," 2805.7090","  808.7378"," 1513.6656"," 2830.1055"," 1410.7603","10765.0560"," 2863.5468","    0.0000","  984.2629","  296.0000"," 1742.4793"," 6712.9594"," 1395.4850"," 3072.7666","    0.0000"," 1009.5941"," 2157.1420"," 4893.0249","  913.4253","  551.3044"," 5587.7664"," 1581.2803"," 5073.4949","    0.0000"," 3168.9503"," 8396.0000"," 6831.4239","10005.7254","11222.7714","    0.0000"," 1249.9266"," 9922.3225","    0.0000"," 3652.2338"," 2030.6287"," 3770.3712","    0.0000"," 3910.0000","    0.0000","  261.6981","    0.0000","    0.0000","    0.0000"," 1916.7783"," 5801.4329"," 2400.3369"," 5386.8080","    0.0000"
"M590.274T907.848"," 21567.4667"," 45289.7455"," 51016.0304"," 44708.7611"," 35276.2412"," 21221.8722"," 29671.5340"," 38521.4608"," 68838.1849","     0.0000"," 46915.6629","     0.0000"," 30906.4757"," 33852.2240"," 71205.4656"," 73136.3179","     0.0000"," 40414.2000"," 33966.7572"," 59408.3733"," 49061.8648"," 84444.9000"," 62421.8449"," 43665.7571"," 28943.7289","   830.7210","123037.1798"," 36010.1112"," 46854.3818"," 30874.2700"," 64289.5829","     0.0000"," 10548.3764"," 18911.1043"," 74999.3868"," 48497.4731"," 24920.9732"," 58450.9893","   205.4632","  4280.0000","   264.4492","     0.0000","     0.0000","   329.5538"," 71682.1222","129440.8781"," 59058.9600"," 14412.1639"," 27809.1763","     0.0000"
"M353.181T807.324","30540.461"," 8218.473","25488.736","16578.494","16493.374","16601.784","16053.382","29120.603","21940.259","    0.000","12323.512","    0.000","12910.498","28616.720","23528.537","16249.262","    0.000","18131.516","18453.600","18409.277","15416.599"," 8566.830","29710.106","12952.062","27220.375","    0.000","18193.189","20481.360","22557.466","32254.996","28964.715","    0.000","27351.782","27104.000"," 8048.046","21749.453","17857.780","17694.557","    0.000","17200.000","    0.000","    0.000","    0.000","    0.000"," 2285.278"," 8333.286","25238.769","15575.220","13143.936","    0.000"
"M456.925T66.979","27326.075","20220.289","24640.084","15157.140","18834.576"," 9541.270","22316.716","30526.040","25591.241"," 2693.735"," 6847.626"," 4810.000","17737.435","15114.336","14636.248","16914.822"," 3579.570","17563.500","15552.589","20002.776","18375.825","16567.795","30365.549","15161.996","16491.618"," 2778.849","12118.903","16396.178"," 8549.833","24642.072","34371.964"," 2760.000"," 8188.593","17526.676"," 8392.632","12737.425","15644.931","15681.023"," 2143.820","14100.000"," 3833.897"," 4519.852"," 2353.345"," 2806.114","10931.592","24134.241","24852.989","20047.082","24526.250"," 2980.000"
"M630.668T315.279","6334.8295","   0.0000","3691.7320","3204.8903","3963.5513","2931.7650","7151.1474","7713.3128","6276.8886","   0.0000","3526.6593","   0.0000","3854.3164","6692.4603","4777.8322","4435.3039"," 257.7964","2075.1510","3991.3141","3358.9860","4597.8578","4010.2861","6110.1947","5166.1118","3688.1882","   0.0000","5423.2867","5363.5500","2897.1382","2849.7083","2165.1804","   0.0000","5462.6106","4776.5284","4514.5196","4096.6012","4715.1717","3406.9500","   0.0000","1950.0000","   0.0000"," 208.0825","   0.0000"," 219.9673","1098.4968","2198.1615","4312.9892","   0.0000","2494.6162","   0.0000"
