"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M513.251T1355.541","22679.4349","226532.943","284481.147","173294.397","255000","196237.028","174000","220000","199376.318","34222.4394","225397.195","19934.4674","156313.2123","214000","169440.819","281037.698","237196.151","326000"
"M882.48T1339.403","2833.8675","41238.903","83587.362","50047.893","36600","62152.4","38500","93600","84624.714","2081.1607","90899.988","2217.1069","52645.1597","71400","50754.363","70084.716","59958.009","82100"
"M839.506T1306.415","21629.3499","123667.664","134406.402","100146.092","110000","147035.777","120000","159000","147184.836","35186.681","143205.077","19981.2021","103178.3335","117000","127185.333","128116.832","131972.399","152000"
"M575.477T1491.784","51828.3738","396062.429","474009.313","611083.55","575000","599231.77","478000","667000","635533.517","44426.6845","628600.599","10283.4097","488346.8245","393000","474320.773","704093.702","442494.57","563000"
"M564.206T918.312","355.35478","72246.027","159157.715","184154.155","216000","162588.284","193000","190000","207224.117","3573.035","179505.162","1776.7739","150000.642","139000","132469.064","197681.821","216958.784","183000"
"M564.208T942.149","698.97552","72261.713","154063.082","182264.911","205000","158378.459","183000","185000","206672.112","3494.8776","175518.853","698.97552","149868.5035","136000","128398.861","195224.054","216690.617","194000"
"M343.224T1621.712","92913.615","74256.778","76141.645","80808.974","82700","57266.216","65400","101000","101756.236","84635.8675","112674.128","71345.0996","97398.7144","79300","86661.91","88033.238","96225.8","98500"
"M609.455T1145.906","6740.1617","213102.146","159285.699","34086.016","23600","56132.184","39900","21700","27294.339","1348.03234","16178.189","11974.3082","29296.7987","32900","35900.426","31575.697","35059.624","20600"
"M771.504T1195.638","15659.5635","2245550.871","923252.551","298331.091","264000","520888.168","314000","233000","253350.645","5150.7721","290009.218","5031.3647","305789.3173","321000","319015.275","213308.063","388733.561","335000"
"M523.36T1271.932","5383.0818","90698.732","26915.409","171328.284","139000","167483.681","198000","114000","93568.47","5383.0818","55499.285","5383.0818","198384.6804","78200","205727.822","83096.014","76072.454","122000"
