"","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","BLANK.2","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M522.261T1109.944","5867.8096","154053.761","181417.946","76183.448","113000","87559.793","74200","75300","73667.373","19380.7157","75303.924","18615.3622","90833.0683","71300","77331.426","58708.411","90665.459","121000"
"M653.412T1258.482","19085.3778","135177.639","149758.372","160775.707","138000","127405.776","146000","185000","143856.105","19291.7287","147664.815","23195.1037","143660.6152","138000","140074.725","163223.819","157346.258","154000"
"M475.412T1607.605","33636.3167","29122.145","12141.735","42608.113","50700","55928.277","33300","52900","54371.933","36194.638","66108.413","25983.5593","58074.3031","39800","40194.546","43617.621","53087.707","60000"
"M653.413T1377.63","35834.4817","124807.531","135234.216","161604.022","125000","101088.931","140000","174000","144679.772","30026.8467","142662.19","30567.0668","138299.4139","133000","125614.856","210781.897","163588.229","156000"
"M330.263T1492.022","146481.4689","176199.229","177938.484","135283.934","121000","128550.539","140000","125000","132584.786","143946.0237","126797.13","135806.3923","157056.408","128000","144902.555","140695.51","135165.686","131000"
"M447.35T1507.107","76515.0103","116777.742","199474.338","69949.354","85000","81049.611","78700","86300","94581.533","68236.5698","75445.921","69448.0106","68686.5427","84300","64065.731","120724.187","57278.375","80000"
"M722.259T892.9","10426.6994","540138.794","6109886.122","93337.556","66400","57704.086","82800","63100","82529.257","8841.8462","71557.1","11995.7253","68042.5539","58100","67617.77","71196.574","70023.067","82300"
"M523.599T1382.768","218080.0938","317868.564","315921.916","208311.899","235000","209973.236","234000","189000","187901.643","136725.8644","211283.462","210897.2758","264040.2347","206000","195436.671","148600.122","189794.41","216000"
"M549.431T1507.08","99370.8879","96042.493","103299.308","168451.468","149000","118372.837","134000","198000","166259.475","89217.532","184426.032","79866.9456","145549.236","147000","130258.336","185634.636","145343.016","154000"
"M330.262T1456.934","110351.8984","137110.335","140737.016","102728.976","107000","109555.22","103000","109000","113688.708","109616.6357","104960.973","114084.608","123821.9636","97300","122322.8","119751.591","113404.789","94500"
"M435.346T1540.43","74630","62488.279","56945.862","75207.081","79900","75514.832","75100","75600","87098.201","80222.4129","89019.633","66094.4827","87745.3609","80700","76505.045","83865.094","66405.033","92100"
"M576.484T1557.453","43791.0566","64461.487","67670.811","126762.876","131000","122421.81","134000","161000","168693.101","32816.8324","168850.105","25245.283","119350.2081","274000","98509.224","172602.877","101121.043","152000"
"M467.383T1523.593","52699.2113","57843.559","69790.605","155396.475","94000","124758.187","103000","178000","150611.838","41926.7419","101095.872","73786.5943","78910.7123","109000","106786.202","150212.898","86896.931","82800"
"M951.603T1424.253","56709.9076","69557.287","92135.708","142506.451","511000","335187.966","97900","395000","291989.228","11904.0538","538493.035","2991.372","148407.7854","375000","92338.403","557435.338","383538.853","595000"
"M477.403T1542.988","68754.7701","72109.807","93786.975","70969.575","94100","77218.281","85400","128000","94716.514","53846.9849","111848.974","56109.5131","58914.8385","78900","80611.062","120210.907","92936.348","97600"
"M477.407T1590.788","83304.4861","82232.177","104177.767","93016.962","107000","87247.953","107000","137000","115987.442","72678.4973","123815.635","68590.9235","77279.8996","87800","93883.793","135185.524","112824.299","109000"
"M549.426T1489.95","92561.8468","100676.424","133273.353","193435.432","126000","117594.929","166000","234000","189085.359","93543.9258","220140.569","81157.4442","179581.4385","172000","166601.017","241057.649","162981.319","174000"
"M471.336T1557.26","75170.5993","74425.386","96848.858","130067.098","108000","80275.754","113000","151000","152414.519","86749.9269","141845.353","83888.4283","134566.7156","122000","144790.973","162500.226","115305.119","108000"
"M330.263T1439.913","113723.4082","142481.663","144695.624","108400.102","107000","112890.062","106000","112000","116439.588","113143.7459","104941.687","114060.2786","120764.4175","111000","119620.828","119679.325","116487.621","98000"
"M629.529T1601.79","132953.3609","136004.841","102248.094","246765.089","239000","164330.099","149000","359000","258398.43","99408.1433","363855.34","63886.8421","212935.6676","222000","162267.555","304905.987","188421.4","271000"
"M505.27T1240.129","36869.3834","496398.964","487628.523","338101.753","304000","316976.845","466000","365000","401896.939","65216.201","281110.983","178912.5361","322269.6976","219000","234407.643","317315.658","481984.987","260000"
"M576.533T1641.124","28320.6636","22442.071","14288.021","56505.779","55200","58843.445","63900","85100","70381.221","26382.3995","71076.644","17797.8111","54376.0282","149000","48273.916","81091.533","61469.199","73900"
"M619.438T1245.233","12008.9388","387624.432","451165.77","104462.331","105000","103155.111","96100","79900","81726.498","22931.4815","63128.596","64598.9192","88823.6815","93200","102750.241","110680.498","67480.761","81600"
"M313.161T1621.4","61415.9419","68126.836","53976.472","65577.015","65400","60961.809","75400","80600","62762.731","86826.8179","51501.376","63797.5098","72393.5838","65000","69814.076","90550.332","81216.187","81400"
"M505.253T1269.605","14742.2336","348384.973","275499.654","199025.692","193000","209952.555","318000","202000","296611.507","59251.7678","205886.039","93218.0304","157923.9017","154000","162920.961","197391.146","287364.501","214000"
"M494.565T1319.161","188625.3734","417460.715","297804.155","170665.03","216000","148350.007","192000","237000","181237.479","325727.6019","241284.985","181959.6172","233923.5235","194000","183296.61","293896.667","181891.41","254000"
"M535.447T1540.43","63646.6289","65862.823","65775.467","86982.884","92400","65632.346","77100","153000","150770.061","62284.7386","141824.758","62173.2235","86278.9036","88500","92215.672","104541.856","73961.272","92000"
"M477.398T1574.327","75046.8231","72226.53","93786.975","79089.542","99800","77171.896","90100","128000","113245.367","65287.2167","116774.079","63482.4869","69188.0151","84700","87163.759","120210.907","92936.348","97600"
"M691.433T1253.346","112036.4451","461054.068","487173.897","255155.928","295000","323104.094","239000","423000","299154.633","25347.4399","334288.159","32157.0411","283373.5272","315000","258046.071","345790.688","343169.594","348000"
"M341.283T1305.932","94925.3883","710584.568","226058.778","98908.37","112000","94421.857","152000","99000","99290.489","98014.9341","90301.759","102105.6752","119120.7285","90400","117029.894","94122.998","94227.35","82000"
"M330.261T1473.013","105049.7819","129928.674","132830.97","102728.976","107000","105959.531","103000","109000","110712.569","104715.9323","104960.973","114084.608","114707.6804","105000","122322.8","119751.591","113404.789","92400"
"M339.172T1490.329","44191.5894","27250.668","21719.252","39829.137","37300","34150.477","31900","41500","24189.409","55847.73","40215.54","37688.7671","41072.9414","48600","41165.102","41205.431","55429.678","45400"
"M477.343T1423.013","48754.9512","56632","58826.353","54302.075","56600","50316.099","52100","60700","65143.335","38625.1666","59394.568","36096.3154","43198.3125","53800","48512.315","53518.854","57553.721","50600"
"M332.328T1440.13","115359.5825","142796.475","167103.206","118710.287","113000","125971.397","121000","122000","114870.313","129346.2146","107630.86","118662.2812","115954.1101","121000","124275.19","111378.278","130734.828","105000"
"M494.563T1509.9","304154.6608","234099.816","171452.201","274363.253","322000","291615.877","303000","359000","314190.655","489330.3933","396602.79","321096.2535","350573.4375","350000","309628.402","442772.659","298333.334","394000"
"M481.362T1591.564","33792.0262","45292.622","33077.863","44825.319","41600","34704.152","65600","95200","85785.75","42591.8727","51280.622","46768.8111","47650.3954","51600","60754.966","60368.219","54566.008","46100"
"M443.333T1262.042","40654.5627","2291206.757","726799.035","189027.685","179000","167800.688","171000","125000","123040.332","81901.0392","90706.526","129068.699","119173.7738","135000","170192.512","118782.977","113333.931","93500"
"M510.367T1523.593","139590.3329","86069.976","86114.553","89218.123","84500","81016.558","96100","133000","113300.223","79412.1113","253461.846","83273.7186","93472.3433","99300","89226.494","103007.907","92108.115","97300"
"M545.456T1607.833","108912.1658","73195.075","68086.862","104034.303","93600","82007.949","91500","115000","109342.913","106818.1635","143797.685","108125.3894","133002.0623","109000","96305.374","91129.673","86335.237","145000"
"M669.539T1543.447","121295.6002","80496.051","105264.368","98310.4","145000","70367.84","88300","150000","158046.374","64128.0678","224496.822","72368.8783","129836.0651","118000","94692.887","114652.56","108839.517","117000"
"M669.531T1507.08","111179.8598","65231.819","86689.232","92604.528","131000","61504.121","73700","135000","152131.341","60730.7014","210952.262","65684.4322","121139.8689","118000","88537.921","110019.144","89638.834","113000"
"M383.284T1439.726","125217.2578","251315.529","205205.782","154353.278","180000","165413.507","152000","149000","160963.186","148961.4287","142025.401","141114.1729","130752.7509","176000","161584.933","146863.405","150923.835","145000"
"M589.501T1621.712","261732","73577.312","55522.835","56077.757","70000","47558.667","39700","216000","67764.741","8998.775","326276.896","24637.5779","48466.1092","81200","53215.549","85230.062","92011.256","159000"
"M534.444T1557.26","85462.7331","77456.066","71460.738","111317.126","1e+05","59693.29","110000","132000","146223.226","62296.0866","178976.951","65764.097","115738.0799","148000","104581.114","133144.723","105068.925","121000"
"M494.565T1422.678","263375.7243","463612.2","367002.545","254955.065","293000","249733.748","274000","336000","271628.714","439102.2024","360053.818","273742.5189","325184.7454","3e+05","268767.01","409578.048","275449.132","358000"
"M609.518T1624.418","60609.9359","55474.255","35151.344","60977.184","62300","53759.67","53900","98700","72865.323","37909.5555","73531.533","54735.6979","62616.9089","59900","56540.859","61880.592","53509.726","63200"
"M465.265T1237.073","42836.1105","242014.038","261681.816","201901.283","236000","203943.557","230000","234000","262652.716","81968.7926","235810.566","107135.9163","146463.6862","159000","158988.966","207875.858","178654.975","180000"
"M605.432T1239.559","77368.5134","396644.254","322817.741","185347.275","231000","151869.449","147000","237000","155309.795","487181.7122","323848.024","125434.2664","106029.4818","174000","144454.389","431058.217","204528.534","219000"
