"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"M745.161T766.586",0.036893,0.0032049,0.033634,0.033319,0.0090603,0.015376,0.032855
"M316.508T323.984",0.030217,-0.025469,0.0044226,0.012343,0.0040135,0.0085122,0.0020725
"M729.273T847.264",0.037207,0.0019436,-0.029636,-0.012528,-0.022481,-0.013986,-0.00042904
"M417.764T850.924",0.034451,0.0070829,0.046389,-0.034599,-0.017328,-0.0015358,0.0039642
"M653.752T320.843",0.028413,-0.0045179,-0.010787,-0.0026586,0.003232,0.05312,-0.01072
"M683.129T316.242",0.033747,-0.017721,-0.040696,-0.04952,-0.021233,0.027277,-0.0023738
"M653.783T316.318",0.028638,0.009546,-0.027661,-0.0096913,-0.018853,0.0081279,-0.0094023
"M489.058T766.222",0.04233,0.00060477,-0.011788,0.034687,0.039702,-0.023292,-0.0046714
"M851.819T1425.446",0.036664,-0.0068439,0.028834,0.1019,0.023518,0.00040465,0.0024497
"M530.968T106.005",0.033316,-0.021551,0.01663,0.0061297,0.03215,-0.010847,0.020958
"M1009.607T1323.757",0.0312,-0.020144,0.031692,-0.012405,0.011125,0.01648,0.016946
"M653.717T312.26",0.023475,0.00093018,0.0017234,-0.040189,0.061305,0.059116,-0.0054514
"M1031.899T1225.646",0.022424,0.020897,-0.04602,0.0029638,0.072295,-0.009589,0.0069006
"M297.119T136.686",0.03561,-0.0086229,0.0172,0.014485,0.011586,-0.012224,0.010735
"M769.419T945.253",0.034907,0.013824,-0.0099761,0.058228,-0.029156,0.010053,-0.0074051
"M1201.918T909.936",0.033759,-0.0069728,0.013738,0.0076398,-0.052898,-0.0097273,0.0018517
"M864.188T806.912",0.033617,-0.039202,-0.0024841,0.00038713,-0.044002,0.010083,0.01653
"M865.489T1291.829",0.02936,-0.040626,0.023844,-0.0027892,0.022679,0.011405,-0.0052659
"M799.191T949.166",0.036679,-0.030477,-0.0067177,-0.0051314,-0.030646,0.032616,-0.021903
"M1263.489T907.902",0.029464,-0.039895,0.014284,-0.0021315,-0.020031,-0.017235,0.027246
"M451.174T880.577",0.045162,0.043027,0.027956,-0.0091966,-0.013554,0.022003,-0.0014095
"M405.08T802.267",0.031761,-0.032889,0.022123,0.023276,0.031644,-0.015597,-0.0015291
"M309.119T137.634",0.037521,0.030003,0.03701,0.0025304,0.004443,-0.0038288,8.8777e-05
