"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6"
"X02.C12.2.neg",-16.025,-0.68184,-3.5537,0.5706,-3.4598,3.0075
"X18.C12.3.neg",-21.209,-0.61735,6.6771,-1.4501,0.76207,0.07159
"X33.C12.4.neg",-12.188,-2.1649,-4.6008,0.49085,2.6574,-3.0823
"X05.F12.4.neg",6.7972,2.2871,1.4046,3.8836,2.3377,1.7169
"X22.F12.1.neg",24.632,-4.758,1.681,-0.059356,-0.96747,0.15639
"X38.F12.2.neg",11.548,2.548,-2.3504,-3.6096,1.8843,1.7001
"X43.F12.3.neg",6.444,3.387,0.74215,0.17403,-3.2142,-3.5703
