"","Fold Change","log2(FC)"
"M865.489T1291.829",2.9534,1.5624
"M355.067T660.488",2.944,1.5578
"M1263.489T907.902",2.9403,1.5559
"M559.053T88.871",2.9303,1.551
"M1009.554T1308.282",2.9244,1.5482
"M1014.782T1351.411",2.9222,1.5471
"M311.104T1075.82",2.922,1.547
"M1031.84T1213.333",2.9201,1.546
"M633.053T106.254",2.9069,1.5395
"M476.876T67.016",2.9028,1.5374
"M519.896T67.425",2.9021,1.5371
"M309.478T1627.463",2.8966,1.5343
"M1099.581T1224.487",2.8815,1.5268
"M375.129T729.569",2.878,1.5251
"M266.366T1577.236",2.8767,1.5244
"M379.101T757.973",2.8729,1.5225
"M727.414T1292.189",2.8711,1.5216
"M971.627T318.415",2.8703,1.5212
"M999.727T1404.686",2.868,1.52
"M988.312T316.465",2.8595,1.5158
"M632.783T316.499",2.8536,1.5128
"M545.846T78.22",2.8496,1.5108
"M1192.04T901.764",2.848,1.51
"M544.284T936.329",2.8479,1.5099
"M1136.545T907.7",2.8404,1.5061
"M567.276T907.878",2.8306,1.5011
"M1014.811T1344.847",2.8274,1.4995
"M727.283T864.823",2.8245,1.498
"M329.089T195.942",2.8194,1.4954
"M1095.01T894.541",2.8192,1.4953
"M209.025T89.634",2.8131,1.4922
"M369.569T765.536",2.8085,1.4898
"M481.224T887.168",2.8034,1.4872
"M653.828T318.352",2.8016,1.4863
"M969.317T316.321",2.7995,1.4852
"M289.056T250.757",2.7898,1.4802
"M387.346T67.938",2.7886,1.4795
"M466.978T106.664",2.7877,1.4791
"M479.19T902.518",2.7829,1.4766
"M287.077T663.979",2.7689,1.4693
"M643.188T893.85",2.7517,1.4603
"M1297.451T316.098",2.7423,1.4554
"M268.959T125.12",2.7358,1.452
"M564.929T1201.416",2.7318,1.4498
"M850.805T68.208",2.729,1.4484
"M485.063T759.194",2.718,1.4425
"M653.752T320.843",2.7156,1.4413
"M653.783T316.318",2.7111,1.4389
"M1269.507T907.7",2.6965,1.4311
"M426.882T91.046",2.6941,1.4298
"M590.775T907.789",2.6898,1.4275
"M645.848T67.545",2.6806,1.4225
"M444.872T67.426",2.6391,1.4001
"M385.077T649.201",2.6337,1.3971
"M567.778T908.116",2.6256,1.3926
"M475.877T67.555",2.6109,1.3846
"M1033.603T1229.397",2.6061,1.3819
"M579.301T894.416",2.6021,1.3797
"M676.309T1245.665",2.5919,1.374
"M471.897T67.543",2.5459,1.3482
"M1308.415T315.705",2.5265,1.3372
"M1030.586T1195.906",2.523,1.3351
"M240.933T64.89",2.5165,1.3314
"M1390.547T1005.094",2.5149,1.3305
"M325.2T1323.486",2.5133,1.3296
"M527.309T1189.176",2.5091,1.3272
"M297.244T1278.646",2.5037,1.324
"M492.868T66.13",2.5019,1.323
"M389.108T489.956",2.4974,1.3205
"M313.094T115.286",2.4818,1.3114
"M589.773T907.878",2.4641,1.3011
"M267.196T1364.412",2.4558,1.2962
"M985.574T1225.672",2.4378,1.2856
"M590.274T907.848",2.4276,1.2795
"M564.68T1183.74",2.4058,1.2665
"M1059.606T1053.565",0.41874,-1.2559
"M1029.931T1194.947",2.3723,1.2463
"M385.077T746.611",2.3693,1.2445
"M285.243T1390.408",2.3484,1.2317
"M391.065T766.545",2.3346,1.2232
"M343.102T681.368",2.3244,1.2168
"M773.211T817.036",2.318,1.2129
"M540.867T1245.744",2.2852,1.1923
"M1204.491T868.846",2.28,1.189
"M384.092T841.195",2.2788,1.1883
"M557.187T899.436",2.2466,1.1678
"M526.316T1188.04",2.2004,1.1378
"M1030.642T1193.369",2.1986,1.1366
"M1031.899T1225.646",2.1638,1.1135
"M799.289T814.54",2.1448,1.1008
"M562.892T1151.046",2.1113,1.0781
"M596.277T932.512",2.0941,1.0663
"M589.271T908.408",2.0905,1.0638
"M653.717T312.26",2.0881,1.0622
"M638.078T817.768",2.0423,1.0302
