"","Fold Change","log2(FC)"
"M471.152T726.342",6.012,2.5878
"M1015.483T980.936",5.9991,2.5847
"M702.255T837.404",5.9809,2.5804
"M697.905T994.286",5.9804,2.5802
"M339.058T415.891",5.967,2.577
"M559.276T958.275",5.9603,2.5754
"M593.947T757.746",5.9403,2.5705
"M806.073T940.272",5.9378,2.5699
"M533.169T900.984",5.9218,2.566
"M795.198T1006.041",5.9081,2.5627
"M1463.523T939.044",5.9034,2.5616
"M1035.397T978.889",5.8975,2.5601
"M367.103T818.837",5.8684,2.553
"M947.485T901.595",5.8682,2.5529
"M354.093T469.671",5.8561,2.5499
"M429.141T889.195",5.8457,2.5474
"M435.959T107.38",5.8088,2.5382
"M399.065T319.722",5.8044,2.5371
"M1036.399T977.849",5.7978,2.5355
"M405.167T106.416",5.7713,2.5289
"M375.07T470.729",5.757,2.5253
"M481.183T807.444",5.7445,2.5222
"M433.351T780.04",5.741,2.5213
"M645.252T899.393",5.7006,2.5111
"M753.298T903.043",5.6912,2.5087
"M483.183T857.732",5.672,2.5038
"M437.041T470.729",5.6549,2.4995
"M665.182T815.828",5.6237,2.4915
"M1130.433T884.599",5.6056,2.4869
"M447.959T106.92",5.5768,2.4794
"M1057.411T880.24",5.5743,2.4788
"M225.002T107.866",5.5533,2.4733
"M1363.57T899.951",5.5524,2.4731
"M617.247T870.852",5.5369,2.4691
"M1007.373T920.82",5.5356,2.4687
"M455.193T892.238",5.5292,2.4671
"M1323.606T888.291",5.5181,2.4642
"M469.208T948.545",5.5144,2.4632
"M890.319T900.562",5.4922,2.4574
"M699.004T983.059",5.4894,2.4566
"M968.386T889.852",5.4818,2.4547
"M695.298T853.355",5.4786,2.4538
"M1031.347T966.014",5.471,2.4518
"M418.896T66.885",5.465,2.4502
"M337.092T724.593",5.4621,2.4495
"M799.191T949.166",5.4334,2.4419
"M437.044T765.875",5.4309,2.4412
"M627.229T851.009",5.4261,2.4399
"M487.212T857.117",5.4127,2.4363
"M309.118T727.508",5.4004,2.4331
"M645.124T781.203",5.3718,2.4254
"M715.392T322.783",5.3611,2.4225
"M703.247T844.715",5.3585,2.4218
"M1117.54T932.512",5.3529,2.4203
"M579.151T798.32",5.3413,2.4172
"M1243.514T983.057",5.3126,2.4094
"M610.849T834.902",5.3035,2.4069
"M357.108T784.337",5.3008,2.4062
"M1071.439T878.893",5.2862,2.4022
"M467.051T320.771",5.2743,2.399
"M983.568T1252.43",5.2732,2.3987
"M729.273T847.264",5.2557,2.3939
"M457.136T788.61",5.2539,2.3934
"M1167.557T907.179",5.254,2.3934
"M433.777T806.208",5.2481,2.3918
"M593.857T757.673",5.2454,2.3911
"M915.823T68.606",5.2346,2.3881
"M1354.628T902.5",5.2306,2.387
"M643.245T933.361",5.2261,2.3857
"M609.153T789.212",5.2199,2.384
"M473.173T881.847",5.2183,2.3836
"M548.179T817.387",5.218,2.3835
"M919.334T939.971",5.2129,2.3821
"M691.153T854.793",5.1885,2.3753
"M851.819T1425.446",5.1858,2.3746
"M937.388T970.431",5.1767,2.372
"M701.195T940.853",5.175,2.3716
"M723.538T832.745",5.1588,2.367
"M265.426T1576.148",5.1581,2.3668
"M593.763T756.056",5.156,2.3663
"M869.171T823.716",5.1523,2.3652
"M901.161T984.095",5.1421,2.3624
"M401.144T790.222",5.1408,2.362
"M661.226T856.483",5.1402,2.3618
"M621.125T857.148",5.1398,2.3617
"M349.056T728.324",5.1325,2.3597
"M871.351T913.248",5.1115,2.3538
"M401.049T776.54",5.1073,2.3526
"M621.037T758.225",5.0775,2.3441
"M587.201T848.147",5.0621,2.3397
"M353.181T807.324",5.048,2.3357
"M809.324T904.082",5.0128,2.3256
"M603.083T90.379",5.006,2.3236
"M1103.415T879.391",5.0023,2.3226
"M655.873T943.419",4.9761,2.315
"M395.189T761.387",4.9746,2.3146
"M664.226T813.714",4.9738,2.3143
"M238.892T97.993",4.9698,2.3132
"M445.207T780.093",4.9614,2.3107
"M313.119T883.187",4.955,2.3089
"M951.343T881.927",4.9303,2.3017
"M561.217T921.818",4.9286,2.3012
"M295.104T156.471",4.9225,2.2994
"M503.126T874.193",4.9134,2.2967
"M497.083T319.72",4.9102,2.2958
"M745.161T766.586",4.906,2.2946
"M721.31T972.44",4.9005,2.2929
"M705.205T926.435",4.9002,2.2928
"M289.12T769.482",4.8995,2.2926
"M407.173T414.983",4.8958,2.2915
"M420.95T86.132",4.8943,2.2911
"M549.258T834.983",4.8908,2.2901
"M425.103T1191.927",4.8847,2.2883
"M549.147T750.744",4.8707,2.2841
"M1106.454T890.453",4.8679,2.2833
"M851.338T916.834",4.868,2.2833
"M274.971T109.977",4.862,2.2816
"M885.489T1408.277",4.8558,2.2797
"M451.218T291.531",4.8544,2.2793
"M765.729T983.05",4.8505,2.2781
"M460.969T105.772",4.8474,2.2772
"M399.275T1363.391",4.8233,2.27
"M868.801T68.637",4.8018,2.2636
"M811.459T986.188",4.7933,2.261
"M451.125T735.96",4.7927,2.2608
"M1005.392T917.562",4.7823,2.2577
"M1071.559T892.477",4.7798,2.2569
"M1048.557T894.929",4.7791,2.2567
"M391.157T830.263",4.7759,2.2558
"M345.082T140.774",4.7736,2.2551
"M293.177T1149.195",4.7604,2.2511
"M585.15T892.945",4.7542,2.2492
"M695.12T755.765",4.7433,2.2459
"M968.365T965.957",4.7413,2.2453
"M507.151T845.473",4.7291,2.2416
"M439.083T756.683",4.7283,2.2413
"M456.197T892.811",4.721,2.2391
"M438.049T766.588",4.713,2.2366
"M447.259T942.596",4.7039,2.2339
"M630.879T67.545",4.7039,2.2339
"M241.108T881.116",4.7024,2.2334
"M1094.293T897.844",4.6984,2.2322
"M551.272T837.928",4.6979,2.232
"M676.835T65.732",4.6935,2.2307
"M549.205T845.853",4.6785,2.226
"M549.174T847.493",4.6592,2.2201
"M418.894T1736.453",4.6497,2.2171
"M423.224T921.021",4.6461,2.216
"M1614.109T935.709",4.6411,2.2145
"M489.187T785.097",4.6337,2.2122
"M1103.384T928.554",4.6277,2.2103
"M420.999T106.905",4.6268,2.21
"M1125.418T877.844",4.6217,2.2084
"M333.926T91.902",4.6162,2.2067
"M375.104T216.821",4.6091,2.2045
"M309.119T137.634",4.6087,2.2044
"M768.448T1315.096",4.6054,2.2033
"M494.168T786.301",4.6052,2.2033
"M1129.441T885.407",4.6051,2.2032
"M863.373T951.624",4.5993,2.2014
"M335.137T198.47",4.5979,2.201
"M595.261T805.416",4.5914,2.1989
"M455.081T744.378",4.5899,2.1984
"M769.419T945.253",4.5762,2.1942
"M812.842T69.273",4.5735,2.1933
"M988.804T68.066",4.571,2.1925
"M289.026T88.643",4.571,2.1925
"M359.123T830.487",4.5659,2.1909
"M317.087T121.975",4.5549,2.1874
"M265.148T1629.604",4.5537,2.187
"M547.234T852.079",4.5515,2.1863
"M665.267T889.419",4.5325,2.1803
"M693.278T872.306",4.5228,2.1772
"M408.822T1801.685",4.5131,2.1741
"M359.022T90.408",4.4955,2.1685
"M1323.575T889.628",4.4874,2.1659
"M1087.412T876.684",4.4739,2.1615
"M1255.613T888.434",4.4725,2.1611
"M495.025T292.616",4.4595,2.1569
"M311.186T1077.614",4.4518,2.1544
"M625.024T106.841",4.4463,2.1526
"M333.083T110.42",4.4461,2.1525
"M173.008T106.871",4.4349,2.1489
"M297.119T136.686",4.424,2.1454
"M821.506T1329.663",4.4143,2.1422
"M830.24T316.247",4.403,2.1385
"M433.122T384.02",4.3955,2.136
"M417.177T763.775",4.3939,2.1355
"M402.187T763.436",4.3756,2.1295
"M861.166T878.352",4.368,2.127
"M473.196T813.174",4.366,2.1263
"M323.042T818.446",4.3627,2.1252
"M491.126T414.484",4.346,2.1197
"M461.152T871.999",4.345,2.1193
"M927.368T972.44",4.3408,2.118
"M653.913T316.046",4.3389,2.1173
"M1094.047T894.516",4.3367,2.1166
"M989.364T928.413",4.3334,2.1155
"M497.261T974.778",4.3328,2.1153
"M407.045T415.442",4.3247,2.1126
"M397.259T1311.545",4.3211,2.1114
"M362.298T315.255",4.3137,2.1089
"M619.189T858.982",4.3054,2.1062
"M609.054T106.871",4.299,2.104
"M1162.051T893.06",4.2952,2.1027
"M559.066T758.189",4.2859,2.0996
"M864.188T806.912",4.2756,2.0961
"M591.465T1235.608",0.23412,-2.0947
"M454.975T107.571",4.2704,2.0944
"M418.218T902.438",4.2685,2.0937
"M398.263T1317.762",4.2681,2.0936
"M373.167T930.605",4.2653,2.0927
"M315.108T761.986",4.263,2.0919
"M310.969T105.491",4.2625,2.0917
"M431.759T791.911",4.2447,2.0857
"M448.965T106.062",4.2446,2.0856
"M518.153T824.178",4.2424,2.0849
"M653.891T318.024",4.2409,2.0844
"M529.154T821.794",4.2377,2.0833
"M367.058T823.98",4.2364,2.0828
"M367.102T765.544",4.234,2.082
"M429.25T1071.941",4.2334,2.0818
"M269.103T792.774",4.2295,2.0805
"M567.333T903.822",4.2245,2.0788
"M581.283T805.632",4.2162,2.0759
"M507.209T930.4",4.2084,2.0733
"M501.195T803.697",4.1822,2.0643
"M351.13T801.057",4.182,2.0642
"M470.098T771.956",4.1698,2.06
"M615.195T761.983",4.1651,2.0583
"M569.35T895.921",4.1568,2.0555
"M427.038T293.27",4.1451,2.0514
"M311.138T170.155",4.1422,2.0504
"M1095.063T894.34",4.1386,2.0492
"M316.427T318.614",4.1356,2.0481
"M289.886T1868.955",4.1346,2.0478
"M699.093T985.159",4.1247,2.0443
"M293.177T1099.499",4.124,2.044
"M967.394T924.933",4.1235,2.0439
"M415.086T168.579",4.1218,2.0433
"M491.208T833.798",4.1146,2.0407
"M289.084T863.831",4.1026,2.0366
"M521.224T935.29",4.0939,2.0335
"M963.275T732.778",4.0739,2.0264
"M548.979T106.308",4.0657,2.0235
"M509.218T928.864",4.0578,2.0207
"M642.242T817.768",4.0552,2.0198
"M863.184T809.21",4.0502,2.018
"M1093.54T895.081",4.0474,2.017
"M967.561T1349.704",4.0397,2.0142
"M432.997T107.064",4.0378,2.0136
"M1161.526T895.081",4.0361,2.013
"M683.129T316.242",4.0324,2.0117
"M447.151T677.76",4.0222,2.008
"M657.063T941.851",4.0206,2.0074
"M1013.86T1346.532",4.0174,2.0062
"M487.016T806.181",4.0168,2.006
"M427.197T838.449",4.0146,2.0053
"M354.957T108.842",4.0114,2.0041
"M795.27T865.806",4.0028,2.001
"M328.886T98.013",3.9957,1.9985
"M673.289T892.945",3.9938,1.9978
"M271.021T88.704",3.9899,1.9963
"M715.427T310.719",3.9867,1.9952
"M485.168T916.74",3.9805,1.993
"M353.052T831.694",3.9796,1.9926
"M601.172T845.875",3.9786,1.9923
"M459.149T771.729",3.975,1.991
"M1132.537T923.907",3.9701,1.9892
"M340.859T1719.351",3.97,1.9891
"M409.075T744.412",3.9688,1.9887
"M621.052T106.9",3.9623,1.9863
"M799.852T67.938",3.9618,1.9862
"M998.861T1404.179",3.9571,1.9844
"M569.273T895.199",3.9525,1.9828
"M570.518T894.146",3.9509,1.9822
"M467.156T971.498",3.9451,1.9801
"M1097.561T894.34",3.9446,1.9799
"M654.008T318.692",3.9421,1.979
"M405.177T839.252",3.9408,1.9785
"M836.522T1479.692",3.938,1.9775
"M483.209T897.853",3.9372,1.9772
"M1161.521T895.466",3.934,1.976
"M1201.918T909.936",3.9268,1.9733
"M449.205T834.832",3.926,1.9731
"M776.814T66.22",3.925,1.9727
"M784.154T761.471",3.9227,1.9719
"M627.173T806.181",3.9192,1.9706
"M359.098T671.316",3.9183,1.9702
"M427.009T107.872",3.9181,1.9701
"M1045.593T1289.364",3.9164,1.9695
"M569.775T895.343",3.9163,1.9695
"M366.994T111.318",3.9135,1.9685
"M969.939T315.438",3.9119,1.9679
"M377.162T1630.7",3.9095,1.967
"M265.261T1518.666",3.8918,1.9604
"M266.946T113.686",3.8894,1.9596
"M487.146T735.656",3.8882,1.9591
"M501.206T823.684",3.8861,1.9583
"M403.064T798.991",3.8821,1.9568
"M651.363T1268.695",3.8821,1.9568
"M970.813T317.253",3.8771,1.955
"M435.217T805.716",3.867,1.9512
"M397.075T138.684",3.8635,1.9499
"M419.115T799.29",3.8618,1.9493
"M277.129T811.716",3.8583,1.948
"M429.504T310.912",3.8479,1.9441
"M409.172T733.287",3.8469,1.9437
"M625.178T776.712",3.8451,1.943
"M272.963T113.946",3.8425,1.9421
"M1069.501T1402.821",3.8411,1.9415
"M723.346T899.128",3.8322,1.9382
"M409.045T138.763",3.8301,1.9374
"M511.24T944.134",3.8271,1.9363
"M399.165T851.906",3.8264,1.936
"M305.082T1122.457",3.8265,1.936
"M393.176T847.594",3.8241,1.9351
"M661.253T876.035",3.8211,1.934
"M702.25T942.066",3.821,1.934
"M344.099T126.621",3.8167,1.9323
"M385.188T793.619",3.8084,1.9292
"M919.493T1102.884",3.8032,1.9272
"M530.968T106.005",3.7983,1.9254
"M331.103T255.151",3.798,1.9252
"M252.965T98.618",3.7953,1.9242
"M434.871T1737.903",3.7937,1.9236
"M559.04T89.345",3.7913,1.9227
"M333.191T983.058",3.778,1.9176
"M280.987T110.997",3.776,1.9169
"M293.179T1541.097",3.7758,1.9168
"M438.263T1164.917",3.7726,1.9156
"M367.08T114.463",3.7696,1.9144
"M443.191T791.98",3.7686,1.914
"M631.833T319.717",3.7684,1.9139
"M632.847T316.374",3.7679,1.9138
"M517.099T802.454",3.7657,1.9129
"M1096.548T894.929",3.7571,1.9096
"M1162.717T895.445",3.753,1.9081
"M483.178T941.182",3.7532,1.9081
"M728.286T863.521",3.7419,1.9038
"M281.07T709.104",3.7392,1.9027
"M359.061T194.361",3.7358,1.9014
"M377.181T797.379",3.7352,1.9012
"M567.171T792.05",3.7339,1.9007
"M279.164T1571.945",3.7335,1.9005
