"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6"
"M565.23T844.341",0.86581,0.81376,0.8091,0.80902,0.80902,0.80902
"M1331.507T909.803",0.86564,0.86898,0.86441,0.86422,0.86421,0.86421
"M369.388T763.979",0.86493,0.8233,0.82089,0.82027,0.82026,0.82026
"M1095.063T894.34",0.86452,0.87204,0.88091,0.87965,0.87964,0.87964
"M441.162T763.637",0.86388,0.89403,0.88802,0.89004,0.89004,0.89004
"M707.828T66.684",0.86385,0.80341,0.8159,0.82679,0.82686,0.82686
"M519.896T67.425",0.86348,0.86476,0.87627,0.87736,0.87737,0.87737
"M361.512T316.902",0.86346,0.96359,0.96698,0.96595,0.96594,0.96594
"M323.019T128.103",0.86293,0.86053,0.85564,0.85547,0.85547,0.85547
"M590.015T907.684",0.86291,0.81404,0.82771,0.82688,0.82687,0.82687
"M728.286T863.521",0.86271,0.92179,0.92233,0.92401,0.92402,0.92402
"M1031.84T1213.333",0.86262,0.83774,0.84072,0.84058,0.8406,0.8406
"M403.064T798.991",0.86247,0.80441,0.85372,0.85292,0.85293,0.85293
"M1162.522T896.44",0.86181,0.80472,0.80177,0.80068,0.80068,0.80068
"M603.083T90.379",0.86136,1.063,1.0586,1.0572,1.0572,1.0572
"M632.663T319.55",0.86116,0.8157,0.81366,0.81249,0.8125,0.8125
"M485.063T759.194",0.8607,0.81838,0.81477,0.81376,0.81376,0.81376
"M415.161T821.344",0.86066,0.84154,0.84658,0.8495,0.84949,0.84949
"M869.849T1307.413",0.86003,0.82638,0.82627,0.82925,0.82927,0.82927
"M392.068T765.784",0.85827,0.81225,0.80704,0.80985,0.80985,0.80985
"M850.805T68.208",0.85826,1.0396,1.0396,1.0396,1.0396,1.0396
"M437.065T776.272",0.85601,0.81023,0.80813,0.80739,0.80739,0.80739
"M281.069T746.743",0.85581,0.86753,0.86131,0.86237,0.86236,0.86236
"M569.273T895.199",0.85529,0.88626,0.88886,0.88793,0.88793,0.88793
"M657.266T958.998",0.85521,0.80108,0.79667,0.80368,0.80368,0.80368
"M273.314T67.476",0.85521,1.0905,1.1288,1.1274,1.1274,1.1274
"M375.129T729.569",0.85513,0.8043,0.80575,0.80497,0.80496,0.80496
"M329.089T195.942",0.85349,0.80196,0.80144,0.80042,0.80043,0.80043
"M334.932T113.331",0.85303,0.82611,0.82475,0.8236,0.82359,0.82359
"M653.752T320.843",0.85244,0.82348,0.82195,0.82286,0.82285,0.82285
"M293.179T1541.097",0.85225,0.85527,0.85788,0.8567,0.8567,0.8567
"M851.154T319.552",0.8512,0.81989,0.81884,0.81773,0.81772,0.81772
"M287.076T110.312",0.85061,0.82418,0.82082,0.82012,0.82013,0.82013
"M575.708T1045.732",0.85005,0.82128,0.83893,0.83777,0.83777,0.83777
"M289.065T88.687",0.84942,0.82056,0.81663,0.81677,0.81676,0.81676
"M632.783T316.499",0.84906,0.88595,0.88785,0.89886,0.89886,0.89886
"M545.298T995.647",0.84906,0.79838,0.80062,0.80228,0.80228,0.80228
"M1209.581T888.373",0.8483,0.85834,0.85422,0.85435,0.85435,0.85435
"M633.053T106.254",0.84781,0.78812,0.78344,0.78269,0.78268,0.78268
"M445.037T424.564",0.84779,0.79367,0.79391,0.79321,0.79321,0.79321
"M553.164T782.325",0.84777,0.92304,0.91657,0.91538,0.91537,0.91537
"M981.364T901.259",0.84773,1.0278,1.0217,1.0219,1.0219,1.0219
"M569.35T895.921",0.84731,0.88528,0.89116,0.89039,0.89038,0.89038
"M323.042T818.446",0.84543,1.0112,1.0042,1.003,1.0031,1.0031
"M564.929T1201.416",0.8454,0.81321,0.80889,0.80962,0.80961,0.80961
"M476.876T67.016",0.84434,0.78363,0.77851,0.77968,0.77969,0.77969
"M521.022T764.729",0.8432,0.81641,0.8225,0.82132,0.82131,0.82131
"M313.275T1417.53",0.84299,0.78267,0.78419,0.78541,0.78541,0.78541
"M757.441T1176.453",0.84287,0.85625,0.88926,0.8895,0.88956,0.88956
"M316.508T323.984",0.84215,0.7866,0.78616,0.78504,0.78503,0.78503
