"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"X02.C12.2.neg",-16.019,3.1796,2.8932,4.0112,1.1884,-0.68701,-2.4633e-15
"X18.C12.3.neg",-21.209,-7.4243,-2.1709,-0.19105,0.34656,-0.16457,-3.6204e-15
"X33.C12.4.neg",-12.065,3.0686,2.2818,-4.7614,-1.1663,-0.2772,7.9103e-16
"X05.F12.4.neg",6.6493,1.3027,-0.80093,-0.074492,1.6416,4.3425,7.5721e-15
"X22.F12.1.neg",25.039,-4.9575,3.4176,0.039537,-0.016244,-0.74943,2.2239e-15
"X38.F12.2.neg",11.389,3.0798,-3.3795,-0.73589,2.7438,-2.4415,-6.5694e-15
"X43.F12.3.neg",6.2148,1.751,-2.2412,1.7122,-4.7378,-0.022861,2.9161e-15
