"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg"
"Label","Control","Control","Control","Drought","Drought","Drought","Drought","Fusarium","Fusarium","Fusarium","Fusarium","Other","Other","Other","Other","Xanthomonas","Xanthomonas","Xanthomonas"
"M1462.085T939.347","2423.6984","   0.0000","2659.9768","2805.2080"," 227.3650","   0.0000"," 747.6285","2637.6575","6808.7029","5210.4873","4739.7406"," 786.8849","1466.3791","4739.9057","2743.6055","   0.0000","1859.5791","2861.3713"
"M315.108T761.986"," 6854.821"," 5655.420","19680.318"," 3928.745"," 6308.321","    0.000"," 6023.588"," 9082.244","12103.780","16338.223","13552.272","    0.000","11088.794","11587.375"," 4541.358","    0.000","11129.475","15820.657"
"M471.152T726.342"," 7216.9809"," 7131.8329"," 4494.7728"," 6333.2181"," 7485.0103","  236.9587","10216.6276","11442.6191","11499.7112"," 8203.8136"," 9592.1403","  262.1638"," 8893.9112"," 8590.3465"," 9690.2936","    0.0000"," 9229.2086","12432.9064"
"M377.162T1630.7"," 7926.063","11180.402","13282.510"," 8665.711","10663.624"," 3249.081","10759.131","11201.179","12021.147","12420.661","10421.513"," 9930.704","10984.420","11292.254"," 8457.009"," 8900.000","10684.845"," 6387.228"
"M272.073T418.674","    0.0000","  345.7662","    0.0000"," 8125.7375"," 1496.6661","    0.0000","10021.4540","  173.9500","  394.2138","  583.9669","    0.0000","    0.0000"," 4796.6178"," 4610.4359"," 3880.9304","    0.0000"," 2231.9615","  352.9271"
"M237.04T858.99","   0.0000"," 661.6863","5464.7365","4356.9307","4162.4172","   0.0000","2456.1716","5675.4502","4518.3252","2920.0679","4544.0918","   0.0000","3291.1655","2781.1523","2240.0526","   0.0000","6304.7823","4806.2716"
"M309.478T1627.463","18602.196","17733.589","21997.674","19700.849","21671.166"," 6026.886","14199.945","14324.915","14936.518","17499.280","17529.397","11178.280","15782.658","17378.973","19999.619","16000.000","19934.655","19494.825"
"M369.569T765.536","6626.7493","7641.3730","7144.8084","1725.0437"," 788.3204"," 224.0190","7032.0611","6297.8383","5032.7619","6203.2298","5871.5737","   0.0000","6290.3419","4716.6794","2829.8139","   0.0000","5747.4665","4535.3873"
"M427.038T293.27","19824.3279","17672.9032","51320.1375","39313.4776","22901.7697"," 1231.4119","53863.8104","27660.5706","31130.1218","35584.1890","49187.3907","  938.0777","24265.0702","34145.6581","38757.2204","  176.0000","57801.8000","69156.8188"
"M383.058T256.181"," 2972.391"," 2285.158"," 5493.707"," 2541.106"," 2957.529","    0.000"," 6998.102"," 4909.032","10820.648"," 6390.496"," 7659.685","    0.000"," 5637.311"," 5243.882"," 7597.417","    0.000"," 1699.088"," 4770.023"
"M684.191T618.708","   0.0000","   0.0000","   0.0000","1037.6057"," 420.3955"," 183.4004","7308.8187"," 151.1181","   0.0000"," 551.5022","   0.0000"," 390.3497"," 720.5763"," 151.5590","1012.0283","   0.0000"," 197.9883"," 361.6137"
"M1144.448T942.538"," 8532.476"," 2298.766","12133.963","14274.675"," 6784.842","    0.000","12908.392","16088.710","12270.192","22900.139","11153.786","    0.000"," 5672.656","10067.943"," 3346.131","    0.000","16661.730","15449.898"
"M613.774T885.363","5727.7797","6670.1568","8020.8031","5304.6301","9507.8944","1662.9759","6242.8534","7055.5762","7146.5020","6162.8350","8119.5728"," 329.0578","6947.8233","7391.4968","8006.0868","   0.0000","5422.7059","6261.5885"
"M1176.528T983.06"," 5338.9945","  767.1046","14106.5635","16676.2310"," 8634.1844","    0.0000","19683.4360","24835.0832","10017.6707","22440.5809","17160.7131","  278.8535","17152.5006","12614.4510"," 7785.6200","    0.0000","15580.4411","19696.1952"
"M951.397T1014.118","1243.795","   0.000","2493.489","4705.720","4517.295","   0.000","5554.305","3785.072","2423.682","3514.426","2728.236","   0.000","8029.010","4526.608","5096.826","   0.000","3999.175","2490.939"
"M998.841T1404.514"," 8938.2325","13818.7926"," 8882.7042","13672.6363","12288.3449","    0.0000","14254.8983","13246.3533","10184.9002","10046.7295","12019.2438","  160.1981","10570.5459","12251.1613","13238.5632","  148.0000","13643.8298","13104.9118"
"M425.103T1191.927"," 9036.781"," 8462.337"," 6789.467"," 6015.471"," 8633.291","44880.703","10828.562","10576.300","11186.204","10773.382","11642.772"," 6976.019"," 9280.761"," 7823.035","11011.158","13100.000"," 9582.869"," 7491.139"
"M389.182T799.355","14325.147","15191.188","13306.754"," 7188.636"," 8338.069","    0.000","15189.460","11575.980","15401.153"," 8275.388","24341.830","    0.000","11341.800"," 9740.081","20757.505","    0.000"," 9874.904"," 9139.759"
"M895.29T938.858","1694.586","   0.000","2128.991","   0.000","4059.009","   0.000","3975.240","4088.193","6888.439","6105.815","5597.270","   0.000","5782.311","5616.001","   0.000","   0.000","5173.897","2114.074"
"M924.351T839.79"," 4195.8769"," 1921.0641"," 8813.2747"," 5049.5196"," 5839.7632","    0.0000","12472.1764"," 7810.4583","10372.1999","12102.4005"," 6934.1407","  598.8271"," 5763.6461"," 6853.0835"," 5403.6237","    0.0000","10758.1925"," 6337.8817"
