"","FC","log2(FC)","raw.pval","-log10(p)"
"M630.879T67.545",4.7039,2.2339,0.007381,2.1319
"M727.283T864.823",2.8245,1.498,0.0073893,2.1314
"M1031.347T966.014",5.471,2.4518,0.0074363,2.1286
"M419.115T799.29",3.8618,1.9493,0.0074703,2.1267
"M732.876T67.374",6.5734,2.7166,0.0075065,2.1246
"M401.049T776.54",5.1073,2.3526,0.0075211,2.1237
"M644.248T900.496",8.0618,3.0111,0.0076088,2.1187
"M225.002T107.866",5.5533,2.4733,0.0076261,2.1177
"M359.061T194.361",3.7358,1.9014,0.0076329,2.1173
"M655.655T928.688",3.4602,1.7909,0.0076673,2.1154
"M393.176T847.594",3.8241,1.9351,0.0077359,2.1115
"M492.868T66.13",2.5019,1.323,0.0078184,2.1069
"M1197.439T886.215",6.4167,2.6818,0.0078471,2.1053
"M567.171T792.05",3.7339,1.9007,0.0078542,2.1049
"M691.153T854.793",5.1885,2.3753,0.0079251,2.101
"M650.407T1378.088",7.2894,2.8658,0.0079286,2.1008
"M246.886T1784.096",3.4527,1.7877,0.0079403,2.1002
"M354.093T469.671",5.8561,2.5499,0.0080297,2.0953
"M1015.586T1347.819",3.443,1.7836,0.0080768,2.0928
"M511.24T944.134",3.8271,1.9363,0.0080834,2.0924
"M429.074T115.482",3.4192,1.7736,0.0080929,2.0919
"M627.173T806.181",3.9192,1.9706,0.0080977,2.0916
"M795.27T865.806",4.0028,2.001,0.0081037,2.0913
"M238.892T97.993",4.9698,2.3132,0.0081104,2.091
"M451.218T291.531",4.8544,2.2793,0.0081259,2.0901
"M753.298T903.043",5.6912,2.5087,0.0081463,2.089
"M643.188T893.85",2.7517,1.4603,0.0081463,2.089
"M676.835T65.732",4.6935,2.2307,0.0081505,2.0888
"M433.661T789.942",3.401,1.7659,0.0081623,2.0882
"M643.245T813.714",3.7303,1.8993,0.008178,2.0874
"M633.053T106.254",2.9069,1.5395,0.0083477,2.0784
"M361.323T326.759",8.1165,3.0209,0.0083743,2.0771
"M313.094T115.286",2.4818,1.3114,0.0083804,2.0767
"M991.316T318.206",3.0519,1.6097,0.0084281,2.0743
"M375.104T216.821",4.6091,2.2045,0.0084939,2.0709
"M173.008T106.871",4.4349,2.1489,0.0085332,2.0689
"M653.891T318.024",4.2409,2.0844,0.0085756,2.0667
"M507.151T845.473",4.7291,2.2416,0.0086383,2.0636
"M341.465T625.973",10.627,3.4097,0.0087097,2.06
"M593.686T850.456",7.1683,2.8416,0.0087428,2.0583
"M621.052T106.9",3.9623,1.9863,0.0087627,2.0574
"M1087.412T876.684",4.4739,2.1615,0.0088867,2.0513
"M455.081T704.884",3.5681,1.8352,0.0089143,2.0499
"M745.161T766.586",4.906,2.2946,0.0089158,2.0498
"M351.085T316.423",3.5652,1.834,0.0089168,2.0498
"M1044.425T908.907",8.2657,3.0471,0.0089696,2.0472
"M685.228T857.881",6.3876,2.6753,0.0090384,2.0439
"M1390.547T1005.094",2.5149,1.3305,0.0091068,2.0406
"M601.172T845.875",3.9786,1.9923,0.009136,2.0392
"M385.188T793.619",3.8084,1.9292,0.0091526,2.0385
"M1085.513T1348.399",3.6977,1.8866,0.0091542,2.0384
"M483.209T897.853",3.9372,1.9772,0.0091778,2.0373
"M471.152T726.342",6.012,2.5878,0.0091795,2.0372
"M1014.585T1348.471",3.5458,1.8261,0.0091987,2.0363
"M768.448T1315.096",4.6054,2.2033,0.00921,2.0357
"M1461.92T936.679",6.7792,2.7611,0.0092395,2.0344
"M998.841T1404.514",3.7075,1.8904,0.0092673,2.033
"M317.087T121.975",4.5549,2.1874,0.0092788,2.0325
"M941.317T938.576",8.8061,3.1385,0.0093491,2.0292
"M1201.918T909.936",3.9268,1.9733,0.0094568,2.0243
"M333.083T110.42",4.4461,2.1525,0.0095408,2.0204
"M1095.872T896.96",6.0572,2.5986,0.0096248,2.0166
"M937.388T970.431",5.1767,2.372,0.0096467,2.0156
"M998.861T1404.179",3.9571,1.9844,0.0096503,2.0155
"M1013.583T1347.533",3.4639,1.7924,0.0096621,2.0149
"M375.07T470.729",5.757,2.5253,0.0097238,2.0122
"M426.882T91.046",2.6941,1.4298,0.0098796,2.0053
"M651.317T893.83",3.1995,1.6778,0.0099069,2.0041
"M425.103T1191.927",4.8847,2.2883,0.0099073,2.004
"M807.744T937.741",6.5661,2.715,0.0099245,2.0033
"M397.259T1311.545",4.3211,2.1114,0.0099886,2.0005
"M329.089T195.942",2.8194,1.4954,0.010003,1.9999
"M807.007T938.915",8.6446,3.1118,0.010051,1.9978
"M1097.037T893.528",6.2135,2.6354,0.010054,1.9977
"M329.088T474.939",3.5212,1.8161,0.010061,1.9974
"M457.19T799.683",3.6306,1.8602,0.010097,1.9958
"M447.222T1194.448",3.4165,1.7725,0.010117,1.9949
"M1007.373T920.82",5.5356,2.4687,0.010183,1.9921
"M180.971T1182.798",3.4168,1.7727,0.010214,1.9908
"M575.708T1045.732",2.9609,1.5661,0.010243,1.9896
"M1095.906T894.31",6.9659,2.8003,0.010356,1.9848
"M1363.57T899.951",5.5524,2.4731,0.010418,1.9822
"M365.528T823.98",42.562,5.4115,0.010442,1.9812
"M429.141T889.195",5.8457,2.5474,0.010446,1.981
"M549.147T750.744",4.8707,2.2841,0.010715,1.97
"M1132.537T923.907",3.9701,1.9892,0.010734,1.9693
"M799.289T814.54",2.1448,1.1008,0.01076,1.9682
"M295.104T156.471",4.9225,2.2994,0.010818,1.9659
"M297.119T136.686",4.424,2.1454,0.010866,1.9639
"M293.118T1042.937",76.397,6.2554,0.010937,1.9611
"M487.016T806.181",4.0168,2.006,0.010952,1.9605
"M581.318T900.123",3.3764,1.7555,0.010971,1.9598
"M469.208T948.545",5.5144,2.4632,0.010989,1.959
"M293.177T1149.195",4.7604,2.2511,0.010991,1.959
"M204.085T413.719",71.058,6.1509,0.010998,1.9587
"M647.193T836.421",6.5498,2.7115,0.011049,1.9567
"M673.289T892.945",3.9938,1.9978,0.011182,1.9515
"M471.897T67.543",2.5459,1.3482,0.011193,1.9511
"M548.979T106.308",4.0657,2.0235,0.011243,1.9491
"M401.144T790.222",5.1408,2.362,0.011395,1.9433
"M553.051T758.396",3.3311,1.736,0.0114,1.9431
"M1097.514T1402.931",3.5281,1.8189,0.011417,1.9425
"M266.946T113.686",3.8894,1.9596,0.011441,1.9415
"M387.034T831.689",42.759,5.4181,0.011494,1.9395
"M885.489T1408.277",4.8558,2.2797,0.011532,1.9381
"M609.054T106.871",4.299,2.104,0.011559,1.9371
"M731.208T950.406",3.5623,1.8328,0.011698,1.9319
"M409.075T617.585",10.357,3.3725,0.011738,1.9304
"M516.992T825.04",68.964,6.1078,0.011776,1.929
"M632.663T319.55",3.111,1.6374,0.011932,1.9233
"M988.312T316.465",2.8595,1.5158,0.011976,1.9217
"M481.224T887.168",2.8034,1.4872,0.011987,1.9213
"M559.276T958.275",5.9603,2.5754,0.011993,1.9211
"M429.25T1071.941",4.2334,2.0818,0.01208,1.9179
"M581.283T805.632",4.2162,2.0759,0.012097,1.9173
"M676.309T1245.665",2.5919,1.374,0.012125,1.9163
"M467.051T320.771",5.2743,2.399,0.012145,1.9156
"M728.88T67.591",6.9188,2.7905,0.012251,1.9118
"M863.184T809.21",4.0502,2.018,0.012292,1.9104
"M475.187T823.258",7.6204,2.9299,0.012315,1.9096
"M795.198T1006.041",5.9081,2.5627,0.012351,1.9083
"M508.215T930.69",3.5038,1.8089,0.012395,1.9067
"M937.334T882.127",6.3753,2.6725,0.012491,1.9034
"M921.374T936.829",7.9204,2.9856,0.012504,1.9029
"M397.075T138.684",3.8635,1.9499,0.012569,1.9007
"M415.086T168.579",4.1218,2.0433,0.012571,1.9006
"M941.306T938.915",8.3749,3.0661,0.012587,1.9001
"M399.092T115.22",3.3695,1.7525,0.012689,1.8966
"M319.076T917.392",23.894,4.5786,0.012705,1.896
"M407.045T415.442",4.3247,2.1126,0.012886,1.8899
"M654.008T318.692",3.9421,1.979,0.012911,1.889
"M587.201T848.147",5.0621,2.3397,0.013088,1.8831
"M1013.86T1346.532",4.0174,2.0062,0.013114,1.8823
"M971.627T318.415",2.8703,1.5212,0.013157,1.8808
"M439.083T756.683",4.7283,2.2413,0.013207,1.8792
"M444.872T67.426",2.6391,1.4001,0.013212,1.879
"M383.058T256.181",8.5686,3.0991,0.013226,1.8786
"M413.081T316.361",3.5716,1.8366,0.013352,1.8744
"M562.892T1151.046",2.1113,1.0781,0.013366,1.874
"M451.007T107.467",2.9965,1.5833,0.013391,1.8732
"M1071.559T892.477",4.7798,2.2569,0.013427,1.872
"M864.188T806.912",4.2756,2.0961,0.013503,1.8696
"M408.822T1801.685",4.5131,2.1741,0.013528,1.8688
"M434.871T1737.903",3.7937,1.9236,0.013577,1.8672
"M331.103T255.151",3.798,1.9252,0.013723,1.8626
"M565.23T844.341",3.2546,1.7025,0.013731,1.8623
"M967.561T1349.704",4.0397,2.0142,0.01378,1.8608
"M481.183T807.444",5.7445,2.5222,0.01381,1.8598
"M947.485T901.595",5.8682,2.5529,0.013816,1.8596
"M1031.899T1225.646",2.1638,1.1135,0.013878,1.8577
"M702.25T942.066",3.821,1.934,0.0139,1.857
"M664.226T813.714",4.9738,2.3143,0.013981,1.8545
"M410.078T615.621",45.38,5.504,0.014011,1.8535
"M1613.665T937.741",19.324,4.2723,0.01405,1.8523
"M821.506T1329.663",4.4143,2.1422,0.01405,1.8523
"M567.333T903.822",4.2245,2.0788,0.014081,1.8514
"M727.414T1292.189",2.8711,1.5216,0.014082,1.8513
"M645.848T67.545",2.6806,1.4225,0.014099,1.8508
"M807.113T936.925",7.427,2.8928,0.014123,1.8501
"M277.129T811.716",3.8583,1.948,0.014181,1.8483
"M1030.642T1193.369",2.1986,1.1366,0.014185,1.8482
"M287.077T663.979",2.7689,1.4693,0.014187,1.8481
"M359.098T671.316",3.9183,1.9702,0.014227,1.8469
"M325.2T1323.486",2.5133,1.3296,0.01423,1.8468
"M285.909T1803.837",3.626,1.8584,0.014291,1.845
"M819.254T316.358",3.0665,1.6166,0.014387,1.842
"M808.342T938.944",7.5327,2.9132,0.014412,1.8413
"M293.177T1099.499",4.124,2.044,0.014499,1.8387
"M372.9T1734.569",3.4827,1.8002,0.014505,1.8385
"M559.066T758.189",4.2859,2.0996,0.01471,1.8324
"M661.253T876.035",3.8211,1.934,0.014744,1.8314
"M1162.522T896.44",3.1689,1.664,0.014753,1.8311
"M1095.01T894.541",2.8192,1.4953,0.014762,1.8309
"M721.31T972.44",4.9005,2.2929,0.014803,1.8296
"M1063.398T908.83",6.3639,2.6699,0.014862,1.8279
"M649.302T900.549",3.6768,1.8784,0.01494,1.8257
"M975.202T831.412",18.76,4.2296,0.015001,1.8239
"M384.092T841.195",2.2788,1.1883,0.015037,1.8228
"M402.187T763.436",4.3756,2.1295,0.015069,1.8219
"M970.813T317.253",3.8771,1.955,0.015108,1.8208
"M613.564T887.981",3.0018,1.5858,0.015209,1.8179
"M1130.454T886.215",6.5353,2.7083,0.015239,1.817
"M415.744T872.34",3.6053,1.8501,0.015277,1.816
"M485.168T916.74",3.9805,1.993,0.015287,1.8157
"M316.385T321.843",3.4227,1.7751,0.015306,1.8151
"M503.126T874.193",4.9134,2.2967,0.015327,1.8145
"M413.167T733.785",3.047,1.6074,0.015382,1.813
"M497.261T974.778",4.3328,2.1153,0.015389,1.8128
"M695.298T853.355",5.4786,2.4538,0.015415,1.8121
"M415.161T821.344",3.2867,1.7167,0.015452,1.811
"M626.212T761.224",3.5506,1.828,0.015485,1.8101
"M712.22T783.012",8.654,3.1134,0.015497,1.8098
"M354.957T108.842",4.0114,2.0041,0.015579,1.8075
"M333.926T91.902",4.6162,2.2067,0.015593,1.8071
"M503.143T589.731",6.5083,2.7023,0.01563,1.806
"M485.063T759.194",2.718,1.4425,0.015729,1.8033
"M1323.606T888.291",5.5181,2.4642,0.01573,1.8033
"M340.859T1719.351",3.97,1.9891,0.01573,1.8033
"M323.019T128.103",3.3843,1.7589,0.015738,1.803
"M1432.595T1048.493",8.5159,3.0902,0.015753,1.8026
"M683.129T316.242",4.0324,2.0117,0.015812,1.801
"M615.152T88.13",3.5646,1.8337,0.015855,1.7998
"M384.097T310.658",3.599,1.8476,0.016013,1.7955
"M371.09T764.993",3.3187,1.7306,0.016061,1.7942
"M139.002T112.479",3.6668,1.8745,0.016167,1.7914
"M445.037T424.564",3.0912,1.6282,0.016291,1.788
"M287.076T110.312",3.2501,1.7005,0.016373,1.7859
"M836.743T1479.398",3.2863,1.7164,0.016378,1.7858
"M316.508T323.984",3.0063,1.588,0.016471,1.7833
"M836.522T1479.692",3.938,1.9775,0.016475,1.7832
"M619.26T816.529",3.5519,1.8286,0.016592,1.7801
"M861.166T878.352",4.368,2.127,0.016677,1.7779
"M806.921T938.616",7.6134,2.9285,0.016711,1.777
"M527.309T1189.176",2.5091,1.3272,0.016744,1.7761
"M361.589T316.501",3.4836,1.8006,0.016836,1.7738
"M806.073T940.272",5.9378,2.5699,0.016843,1.7736
"M369.388T763.979",3.3558,1.7467,0.017064,1.7679
"M1099.581T1224.487",2.8815,1.5268,0.01712,1.7665
"M811.459T986.188",4.7933,2.261,0.017219,1.764
"M331.068T223.104",8.0497,3.0089,0.017277,1.7625
"M843.287T936.679",7.4538,2.898,0.017297,1.762
"M289.084T863.831",4.1026,2.0366,0.017314,1.7616
"M1323.575T889.628",4.4874,2.1659,0.017387,1.7598
"M1130.437T924.326",9.6491,3.2704,0.017435,1.7586
"M344.099T126.621",3.8167,1.9323,0.017486,1.7573
"M735.437T1351.512",3.5323,1.8206,0.017492,1.7571
"M387.346T67.938",2.7886,1.4795,0.017811,1.7493
"M466.978T106.664",2.7877,1.4791,0.017864,1.748
"M470.098T771.956",4.1698,2.06,0.017895,1.7473
"M613.854T887.38",3.1458,1.6534,0.018017,1.7443
"M433.122T384.02",4.3955,2.136,0.018027,1.7441
"M775.338T1039.594",12.261,3.616,0.018077,1.7429
"M460.969T105.772",4.8474,2.2772,0.018118,1.7419
"M383.433T314.152",3.2084,1.6819,0.018185,1.7403
"M919.493T1102.884",3.8032,1.9272,0.018373,1.7358
"M895.29T938.858",15.808,3.9826,0.018403,1.7351
"M311.186T1077.614",4.4518,2.1544,0.018412,1.7349
"M809.433T1339.33",3.66,1.8718,0.018542,1.7318
"M613.774T885.363",3.7329,1.9003,0.018572,1.7311
"M421.636T753.774",6.1323,2.6164,0.018601,1.7305
"M455.021T825.04",27.324,4.7721,0.018615,1.7301
"M383.555T317.319",3.5887,1.8434,0.01863,1.7298
"M715.392T322.783",5.3611,2.4225,0.018786,1.7262
"M522.878T65.745",3.1357,1.6488,0.018839,1.7249
"M409.002T109.878",3.5119,1.8123,0.018841,1.7249
"M383.609T322.831",3.6294,1.8597,0.018858,1.7245
"M559.04T89.345",3.7913,1.9227,0.018877,1.7241
"M272.963T113.946",3.8425,1.9421,0.01895,1.7224
"M890.319T900.562",5.4922,2.4574,0.019043,1.7203
"M459.149T771.729",3.975,1.991,0.019093,1.7191
"M822.313T886.782",8.0271,3.0049,0.019095,1.7191
"M310.974T92.682",6.9493,2.7969,0.019096,1.719
"M417.177T763.775",4.3939,2.1355,0.01911,1.7187
"M447.259T942.596",4.7039,2.2339,0.01911,1.7187
"M781.183T974.609",10.421,3.3814,0.019142,1.718
"M765.729T983.05",4.8505,2.2781,0.019146,1.7179
"M540.867T1245.744",2.2852,1.1923,0.019191,1.7169
"M473.196T813.174",4.366,2.1263,0.019256,1.7154
"M715.427T310.719",3.9867,1.9952,0.019312,1.7142
"M437.065T776.272",3.2206,1.6873,0.019357,1.7132
"M869.849T1307.413",3.4569,1.7895,0.019509,1.7098
"M1000.263T316.358",3.0695,1.618,0.019545,1.709
"M353.181T807.324",5.048,2.3357,0.019566,1.7085
"M377.049T427.197",3.2841,1.7155,0.019655,1.7065
"M621.221T884.304",3.6995,1.8873,0.019706,1.7054
"M469.036T876.272",68.345,6.0948,0.019909,1.7009
"M1048.557T894.929",4.7791,2.2567,0.020023,1.6985
"M1143.444T941.11",6.9665,2.8004,0.020083,1.6972
"M343.102T681.368",2.3244,1.2168,0.020249,1.6936
"M633.753T316.098",3.0281,1.5984,0.020353,1.6914
"M366.994T111.318",3.9135,1.9685,0.020371,1.691
"M1136.99T908.053",3.4487,1.7861,0.020459,1.6891
"M485.178T783.442",3.4049,1.7676,0.020467,1.6889
"M545.298T995.647",3.3018,1.7233,0.020526,1.6877
"M889.313T902.886",6.6336,2.7298,0.020594,1.6863
"M637.025T106.841",2.994,1.5821,0.020595,1.6862
"M784.154T761.471",3.9227,1.9719,0.02075,1.683
"M385.113T791.317",3.095,1.6299,0.020981,1.6782
"M289.886T1868.955",4.1346,2.0478,0.02101,1.6776
"M377.162T1630.7",3.9095,1.967,0.021094,1.6758
"M851.154T319.552",3.2764,1.7121,0.021222,1.6732
"M557.187T899.436",2.2466,1.1678,0.021323,1.6712
"M531.009T876.272",38.888,5.2812,0.021342,1.6708
"M985.574T1225.672",2.4378,1.2856,0.021375,1.6701
"M551.272T837.928",4.6979,2.232,0.021428,1.669
"M309.118T727.508",5.4004,2.4331,0.021429,1.669
"M859.153T942.886",3.0335,1.601,0.021451,1.6685
"M868.801T68.637",4.8018,2.2636,0.021468,1.6682
"M447.959T106.92",5.5768,2.4794,0.021488,1.6678
"M593.763T756.056",5.156,2.3663,0.021763,1.6623
"M475.366T1425.395",7.308,2.8695,0.021805,1.6614
"M941.508T1318.851",3.2566,1.7034,0.021807,1.6614
"M1255.613T888.434",4.4725,2.1611,0.021929,1.659
