"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"M560.841T1187.938","-0.2263679","-0.5191435","-0.2939516"," 0.0307798"," 0.6395231","-0.1388559"," 0.5080160"
"M354.957T108.842","-0.6255407","-0.5570645","-0.4392652"," 0.2199912"," 0.9656906"," 0.4174992"," 0.0186894"
"M590.775T907.789","-0.4273536","-0.2235197","-0.3045855","-0.2299307"," 1.1406266","-0.2570177"," 0.3017806"
"M206.082T164.917","-0.02656264"," 0.07507468"," 0.47120852"," 0.52698260","-0.98189472","-0.01878494","-0.04602350"
"M1161.521T895.466","-0.61607376","-0.29626038","-0.52133956"," 0.18125118"," 1.15348616"," 0.15518448","-0.05624813"
"M418.218T902.438","-0.64434584","-1.02290967","-0.03836126"," 0.22095965"," 0.95499288"," 0.40772154"," 0.12194270"
"M632.783T316.499","-0.61517049","-0.63413756","-0.22873269"," 0.67361826"," 0.53278222"," 0.05218783"," 0.21945242"
"M451.218T291.531","-0.5393150","-0.9161076","-0.3389324"," 0.2706619"," 0.9674288"," 0.3075614"," 0.2487029"
"M344.099T126.621","-0.5901702","-0.8858205","-0.1932329"," 0.2597958"," 0.8742179"," 0.2997348"," 0.2354751"
"M385.113T835.894","-0.1917221","-1.3796423","-0.5277549"," 0.2935960"," 0.8002625"," 0.5141123"," 0.4911485"
"M627.229T851.009","-0.5740433","-1.1028165","-0.2546321"," 0.2647403"," 0.8532193"," 0.4979820"," 0.3155502"
"M885.489T1408.277","-0.6067794","-0.7202535","-0.3994810"," 0.2413794"," 1.0472969"," 0.3338444"," 0.1039932"
"M645.124T781.203","-0.39816507","-0.46028648","-0.72327781"," 0.12278809"," 1.24497954","-0.02633413"," 0.24029587"
"M942.469T1308.469","-0.67481364","-0.45765417","-0.31872250"," 0.19731905"," 1.04239559"," 0.19787053"," 0.01360512"
"M421.069T767.549","-0.5554438","-0.7085848","-0.7467760"," 0.3616192"," 1.0099704"," 0.3830308"," 0.2561843"
"M643.245T813.714","-0.4539046","-0.8867683","-0.3558601"," 0.1434516"," 0.7213112"," 0.4872875"," 0.3444826"
"M745.161T766.586","-0.3496252","-0.8850569","-0.5320146"," 0.3017128"," 1.0124986"," 0.2791994"," 0.1732859"
"M316.508T323.984","-0.5037889","-0.4637735","-0.4984453"," 0.2068354"," 0.8920404"," 0.2319215"," 0.1352104"
"M729.273T847.264","-0.7429177","-0.7423164","-0.4208069"," 0.1769586"," 0.8310593"," 0.5115843"," 0.3864389"
"M417.764T850.924","-0.5534404","-0.8831276","-0.1026992"," 0.1686120"," 0.9861319"," 0.2390896"," 0.1454338"
"M653.752T320.843","-0.5440310","-0.5527838","-0.3871200"," 0.4278621"," 0.6570158"," 0.2272863"," 0.1717706"
"M683.129T316.242","-0.9572732","-0.4982214","-0.3014060"," 0.3211850"," 0.7717175"," 0.3789005"," 0.2850976"
"M653.783T316.318","-0.5752774","-0.6242368","-0.3134606"," 0.2300814"," 0.5690498"," 0.3846108"," 0.3292329"
