"","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"M501.206T823.684","-0.22344650","-1.43050497"," 0.01362040"," 0.02000694"," 0.90523117"," 0.47093981"," 0.24415315"
"M438.049T766.588","-0.49528481","-0.56632949","-0.61126440"," 0.03165483"," 0.95259195"," 0.66700345"," 0.02162847"
"M1013.583T1347.533","-0.53049431","-0.67565830","-0.35047007"," 0.27986577"," 0.90564090"," 0.32896133"," 0.04215469"
"M407.045T415.442","-0.63124180","-0.57494012","-0.48142645"," 0.30460358"," 0.96987119"," 0.36683062"," 0.04630298"
"M331.068T223.104","-0.73679974","-0.76150233","-0.40566942"," 0.07803309"," 1.22517757"," 0.43665395"," 0.16410688"
"M384.092T841.195","-0.4684407","-0.1910265","-0.6931535"," 0.2472396"," 0.4656793"," 0.4828194"," 0.1568824"
"M1611.697T937.933","-0.5992273","-1.3361495","-0.7076867"," 0.3312902"," 1.2863784"," 0.7876428"," 0.2377521"
"M653.913T316.046","-0.8276247","-0.6440749","-0.3049075"," 0.3295687"," 0.8628286"," 0.2921271"," 0.2920828"
"M969.317T316.321","-0.4662690","-0.8816812","-0.1914167"," 0.4103676"," 0.4086815"," 0.4523348"," 0.2679831"
"M311.104T1075.82","-0.05683862","-1.00781137","-0.38734595"," 0.55417677"," 0.71532487"," 0.03461508"," 0.14787922"
"M380.071T778.258","-0.8113647","-1.1633576","-0.7532508"," 0.3145109"," 0.9358546"," 0.5170651"," 0.9605426"
"M638.078T817.768","-0.2654318","-1.0259937"," 0.0754567"," 0.1787968"," 0.4342700"," 0.1724562"," 0.4304459"
"M651.317T893.83","-0.5860430","-0.5644876","-0.3656574"," 0.1375486"," 0.8643082"," 0.4019212"," 0.1124101"
"M1167.557T907.179","-0.9414636","-0.5212330","-0.3916905"," 0.6229140"," 0.7276245"," 0.5681363","-0.0642877"
"M221.066T891.624","-0.5454069","-0.7399652","-0.3869839"," 0.1317673"," 0.5254859"," 0.6581028"," 0.3570001"
"M204.085T413.719","-0.9256222","-0.9270935","-0.9459165"," 0.1967598"," 1.4710196"," 0.3195842"," 0.8112686"
"M621.125T857.148","-1.0901717","-0.6764514","-0.1354920"," 0.0718850"," 0.7568378"," 0.5894082"," 0.4839840"
"M1009.554T1308.282","-0.49632423","-0.42347542","-0.42253390"," 0.20985030"," 0.99380667"," 0.15561455","-0.01693797"
"M483.178T941.182","-1.0470709","-0.4573861","-0.1598806"," 0.3751895"," 0.8153276"," 0.3653929"," 0.1084275"
"M1057.411T880.24","-0.2770473","-1.2046626","-0.4110905"," 0.1965753"," 0.8591745"," 0.6706760"," 0.1663746"
"M469.208T948.545","-0.2809607","-0.9565105","-0.7121372"," 0.2916229"," 0.8585006"," 0.4286185"," 0.3708664"
"M673.289T892.945","-0.6133154","-0.7640711","-0.2586927"," 0.1367642"," 0.9687086"," 0.3430000"," 0.1876063"
"M833.365T968.818","-0.63416689","-1.14885921","-0.16536534"," 0.09982149"," 1.12818552"," 0.30622879"," 0.41415564"
"M893.38T934.735","-0.3075817","-1.4529942","-0.3835042"," 0.4059496"," 0.9706992"," 0.5271270"," 0.2403044"
"M393.176T847.594","-0.58440154","-0.73063478","-0.31520730"," 0.07288515"," 0.91736784"," 0.35625897"," 0.28373166"
"M981.364T901.259","-0.4029236","-0.9288629","-0.1439365"," 0.1588757"," 1.0776611"," 0.1089218"," 0.1302644"
"M653.935T315.929","-0.5471054","-0.7446578","-0.3245254"," 0.2923479"," 0.8616343"," 0.1924375"," 0.2698688"
"M865.491T1326.551","-0.519309010","-0.552725405","-0.345764213"," 0.277423313"," 1.070964301"," 0.079395946","-0.009984931"
"M449.202T630.506","-0.4478754","-0.6457821","-0.4609199"," 0.1857325"," 0.7935643"," 0.2692805"," 0.3060001"
"M437.065T776.272","-0.504738970","-0.534586052","-0.450819326"," 0.320561567"," 0.907288521"," 0.270782919","-0.008488658"
"M268.959T125.12","-0.426426812","-0.634306002","-0.207577517"," 0.036229150"," 0.989395304"," 0.235660999"," 0.007024878"
"M551.272T837.928","-0.3071837","-1.0370793","-0.4250923"," 0.3454503"," 0.9435458"," 0.3538139"," 0.1265453"
"M456.197T892.811","-0.6771551","-0.8020340","-0.3279763"," 0.2219849"," 0.9122159"," 0.3874961"," 0.2854686"
"M356.995T88.504","-0.45085822","-0.70693221","-0.74898722"," 0.44317131"," 1.00307704"," 0.08849945"," 0.37202984"
"M391.157T830.263","-0.06320125","-1.82751113","-0.06326254"," 0.25465001"," 0.79257346"," 0.48783993"," 0.41891152"
"M567.778T908.116","-0.60625375","-0.33339568","-0.22465205","-0.04678262"," 1.04825003"," 0.03953154"," 0.12330253"
"M559.667T1200.71","-0.17886536","-0.54930211","-0.62232152"," 0.06628831"," 1.14480372"," 0.24725236","-0.10785540"
"M455.193T892.238","-0.90309767","-1.01301417","-0.04233499"," 0.30855435"," 0.93034270"," 0.29631417"," 0.42323561"
"M651.363T1268.695","-0.68244935","-0.11619680","-0.52111819","-0.11613583"," 1.22010852"," 0.08101355"," 0.13477810"
"M1255.613T888.434","-0.62740827","-0.49227383","-0.52866583","-0.01205412"," 1.01742078"," 0.16459219"," 0.47838907"
"M701.195T940.853","-0.64950233","-0.51913344","-0.53584381"," 0.09540902"," 1.11983318"," 0.14235522"," 0.34688215"
"M587.201T848.147","-0.78952579","-0.60899701","-0.33406047"," 0.20193297"," 1.04700388"," 0.45114883"," 0.03249759"
"M1014.419T974.744","-0.7628854","-1.3522481","-0.2634164"," 0.6126718"," 0.7230687"," 0.7442534"," 0.2985560"
"M383.555T317.319","-0.54028236","-0.50805827","-0.51194618"," 0.25392908"," 0.94579064"," 0.33005107"," 0.03051601"
"M593.857T757.673","-0.7702791","-0.2283525","-0.5542430"," 0.3935389"," 1.2127794","-0.1690462"," 0.1156025"
"M569.35T895.921","-0.6492356","-0.2811750","-0.5445918"," 0.1720164"," 1.1402311"," 0.2855595","-0.1228045"
"M423.224T921.021","-0.4193113016","-0.9042582403","-0.3107934748"," 0.0005629289"," 1.0903257191"," 0.2306713204"," 0.3128030483"
"M325.2T1323.486","-0.31189203","-0.44607834","-0.57198123"," 0.03034259"," 0.80890633"," 0.34987265"," 0.14083003"
"M269.103T792.774","-0.5302299","-0.7273960","-0.4947325"," 0.1984812"," 0.8561642"," 0.2719543"," 0.4257587"
"M637.025T106.841","-0.6242989","-0.6617456","-0.1472485"," 0.1066508"," 0.9105895"," 0.2632762"," 0.1527765"
"M334.932T113.331","-0.53845857","-0.46187863","-0.48462487"," 0.18911339"," 0.98293805"," 0.26579198"," 0.04711865"
"M433.784T801.352","-0.2851735","-0.9842181","-0.2954677"," 0.3762318"," 0.8570003"," 0.4181803","-0.0865531"
"M1048.557T894.929","-0.55711142","-0.35552298","-0.74007701"," 0.23524597"," 1.10596669"," 0.28936396"," 0.02213478"
"M295.104T156.471","-0.5418050","-0.5800882","-0.6547428"," 0.3216659"," 1.0090711"," 0.2411800"," 0.2047190"
"M398.263T1317.762","-0.5968938","-0.4947034","-0.7184629"," 0.4365038"," 0.7431833"," 0.3826578"," 0.2477151"
"M653.828T318.352","-0.5149907","-0.5059948","-0.2649447"," 0.2799931"," 0.9788656","-0.1142788"," 0.1413503"
"M1103.415T879.391","-0.2408110","-1.1738862","-0.3425413"," 0.2923787"," 0.8235188"," 0.7423568","-0.1010158"
"M997.975T1403.846","-0.6186702","-0.4060372","-0.4021607"," 0.3667629"," 1.0052976"," 0.2884635","-0.2336559"
"M1039.403T917.165","-0.3113032","-1.3087548","-0.3251613"," 0.1336775"," 0.9448786"," 0.7131992"," 0.1534640"
"M1037.324T316.098","-0.4875359","-0.7873909","-0.3237770"," 0.2768214"," 0.7609297"," 0.3569742"," 0.2039785"
"M509.218T928.864","-0.5412395","-0.8312626","-0.3871469"," 0.2350203"," 0.7687057"," 0.4471134"," 0.3088095"
"M1308.415T315.705","-0.27754149","-0.89430150","-0.22643062"," 0.56404599"," 0.05230155"," 0.31285726"," 0.46906881"
"M311.186T1077.614","-0.4791087","-0.5897693","-0.6072730","-0.1236720"," 0.9194230"," 0.5281160"," 0.3522839"
"M969.321T316.442","-0.4600449","-0.8843307","-0.2210816"," 0.3810115"," 0.3709611"," 0.5894008"," 0.2240838"
"M333.083T110.42","-0.60871609","-0.68096961","-0.41968030"," 0.02052831"," 0.94769617"," 0.29596995"," 0.44517158"
"M1063.398T908.83","-0.2151632","-0.9593561","-0.7827553"," 0.3278181"," 1.0002875"," 0.4957523"," 0.1334166"
"M361.512T316.902","-0.32417569","-0.92305465","-0.25588008"," 0.06661064"," 0.93872263"," 0.48663831"," 0.01113885"
"M485.178T783.442","-0.3172127","-0.9388320","-0.3782204"," 0.1395386"," 0.6737925"," 0.5023153"," 0.3186187"
"M449.205T834.832","-0.09829664","-1.48860728","-0.17517052"," 0.45912420"," 0.67527965"," 0.48144605"," 0.14622455"
"M439.083T756.683","-0.59517013","-0.52713975","-0.62307453"," 0.06968076"," 0.93149071"," 0.57314736"," 0.17106558"
"M479.19T902.518","-0.33942310","-0.86278989","-0.19188654"," 0.35453039"," 0.82883870"," 0.17143702"," 0.03929341"
"M413.081T316.361","-0.54397989","-0.60283966","-0.42358208"," 0.27973494"," 0.92656481"," 0.32313391"," 0.04096796"
"M417.177T763.775","-0.62936065","-0.57251005","-0.44498649"," 0.01326522"," 1.02385507"," 0.19435038"," 0.41538652"
"M225.002T107.866","-0.7358181","-0.6552187","-0.4443025"," 0.4188708"," 1.0308844"," 0.2279144"," 0.1576697"
"M947.485T901.595","-0.6877654","-0.6949297","-0.4164961"," 0.1750648"," 1.1334225"," 0.2569311"," 0.2337729"
"M399.165T851.906","-0.4585523","-0.8843411","-0.3918659"," 0.3102989"," 0.7316034"," 0.3828580"," 0.3099990"
"M895.304T938.238","-0.5986751","-1.0594193","-0.4504579"," 0.2319005"," 1.0068512"," 0.6743323"," 0.1954683"
"M455.081T744.378","-0.6623193","-0.4469519","-0.5311757","-0.0947587"," 0.9919114"," 0.5861411"," 0.1571532"
"M430.136T769.014","-1.0564330","-1.3087310","-0.1796975"," 0.4832717"," 0.9076537"," 0.6362846"," 0.5176515"
"M590.274T907.848","-0.56196733","-0.10946390","-0.39794084","-0.08096874"," 1.02925964","-0.09863762"," 0.21971879"
"M353.181T807.324","-0.6151238","-1.0030161","-0.2140772"," 0.1511008"," 0.9110838"," 0.5364567"," 0.2335758"
"M419.115T799.29","-0.61187533","-0.46973713","-0.58516689"," 0.33665572"," 0.87898885"," 0.09800879"," 0.35312600"
"M139.002T112.479","-0.60051064","-0.51282701","-0.46181153"," 0.16000916"," 0.94474320"," 0.39508621"," 0.07531061"
"M1095.872T896.96","-0.59395481","-0.35287422","-0.92101494"," 0.32073615"," 1.04109594"," 0.46533285"," 0.04067903"
"M429.646T308.971","-0.59902188","-0.68524586","-0.36580423"," 0.37350502"," 0.71877772"," 0.46289287"," 0.09489636"
"M968.4T974.568","-0.4770289","-1.3048035","-0.3382895"," 0.1954542"," 0.8541806"," 0.9011853"," 0.1693018"
"M1015.586T1347.819","-0.52400656","-0.74848374","-0.29884436"," 0.28494199"," 0.86762366"," 0.36422579"," 0.05454322"
"M1033.603T1229.397","-0.4196834","-0.6894743","-0.2971713"," 0.2119723"," 0.7591682"," 0.2915246"," 0.1436639"
"M533.169T900.984","-0.5948316","-0.6405426","-0.7545097"," 0.2420204"," 0.8329372"," 0.5170047"," 0.3979217"
"M1095.01T894.541","-0.5226990","-0.6293348","-0.2539269"," 0.6800936"," 0.4960553"," 0.4102013","-0.1803895"
"M1209.581T888.373","-0.57848801","-0.46887499","-0.42935819","-0.06256913"," 1.04979185"," 0.20929493"," 0.28020355"
"M492.868T66.13","-0.64307124","-0.38291128","-0.33323695"," 0.15633478"," 0.70383655"," 0.46587839"," 0.03316976"
"M567.276T907.878","-0.665861364","-0.231813625","-0.298819468"," 0.006090034"," 1.088383727"," 0.084854158"," 0.017166539"
"M664.226T813.714","-0.3789507","-1.0176293","-0.4259645"," 0.3615163"," 0.9357064"," 0.1809339"," 0.3443880"
"M1035.397T978.889","-0.5212891","-1.1613815","-0.2837325"," 0.2696892"," 0.4839560"," 0.9003601"," 0.3123977"
"M1162.051T893.06","-0.65520072","-0.37949543","-0.49296912"," 0.21677083"," 1.13338477"," 0.23903433","-0.06152466"
"M812.842T69.273","-0.7703863","-0.7440246","-0.2655619"," 0.5714308"," 0.8481218"," 0.1030195"," 0.2574007"
"M691.153T854.793","-0.7648714","-0.5335657","-0.4983509"," 0.1875547"," 1.0302008"," 0.2535792"," 0.3254534"
"M433.351T780.04","-0.68209711","-0.54509313","-0.51813110"," 0.08298999"," 1.07899742"," 0.59670916","-0.01337522"
"M1363.57T899.951","-0.9702862","-0.3805586","-0.4873930"," 0.1898719"," 1.0281220"," 0.2209326"," 0.3993113"
"M410.078T615.621","-0.5052533","-0.8625747","-1.5753461"," 0.3954534"," 1.1430312"," 0.9584025"," 0.4462870"
"M1125.418T877.844","-0.2522173","-1.3674199","-0.2199383"," 0.3578570"," 0.7708941"," 0.5333374"," 0.1774870"
"M483.183T857.732","-1.1019066","-0.6577595","-0.2262571"," 0.4124255"," 0.8205300"," 0.4721526"," 0.2808151"
"M1323.575T889.628","-0.59373394","-0.55764363","-0.53686512"," 0.07676909"," 0.99376591"," 0.15912503"," 0.45858265"
"M695.298T853.355","-0.7882663","-0.8688679","-0.1935347"," 0.2669399"," 1.0200652"," 0.3831398"," 0.1805240"
"M331.103T255.151","-0.8215306","-0.5798503","-0.2199395"," 0.1898933"," 0.9422320"," 0.2280065"," 0.2611886"
"M539.134T89.251","-0.2158372","-0.7254451","-0.4206703","-0.0753968"," 1.0670840"," 0.1238141"," 0.2464512"
"M502.995T105.736","-0.64518871","-0.55140178","-0.48580604"," 0.14737305"," 1.26128661"," 0.34636001","-0.07262316"
"M967.36T964.868","-0.9622429","-1.3080365","-0.1482693"," 1.0727402"," 0.6196118"," 0.3988695"," 0.3273271"
"M329.088T474.939","-0.5929852","-0.5726763","-0.4148187"," 0.1532298"," 0.9155685"," 0.3075957"," 0.2040862"
"M669.182T316.584","-0.51666030","-0.65931470","-0.39492965"," 0.30570905"," 0.67454590"," 0.60094208","-0.01029239"
"M1097.514T1402.931","-0.6491034","-0.5296504","-0.3829697"," 0.1769500"," 0.9192401"," 0.3889089"," 0.0766245"
"M990.329T838.789","-0.5618973","-1.3337079","-0.2969805"," 0.3352966"," 1.0196604"," 0.5363138"," 0.3013149"
"M240.933T64.89","-0.5157312","-0.3252307","-0.5997500"," 0.3531122"," 0.5388661"," 0.4325289"," 0.1162047"
"M548.979T106.308","-0.734779473","-0.573312259","-0.328235119"," 0.220240311"," 0.934482958"," 0.483986261","-0.002382679"
"M1031.288T315.245","-0.6115955","-0.8513377","-0.1470791"," 0.3317174"," 0.5625748"," 0.4208387"," 0.2948815"
"M333.109T769.719","-1.2476858","-0.6122142","-0.2175660"," 0.4765690"," 0.7884777"," 0.5556050"," 0.2568144"
"M324.072T215.478","-0.05767489"," 0.59679435","-0.77871327","-0.20235074"," 0.53031458"," 0.29979254","-0.38816258"
"M830.24T316.247","-0.8029045","-0.9416649","-0.1338712"," 0.3432727"," 0.6042196"," 0.4655761"," 0.4653722"
"M1087.412T876.684","-0.7929243","-0.7766508","-0.2720909"," 0.3570487"," 0.7704773"," 0.3508146"," 0.3633254"
"M297.244T1278.646","-0.59059242","-0.21110206","-0.32547749","-0.06504705"," 1.03504074"," 0.09260327"," 0.06457502"
"M1094.946T896.052","-0.023931676","-0.198790945","-0.005136489","-0.248090108"," 0.994900353","-0.295680068","-0.223271067"
"M385.077T649.201","-0.43395798","-0.38410271","-0.44258331"," 0.15441600"," 0.98081414"," 0.05524332"," 0.07017054"
"M549.205T845.853","-0.857645781","-0.756012649","-0.136000805","-0.003695958"," 0.922793950"," 0.547470229"," 0.283091014"
"M389.108T489.956","-0.5904106","-1.0469193"," 0.3131499"," 0.2219187"," 0.4563039"," 0.7980782","-0.1521208"
"M632.847T316.374","-0.2670160","-1.0762524","-0.3793992"," 0.5025940"," 0.6384099"," 0.1817084"," 0.3999553"
"M341.535T617.585","-0.7441216","-0.7448439","-0.8121854"," 0.2913672"," 1.0565269"," 0.7523742"," 0.2008827"
"M387.034T831.689","-0.6504494","-1.5167692","-0.8246200"," 0.4213447"," 0.9358508"," 0.8715055"," 0.7631376"
"M455.021T825.04","-0.7030397","-1.4604473","-0.6684400"," 0.5443453"," 0.7659113"," 0.8454478"," 0.6762226"
"M941.462T1306.809","-0.65398527","-0.51308349","-0.24908423"," 0.17563449"," 1.03430299"," 0.16408046"," 0.04213505"
"M1036.399T977.849","-0.2112425","-1.3669494","-0.3526470"," 0.1929870"," 0.8530884"," 0.6904263"," 0.1943372"
"M305.082T1122.457","-0.15149204","-1.12574259","-0.35799468"," 0.59692720"," 0.80558411"," 0.06896222"," 0.16375578"
"M435.217T805.716","-0.42370263","-1.01453505","-0.19521863"," 0.23650226"," 0.86624505"," 0.50063676"," 0.03007225"
"M1136.545T907.7","-0.53072283","-0.27298073","-0.37658794","-0.06290307"," 1.09762368","-0.03496783"," 0.18053872"
"M1130.454T886.215","-0.6768904","-0.6891202","-0.4876288"," 0.1340741"," 1.1524614"," 0.2751085"," 0.2919954"
"M415.086T168.579","-0.6537064","-0.5559408","-0.4379623"," 0.2091806"," 1.0020337"," 0.2448207"," 0.1915745"
"M567.333T903.822","-0.63675499","-0.60155196","-0.41251881"," 0.05879613"," 0.97651155"," 0.15659922"," 0.45891886"
"M1163.56T905.015","-0.2899048","-0.3576237","-0.2763305","-0.5727427"," 0.9597629","-0.2417545"," 0.7785933"
"M401.18T764.21","-0.25350766","-1.01925298","-0.28035268","-0.04498145"," 0.75917812"," 0.53544738"," 0.30346927"
"M823.337T914.416","-0.4590433","-1.1872180","-0.3929754"," 0.2469604"," 0.7427386"," 0.6548279"," 0.3947098"
"M397.259T1311.545","-0.3617208","-0.6337023","-0.6812668"," 0.1543333"," 0.9959480"," 0.3692668"," 0.1571418"
"M443.191T791.98","-0.4617031","-0.8745261","-0.3587692"," 0.2672875"," 0.7995501"," 0.3597037"," 0.2684572"
"M413.167T733.785","-0.5538791","-0.5809423","-0.3091649"," 0.0614156"," 0.9226148"," 0.2000155"," 0.2599404"
"M341.259T618.637","-0.7264026","-0.7647293","-0.5933573"," 0.2352911"," 0.9963381"," 0.6246115"," 0.2282485"
"M859.153T942.886","-0.7158019","-0.2260850","-0.4688464"," 0.1286412"," 0.9598676"," 0.1472387"," 0.1749858"
"M633.753T316.098","-0.3630216","-0.8863992","-0.2776656"," 0.2835912"," 0.7681969"," 0.2244459"," 0.2508523"
"M919.334T939.971","-0.7587008","-0.7812120","-0.3616217"," 0.1392828"," 0.7626724"," 0.6332085"," 0.3663707"
"M863.373T951.624","-0.2651338","-1.2892073","-0.2562190"," 0.2464870"," 0.8630535"," 0.3699037"," 0.3311160"
"M316.427T318.614","-0.42882489","-0.57404848","-0.70768269"," 0.50313925"," 0.85767569"," 0.08769724"," 0.26204388"
"M419.228T901.259","-0.38616181","-1.22944875"," 0.05219459"," 0.22902661"," 0.66318468"," 0.39071581"," 0.28048888"
"M316.385T321.843","-0.39008250","-0.46345436","-0.66461345"," 0.43515045"," 0.92275767"," 0.07792457"," 0.08231762"
"M967.407T978.889","-0.4407455","-1.3880691","-0.1414139"," 0.1479132"," 0.9694346"," 0.6825715"," 0.1703091"
"M524.981T106.871","-0.51681017","-0.59745223","-0.28191065"," 0.08416061"," 1.11793070"," 0.23669646","-0.04261473"
"M950.342T882.081","-0.78495718","-1.18930799","-0.04946508"," 0.25135376"," 0.73966313"," 0.81796828"," 0.21474508"
"M822.313T886.782","-0.5829426","-1.1910163","-0.3208157"," 0.4398290"," 0.9347231"," 0.6675199"," 0.0527026"
"M497.109T889.816","-0.4739686","-1.3796498"," 0.1515977"," 0.2516427"," 0.7772964"," 0.2049431"," 0.4681385"
"M1461.92T936.679","-0.6283309","-1.0131472","-0.3357145"," 0.2810210"," 1.0310478"," 0.4645898"," 0.2005340"
"M970.768T318.573","-0.4639769","-0.6859563","-0.3972939"," 0.1719532"," 0.7325547"," 0.1707896"," 0.4719298"
"M857.325T1034.658","-0.8266755","-1.5816777","-0.1566370"," 0.5750498"," 1.0530090"," 0.6614194"," 0.2755119"
"M1005.392T917.562","-0.4344397","-0.9209453","-0.4821297"," 0.3179223"," 0.8658023"," 0.4106859"," 0.2431041"
"M357.576T759.445","-0.6381995","-0.6622031","-0.2833695"," 0.1640160"," 0.7225593"," 0.4837441"," 0.2134527"
"M365.052T459.24","-0.8511944","-1.3129739","-0.7484361"," 0.3709182"," 0.9897184"," 0.8554565"," 0.6965113"
"M271.021T88.704","-0.4156547","-0.5946864","-0.3533419","-0.2224119"," 1.1820883"," 0.1383359"," 0.2656708"
"M968.386T889.852","-0.5410686","-0.8390519","-0.5210446"," 0.1254386"," 0.8211055"," 0.6574696"," 0.2971514"
"M593.686T850.456","-0.6155602","-0.4523327","-0.8616424"," 0.2971513"," 1.1462359"," 0.2322324"," 0.2539157"
"M505.029T765.672","-0.6101641","-0.6988351","-0.7796629"," 0.3958454"," 0.8965979"," 0.3630467"," 0.4331722"
"M1035.367T890.845","-0.4930404","-0.9386662","-0.5202666"," 0.2855173"," 0.8977821"," 0.6026830"," 0.1659909"
"M565.054T1199.484","-0.69828593","-0.10396684","-0.30870590"," 0.08052132"," 0.65768209","-0.01326918"," 0.38602444"
"M491.208T833.798","-0.17569654","-1.59035464","-0.07337592"," 0.35906290"," 0.66806173"," 0.45891794"," 0.35338453"
"M728.286T863.521","-0.58698958","-0.71407436","-0.20075101"," 0.06299325"," 0.88462420"," 0.67620523","-0.12200774"
"M969.4T973.77","-0.44062061","-1.37834530","-0.17518251"," 0.28660127"," 0.94876075"," 0.67316026"," 0.08562614"
"M333.135T1582.426","-0.14937436","-0.31638367","-0.27388006"," 0.11631336"," 0.81411738"," 0.07195467","-0.26274731"
"M377.181T797.379","-0.26496094","-0.70865615","-0.66960200"," 0.25536644"," 0.85257518"," 0.44323208"," 0.09204539"
"M369.388T763.979","-0.61972402","-0.44673855","-0.43920899"," 0.08937345"," 0.95698836"," 0.27734556"," 0.18196418"
"M1161.526T895.081","-0.59703969","-0.31715671","-0.54844642"," 0.13890458"," 1.15433154"," 0.18243668","-0.01302997"
"M266.946T113.686","-0.4874324","-0.6302405","-0.5189616"," 0.2622079"," 0.9556503"," 0.2445002"," 0.1742762"
"M696.3T853.355","-0.8438375","-0.9442713","-0.1430141"," 0.2015601"," 1.0637247"," 0.5624403"," 0.1033979"
"M1007.373T920.82","-0.4501620","-0.9552579","-0.4217780"," 0.2446314"," 1.0267568"," 0.4348828"," 0.1209269"
"M589.773T907.878","-0.61826825","-0.21881238","-0.37750599","-0.07040431"," 0.92577758"," 0.13711556"," 0.22209779"
"M445.037T424.564","-0.5338857","-0.5151834","-0.4267712"," 0.2047745"," 0.9098363"," 0.1183674"," 0.2428621"
"M988.804T68.066","-0.7507997","-0.7367411","-0.2722362"," 0.1931048"," 0.9449863"," 0.2246255"," 0.3970605"
"M595.261T805.416","-0.20381992","-1.36556547","-0.06946051"," 0.27611311"," 1.06681713"," 0.33909775","-0.04318208"
"M1323.606T888.291","-1.0328520","-0.3380265","-0.4707028"," 0.1526278"," 1.0189096"," 0.3192036"," 0.3508404"
"M688.263T861.089","-0.5089339","-1.0604704","-0.5693574"," 0.1757588"," 0.9791582"," 0.7555919"," 0.2282528"
"M971.627T318.415","-0.22495108","-0.68264161","-0.52238605"," 0.37153984"," 0.77958374"," 0.36171257","-0.08285743"
"M1143.444T941.11","-0.4738036","-1.1738549","-0.3732756"," 0.4114695"," 0.9243804"," 0.6046012"," 0.0804831"
"M1094.293T897.844","-0.2583203","-0.8960753","-0.5121715"," 0.2351227"," 0.9061918"," 0.6872221","-0.1619695"
"M967.394T924.933","-0.3614033","-1.1466348","-0.2231268"," 0.1947358"," 0.7331166"," 0.6329202"," 0.1703923"
"M702.255T837.404","-0.6762444","-0.8544845","-0.4616729"," 0.3746311"," 0.7031662"," 0.7273440"," 0.1872604"
"M379.067T781.128","-0.7042739","-0.9918155","-0.9191804"," 0.3121193"," 0.9037309"," 0.5744743"," 0.8249453"
"M714.253T913.384","-0.5467811","-0.9380439","-0.5021925"," 0.3418862"," 0.8205810"," 0.7967487"," 0.0278015"
"M773.211T817.036","-0.23689221","-0.87601453","-0.16281393"," 0.22129702"," 0.64559241"," 0.44341086","-0.03457962"
"M589.271T908.408","-0.61670137","-0.09979609","-0.29001638","-0.02906150"," 0.95148440"," 0.04574188"," 0.03834906"
"M795.27T865.806","-0.71541573","-0.71016793","-0.25340461"," 0.34516792"," 0.89376680"," 0.36205638"," 0.07799717"
"M264T169.106","-0.6525745","-0.5994607","-0.3119164"," 0.2643350"," 0.8154663"," 0.3824007"," 0.1017495"
"M1095.906T894.31","-0.3701030","-0.7054565","-0.8272244"," 0.2727798"," 1.1417235"," 0.3808282"," 0.1074523"
"M625.024T106.841","-0.54915269","-0.45491698","-0.55743719"," 0.07714602"," 1.14427440"," 0.25863162"," 0.08145482"
"M311.065T863.883","-0.15993549","-0.43644465","-0.94834197"," 0.25174667"," 0.76647455"," 0.61349330","-0.08699241"
"M631.833T319.717","-0.6420286","-0.4449853","-0.6584111"," 0.5195428"," 0.6355527"," 0.3023573"," 0.2879721"
"M644.248T900.496","-0.7068715","-1.0526437","-0.3540627"," 0.1779290"," 0.9256105"," 0.6970453"," 0.3129930"
"M889.313T902.886","-0.4811772","-1.1636016","-0.3630491"," 0.2662025"," 0.9395563"," 0.5598195"," 0.2422497"
"M273.314T67.476","-0.2817585","-1.3560323"," 0.1490437","-0.2364159"," 0.8943893"," 0.3537697"," 0.4770040"
"M950.337T882.881","-0.8048864","-1.2419474","-0.1289403"," 0.2653356"," 0.7599894"," 0.8650078"," 0.2854414"
"M559.053T88.871","-0.6493977","-0.4402276","-0.2148453"," 0.2222609"," 1.0226267"," 0.0728708","-0.0132878"
"M576.128T818.314","-0.46030022","-0.28346245","-1.00143560"," 0.15762637"," 1.17033032","-0.02727716"," 0.44451872"
"M569.273T895.199","-0.710388368","-0.345449712","-0.433059899"," 0.129855502"," 1.112096230"," 0.243911092"," 0.003035155"
"M751.173T317.266","-0.5260777","-0.6210574","-0.5269954"," 0.3001316"," 0.7706640"," 0.4113742"," 0.1919607"
"M272.963T113.946","-0.57152880","-0.48198442","-0.53602902"," 0.23811651"," 0.99155575"," 0.29140169"," 0.06846829"
"M279.164T1614.563","-0.71908075","-0.33063924","-0.41383106"," 0.06299264"," 1.03948514"," 0.30951057"," 0.05156270"
"M549.147T750.744","-0.6038555","-0.5729769","-0.6065659"," 0.1568850"," 0.9829052"," 0.2975731"," 0.3460350"
"M553.051T758.396","-0.6392100","-0.6434822","-0.2410258"," 0.1666106"," 0.9250656"," 0.2695612"," 0.1624805"
"M263.13T940.795","-0.80613616","-0.76940251","-0.01520103"," 0.20737994"," 0.84306901"," 0.22701731"," 0.31327344"
"M445.207T780.093","-0.4720695","-0.6354381","-0.7027197"," 0.2122821"," 0.9667849"," 0.3638783"," 0.2672820"
"M631.863T318.629","-0.4079822","-0.6709586","-0.5444095"," 0.4844923"," 0.6991936"," 0.3337547"," 0.1059097"
"M843.287T936.679","-0.5379783","-1.1754601","-0.3899611"," 0.3785077"," 0.9412025"," 0.4673926"," 0.3162967"
"M483.129T913.248","-1.03533737","-1.08635436","-0.16264849"," 0.54412585"," 0.96694832"," 0.70234817"," 0.07091788"
