"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","BLANK.2","QC.1","QC.2","QC.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other"
"M625.472T1308.231"," 13007.135","  9713.497"," 33786.603","102977.456"," 54759.088"," 15703.786"," 67843.075"," 15790.986"," 18073.137"," 21500.000"," 13108.930"," 24353.690"," 54224.826"," 38753.409"," 52600.000"," 55000.000"," 11256.033"," 63149.237"," 35700.000"," 28445.532"
"M873.355T919.58"," 67462.12"," 21938.65"," 61934.35"," 55836.53"," 90149.52"," 59580.45"," 47290.11"," 83019.51"," 73622.34","144000.00","100775.70"," 10340.42"," 62592.12"," 64480.07"," 92000.00"," 84900.00"," 10534.93","108823.82"," 78000.00","101823.04"
"M279.157T1436.378"," 539244.8","5203458.1","1618952.6","2133187.3"," 560552.6"," 971391.3"," 238580.0"," 549462.6"," 382905.4"," 661000.0"," 511685.6"," 210879.4","1491776.8","3162869.7"," 509000.0"," 828000.0"," 195186.4"," 525981.0","2060000.0"," 461140.1"
"M878.848T990.311","34970.728","11363.229","35022.438","38258.845","38929.917","26003.795","43699.847","52962.412","41242.642","80200.000","54142.474"," 7920.687","60617.417","44343.795","39500.000","59100.000"," 8335.713","55703.379","58900.000","59745.627"
"M507.368T1440.116"," 96557.56","101066.11","155083.68","183486.86","135756.30","115478.26","166909.71","123682.28","147395.69","116000.00"," 74269.62"," 75277.61","191302.73","130146.33","154000.00","155000.00"," 69203.71","218330.30","206000.00","141946.48"
"M1033.392T828.514","25496.671"," 6974.552","17096.647","11044.744","13335.218","40094.637","64387.312","28201.039","21527.304","55900.000","33464.229"," 5519.142","30984.229","30054.923","40200.000","27300.000","    0.000","28271.837","35300.000","17942.933"
"M952.357T909.479"," 62702.20"," 32875.51"," 89926.65","110079.18"," 82185.42"," 61676.10"," 77479.16"," 96480.18"," 79386.80","184000.00"," 84060.91"," 17129.05","149756.67","115269.00"," 99800.00","120000.00"," 18535.04","101083.33","126000.00","113857.88"
"M369.163T896.878","45673.36","41204.46","39464.60","44405.68","42131.07","45067.51","81484.06","43568.96","66169.25","41600.00","43963.50","10288.86","43622.74","38650.76","40300.00","30300.00","18570.63","35859.34","40000.00","55872.00"
"M763.448T1339.403","261320.1","217731.3","276817.2","389121.4","335410.9","309802.1","573701.5","373430.8","308780.2","319000.0","371365.1","262963.3","264540.1","392706.1","419000.0","244000.0","120609.2","306599.4","217000.0","209961.7"
"M1071.408T843.183"," 24984.62","     0.00"," 27741.22"," 26982.13"," 15221.97"," 25970.88"," 71327.06"," 53441.13"," 33995.73","114000.00"," 33902.56","     0.00"," 34879.39"," 34215.08"," 55000.00"," 27000.00","  3495.84"," 51612.11"," 45200.00"," 52514.66"
"M803.314T959.886"," 56644.384"," 16697.632"," 70870.239"," 71941.826"," 87312.433"," 77225.842"," 51947.220","120128.678"," 82483.981","143000.000"," 74860.668","  5391.633"," 84449.288","101450.426"," 88600.000","109000.000","  6316.791","117398.573"," 93300.000","111737.768"
"M789.338T992.058","167099.932"," 21434.429","104653.580","131291.507","325936.755","177074.363"," 79814.221","360949.306","255723.008","586000.000","260244.002","  3869.063","181298.975","158573.676","296000.000","344000.000","  9737.873","240984.640","190000.000","359490.351"
"M1087.424T940.951","53957.482","27040.735","45251.835","50167.862","75499.174","56235.549","56142.429","79966.482","64597.069","93800.000","49626.056"," 2801.308","71628.065","58312.941","86500.000","70200.000"," 2839.884","71858.689","54000.000","64306.848"
"M524.359T1643.061","127601.71","107173.24","110156.77","105813.79"," 89815.18"," 96219.58"," 25518.86","100129.25"," 99294.53","102000.00"," 91003.70","112473.70","128661.12","104172.09"," 96400.00"," 95100.00"," 95486.78","100491.46","139000.00","108580.34"
"M864.323T959.199"," 69607.79"," 18723.68"," 62321.70"," 73561.04"," 68362.08"," 65986.24"," 77294.25"," 85723.70"," 66447.60","121000.00"," 78216.66"," 20699.89"," 84916.51"," 89680.20"," 76900.00"," 95700.00"," 19803.25"," 91135.54"," 81800.00"," 97107.43"
"M1059.419T884.787"," 47123.001"," 12172.902","120795.280","134098.626","135041.955","113560.092"," 13226.606"," 94314.614"," 83147.099","180000.000"," 66678.944","  1622.302","223243.557","127171.656","207000.000","180000.000","  2780.896","107488.443","130000.000"," 89554.033"
"M917.578T1423.395","35852.871","42210.277","71300.109","63519.018","79710.102","52242.225"," 8293.408","63138.884","46288.145","30700.000","24693.576","10989.320","50139.894","88233.089","66300.000","49200.000"," 4742.131","65291.202","72500.000","46757.461"
"M855.334T832.505"," 70300.208"," 15272.386"," 81661.944"," 79266.262","101087.483"," 94888.594","176836.412","122763.327","119146.032","210000.000","113764.151","  9809.067","103049.190","124453.641","162000.000","143000.000","  7583.028","141753.668","132000.000","139091.266"
"M329.322T1280.542"," 70169.80"," 74898.56"," 97069.23"," 77859.86"," 74773.83","122213.71","160138.69"," 56781.12"," 72194.43"," 69200.00"," 77830.45"," 64595.78"," 81601.48"," 94351.45","106000.00"," 76900.00"," 72247.18"," 96029.24"," 72800.00"," 76561.82"
