"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M1017.391T843.183","-0.4206865499","-1.1268143021","-0.0814718934","-0.4300667089"," 0.0933241459","-0.0002840963"," 0.3869468406","-0.0989219884"," 0.1843900042"," 0.4710538787"," 0.1802226342"," 0.1929683848"," 0.0846966725"," 0.4396427198"," 0.1250002582"
"M955.379T843.183","-0.38571130","-1.30808610","-0.27745665","-0.29523259"," 0.15230033","-0.05897444"," 0.56550148","-0.07750104"," 0.15286226"," 0.80094009"," 0.06072139"," 0.03324362"," 0.03132524"," 0.42452109"," 0.18154660"
"M447.25T1372.484","-0.29788769","-0.50687163"," 0.02400582","-0.06306899"," 0.05266157","-0.07639105"," 1.01430449"," 0.70688952","-0.18038923"," 0.08704386"," 0.08070538","-0.32160334"," 0.08243568","-0.29517585","-0.30665853"
"M519.225T1025.439","-0.38929743","-1.09443451","-0.28414120","-0.13530636","-0.02468729","-0.34424165","-0.49325350"," 0.68548389"," 0.73030374"," 0.83303495"," 0.31180649"," 0.30017778","-0.01756890","-0.05000458","-0.02787143"
"M867.338T941.124","-0.28723835","-1.18194300"," 0.06105864","-0.24505840","-0.07161434","-0.09872645"," 0.49498889"," 0.01393951"," 0.12865600"," 0.53378221"," 0.13312832","-0.06782933"," 0.09429661"," 0.31350492"," 0.17905474"
"M817.32T1025.439","-0.341267037","-1.098435743"," 0.199455677","-0.146794020"," 0.073957238","-0.495984720","-0.478920587"," 0.291573024","-0.003427722"," 0.624836053"," 0.063410028"," 0.124780743"," 0.420955098"," 0.164905911"," 0.600956057"
"M629.459T1473.698"," 0.03337711","-0.18012205","-0.02553918"," 0.14806551"," 0.20960926","-0.10412061"," 0.13244007","-0.47189843"," 0.19437555","-0.12582272","-0.73591824"," 0.39374719","-0.10706973"," 0.03062743"," 0.60824885"
"M505.273T1221.035","-0.119172566","-0.648915219"," 0.071340410","-0.081774479"," 0.253776269","-0.002269689"," 0.248246836"," 0.387321153","-0.186752234"," 0.245692013","-0.447259711"," 0.035390119"," 0.146346410"," 0.114632095","-0.016601407"
"M655.418T1406.703"," 0.13341238"," 0.04505280","-0.28162531"," 0.06599925"," 0.16109217","-0.11292414","-0.12422766"," 0.37511244","-0.09172348"," 0.08193410","-0.80247361"," 0.45852673","-0.02383896","-0.22428221"," 0.33996550"
"M847.517T1163.004"," 0.1257521","-0.3187010","-0.5507659","-0.5184331"," 0.1515341"," 0.4223562"," 1.0370903"," 0.2489505","-0.2043623"," 0.1238075","-0.3390512","-0.6099134","-0.6653779"," 0.6830789"," 0.4140352"
