"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M697.459T1191.472","-0.154637682","-0.527150186","-0.406783128"," 0.032048795"," 0.376031621","-0.234124514"," 1.726015178","-0.221040675","-0.558568271","-0.121656492","-0.743119187"," 0.325978355"," 0.003178912"," 0.025429790"," 0.478397485"
"M695.447T1189.727","-0.311180628","-0.181836793"," 0.101929723"," 0.016717137"," 0.159245151","-0.167310268"," 0.601155412","-0.143265247","-0.014233048"," 0.128356947","-0.262511487","-0.005814793","-0.080914009","-0.216812995"," 0.376474897"
"M917.581T1308.231","-0.16527701"," 0.03006069"," 0.55457411"," 0.02989476"," 0.17116399"," 0.10537976"," 0.61584965","-0.22307301","-0.01716618","-0.64375047","-1.02553126"," 0.12729174"," 0.53645946","-0.31312940"," 0.21725316"
"M810.529T1306.211"," 0.11450983","-0.58475512"," 0.16910156"," 0.20974387"," 0.08922066"," 0.03232791","-0.52784378"," 0.08725321","-0.03753781"," 0.05373455","-0.66375297"," 0.57618350"," 0.16615570"," 0.10516350"," 0.21049538"
"M385.182T1540.093"," 0.18597269"," 0.60028423","-0.16239044"," 0.24223841","-0.09939769","-0.20437075","-0.15404304","-0.59265440","-0.37985868"," 0.26470107","-0.39870333"," 0.06259631","-0.08886459"," 0.89687461","-0.17238440"
"M441.228T1306.216"," 0.07130948"," 0.08896725"," 0.41539246"," 0.32195219","-0.18913469"," 0.16155015","-0.14904291","-0.37398929","-0.05463625"," 0.23572635","-0.69260272"," 0.21369664"," 0.05214645"," 0.04691521","-0.14825031"
"M711.445T1221.644","-0.09086998","-0.15338174","-0.18705924"," 0.35208537"," 0.47986585","-0.17686276"," 0.75021656","-0.16602371","-0.44617110","-0.11786022","-0.42454550"," 0.07152569"," 0.04218565","-0.23079643"," 0.29769157"
"M557.468T1423.166","-0.18815029"," 0.80371147"," 0.07893396"," 0.28127078","-0.14262817","-0.45166991","-0.28756973","-0.16631495","-0.08332416","-0.44821603","-1.02752633"," 0.58898485"," 0.35847895"," 0.11187660"," 0.57214296"
"M679.436T1338.726","-0.07970187","-0.24038229"," 0.03812173"," 0.24455484"," 0.26919816","-0.03431939"," 0.28263085","-0.33144016","-0.12956303","-0.62525831","-0.53324678"," 0.57886705"," 0.15981516","-0.04381098"," 0.44453502"
"M589.459T1372.544","-0.7438432"," 0.6885032","-0.0449471"," 0.4359027"," 0.2843425","-0.1611278"," 0.3402678","-0.4907870","-0.1971093","-0.3911877","-1.1750683"," 0.6130830"," 0.2646936","-0.3269377"," 0.9042155"
"M681.469T1408.485","-0.360351915","-0.376321209","-0.315686298"," 0.269038081"," 0.486458387","-0.019507881"," 0.476122873","-0.227241218","-0.127023440","-0.389808926","-0.714425895"," 0.661281162"," 0.002331245","-0.006915705"," 0.642050740"
"M695.451T1225.817","-0.29206687","-0.17991277","-0.04090812"," 0.07022771"," 0.32935760","-0.09632527"," 0.66871895","-0.30956518","-0.10156682"," 0.03336788","-0.32234501"," 0.15758005","-0.03029609","-0.22937114"," 0.34310509"
"M285.134T1052.907"," 0.22557684"," 0.14190672"," 0.47942012"," 0.09417073"," 0.02858237"," 0.01412986","-1.78849786","-0.12409460","-0.24131462"," 0.38472602"," 0.25053926"," 0.18805472"," 0.31701784"," 0.11171602","-0.08193341"
"M681.469T1389.183","-0.35851169","-0.36736332","-0.29112568"," 0.33514431"," 0.49342539","-0.09013352"," 0.49297227","-0.19828341","-0.25223767","-0.40122887","-0.71105449"," 0.67569544"," 0.03668683"," 0.02067851"," 0.61533589"
"M680.474T1439.81","-0.07568476","-0.23785996"," 0.17869450","-0.12319112"," 0.48611900"," 0.15155521"," 0.34021674","-0.39626551","-0.27931265","-0.16227163","-0.49328230"," 0.20702931"," 0.21644931","-0.07406844"," 0.26187231"
"M574.467T1456.399"," 0.406878834","-0.566154791"," 0.042895829"," 0.069570340"," 0.245173187","-0.089835123"," 0.196740188","-0.009056902","-0.557860736","-0.180260418","-1.140411753"," 0.461727051"," 0.030402774"," 0.300701127"," 0.789490393"
"M565.421T1295.888","-0.15265819","-0.21964188","-0.24332562"," 0.10585698"," 0.35476252","-0.08130307"," 0.70877104","-0.46016015"," 0.03828672","-0.53346880","-0.70608230"," 0.46892478"," 0.03017906"," 0.23901587"," 0.45084303"
"M681.474T1424.253","-0.35804259","-0.28090904","-0.22797587"," 0.38383233"," 0.46289730","-0.12584678","-0.03569078","-0.27172669","-0.18767301","-0.29015320","-0.54127299"," 0.78976962"," 0.04941963"," 0.01041805"," 0.62295403"
"M569.292T994.771","-0.01496576","-0.33618150"," 0.46211190"," 0.11118356","-0.01775713","-0.08503529","-1.55430054"," 0.04957299","-0.25729141"," 0.53231652"," 0.28419575"," 0.22372782"," 0.26454072"," 0.23836888"," 0.09951350"
"M989.67T1341.992","-0.25838453","-0.24323616"," 0.63271596"," 0.38040910"," 0.10681752"," 0.22186632","-0.03614986","-0.24197427","-0.40724026","-0.74597617","-0.45833937"," 0.03303392"," 0.90129931"," 0.53269085","-0.41753236"
"M379.265T1245.233"," 0.182231966","-0.076342416","-0.241107131"," 0.008062103","-0.135763833"," 0.162663104"," 0.497716814","-0.258184575","-0.156305449","-0.026314402","-0.044633140","-0.056132987","-0.184489634"," 0.427363520","-0.098763939"
"M679.452T1355.733","-0.09677453","-0.31237747","-0.01966411"," 0.36825350"," 0.25665865","-0.05539116"," 0.23731992","-0.40808113","-0.15756474","-0.23670959","-0.58204739"," 0.54867016"," 0.10823815","-0.10577705"," 0.45524680"
"M713.46T1208.68"," 0.2077697","-0.5685258","-1.0983271"," 0.1086917"," 0.8624236","-0.3368290"," 0.7660237","-0.3031847","-0.1681243","-0.4128292"," 0.2381054"," 0.2822612","-0.3765596"," 0.1430076"," 0.6560969"
"M711.444T1322.388","-0.081985775","-0.002602736","-0.045528979"," 0.304454713"," 0.329248624","-0.055333530"," 0.526193293","-0.299804294","-0.165286325","-0.231525772","-0.503118178"," 0.209512927","-0.009602579","-0.156622210"," 0.182000821"
"M637.414T1384.421","-0.11293010","-0.36623843","-0.21572865"," 0.24082291"," 0.22735779"," 0.06922346"," 0.32995571","-0.22046788","-0.09369811"," 0.07840442","-0.64111486"," 0.10342238","-0.05719504"," 0.12711147"," 0.53107491"
"M637.411T1406.122","-0.12296767","-0.24433945","-0.17220364"," 0.24522023"," 0.01554873"," 0.10157826"," 0.16228142","-0.05012829","-0.13594478"," 0.03012898","-0.72768366"," 0.21854762"," 0.04905827"," 0.15876006"," 0.47214392"
"M729.452T1109.944"," 0.05336310","-0.33679692","-0.20131695"," 0.19646743"," 0.41034190"," 0.12420323"," 1.15932287","-0.54020204","-0.36443356","-0.14006485","-0.64913595"," 0.07479162","-0.03076853","-0.09343017"," 0.33765882"
"M571.365T1456.373"," 0.04676850","-0.16083490","-0.14278209","-0.36962101"," 0.23859877","-0.38554495"," 0.38457589"," 0.22582326"," 0.09347542","-0.31299110","-0.37042765"," 0.18363312","-0.00649480"," 0.03787195"," 0.53794958"
"M865.579T1358.969","-0.40511652","-1.24594168","-1.23893421"," 0.03630225"," 1.05128939"," 0.12477934"," 0.82127523"," 0.72425327","-0.29806644"," 0.43195173","-0.23553284","-1.26308232","-0.21448150"," 1.05534038"," 0.65596391"
"M867.584T1358.969"," 0.403958163"," 0.288657018","-0.751664799","-1.007107863"," 0.583402420"," 0.003205838"," 0.771613243"," 0.448579536","-0.944020199"," 0.227990597","-0.683707864","-0.614774094"," 0.535329557","-0.110407504"," 0.848945952"
"M682.472T1373.006","-0.47241874","-0.33555391","-0.16179672"," 0.24559552"," 0.37799997","-0.14831250"," 0.80706035","-0.10264129","-0.37043288","-0.36823354","-0.55881151"," 0.73564704","-0.10768060","-0.05168284"," 0.51126166"
"M589.459T1264.044","-0.35764928","-0.30558808","-0.28081713"," 0.20483079"," 0.36460379","-0.29115719"," 1.15899839"," 0.09175777","-1.18202239","-0.11295593","-0.51401689"," 0.13530102","-0.02698085"," 0.11777923"," 0.99791676"
"M633.478T1401.37","-0.27618659","-0.15040536","-0.03015886"," 0.26396116"," 0.03327424","-0.05631954"," 0.07757869","-0.23046152","-0.09030125","-0.19121462","-1.09313962"," 0.57176151"," 0.19160163"," 0.24114348"," 0.73886667"
"M646.455T1423.013","-0.17350909","-0.43003088","-0.03992863"," 0.08309982"," 0.41088257","-0.22134921","-0.19255508","-0.15098853","-0.04253096","-0.28910751","-0.73001498"," 0.43179248"," 0.34600988"," 0.16602454"," 0.83220557"
"M881.484T1273.289","-0.08412147","-0.07746553"," 0.28179719"," 0.57135117","-0.21142729","-0.20106454"," 0.02247457","-0.28960398","-0.09513229"," 0.33145477","-0.49133882"," 0.69801546"," 0.19011739","-0.41503217","-0.23002443"
"M637.412T1422.711","-0.149897307","-0.308274868","-0.158584791"," 0.238242937"," 0.190273229"," 0.094814274"," 0.073804686","-0.043368540","-0.070852190","-0.002357972","-0.704333054"," 0.212197461","-0.068028418"," 0.150043704"," 0.546320849"
"M591.474T1330.445","-0.31484069","-0.29331454","-0.20489698"," 0.14322213"," 0.28159184","-0.51868668"," 0.64376606","-0.25763491"," 0.05993451","-0.06631621","-1.09163381"," 0.58985356","-0.04205012"," 0.30612957"," 0.76487626"
"M645.45T1333.909","-0.173309250","-0.418674183","-0.042494587"," 0.182974628"," 0.178042606","-0.006814936"," 0.657457923","-0.384466848","-0.072984508","-0.018309802","-0.412813113"," 0.254554737","-0.170806436","-0.076988295"," 0.504632066"
"M826.523T1305.342","-0.02510148","-0.02817361"," 0.31187709"," 0.41613229","-0.16390708","-0.21278870"," 0.40974974","-0.26749848","-0.43181530"," 0.04166406","-0.75095108"," 0.65116563"," 0.22242611","-0.06026395","-0.11251525"
"M593.485T1401.37","-0.41801772","-0.30887360","-0.12227897"," 0.19495557"," 0.07500217","-0.13789080"," 0.23407293","-0.08096981"," 0.17542594","-0.16580723","-0.96586725"," 0.47552312"," 0.02782501"," 0.41524913"," 0.60165150"
"M591.474T1402.346","-0.267295714","-0.262187263","-0.143569550"," 0.150585271"," 0.252467171","-0.525532073"," 0.540073608","-0.226930808"," 0.020788180","-0.086781079","-1.120018581"," 0.575855153","-0.008601874"," 0.352233666"," 0.748913894"
"M1123.351T817.469","-0.45840907","-0.27842876"," 0.36093705"," 0.28070587","-0.33471429","-0.06294594","-0.75871293"," 0.08565935","-0.21891016"," 0.55770129"," 0.05399050"," 0.39089715"," 0.17472246"," 0.08021702"," 0.12729047"
"M645.458T1212.039","-0.155269796","-0.370401027","-0.006208276"," 0.145500390"," 0.169949896","-0.013804039"," 0.741245540","-0.331135747","-0.111193399"," 0.049706290","-0.496811419"," 0.184960460","-0.178838050","-0.068759129"," 0.441058306"
"M555.363T1275.021","-0.0008728221"," 0.0047938823","-0.4831716558","-0.5037354002"," 0.1222660540","-0.3506133486"," 1.0193416998"," 0.8426328233"," 0.0094911636","-0.1550360434","-0.4247954157","-0.0377250628","-0.2413825060","-0.0728146700"," 0.2716213016"
"M277.217T1187.469"," 0.360852176"," 0.374951868","-0.558678110","-0.329725845","-0.086027406"," 0.223224421","-1.103056376"," 0.979770404"," 0.265546638"," 0.045085597"," 0.213266939","-0.744172486","-0.006369779"," 0.058477052"," 0.306854908"
"M670.528T1488.279","-0.29452786","-0.22059682","-0.13946530"," 0.29963797"," 0.46750925","-0.01118803","-0.10258018","-0.18549918","-0.17719709","-0.39983294","-0.37899733"," 0.66888952"," 0.04385883","-0.08196505"," 0.51195422"
"M679.449T1212.039","-0.08116216","-0.78943224","-0.27554842","-0.07260652"," 0.15106602"," 0.08579308"," 0.55173764","-0.08408648","-0.18266815"," 0.22239993"," 0.34311944","-0.08813239","-0.06363641","-0.14112145"," 0.42427810"
"M697.464T1209.593","-0.16271332","-0.18506508"," 0.55629326"," 0.23020736"," 0.01400737","-0.22256360"," 0.94826267","-0.44290177"," 0.10898674","-0.95072774","-0.61367157"," 0.67227969"," 0.17287105","-0.17322919"," 0.04796415"
"M985.571T1146.934"," 0.14723503","-0.43034410"," 0.16102886","-0.12747952"," 0.14671003"," 0.22340261"," 0.55576049"," 0.09936768","-0.31401003"," 0.32728492","-0.47707875","-0.26858355","-0.02858845"," 0.13171115","-0.14641637"
"M424.216T1338.866"," 0.29509614","-0.37524543","-0.20747271","-0.10305548"," 0.36215961"," 0.19179472"," 0.53586345","-0.11178381"," 0.09275613","-0.12712506","-0.23274011","-0.08279834","-0.43948782","-0.13699221"," 0.33903092"
"M565.409T1275.021","-0.10195424","-0.22232323","-0.20042441"," 0.04198386"," 0.31175338","-0.17025381"," 1.00683352","-0.42843785","-0.05130284","-0.28221569","-0.70764209"," 0.38045396"," 0.02599355"," 0.05889101"," 0.33864490"
"M698.466T1253.346","-0.202685658","-0.188707322"," 0.488128543"," 0.315749795"," 0.111227765","-0.120398947"," 0.785664605","-0.530906143","-0.007948376","-0.535075979","-0.575982911"," 0.676741314"," 0.148551873","-0.543992558"," 0.179633999"
"M661.446T1372.452","-0.372511014","-0.380849209","-0.001933516"," 0.334236071"," 0.030117038","-0.137589456"," 0.258024997","-0.328149889"," 0.200249161","-0.113288706","-0.474829799"," 0.473366920"," 0.027786933"," 0.197467526"," 0.287902946"
"M695.45T1338.973","-0.26624611"," 0.03867846","-0.07812719"," 0.11788622"," 0.53479194","-0.13928924","-0.09909524","-0.23552310","-0.06293765","-0.10007673","-0.55124973"," 0.47026589"," 0.08058216","-0.05680348"," 0.34714382"
"M593.49T1490.213","-0.46848618","-0.27673242","-0.08384432"," 0.21814644"," 0.08801920","-0.11142038"," 0.06746509","-0.10287413"," 0.19603738","-0.14960506","-0.91293241"," 0.50262746"," 0.05398340"," 0.41820416"," 0.56141175"
"M951.567T1289.006","-0.206242822","-0.443679685"," 0.084172015","-0.008164596"," 0.260187779"," 0.206215106"," 0.139152877","-0.264925448","-0.407344186"," 0.434737049","-0.849499834"," 0.458283322"," 0.251437505"," 0.191981823"," 0.153689096"
"M593.489T1431.043","-0.439689461","-0.330660568","-0.144654175"," 0.170203551"," 0.097690282","-0.136142347"," 0.339660272","-0.104370757"," 0.187395241","-0.136407139","-0.953777752"," 0.450507431"," 0.004183804"," 0.419444018"," 0.576617602"
"M639.424T1291.55"," 0.078622501","-0.615425247"," 0.024515431"," 0.048295131"," 0.204511792"," 0.001262745"," 0.920353156","-0.248926409","-0.183977411"," 0.001262120","-0.852820919"," 0.317917296"," 0.069659075","-0.222875626"," 0.457626365"
"M986.591T1195.638"," 0.21619968","-0.21378971"," 0.08646720","-0.10699997"," 0.09355400"," 0.03551422"," 0.88147183","-0.21758390","-0.34312724","-0.05611521","-0.58781919","-0.12268113","-0.03486437"," 0.56730562","-0.19753182"
"M591.473T1440.13","-0.27420438","-0.16471193","-0.05698692"," 0.23188041"," 0.24316604","-0.55131067"," 0.36374250","-0.24052055"," 0.06120019","-0.07889692","-1.20036530"," 0.67135583","-0.02579202"," 0.31259584"," 0.70884788"
"M590.465T1389.456"," 0.008678192"," 0.388545575","-0.406363964"," 0.193229592"," 0.378648322","-0.407759003"," 0.362304837","-0.223700359","-0.317957995","-0.568587935","-1.404054940"," 0.624499307"," 0.402635685"," 0.270106578"," 0.699776110"
"M631.469T1330.308","-0.1682412290","-0.6065603978","-0.3042077172"," 0.0514447018"," 0.0192025145"," 0.0009814678"," 1.2442168557","-0.3365371948"," 0.0163000891","-0.2594600395","-0.8201187880"," 0.3083334046","-0.1949445013"," 0.3633178120"," 0.6862730221"
"M637.415T1439.736","-0.11654182","-0.20794453","-0.11652837"," 0.22284163"," 0.17589901"," 0.08385150"," 0.01245984"," 0.02490705","-0.15251263","-0.05873539","-0.75753111"," 0.21982312","-0.07536665"," 0.17115795"," 0.57422040"
"M759.217T1590.788"," 0.53008821"," 0.22403891"," 0.08911080","-0.04236587"," 0.33204023","-0.01690635","-0.59372434"," 0.14025109","-0.06130571","-0.12927297"," 0.42074008","-0.36298166","-0.31079482","-0.35256046"," 0.13364284"
"M711.441T1125.643","-0.31517239","-0.18572695","-0.07542200"," 0.13484371"," 0.44079261"," 0.01512897"," 1.00495358","-0.36334331","-0.16675072"," 0.05385772","-0.29025679","-0.26695416"," 0.05341329","-0.11461015"," 0.07524657"
"M810.527T1193.498"," 0.139183372","-0.630953745","-0.029795088"," 0.071829525","-0.167985598"," 0.113939057"," 0.517414188","-0.004180613","-0.209682766"," 0.018943862","-0.715077354"," 0.494610384"," 0.187013619"," 0.108109588"," 0.106631570"
"M646.453T1439.754","-0.22961850","-0.13818166"," 0.03794155"," 0.38847543"," 0.20274933"," 0.07193498","-0.23008152","-0.38240131","-0.04738875","-0.09333501","-0.58957912"," 0.37480989"," 0.09406838","-0.02286028"," 0.56346659"
"M379.265T1372.423"," 0.06850334"," 0.12879376","-0.21165515"," 0.21304477","-0.30515492","-0.05259161"," 0.65094684","-0.19264507","-0.28642601","-0.12355910"," 0.10914995"," 0.01071844"," 0.07341543"," 0.02253564","-0.10507630"
"M926.605T1358.969","-0.28766247"," 0.61644436","-0.26330290"," 0.45161578","-0.14680359","-0.08886770","-0.63346494","-0.21850323"," 0.05015723","-0.69252431","-0.30444101","-0.29039923"," 0.70266892"," 0.41009340"," 0.69498967"
"M951.568T1338.092","-0.179604228","-0.411953067"," 0.109175901"," 0.022106023"," 0.227852904"," 0.234810182"," 0.008744347","-0.262430697","-0.390199405"," 0.459914034","-0.849105855"," 0.493220708"," 0.269068067"," 0.046273429"," 0.222127654"
"M651.516T1408.532","-0.31728388","-0.23777044"," 0.02906779"," 0.38946111"," 0.01290415","-0.27456230"," 0.27771447","-0.12549040"," 0.23305624","-0.35387172","-1.37921913"," 0.66771457"," 0.29022404"," 0.20104100"," 0.58701449"
"M593.49T1557.453","-0.46506822","-0.31342228","-0.11915704"," 0.20033818"," 0.06436104","-0.16475305"," 0.39277025","-0.10612717"," 0.17569666","-0.17767745","-0.87878241"," 0.47044354","-0.00167033"," 0.39307190"," 0.52997639"
"M881.483T1130.872","-0.02259284","-0.37462730"," 0.18399307"," 0.27618959","-0.12157698","-0.25691795"," 0.88779346","-0.15237717","-0.33218846"," 0.38518780","-0.24315995"," 0.47670748"," 0.03946981","-0.29204928","-0.45385126"
"M967.557T1267.284"," 0.352777701","-0.437477412"," 0.012548826","-0.114429317"," 0.024795001","-0.210081883"," 0.436261486"," 0.001112415","-0.095616253"," 0.438187360","-0.474403576"," 0.369209772","-0.075018351","-0.138718600","-0.089147170"
"M574.468T1330.445","-0.02474684","-0.61305500","-0.10156842"," 0.04132817"," 0.21325707","-0.04705077"," 0.70868011","-0.15524757","-0.20937561","-0.15081138","-1.21307119"," 0.45834800","-0.16952743"," 0.49491046"," 0.76793040"
"M668.492T1305.416"," 0.01983988","-0.33556231","-0.12858643"," 0.36699207"," 0.22025758","-0.11013037"," 0.86631000"," 0.03848326","-0.61174184","-0.17583554","-1.27304952"," 0.55188385"," 0.20948408","-0.01809358"," 0.37974887"
"M587.442T1269.605"," 0.09826159","-0.46971369","-0.19760523","-0.04382038"," 0.23988388"," 0.14708138"," 1.10997601","-0.29734444","-0.37776136","-0.05588142","-0.61516202","-0.10408360","-0.05094487"," 0.09304634"," 0.52406780"
"M711.566T1557.453","-0.33084473","-0.08137704","-0.14661289"," 0.81500337"," 0.17622169","-0.13807656","-0.28035070","-0.20799067","-0.04422141","-0.57819676","-0.09031763"," 0.81152250","-0.18607135"," 0.19763091"," 0.08368127"
"M648.466T1423.012","-0.31823644","-0.52951772","-0.29619787"," 0.33025180"," 0.22092670"," 0.06889121"," 0.21857540","-0.26982043","-0.06968936","-0.31466273","-0.83044790"," 0.66065981"," 0.11080037"," 0.20450832"," 0.81395883"
"M951.572T1242.045","-0.201632945","-0.507168621","-0.001512271","-0.082961047"," 0.273981085"," 0.222962533"," 0.395422513","-0.290920433","-0.407122301"," 0.443565135","-0.799184942"," 0.392388947"," 0.194169610"," 0.196901954"," 0.171110783"
"M639.422T1278.929"," 0.0652925700","-0.6348917941","-0.0693265982"," 0.0456787462"," 0.1769443356","-0.0977489973"," 0.8345806424","-0.2082175926","-0.1565680278","-0.0593213424","-0.7070770224"," 0.3699152523"," 0.0007386718"," 0.0352479638"," 0.4047531928"
"M697.259T909.874","-0.186193473","-1.056827371","-0.038002850","-0.147651847"," 0.008238807","-0.070968469"," 0.151199691"," 0.350344421"," 0.103972996"," 0.568533491"," 0.082651085"," 0.036648685"," 0.006091189"," 0.124827960"," 0.067135687"
"M593.49T1539.529","-0.42443342","-0.26916210","-0.08796906"," 0.24348725"," 0.10387352","-0.13502884","-0.07564137","-0.08295535"," 0.21875999","-0.16366711","-0.87442036"," 0.52420774"," 0.05092860"," 0.42018820"," 0.55183231"
"M711.565T1605.092","-0.30342321","-0.01318463","-0.12390908"," 0.81272229"," 0.19077783","-0.11576597","-0.54369429","-0.18349468","-0.02444830","-0.54446179","-0.06867528"," 0.80921167","-0.16240227"," 0.17061470"," 0.10013300"
"M649.479T1423.325","-0.41040564","-0.17893263","-0.24101601"," 0.25153793","-0.02494078"," 0.05513399"," 0.16632813","-0.31980073","-0.01467331","-0.49245168","-0.49269062"," 0.75112407","-0.06909337"," 0.22179594"," 0.79808470"
"M723.435T1322.772"," 0.168689948"," 0.140445400","-0.042070041","-0.007587481"," 0.167509659","-0.063136611"," 0.604296129","-0.162919415","-0.066865316","-0.145973465","-0.603443226"," 0.139222933","-0.168297510","-0.151616376"," 0.191745373"
"M423.198T1506.423"," 0.016097651"," 0.015058327"," 0.006127689","-0.015989178","-0.057114391","-0.171633127"," 0.796588931","-0.139917439","-0.105025770","-0.115570021"," 0.036825082"," 0.013357767","-0.293482091"," 0.024146420","-0.009469851"
"M727.445T1338.726"," 0.12319957","-0.24956989","-0.19511908"," 0.14467332"," 0.29320142"," 0.10146641"," 0.13768243","-0.10043176","-0.04082819","-0.02683679","-0.43165285"," 0.43458658"," 0.05650720"," 0.04688564","-0.29376402"
"M986.584T1288.291"," 0.19536634","-0.37015558"," 0.05139702"," 0.20309777"," 0.33637598"," 0.24820590"," 0.46294771","-0.33025789","-0.49313085"," 0.16098177","-0.55370520","-0.30730315","-0.07046243"," 0.40329588"," 0.06334674"
"M593.489T1519.555","-0.40229245","-0.24372518","-0.04534090"," 0.26460186"," 0.13057052","-0.07358584"," 0.24135383","-0.05073051"," 0.25485647","-0.11262391","-0.89793261","-0.23234448"," 0.09599354"," 0.43234882"," 0.63885086"
"M385.184T1473.566"," 0.19226729"," 0.64442782"," 0.08539267"," 0.28646962","-0.05200127","-0.15578219","-0.09387979","-0.54843694","-0.37912772"," 0.27395034","-0.34875953"," 0.58863163","-0.08153426","-0.28716837","-0.12444929"
"M571.362T1440.098"," 0.11361986","-0.12724423","-0.19855488","-0.26222789"," 0.38174204","-0.19095374","-0.19482422","-0.18183266"," 0.15397284","-0.17424545","-0.42757762"," 0.27269737"," 0.08845583"," 0.02942248"," 0.71755025"
"M646.461T1352.771","-0.246968289","-0.098806803","-0.020210685"," 0.403913024","-0.105380453","-0.003898215"," 0.172802227","-0.318787321","-0.101877438","-0.058383440","-0.611005927"," 0.378693176"," 0.087366313","-0.014264245"," 0.536808075"
"M555.456T1423.317","-0.23851164","-0.02660492"," 0.06629511"," 0.14560989"," 0.03600086","-0.27298769"," 0.20587613","-0.28163735","-0.11352427","-0.29204782","-0.39031269"," 0.68541402","-0.07679487","-0.03918641"," 0.59241162"
"M679.553T1406.451","-0.31520400","-0.31722603","-0.02049921","-0.13913925"," 0.42790764"," 0.45334767"," 0.70559740","-0.25555355","-0.54388168","-0.59030630","-0.38044949"," 0.50685719"," 0.20479825","-0.07827249"," 0.34202384"
"M547.402T1437.709","-0.107684885"," 0.020069484","-0.022595976"," 0.383164825","-0.132962805","-0.006928158","-0.065516615","-0.368984109"," 0.001438718","-0.434449925","-0.102879138"," 0.513998484"," 0.033073583","-0.082928791"," 0.373185310"
"M985.575T1306.148"," 0.19488412","-0.09971819"," 0.20123179"," 0.15656182"," 0.15025767"," 0.18931263","-0.08302678"," 0.11596046","-0.39691970"," 0.31193041","-0.81897046"," 0.18386797"," 0.07671070"," 0.02578541","-0.20786784"
"M716.516T1356.112","-0.37344972"," 0.17996179"," 0.37104723","-0.10802526","-0.11396978"," 0.01149682"," 0.10183889"," 0.45418276","-0.04043661","-0.39950937","-0.49605019"," 0.41641411"," 0.13605336"," 0.01751721","-0.15707124"
"M775.526T1457.082"," 0.11733629"," 0.20713409"," 0.34714441","-0.04239500"," 0.11555173"," 0.30204187","-0.69031429","-0.04520171"," 0.20712433","-0.17321492","-0.93333501"," 0.24679266"," 0.12135189"," 0.14899668"," 0.07098698"
"M590.446T1338.898","-0.62060767"," 0.13360672"," 0.24220923"," 0.04009280","-0.22301328"," 0.08831063"," 0.68003340","-0.11609977"," 0.01633776","-0.50959282","-0.32557146"," 0.16107953"," 0.28567659","-0.05402751"," 0.20156586"
"M826.525T1288.728","-0.08238277","-0.06482657"," 0.35124886"," 0.47633905","-0.03261980","-0.20373187"," 0.50053087","-0.15748023"," 0.05615546"," 0.13623332","-0.86694695"," 0.03193516"," 0.18559576","-0.07138975","-0.25866056"
"M879.468T1338.726"," 0.0217001260"," 0.0289747175"," 0.4246913284"," 0.6121739399","-0.0003677004","-0.0715399786","-1.5238756272","-0.2048239597"," 0.2683958484"," 0.1380064597","-0.4447788192"," 0.5681666426"," 0.3142158526","-0.0537813827","-0.0771574473"
"M826.503T1348.634","-0.10160915","-0.10438631"," 0.27488263"," 0.40323740","-0.24317741","-0.21524420"," 0.44402291","-0.22014952"," 0.02966509"," 0.10512784","-0.84142324"," 0.59903030"," 0.15112334","-0.09052933","-0.19057036"
"M808.523T1304.698"," 0.008945659","-0.365981069"," 0.218783383"," 0.129767350"," 0.144260154","-0.062898694","-0.342317422","-0.145623763"," 0.037037006"," 0.367341676","-0.738524916"," 0.444764865"," 0.121478890"," 0.057005196"," 0.125961687"
"M647.463T1423.013","-0.37133809","-0.43317823","-0.15478206"," 0.39856081"," 0.21063702","-0.01273068"," 0.46250616","-0.30517902"," 0.02000061","-0.21844200","-1.01445107"," 0.61276220"," 0.02063047"," 0.01659984"," 0.76840404"
"M613.48T1389.147"," 0.12466320"," 0.05687465"," 0.52307460"," 0.24763204"," 0.24820057"," 0.20799400"," 0.02232069","-0.12023993","-0.30628913","-0.06340267","-1.30967638"," 0.11050235","-0.19622938"," 0.31332460"," 0.14125079"
"M556.445T1212.039","-0.16968388","-0.44958760","-0.33763328","-0.07588352","-0.01363688"," 0.12818153"," 1.81101559"," 0.35911941","-0.54907089","-0.27719304","-0.16242030","-0.60735599","-0.60256167"," 0.68852121"," 0.25818931"
"M937.593T1423.395","-0.08558245"," 0.23524901"," 0.59106815"," 0.23282398"," 0.05669043"," 0.01267415","-0.90646583"," 0.18248418","-0.07507937","-0.39875686","-0.77846123"," 0.39746362"," 0.47696576"," 0.25078983","-0.19186336"
"M645.457T1372.456","-0.196052754","-0.431933707"," 0.012949891"," 0.260911640"," 0.256224586"," 0.003863931"," 0.294092841","-0.350412958","-0.037897441","-0.060073904","-0.403968830"," 0.287307559","-0.111300667","-0.085176923"," 0.561466735"
"M668.506T1440.08"," 0.02365455","-0.31347723"," 0.09873386"," 0.46415643"," 0.28290000","-0.13897872"," 0.36572400","-0.04931847","-0.96806501","-0.05574561","-0.85451277"," 0.63729469"," 0.18488547","-0.11760400"," 0.44035281"
