"",f.value,p.value,-log10(p),FDR,Fisher's LSD (top 1000)
M507.18T901.88,5.9535,0.011527,1.9383,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M1070.417T942.609,5.8394,0.012273,1.911,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M757.24T725.919,5.7365,0.012996,1.8862,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas
M809.345T941.458,5.7199,0.013117,1.8822,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Xanthomonas
M621.419T1456.849,5.7199,0.013117,1.8822,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Fusarium
M438.219T1156.388,5.6226,0.013854,1.8584,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas
M705.258T877.183,5.5645,0.014318,1.8441,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M438.207T1136.982,5.5409,0.014512,1.8383,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas
M990.367T843.183,5.5202,0.014684,1.8332,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M507.173T926.047,5.4651,0.015154,1.8195,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M835.333T951.54,5.4037,0.015699,1.8041,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M904.333T924.482,5.3837,0.015882,1.7991,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M1038.388T940.951,5.302,0.016654,1.7785,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M969.398T948.9,5.2836,0.016834,1.7738,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M848.316T959.199,5.2605,0.017063,1.7679,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M1023.385T959.199,5.2453,0.017216,1.7641,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M875.326T913.799,5.2213,0.01746,1.7579,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M472.321T1423.013,5.2139,0.017537,1.7561,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium
M1095.412T857.905,5.1901,0.017784,1.75,0.47705,First-tp_Drought - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M875.328T942.609,5.1891,0.017795,1.7497,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M904.347T942.609,5.1684,0.018014,1.7444,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M895.336T836.496,5.1426,0.018291,1.7378,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M806.333T841.952,5.1393,0.018328,1.7369,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M603.415T1456.538,5.139,0.01833,1.7368,0.47705,First-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium
M327.177T1330.308,5.1332,0.018393,1.7353,0.47705,First-tp_Fusarium - First-tp_Drought; First-tp_Fusarium - First-tp_Xanthomonas
M423.148T959.199,5.113,0.018616,1.7301,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Xanthomonas
M819.302T866.333,5.1065,0.018688,1.7284,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M646.455T1423.013,5.1036,0.01872,1.7277,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium
M423.145T941.689,5.1002,0.018758,1.7268,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Xanthomonas
M673.587T1576.856,5.0989,0.018773,1.7265,0.47705,First-tp_Control - First-tp_Fusarium; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium
M789.329T927.31,5.0838,0.018942,1.7226,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M919.314T784.45,5.0762,0.019029,1.7206,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M779.29T843.183,5.065,0.019156,1.7177,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M734.266T813.875,5.0607,0.019206,1.7166,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M972.391T940.951,5.0578,0.01924,1.7158,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M806.336T927.31,5.0549,0.019273,1.715,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M704.261T784.45,5.0453,0.019383,1.7126,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M809.345T958.024,5.0447,0.019391,1.7124,0.47705,First-tp_Fusarium - First-tp_Control; First-tp_Fusarium - First-tp_Xanthomonas
M438.146T926.75,5.0424,0.019417,1.7118,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M574.467T1456.399,5.0149,0.01974,1.7046,0.47705,First-tp_Control - First-tp_Fusarium; First-tp_Drought - First-tp_Fusarium; First-tp_Xanthomonas - First-tp_Fusarium
M835.332T872.624,5.0094,0.019806,1.7032,0.47705,First-tp_Drought - First-tp_Control; First-tp_Fusarium - First-tp_Control; First-tp_Xanthomonas - First-tp_Control
M395.288T1490.071,4.998,0.019943,1.7002,0.47705,First-tp_Control - First-tp_Drought; First-tp_Xanthomonas - First-tp_Drought
M633.478T1401.37,4.9909,0.020028,1.6984,0.47705,First-tp_Xanthomonas - First-tp_Control; First-tp_Xanthomonas - First-tp_Drought; First-tp_Xanthomonas - First-tp_Fusarium
