"","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","C12.1","C12.3","C12.4","C15.1","C15.2","C15.3","C15.4","C9.1","C9.2","C9.3","C9.4","D12.1","D12.2","D12.3","D12.4","D15.1","D15.2","D15.3","D15.4","D9.1","D9.2","D9.3","D9.4","F12.1","F12.2","F12.3","F12.4","F15.1","F15.2","F15.3","F15.4","F9.1","F9.2","F9.3","F9.4","QC.1.Dup","QC.1","QC.2","QC.3","X12.1","X12.2","X12.3","X15.1","X15.2","X15.3","X15.4","X9.1","X9.2","X9.3","X9.4"
"Label","bla_0","bla_0","bla_0","bla_0","con_12","con_12","con_12","con_15","con_15","con_15","con_15","con_9","con_9","con_9","con_9","dro_12","dro_12","dro_12","dro_12","dro_15","dro_15","dro_15","dro_15","dro_9","dro_9","dro_9","dro_9","foc_12","foc_12","foc_12","foc_12","foc_15","foc_15","foc_15","foc_15","foc_9","foc_9","foc_9","foc_9","qcs_0","qcs_0","qcs_0","qcs_0","xvm_12","xvm_12","xvm_12","xvm_15","xvm_15","xvm_15","xvm_15","xvm_9","xvm_9","xvm_9","xvm_9"
"M848.827T17.121","19517.803","19517.803","19517.803","19517.803","24516.497","22465.194","26112.394","26804.017","23861.416","16784.862","24074.589","26601.066","23309.72","23835.473","25756.118","26599.356","23984.106","26450.399","26519.342","20109.328","22969.693","20986.985","26499.273","25070.988","25996.807","23010.826","22861.305","22985.849","22769.73","16421.22","18532.12","38244.39","24086.623","36521.937","26354.078","25254.791","24872.394","21961.325","38203.102","22636.327","22636.327","24102.789","24932.442","23099.353","25781.094","22152.848","27574.725","23860.912","18713.974","24979.236","22526.595","24208.261","24132.18","25871.375"
"M848.829T12.14","13077.245","13077.245","13077.245","13077.245","39480.4118","13479.938","14524.211","13817.626","16602.357","13244.818","15472.278","15998.671","11995.097","14242.19","11750.872","18465.23","16125.024","18164.719","15601.354","16146.527","13165.92","37481.002","15869.997","12469.41","16286.234","16410.557","13983.539","13798.181","13686.257","14498.228","13813.884","12704.2918","17817.292","12976.202","16658.514","16830.34","16431.146","13602.988","12967.245","23130.309","23130.309","12167.26","15678.896","13565.593","11079.594","11471.523","13575.288","16015.904","13696.729","23107.286","15003.992","12214.534","15880.341","17669.822"
"M850.818T18.123","10358.455","10358.455","10358.455","10358.455","15402.0825","13711.523","14694.055","15076.632","15359.016","9331.924","12434.964","13802.875","16864.442","13991.216","14251.974","14532.635","14235.526","15682.908","15292.293","21767.697","14499.898","15570.572","15774.943","14744.1","15893.242","10955.661","14005.106","13230.469","14582.342","8926.799","10026.671","14919.4837","14226.73","15536.103","15378.564","14469.446","15241.685","14848.794","13683.229","18060.515","18060.515","16687.27","15150.806","14521.985","14250.563","12766.299","12672.998","15272.855","10120.219","15305.431","13922.613","14751.594","14215.689","16300.756"
"M853.825T17.626","19250.175","19250.175","19250.175","19250.175","37154.7353","21406.725","25113.549","25031.759","26844.228","17234.671","19090.057","23245.431","26395.755","23572.397","25612.005","25794.493","22469.5","26990.326","26382.912","38248.896","24581.013","38078.74","24602.091","24639.964","24659.371","26657.734","23455.771","25080.244","22876.112","15913.32","18909.439","24605.9245","24537.909","23501.639","24632.193","20689.386","25847.124","26271.289","37368.675","21988.775","21988.775","23966.532","26661.96","25266.237","25424.434","21382.841","24316.367","26307.212","15081.108","26296.988","23253.552","23207.646","21365.906","25787.13"
"M853.828T11.107","14948.996","14948.996","14948.996","14948.996","13955.2745","14272.119","16260.636","15881.47","26409.24","11537.949","13029.051","15803.749","15594.644","14045.822","10915.795","15592.638","12540.897","26974.682","14268.162","14468.02","14709.454","13556.325","15025.976","16131.422","15742.825","14574.121","12887.986","14821.277","16214.198","14043.028","15679.044","36011.712","16257.1","34616.672","15421.997","13100.958","16909.156","15062.07","15628.316","15465.126","15465.126","14866.455","15450.212","15992.654","14425.146","13042.414","13241.712","16503.362","14584.758","26203.863","14468.414","14274.696","13403.009","15580.404"
"M854.81T18.145","10404.112","10404.112","10404.112","10404.112","15308.8173","12591.602","16319.744","15712.942","16176.241","10503.676","11516.171","13846.853","15892.711","14218.182","12705.898","13368.681","13169.008","12026.991","14195.022","12034.383","13530.712","15499.761","13387.825","13489.163","14522.721","10835.792","14013.71","15470.999","12196.124","9000.841","9465.738","14536.6759","12918.375","12893.557","14363.428","12854.544","13022.781","12387.674","15950.392","14315.473","14315.473","15683.899","13939.714","13323.921","13396.166","12479.679","13014.459","15117.341","9194.418","13796.502","14092.15","13965.745","14436.025","14179.847"
"M855.494T14.083","13004.575","13004.575","13004.575","13004.575","14247.5375","17026.804","16963.086","18186.731","11025.411","13339.823","15517.546","15115.21","17427.465","17332.441","15641.117","16958.603","14922.454","15662.736","15659.185","17956.462","16435.892","15021.572","16396.655","9255.523","19528.646","13308.186","17518.098","18803.712","15821.595","12903.962","13986.441","18057.403","18361.509","16498.614","17388.823","15360.126","16273.452","15800.663","16888.293","15697.345","15697.345","15001.595","16792.372","16947.35","16450.005","15053.959","16331.791","19146.075","12284.744","10806.322","15885.697","16210.486","16090.792","16344.195"
"M856.823T18.124","25122.819","25122.819","25122.819","25122.819","44620.5375","28999.751","31076.537","31576.597","32683.114","21874.464","27482.332","32345.48","32766.004","29078.916","31543.985","31147.162","26427.848","30433.026","31789.651","46667.985","31494.673","47311.591","33158.469","29263.528","28676.522","21616.406","29108.175","33113.637","26871.922","20779.204","23669.353","45024.67","33335.565","38792.817","32805.463","30163.859","33734.556","32395.909","48446.893","25801.509","25801.509","30292.606","32302.029","28828.157","29693.525","29299.636","27864.478","32401.709","19565.705","35806.197","29752.93","27997.182","29662.722","32068.455"
"M865.333T16.616","9059.867","9059.867","9059.867","9059.867","12205.9075","10496.157","12542.287","12383.521","13814.583","8135.797","10005.097","12266.771","11051.054","11354.35","12519.221","12643.001","11505.755","11909.622","13614.722","9890.205","8548.467","20274.81","7401.722","12700.015","12491.452","8087.389","9167.598","13553.169","11179.712","7420.873","9130.84","17384.2686","12109.155","11923.303","11693.037","9923.172","12407.497","12175.449","11725.246","10208.537","10208.537","11802.445","13064.913","10873.013","11457.48","11830.487","12013.053","12354.81","7998.723","15472.08","10986.026","9658.709","10476.107","11262.624"
"M867.825T13.11","15543.291","15543.291","15543.291","15543.291","22185.0708","11847.436","11237.612","13002.425","12100.181","13645.635","12647.993","14239.164","14306.792","12850.436","12545.961","14829.981","12643.381","13996.651","13770.542","13431.555","12533.255","19057.544","19858.216","12374.497","14556.58","13546.699","13998.515","12681.83","11393.814","12579.835","15558.98","13811.2269","11998.183","17788.258","15598.305","13044.664","11398.092","15109.807","22172.482","22247.282","22247.282","14913.588","14892.544","11279.869","13613.362","14052.843","9454.398","15281.564","18854.268","16943.866","13312.103","13262.327","12248.636","14009.205"
"M868.816T18.125","13402.261","13402.261","13402.261","13402.261","28799.5272","17790.521","18217.886","20325.019","19724.194","12403.649","15068.206","20219.347","17500.401","19228.634","17861.761","19883.472","19019.564","17683.109","20571.53","16837.174","17805.512","17420.211","17328.96","18573.554","19335.576","14207.35","18462.04","19087.669","15844.874","13338.939","13496.439","20308.744","17447.877","18591.597","18667.807","16769.112","17923.613","18522.262","27387.648","19880.007","19880.007","18773.683","19776.343","18553.853","9043.048","17308.739","17248.575","18890.906","14044.242","18987.398","17480.284","17939.003","17566.542","18573.554"
