"","PC1","PC2","PC3","PC4","PC5"
"M442.938T91.386",-0.0042888,-0.032553,0.0332,0.018533,-0.0054614
"M653.752T320.843",0.020967,0.014616,-0.015903,-0.0067386,-0.00023046
"M683.129T316.242",0.033884,-0.0079273,-0.046214,-0.035889,0.0029667
"M653.783T316.318",0.02739,-0.0065009,-0.0031048,-0.019114,0.0027874
"M489.058T766.222",0.046979,-0.02035,-0.0035558,0.036473,0.0047527
"M327.108T784.235",0.014627,0.0042558,0.024284,-0.01568,-0.0010035
"M633.494T312.856",-0.0096475,0.02078,0.045563,-0.0027637,-0.0021085
"M851.819T1425.446",0.034739,-0.0031389,0.011561,0.084371,-0.01103
"M530.968T106.005",0.030204,0.0048191,-0.018222,0.017868,-0.0048832
"M1009.607T1323.757",0.03029,-0.018025,-0.0021076,-0.012042,0.0026985
"M653.717T312.26",-0.0087664,0.026788,0.0087715,-0.041718,-0.0011782
"M1031.899T1225.646",0.018742,-0.011236,0.011364,0.013389,-0.0029303
"M297.119T136.686",0.027964,0.015876,0.001878,0.015067,0.00031374
"M769.419T945.253",0.035158,-0.0021877,0.012461,0.038701,0.0034438
"M1201.918T909.936",0.0082844,0.064095,-0.015127,-0.0018239,0.0055293
"M864.188T806.912",-0.010446,0.0082661,-0.032507,-0.03483,-0.0057879
"M865.489T1291.829",0.017068,-0.00166,-0.033981,0.0035925,-0.0013343
"M799.191T949.166",0.011436,-0.03282,-0.013628,-0.039272,0.00055729
"M1263.489T907.902",-0.021231,0.039472,-0.018412,-0.014735,0.0047213
"M451.174T880.577",0.044819,0.036626,0.033471,-0.016284,0.0030653
"M405.08T802.267",0.024697,-0.011167,-0.015958,0.033025,-0.0017822
"M309.119T137.634",0.040942,0.0017986,0.038906,-0.005124,0.0050448
"M385.077T746.611",-0.024706,0.02157,0.0080662,-0.025703,0.0012437
"M192.103T133.173",-0.032325,-0.02454,-0.029434,-0.032901,9.7965e-05
"M1030.642T1193.369",0.018956,0.011217,-0.0085153,-0.030025,0.0011574
"M723.577T942.094",-0.0084909,-0.011447,-0.081967,-0.002981,-0.00087553
"M1071.439T878.893",0.047133,0.021169,0.044299,-0.0090143,-0.0038496
"M1069.501T1402.821",0.027647,-0.0308,-0.016892,0.043041,0.0031766
"M281.07T709.104",0.0074218,0.0086983,-0.04194,-0.021709,0.0035735
"M577.137T781.037",-0.029422,0.018293,-0.018126,0.056878,-0.00060802
"M397.075T138.684",0.029843,0.017692,-0.006367,-0.019309,-0.00031221
"M653.861T317.501",0.030863,0.005797,-0.0028504,-0.0030773,0.0049835
"M375.104T216.821",0.037433,0.0079393,-0.015281,-0.019072,0.00078777
"M384.097T310.658",0.025532,0.016909,-0.02453,-0.0043523,0.0019731
"M591.094T89.826",0.024616,0.027582,-0.029656,0.0049791,-0.0019911
"M351.085T316.423",0.031033,-0.003544,-0.010592,0.0018914,-0.0019818
"M460.969T105.772",0.029562,-0.0096517,-0.049738,0.0098667,-0.0068864
"M241.033T103.182",0.0069571,-0.00033108,-0.037455,-0.021705,-0.0017031
"M665.267T889.419",0.031903,0.020686,-0.024311,-0.014005,-0.0012856
"M969.939T315.438",0.026373,-0.036161,-0.0051041,0.068157,-0.0030548
"M1333.355T942.499",-0.015542,-0.010782,-0.044371,-0.0058815,-0.0043697
"M319.083T845.914",0.031514,-0.016107,-0.010989,0.011799,-0.00105
"M289.065T88.687",0.03224,-0.010643,-0.042342,-0.050173,-0.0018208
"M289.086T1163.856",0.029823,0.012247,0.019439,-0.038729,0.0026505
"M655.873T943.419",0.02327,0.0007902,-0.026907,0.014839,-0.0015356
"M642.242T817.768",0.032006,-0.02227,0.023016,0.012708,-0.00024436
"M695.12T755.765",-0.025777,0.090126,-0.055256,-0.0037872,0.0011216
"M487.016T806.181",0.025398,0.030783,0.021054,0.02194,-0.0018401
"M967.561T1349.704",0.03235,-0.019279,0.0051707,-0.016571,0.00099487
"M821.606T900.199",0.044208,-0.01425,-0.0012445,0.0073025,-0.0030492
"M1095.063T894.34",-0.032455,0.026464,-0.015667,-0.012029,0.0066592
"M279.139T1150.344",0.034145,-0.084138,0.01227,-0.00060829,-0.0015713
"M579.301T894.416",0.029793,-0.018992,-0.016777,-0.014632,0.00028644
"M367.102T765.544",0.041151,0.0012374,-0.01672,0.01169,0.0066503
"M585.15T892.945",0.038253,0.021119,-0.028453,0.005568,0.00042883
"M988.312T316.465",0.033355,0.0078311,0.0058171,-0.0066036,0.002246
"M735.437T1351.512",0.024485,-0.012472,-0.034673,-0.013754,0.0014526
"M633.697T313.008",0.035538,0.050127,0.037003,-0.0035828,-0.00076356
"M851.154T319.552",0.023388,0.0049644,-0.025862,-9.679e-05,0.0023076
"M265.093T134.502",0.032591,-0.02195,0.0068922,-0.0037088,0.00035344
"M575.708T1045.732",-0.0059565,0.03968,-0.056125,0.031848,-0.0053382
"M657.063T941.851",0.00042258,-0.015562,-0.062959,0.051527,-0.0028106
"M632.663T319.55",0.03238,0.0033771,0.01627,-0.0073904,0.0040062
"M593.543T760.107",-0.023443,0.063076,-0.058713,0.00026953,-0.0026557
"M809.433T1339.33",0.021103,0.0024334,-0.01067,0.040623,-0.0020898
"M1296.442T316.362",0.041321,0.00023059,0.019706,-0.015761,0.0052036
"M654.008T318.692",0.039143,0.021091,0.0044839,0.016483,-0.0044098
"M923.402T931.508",0.052513,0.0051856,0.021637,-0.019027,0.00096212
"M428.2T856.891",0.048352,0.0095922,-0.0091508,-0.002384,0.004364
"M281.069T746.743",0.023813,-0.012948,-0.0043214,0.0067887,0.0026113
"M703.247T844.715",0.036026,-0.018035,0.02303,-0.0042673,0.0043015
"M590.015T907.684",-0.030837,0.036792,-0.033009,-0.014687,0.0058061
"M455.081T704.884",0.018307,0.035654,-0.0356,-0.0059214,0.0045587
"M970.813T317.253",0.036372,-0.011175,0.01411,-0.0075077,0.0042903
"M997.575T1403.78",0.030718,-0.032995,-0.017986,-0.0094128,0.0018041
"M1053.286T316.584",0.034333,0.001264,0.014525,0.0015058,-0.0021541
"M575.926T1053.198",0.034061,-0.027756,-0.016479,0.0079009,-0.0026528
"M1163.085T907.707",-0.070516,0.067178,-0.0046278,-0.021231,-0.0057347
"M421.636T753.774",-0.0020335,0.033104,-0.033487,0.063922,-9.9886e-05
"M709.31T874.193",0.035313,-0.0021514,-0.0034031,-0.019851,0.0038672
"M361.589T316.501",0.030094,-0.015756,-0.0078322,0.018084,-0.0016731
