"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M435.959T107.38",1.364,1.3167,1.3136,1.3139
"M433.351T780.04",1.3629,1.3421,1.3389,1.3387
"M238.069T801.926",1.3628,1.3077,1.3024,1.3022
"M341.465T625.973",1.3623,1.3182,1.3127,1.3126
"M437.044T765.875",1.3622,1.3048,1.2994,1.2993
"M409.075T617.585",1.3604,1.3318,1.3263,1.3262
"M438.049T766.588",1.3597,1.3239,1.3189,1.3188
"M824.341T916.725",1.3592,1.3935,1.3903,1.3902
"M483.178T941.182",1.3582,1.3058,1.3004,1.3007
"M547.234T852.079",1.3572,1.3247,1.3191,1.319
"M501.195T803.697",1.3567,1.3321,1.327,1.3269
"M589.271T908.408",1.3519,1.3067,1.3019,1.3019
"M848.315T857.496",1.3493,1.3768,1.3758,1.3756
"M367.102T765.544",1.3453,1.2889,1.2845,1.2843
"M850.805T68.208",1.3451,1.3196,1.3158,1.3157
"M1130.437T924.326",1.3436,1.3179,1.3124,1.3123
"M833.365T968.818",1.3434,1.3404,1.335,1.3348
"M398.263T1317.762",1.3393,1.3205,1.3175,1.3173
"M1197.439T886.215",1.3389,1.2916,1.2867,1.2866
"M409.172T733.287",1.3379,1.296,1.2927,1.2926
"M557.187T899.436",1.337,1.3179,1.313,1.3129
"M795.27T865.806",1.3329,1.2775,1.2722,1.2722
"M421.069T767.549",1.3325,1.2822,1.2849,1.2847
"M415.161T821.344",1.3283,1.2724,1.2675,1.2673
"M529.154T821.794",1.327,1.2715,1.2668,1.2667
"M473.196T813.174",1.3247,1.269,1.2637,1.2639
"M650.407T1378.088",1.3242,1.2685,1.2633,1.2632
"M289.056T250.757",1.3235,1.2893,1.2882,1.2882
"M693.424T1336.51",1.3223,1.3149,1.3102,1.3102
"M549.258T834.983",1.3212,1.3433,1.3396,1.3397
"M688.263T861.089",1.3174,1.2668,1.2621,1.262
"M1035.367T890.845",1.3156,1.2616,1.2563,1.2562
"M645.252T899.393",1.3076,1.2533,1.249,1.2489
"M447.959T106.92",1.3061,1.251,1.2458,1.246
"M664.226T813.714",1.304,1.2571,1.2522,1.2521
"M578.43T1675.044",1.3033,1.2751,1.2717,1.2716
"M714.253T913.384",1.3005,1.2477,1.2428,1.2427
"M413.108T298.268",1.3003,1.2531,1.2481,1.2482
"M545.297T1155.639",1.2969,1.2638,1.2589,1.2587
"M617.247T870.852",1.2951,1.2446,1.2425,1.2424
"M968.386T889.852",1.2946,1.24,1.2348,1.2346
"M415.225T881.978",1.2944,1.2633,1.2587,1.2591
"M1308.415T315.705",1.2919,1.2418,1.2372,1.2371
"M433.784T801.352",1.2882,1.2494,1.2442,1.2441
"M964.359T921.966",1.2872,1.3212,1.3344,1.3342
"M355.433T783.665",1.2862,1.2319,1.2403,1.2403
"M1130.433T884.599",1.2835,1.2336,1.2285,1.2284
"M999.268T316.316",1.2815,1.2283,1.2233,1.2232
"M575.926T1053.198",1.2808,1.2476,1.2424,1.2422
"M852.339T915.443",1.2791,1.2252,1.2213,1.2211
"M1043.424T909.662",1.2774,1.2501,1.2449,1.2448
"M590.274T907.848",1.2767,1.2309,1.2286,1.2286
"M625.024T106.841",1.2747,1.2292,1.2347,1.2346
"M549.205T845.853",1.274,1.2236,1.2207,1.2207
"M1243.514T983.057",1.2733,1.2264,1.2221,1.2225
"M806.978T940.468",1.2731,1.2631,1.2598,1.2598
"M447.05T875.673",1.2729,1.2192,1.22,1.2198
"M1059.606T1053.565",1.2718,1.2575,1.2522,1.2521
"M1035.397T978.889",1.2701,1.2615,1.2565,1.2563
"M1614.109T935.709",1.27,1.2179,1.2128,1.2126
"M463.182T861.112",1.2699,1.2337,1.2285,1.2287
"M502.995T105.736",1.2693,1.2184,1.2188,1.2187
"M516.992T825.04",1.265,1.2126,1.2254,1.2252
"M475.366T1425.395",1.2648,1.2278,1.2227,1.2225
"M696.3T853.355",1.2629,1.234,1.2308,1.2309
"M333.926T91.902",1.2599,1.2161,1.2121,1.2121
"M661.142T919.275",1.2593,1.2367,1.2326,1.2325
"M830.24T316.247",1.2584,1.2206,1.2188,1.2187
"M1103.384T928.554",1.2577,1.2379,1.2337,1.2335
"M324.072T215.478",1.2505,1.2687,1.2664,1.2663
"M220.134T731.802",1.2498,1.2207,1.2171,1.2171
"M419.228T901.259",1.2457,1.2635,1.2616,1.2614
"M221.066T891.624",1.2453,1.1949,1.1939,1.1938
"M471.152T726.342",1.2451,1.2374,1.2399,1.2398
"M643.245T933.361",1.2447,1.1945,1.19,1.1898
"M393.081T756.691",1.2422,1.2069,1.2021,1.202
"M653.891T318.024",1.2417,1.2064,1.202,1.2019
"M293.177T1099.499",1.241,1.1959,1.1917,1.1918
"M483.209T897.853",1.2404,1.1883,1.1834,1.1832
