"","FC","log2(FC)","raw.pval","-log10(p)"
"M649.302T900.549",0.49013,-1.0288,0.025114,1.6001
"M311.104T1075.82",0.15628,-2.6778,0.025959,1.5857
"M485.168T916.74",0.4001,-1.3216,0.026433,1.5779
"M333.926T91.902",0.37246,-1.4248,0.026676,1.5739
"M310.969T105.491",0.4293,-1.22,0.027255,1.5646
"M460.969T105.772",0.43734,-1.1932,0.02747,1.5611
"M768.448T1315.096",0.39461,-1.3415,0.027979,1.5532
"M549.174T847.493",0.48924,-1.0314,0.028049,1.5521
"M513.235T964.262",0.41186,-1.2798,0.028149,1.5505
"M343.102T681.368",0.40949,-1.2881,0.028201,1.5497
"M477.061T615.621",0.3163,-1.6607,0.028511,1.545
"M1614.109T935.709",0.37823,-1.4027,0.028994,1.5377
"M443.058T752.856",0.46319,-1.1103,0.029387,1.5318
"M427.009T107.872",0.42027,-1.2506,0.029808,1.5257
"M1109.422T909.522",0.20098,-2.3149,0.029989,1.523
"M645.252T899.393",0.33774,-1.566,0.030417,1.5169
"M609.054T106.871",0.37973,-1.397,0.030682,1.5131
"M511.24T944.134",0.44076,-1.1819,0.030934,1.5096
"M630.654T314.128",0.46974,-1.0901,0.030979,1.5089
"M341.088T304.64",0.47785,-1.0654,0.031602,1.5003
"M401.049T776.54",0.47757,-1.0662,0.031795,1.4976
"M1035.367T890.845",0.35272,-1.5034,0.03213,1.4931
"M589.271T908.408",3.1105,1.6372,0.032256,1.4914
"M548.979T106.308",0.45593,-1.1331,0.032876,1.4831
"M714.253T913.384",0.36044,-1.4722,0.03325,1.4782
"M621.052T106.9",0.38904,-1.362,0.03344,1.4757
"M721.31T972.44",0.27746,-1.8496,0.033455,1.4755
"M449.202T630.506",0.47068,-1.0872,0.033511,1.4748
"M1095.063T894.34",2.2136,1.1464,0.033528,1.4746
"M361.323T326.759",0.26131,-1.9362,0.033778,1.4714
"M1045.593T1289.364",0.42215,-1.2442,0.034359,1.464
"M776.814T66.22",0.4539,-1.1396,0.035158,1.454
"M373.167T930.605",0.41606,-1.2651,0.035272,1.4526
"M433.351T780.04",0.28639,-1.8039,0.035343,1.4517
"M967.561T1349.704",0.49601,-1.0116,0.035941,1.4444
"M587.201T848.147",0.41755,-1.26,0.036091,1.4426
"M395.28T1470.273",0.43264,-1.2088,0.036351,1.4395
"M269.05T89.726",0.29209,-1.7755,0.036768,1.4345
"M1193.041T904.79",5.3845,2.4288,0.036787,1.4343
"M1084.663T1198.774",9.3647,3.2272,0.03682,1.4339
"M1014.585T1348.471",0.45397,-1.1393,0.037186,1.4296
"M789.663T1119.968",0.27865,-1.8435,0.038168,1.4183
"M445.095T115.802",0.42711,-1.2273,0.038477,1.4148
"M405.167T106.416",0.37922,-1.3989,0.038542,1.4141
"M661.253T876.035",0.41855,-1.2565,0.038831,1.4108
"M795.27T865.806",0.32889,-1.6043,0.039196,1.4068
"M1106.454T890.453",0.43566,-1.1987,0.039424,1.4042
"M775.338T1039.594",0.14376,-2.7983,0.04016,1.3962
"M471.152T726.342",0.37038,-1.4329,0.040671,1.3907
"M1015.586T1347.819",0.47472,-1.0748,0.040731,1.3901
"M432.997T107.064",0.41724,-1.2611,0.041391,1.3831
"M173.008T106.871",0.44331,-1.1736,0.041681,1.3801
"M1130.433T884.599",0.36192,-1.4662,0.041863,1.3782
"M206.082T164.917",2.5569,1.3544,0.0421,1.3757
"M557.187T899.436",0.30311,-1.7221,0.042685,1.3697
"M507.209T930.4",0.26344,-1.9244,0.042989,1.3666
"M428.2T856.891",0.25201,-1.9885,0.043166,1.3649
"M615.195T761.983",0.41207,-1.2791,0.043323,1.3633
"M729.273T847.264",0.49003,-1.0291,0.043789,1.3586
"M970.813T317.253",0.45569,-1.1339,0.04392,1.3573
"M1204.491T868.846",0.40336,-1.3099,0.044388,1.3527
"M289.056T250.757",0.34079,-1.5531,0.044524,1.3514
"M1308.415T315.705",0.36072,-1.471,0.04581,1.339
"M693.424T1336.51",0.32951,-1.6016,0.046432,1.3332
"M709.31T874.193",0.48525,-1.0432,0.047089,1.3271
"M395.189T761.387",0.40481,-1.3047,0.048,1.3188
