"","Comp 1","Comp 2","Comp 3","Comp 4"
"M865.489T1291.829",0.018071,0.011476,0.022691,-0.018713
"M799.191T949.166",0.013427,0.026268,-0.029479,-0.034513
"M1263.489T907.902",-0.023524,-0.0272,0.030411,-0.027807
"M451.174T880.577",0.042312,-0.059323,-0.0040618,0.0043546
"M405.08T802.267",0.026224,0.016692,0.018069,0.016334
"M309.119T137.634",0.040427,-0.026511,-0.025231,0.020622
"M385.077T746.611",-0.02662,-0.021993,-0.0030591,-0.017074
"M192.103T133.173",-0.030903,0.035422,-0.012086,-0.040721
"M1030.642T1193.369",0.018412,-0.016396,-8.8125e-05,-0.029675
"M723.577T942.094",-0.006255,0.043462,0.043771,-0.053043
"M1071.439T878.893",0.045401,-0.048488,-0.01776,0.018694
"M1069.501T1402.821",0.030465,0.036239,0.010448,0.025788
"M281.07T709.104",0.0076604,0.0027555,0.023173,-0.044311
"M577.137T781.037",-0.029947,0.0063342,0.047857,0.029502
"M397.075T138.684",0.029081,-0.023749,0.0076539,-0.020962
"M653.861T317.501",0.030879,-0.011563,0.0048667,-0.0048984
"M375.104T216.821",0.037509,-0.012946,0.0073414,-0.025257
"M384.097T310.658",0.025271,-0.012519,0.025302,-0.021045
"M591.094T89.826",0.023903,-0.01859,0.039574,-0.018528
"M351.085T316.423",0.031801,0.00085193,0.0059922,-0.0048912
"M460.969T105.772",0.031544,0.023247,0.030669,-0.022994
"M241.033T103.182",0.0076298,0.0094633,0.014449,-0.040335
"M665.267T889.419",0.031399,-0.019147,0.023491,-0.028725
"M969.939T315.438",0.029467,0.041243,0.010429,0.053073
"M1333.355T942.499",-0.014214,0.02943,0.018627,-0.031385
"M319.083T845.914",0.033119,0.014193,0.0024955,0.0039502
"M289.065T88.687",0.03364,0.010412,-0.0010639,-0.063855
"M289.086T1163.856",0.028686,-0.031989,-0.02098,-0.018633
"M655.873T943.419",0.024147,0.0070621,0.024804,-0.0059573
"M642.242T817.768",0.03329,0.0068403,-0.022921,0.027059
"M695.12T755.765",-0.030248,-0.056877,0.091527,-0.049202
"M487.016T806.181",0.023613,-0.038318,0.01654,0.026275
"M967.561T1349.704",0.033576,0.0058426,-0.02239,-0.0069577
"M821.606T900.199",0.045599,0.0051669,-0.0042764,0.0064939
"M1095.063T894.34",-0.034135,-0.013322,0.021199,-0.022381
"M279.139T1150.344",0.039194,0.065302,-0.061802,0.017736
"M579.301T894.416",0.031441,0.01492,-0.007306,-0.019492
"M367.102T765.544",0.041954,-0.0017414,0.017537,-0.0019364
"M585.15T892.945",0.038044,-0.015984,0.035168,-0.016525
"M988.312T316.465",0.033069,-0.017929,-0.00088534,-0.0023161
"M735.437T1351.512",0.026068,0.017109,0.0086781,-0.031023
"M633.697T313.008",0.032177,-0.068918,0.0077832,0.014607
"M851.154T319.552",0.023871,0.00021666,0.020265,-0.017175
"M265.093T134.502",0.034051,0.0098013,-0.019562,0.0042575
"M575.708T1045.732",-0.0069289,-0.0082307,0.07557,-0.01641
"M657.063T941.851",0.003074,0.047349,0.053051,0.0010456
"M632.663T319.55",0.032126,-0.017763,-0.010844,0.0042937
"M593.543T760.107",-0.026194,-0.030404,0.078102,-0.044971
"M809.433T1339.33",0.02175,0.0042029,0.026726,0.023803
"M1296.442T316.362",0.041203,-0.019585,-0.018578,0.00049439
"M654.008T318.692",0.038365,-0.026956,0.018809,0.012759
"M923.402T931.508",0.052155,-0.027921,-0.01782,-0.001384
"M428.2T856.891",0.048463,-0.016364,0.012035,-0.0088662
"M281.069T746.743",0.024972,0.009543,-0.0021091,0.0039981
"M703.247T844.715",0.036958,-0.00087329,-0.027573,0.013622
"M590.015T907.684",-0.032775,-0.01699,0.037877,-0.036727
"M455.081T704.884",0.017082,-0.024236,0.043684,-0.031603
"M970.813T317.253",0.037058,-0.0044023,-0.018828,0.0046267
"M997.575T1403.78",0.033268,0.028999,-0.013263,-0.014558
"M1053.286T316.584",0.034336,-0.014043,-0.0071371,0.010213
"M575.926T1053.198",0.036457,0.025825,-0.0031651,-0.001073
"M1163.085T907.707",-0.075296,-0.048355,0.035576,-0.027363
"M421.636T753.774",-0.0027655,-0.0062273,0.070961,0.023226
"M709.31T874.193",0.03571,-0.0078755,-0.0071957,-0.017035
"M361.589T316.501",0.031653,0.014046,0.0034287,0.010701
"M517.099T802.454",-0.011954,-0.015972,-0.010401,-0.021124
"M404.065T806.181",0.011933,-0.047542,0.044141,-0.01265
"M982.374T904.236",0.040801,-0.016872,-0.00953,0.011874
"M383.433T314.152",0.015719,0.0022376,0.041863,-0.032719
"M362.298T315.255",0.022235,0.016725,-0.025922,-0.026371
"M1395.396T991.455",-0.004257,-0.028339,-0.0094578,-0.065844
"M481.183T769.795",0.022263,0.0067123,0.055196,-0.051647
"M407.173T414.983",-0.0031252,0.0030636,-0.032143,-0.096314
"M1297.451T316.098",0.041031,-0.027823,-0.028871,0.010052
"M727.283T864.823",0.044627,0.0026401,-0.00092702,-0.0051349
"M429.387T309.562",0.034424,-0.030185,0.021389,-0.016365
"M1031.84T1213.333",0.013157,0.023999,-0.013608,-0.030651
"M937.515T1306.76",0.029784,-0.0072726,-0.020172,-0.0023648
"M570.518T894.146",-0.012156,0.023982,-0.0071303,-0.05488
"M1162.717T895.445",-0.015208,0.012884,0.031489,-0.0078292
"M289.446T802.654",-0.02141,0.0017126,0.05789,0.0046102
"M970.001T316.098",0.027534,0.023421,0.0040283,0.014936
"M647.193T836.421",0.029504,-0.028949,-0.018401,0.02804
"M863.184T809.21",-0.014015,0.022126,0.019278,-0.050498
"M565.23T844.341",0.028464,0.016005,0.0070536,-0.022308
"M293.118T1042.937",0.044562,0.028404,-0.021102,0.1142
"M483.209T897.853",0.039462,-0.00063098,-0.0049689,-0.0022253
"M1094.047T894.516",-0.031033,-0.013374,0.028859,-0.03507
"M317.087T121.975",0.029761,-0.017141,0.021048,-0.016393
"M909.388T926.435",0.044896,-0.059332,-0.016313,0.031399
"M549.258T834.983",0.049512,-0.042522,-0.032794,0.050897
"M643.039T106.784",0.026294,-0.018241,0.017025,-0.053696
"M415.744T872.34",0.033355,-0.021023,-0.015416,0.015847
"M451.125T735.96",0.033983,-0.018022,0.00027415,0.027423
"M409.075T744.412",0.018848,-0.0062726,0.052461,-0.011427
"M457.136T788.61",0.042484,-0.040791,0.006618,0.011154
"M311.138T170.155",0.035468,-0.00028871,0.01175,-0.019666
