"","Comp 1","Comp 2","Comp 3","Comp 4"
"X02.C12.2.neg",-7.6774,-3.5586,-0.065019,7.7902
"X18.C12.3.neg",-13.918,6.7735,3.862,-2.8862
"X33.C12.4.neg",-4.0095,-7.2723,-4.9249,-5.0782
"X32.X12.2.neg",11.356,6.9216,-6.0268,1.1078
"X41.X12.1.neg",14.249,-2.8641,7.1547,-0.93362
