"","Fold Change","log2(FC)"
"M549.258T834.983",0.3345,-1.5799
"M857.325T1034.658",0.33515,-1.5771
"M1164.559T899.737",2.9781,1.5744
"M848.315T857.496",0.33689,-1.5697
"M645.252T899.393",0.33774,-1.566
"M238.069T801.926",0.33817,-1.5642
"M341.465T625.973",0.33879,-1.5615
"M578.43T1675.044",0.34069,-1.5535
"M289.056T250.757",0.34079,-1.5531
"M753.298T903.043",0.342,-1.5479
"M586.884T67.938",0.34222,-1.547
"M409.075T617.585",0.34252,-1.5457
"M688.263T861.089",0.34258,-1.5455
"M1035.397T978.889",0.34405,-1.5393
"M529.154T821.794",0.34434,-1.5381
"M438.049T766.588",0.34666,-1.5284
"M398.263T1317.762",0.34909,-1.5183
"M664.226T813.714",0.34926,-1.5176
"M433.784T801.352",0.34932,-1.5174
"M415.161T821.344",0.35063,-1.512
"M415.225T881.978",0.35069,-1.5117
"M806.978T940.468",0.35102,-1.5104
"M617.247T870.852",0.35234,-1.505
"M1035.367T890.845",0.35272,-1.5034
"M413.108T298.268",0.35349,-1.5002
"M585.15T892.945",0.35419,-1.4974
"M1243.514T983.057",0.3561,-1.4897
"M747.22T952.211",0.35645,-1.4882
"M650.407T1378.088",0.35808,-1.4816
"M401.18T764.21",0.35882,-1.4787
"M590.274T907.848",2.7851,1.4777
"M714.253T913.384",0.36044,-1.4722
"M1308.415T315.705",0.36072,-1.471
"M1130.433T884.599",0.36192,-1.4662
"M1103.384T928.554",0.36381,-1.4587
"M658.83T67.591",0.36507,-1.4537
"M463.182T861.112",0.36617,-1.4494
"M545.297T1155.639",0.36741,-1.4445
"M457.136T788.61",0.36789,-1.4427
"M431.759T791.911",0.36842,-1.4406
"M549.205T845.853",0.36896,-1.4385
"M305.082T1122.457",0.36921,-1.4375
"M471.152T726.342",0.37038,-1.4329
"M696.3T853.355",0.3714,-1.429
"M968.386T889.852",0.37167,-1.4279
"M454.144T914.383",0.37173,-1.4277
"M419.228T901.259",0.37193,-1.4269
"M1167.557T907.179",2.6866,1.4258
"M333.926T91.902",0.37246,-1.4248
"M969.4T973.77",0.373,-1.4227
"M568.907T66.858",0.37311,-1.4223
"M559.276T958.275",0.37371,-1.42
"M852.339T915.443",0.37447,-1.4171
"M830.24T316.247",0.37611,-1.4108
"M1039.403T917.165",0.3774,-1.4058
"M1059.606T1053.565",0.37795,-1.4037
"M1614.109T935.709",0.37823,-1.4027
"M292.14T116.338",0.37881,-1.4005
"M405.167T106.416",0.37922,-1.3989
"M445.135T747.805",0.37937,-1.3983
"M609.054T106.871",0.37973,-1.397
"M999.268T316.316",0.38003,-1.3958
"M521.224T935.29",0.38012,-1.3955
"M1125.418T877.844",0.38107,-1.3919
"M924.351T839.79",0.38105,-1.3919
"M379.067T781.128",0.38137,-1.3907
"M433.777T806.208",0.38295,-1.3848
"M293.177T1099.499",0.38434,-1.3795
"M1071.439T878.893",0.38489,-1.3775
"M575.926T1053.198",0.38582,-1.374
"M942.309T937.647",0.38585,-1.3739
"M475.146T746.942",0.38636,-1.372
"M851.819T1425.446",0.38714,-1.3691
"M427.197T838.449",0.38715,-1.369
"M621.052T106.9",0.38904,-1.362
"M1014.811T1344.847",0.38916,-1.3616
"M576.861T67.042",0.39086,-1.3553
