"","FC","log2(FC)","raw.pval","-log10(p)"
"M1094.782T12.105",1.3648,0.4487,0.0071863,2.1435
"M991.807T13.109",1.2321,0.30111,0.026878,1.5706
"M830.837T11.111",1.3289,0.41023,0.04958,1.3047
