"",Label,M367.151T397.982,M536.899T13.11,M664.853T17.893,M768.855T17.124,M774.824T18.125,M830.837T11.111,M831.338T16.12,M848.827T17.121,M882.812T18.125,M883.492T15.092,M908.151T15.062,M970.794T18.128,M970.807T12.104,M991.807T13.109,M996.798T17.124,M1030.792T17.119,M1053.787T16.896,M1058.286T17.121,M1094.782T12.105,M1107.445T13.643,M1116.775T17.12,M1189.43T15.136,M1220.262T13.111,M1236.757T13.113,M1239.758T16.118,M1244.755T16.127,M1279.087T13.111,M1334.742T13.111,M1472.714T13.108,M1610.426T13.113,M1671.991T13.111,M1786.658T13.109
C12.1,con_12,0.483141118046978,0.524447346088068,0.839294780603568,1.09293530808093,0.899351405841237,0.659461128308582,0.369545295911307,0.791463985768388,0.810690321120261,0.471451519972783,0.944821646213721,0.50472837065553,0.258919796041456,0.699021627197698,0.644222060581753,0.737596061551633,0.468386353169331,0.42487841598172,0.312709746678057,0.532619621136821,0.741744342131636,0.632776361640572,0.578840641385374,0.840889326066699,0.419348225300131,0.605662413577881,0.714242048224918,0.594340922278512,0.544495138764448,0.557433673920896,0.477532903281348,0.454162299327356
C12.3,con_12,0.713773831770006,0.541216420251709,0.739684864147945,1.03495019328039,0.71281206499701,0.64378484408967,0.45340931967765,0.759421000914839,0.68288794513339,0.47871267659391,0.981519772180058,0.461611498859227,0.286773778359762,0.767923554295723,0.588802169714275,0.699741110767775,0.450417272707166,0.482255090260561,0.370624756098422,0.507405439686744,0.573711637571831,0.610219330046142,0.509516711932577,0.747798913049407,0.413588152600783,0.551906106253281,0.715436805244005,0.570496812434524,0.49753172782103,0.600786506856401,0.464212263076696,0.415687201013584
C12.4,con_12,0.585130557052506,0.519612980409687,0.798269218803149,1.1422891503341,0.785404397604718,0.695427765360321,0.421502964188232,0.834845429686508,0.660748111645946,0.483814774488993,0.995350928361114,0.537145870739896,0.354729197657913,0.784407766671103,0.652068892592942,0.774229933665379,0.528834768227168,0.411526220414552,0.29957157832747,0.506034237610092,0.53967051107447,0.425593136395839,0.534768760691442,0.824129515105151,0.482375017827981,0.631215988871775,0.742652275099422,0.608821744774403,0.51348791705259,0.566317311752182,0.508114760362737,0.391014504348258
D12.1,dro_12,1.54636079019586,0.571142136299357,0.762270061544641,1.05189189068179,0.754862561393204,0.811338514071995,0.427736988857923,0.822983445114882,0.678988775866143,0.537140659754909,0.969513538212527,0.509889552174726,0.42693238621444,0.766656410416394,0.707778920206623,0.760892650095511,0.515313428208796,0.52493654228237,0.392130973837293,0.325669897349235,0.367509239631775,0.641582721336414,0.448388624074769,0.836438809900483,0.467017741102684,0.511502019812783,0.73321883225897,0.565767637736688,0.458708093416521,0.506646561606985,0.436254943461121,0.418677490425949
D12.2,dro_12,1.68615835308604,0.526795734697767,0.774891007903627,1.20955029108964,0.743381606220524,0.787144277816963,0.444140695553763,0.799576812410471,0.633218331598718,0.506476046795511,0.961609492338604,0.49946107917236,0.302627194770193,0.692645474165981,0.637849741777549,0.689182170644229,0.463402433642219,0.462651950203485,0.317516286499859,0.332482858595299,0.321439872522517,0.61716196373285,0.487704241290002,0.805555381446412,0.456344543062864,0.581292033480252,0.676827809032148,0.540222997902471,0.451867944769447,0.50067312684927,0.495936572937139,0.451076883264
D12.3,dro_12,0.960190469835216,0.563393857433986,0.810264541273201,1.13384066763234,0.765038911906875,0.827627377968225,0.449928583581214,0.842506397025958,0.704172463791051,0.547661207925302,1.01166580839999,0.52228659134852,0.389069564177214,0.77987203141362,0.66328094449906,0.728251928985933,0.553280832821603,0.533163239703636,0.476280524265286,0.495267840232031,0.52811761498822,0.619776344206455,0.55116760739899,0.812348029842383,0.487226684586865,0.491738757940005,0.700070992883187,0.555509441660098,0.471517364143106,0.555509441660098,0.509273456870186,0.459917466053182
D12.4,dro_12,1.62508009961796,0.454783922505979,0.811587635633016,1.17147453293942,0.740052183347618,0.841318299465385,0.419291920330057,0.824353003092802,0.650907618876737,0.535035378032056,0.985995301423653,0.538900500373613,0.284429553021041,0.782912335652141,0.67089745282092,0.734250574342415,0.500251759703035,0.511486965735108,0.483792950579626,0.148199666650148,0.424361889589092,0.623292241734107,0.498524614621759,0.834135427324432,0.452748721164466,0.617178244149335,0.701940049453043,0.559263664222252,0.346742511706674,0.582098095600884,0.504186251384159,0.438638857701142
