"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M697.459T1191.472","-0.479793391","-0.869824868","-0.743797039","-0.284327196"," 0.075832869","-0.563018425"," 1.489305077","-0.549319264","-0.902720521","-0.445261121","-1.095950727"," 0.023425638","-0.314554807","-0.291257487"," 0.183012919"," 0.268204528"," 0.002932405"," 0.226923135"," 0.066009411"," 0.361333509"," 0.759107737"," 0.793589206"," 0.328464898"," 0.248450339"," 0.170545930","-0.016919974"," 0.249417160"," 0.588319847"," 0.211361821"," 0.510508392"
"M695.447T1189.727","-0.47766264","-0.38043028","-0.16711290","-0.23117023","-0.12402686","-0.36951018"," 0.20817280","-0.35143468","-0.25443659","-0.14724662","-0.44107632","-0.24810829","-0.30456304","-0.40672314"," 0.03927247"," 0.07369708"," 0.21663431"," 0.06926304"," 0.26007766"," 0.23940268"," 0.57336613"," 0.79631200"," 0.08600150"," 0.02348996"," 0.08073024","-0.10385263"," 0.02013379"," 0.47295173"," 0.49954466"," 0.34830434"
"M917.581T1308.231","-0.36772318","-0.16973229"," 0.36190534","-0.16990048","-0.02671245","-0.09339020"," 0.42401315","-0.42630420","-0.21760063","-0.85269553","-1.23966191","-0.07118060"," 0.34354465","-0.51758379"," 0.02000272"," 0.21211667"," 0.35709905","-0.07804121","-0.24352559"," 0.13126929","-0.00585789"," 0.65385983"," 0.68928289"," 0.03247342","-0.13971353"," 0.15448996","-0.12944360"," 0.41983710"," 0.82436957"," 0.12480349"
"M810.529T1306.211"," 0.01262454","-0.75257083"," 0.07236346"," 0.11683775","-0.01504902","-0.07730593","-0.69029358","-0.01720198","-0.15375896","-0.05388096","-0.83901702"," 0.51782726"," 0.06913985"," 0.00239699"," 0.11766012"," 0.12248785"," 0.12452215","-0.12371598","-0.15894113"," 0.02215634"," 0.10882282"," 0.28387560"," 0.33134432"," 0.19071888","-0.17893311","-0.05517579"," 0.21952818"," 0.10987654"," 0.29164546"," 0.40201619"
"M385.182T1540.093"," 0.292878104"," 0.744222400","-0.086623066"," 0.354173076","-0.017999773","-0.132355738","-0.077529542","-0.555345667","-0.323529451"," 0.378643526","-0.344058507"," 0.158473869","-0.006525185"," 1.067323170","-0.097510320","-0.353070149","-0.131197944","-0.201931262","-0.040366038"," 0.189695667","-0.238127494"," 0.082797770","-0.553117467","-0.441244255"," 0.294336527"," 0.091076091","-0.068059143"," 0.236180720","-0.335508214"," 0.114298296"
"M441.228T1306.216"," 0.10644427"," 0.12550374"," 0.47784092"," 0.37698327","-0.17467422"," 0.20384835","-0.13139992","-0.37420277","-0.02949915"," 0.28391273","-0.71810806"," 0.26013427"," 0.08576007"," 0.08011356","-0.13054439","-0.27870333"," 0.14365242"," 0.01301512"," 0.09297568"," 0.41307709","-0.40675652","-0.13112514","-0.10023712","-0.28508350","-0.08840623","-0.15073615"," 0.18760289","-0.12948288"," 0.17746137"," 0.10063364"
"M711.445T1221.644","-0.360742998","-0.411193341","-0.438372896","-0.003254242"," 0.099871473","-0.430143785"," 0.318059013","-0.421396096","-0.647490082","-0.382525570","-0.630037062","-0.229680971","-0.253359958","-0.473671160","-0.047152956","-0.068197523"," 0.093926175"," 0.162305126","-0.021164214"," 0.289963887"," 0.667277552"," 0.708047040"," 0.213382531"," 0.008184818"," 0.518129286","-0.076578972","-0.068059473"," 0.965997280"," 0.555362238"," 0.362514881"
"M557.468T1423.166","-0.42676094"," 0.60494734","-0.14894698"," 0.06151841","-0.37941003","-0.70086705","-0.53017440","-0.40404840","-0.31772358","-0.69727442","-1.29985762"," 0.38159441"," 0.14182829","-0.11468093"," 0.36407593","-0.06132395"," 0.30382659"," 0.06537719","-0.36570736"," 0.17878000"," 0.31621424"," 0.79624655"," 0.43544210"," 0.11430660"," 0.28288405"," 0.35259011"," 0.11573031"," 0.58137403"," 0.29183709"," 0.05820243"
"M679.436T1338.726","-0.41767676","-0.53879234","-0.32886523","-0.17326279","-0.15468747","-0.38346895","-0.14456235","-0.60742875","-0.45526045","-0.82889915","-0.75954390"," 0.07873069","-0.23713675","-0.39062340","-0.02252434"," 0.05466396"," 0.31996795"," 0.10023402","-0.12369857"," 0.25539610"," 0.64242633"," 0.67612686"," 0.22067995"," 0.11206210"," 0.70674513"," 0.35033749"," 0.38217239"," 1.01075770"," 0.32066052"," 0.33547002"
"M589.459T1372.544","-1.1244303656"," 0.2671366755","-0.4454320119"," 0.0217278211","-0.1255174286","-0.5583049606","-0.0711842659","-0.8785787418","-0.5932621369","-0.7818150267","-1.5433784068"," 0.1938637125","-0.1446068613","-0.7193942702"," 0.4767075583"," 0.1585687176"," 0.2829890930"," 0.0003637551"," 0.0228738064"," 0.1968535164"," 0.7309130730"," 0.7732093094"," 0.3411862717"," 0.2929676742"," 0.5502034967"," 0.5442352053"," 0.3447657810"," 0.8532712772"," 0.5100903602"," 0.4239773719"
"M681.469T1408.485","-0.71050741","-0.72322773","-0.67492908","-0.20916769","-0.03598186","-0.43900857","-0.04421460","-0.60447827","-0.52464994","-0.73397135","-0.99254454"," 0.10327298","-0.42161265","-0.42897829"," 0.08795501"," 0.19913772"," 0.33519672"," 0.20834658","-0.10304007"," 0.21330172"," 0.73516478"," 0.64403015"," 0.17954859"," 0.25641368"," 0.74101868"," 0.48196188"," 0.78043673"," 0.93829434"," 0.36113732"," 0.38109517"
"M695.451T1225.817","-0.52437254","-0.44498181","-0.34658434","-0.26791442","-0.08448367","-0.38581258"," 0.15574065","-0.53675910","-0.38952292","-0.29400645","-0.54580558","-0.20608016","-0.33907238","-0.47999200","-0.07475221"," 0.06486093"," 0.24898365"," 0.07874937"," 0.09028640"," 0.14432761"," 0.61753312"," 0.66934413"," 0.35831958"," 0.07625739"," 0.54303868"," 0.10669159"," 0.15103504"," 0.90938042"," 0.34997567"," 0.35561594"
"M285.134T1052.907"," 0.227355952"," 0.136489464"," 0.503031995"," 0.084647757"," 0.013418219","-0.002277341","-1.959947007","-0.152390326","-0.279692305"," 0.400193370"," 0.254465365"," 0.186606595"," 0.326661687"," 0.103702092","-0.106602902","-0.107302048"," 0.086702716","-0.151929830"," 0.207100277"," 0.396181967","-0.142908616"," 0.471836030"," 0.268525808","-0.153957201","-0.985819109","-0.502793605","-0.191699496"," 0.197716088"," 0.360817935"," 0.511866466"
"M681.469T1389.183","-0.71576638","-0.72286327","-0.66173888","-0.15961985","-0.03271621","-0.50059115","-0.03307950","-0.58730154","-0.63055998","-0.75001535","-0.99842154"," 0.11342086","-0.39891150","-0.41174635"," 0.06502691"," 0.20371671"," 0.34227153"," 0.19916485","-0.07520110"," 0.22608093"," 0.74888649"," 0.66106775"," 0.19406843"," 0.26147467"," 0.76388581"," 0.51111085"," 0.67913453"," 0.95039676"," 0.37713151"," 0.38169400"
"M680.474T1439.81","-0.373895466","-0.480655825","-0.206436931","-0.405169025","-0.004058573","-0.224302796","-0.100106416","-0.584934611","-0.507944234","-0.430895826","-0.648801017","-0.187784048","-0.181582837","-0.372831435","-0.151680757"," 0.049744950"," 0.200300618"," 0.144890699","-0.163322370"," 0.109522517"," 0.434587578"," 0.432480602"," 0.247339226"," 0.083808459"," 0.545226610"," 0.317371796"," 1.341269039"," 0.772036944"," 0.308296022"," 0.037527104"
"M574.467T1456.399"," 0.07387813","-0.87311001","-0.28036203","-0.25440153","-0.08349910","-0.40954014","-0.13063567","-0.33092413","-0.86503797","-0.49754499","-1.43199568"," 0.12725820","-0.29252068","-0.02945749"," 0.44624821"," 0.03115065"," 0.33101057"," 0.17860228","-0.09209184"," 0.14972400"," 0.61534137"," 0.40830450"," 0.36290590"," 0.10088956"," 0.74019731"," 0.56458496"," 0.33754987"," 0.63653202"," 0.13199622"," 0.33494753"
"M565.421T1295.888","-0.43471985","-0.49605803","-0.51774566","-0.19799282"," 0.02993448","-0.36937867"," 0.35410651","-0.71630497","-0.25986814","-0.78343504","-0.94150034"," 0.13447494","-0.26729247","-0.07605681"," 0.11791716","-0.04615583"," 0.07880006","-0.02578249","-0.08423701"," 0.37037778"," 0.39457827"," 0.54334424"," 0.15854767"," 0.27158306"," 0.60279745"," 0.11306062"," 0.75239697"," 0.73807728"," 0.15830735"," 0.39822428"
"M681.474T1424.253","-0.69538809","-0.63796516","-0.59855847","-0.14309103","-0.08423023","-0.52252733","-0.45540968","-0.63112925","-0.56855455","-0.64484707","-0.83179600"," 0.15911352","-0.39204829","-0.42108345"," 0.03492579"," 0.19286068"," 0.35638838"," 0.20131466","-0.13638439"," 0.18687873"," 0.73310995"," 0.65266753"," 0.17934920"," 0.26026381"," 0.75707569"," 0.53442397"," 0.83178100"," 0.95411637"," 0.34899469"," 0.37974900"
"M569.292T994.771","-0.041395705","-0.391282122"," 0.478264356"," 0.096013287","-0.044436230","-0.117719420","-1.718126569"," 0.028903560","-0.305350567"," 0.554735213"," 0.284467986"," 0.218602887"," 0.263058618"," 0.234550761"," 0.083301598","-0.002239807"," 0.122351696"," 0.017457484"," 0.161554311"," 0.244848595","-0.067468261"," 0.206242261"," 0.282265370","-0.097188386","-0.902265954","-0.458024281","-0.283181451"," 0.149415972"," 0.412287305"," 0.590357492"
"M989.67T1341.992","-0.39897971","-0.38402776"," 0.48056625"," 0.23153095","-0.03851308"," 0.07504393","-0.17962666","-0.38278224","-0.54590529","-0.88024896","-0.59634182","-0.11133996"," 0.74566699"," 0.38183812","-0.55606394","-0.26020879","-0.04062792"," 0.74946054","-0.17695492"," 0.25650305"," 0.69175460"," 0.51229081","-0.26766999","-0.13183687","-0.30143312","-0.51262689","-0.07148746"," 0.27794651"," 0.95927286"," 0.47480076"
"M379.265T1245.233"," 0.2220496619","-0.0193181404","-0.1731187488"," 0.0594697624","-0.0747854174"," 0.2037829903"," 0.5165408783","-0.1890597908","-0.0939601112"," 0.0273808086"," 0.0102810731","-0.0004535279","-0.1202688073"," 0.4508691763","-0.0402476455"," 0.0583902638","-0.1111401331","-0.0320496814"," 0.0458977908"," 0.6192777642","-0.1680940222"," 0.1229748136","-0.1795386913","-0.0701202013","-0.3869117842","-0.6240771234"," 0.0532193993","-0.0687875958"," 0.0207763194","-0.0589792799"
"M679.452T1355.733","-0.43185753","-0.58836119","-0.37588398","-0.09429913","-0.17530452","-0.40181783","-0.18934228","-0.65783136","-0.47598444","-0.53343476","-0.78411143"," 0.03666322","-0.28304123","-0.43839236","-0.03115171"," 0.04397602"," 0.36289448"," 0.08305649","-0.12556952"," 0.32205522"," 0.63675822"," 0.60180996"," 0.29112133"," 0.10568672"," 0.69934093"," 0.35208197"," 0.36596168"," 0.99121627"," 0.38029776"," 0.31346301"
"M713.46T1208.68","-0.18770556","-0.91371759","-1.40920187","-0.28036591"," 0.42454411","-0.69702861"," 0.33438841","-0.66556354","-0.53925151","-0.76810600","-0.15933475","-0.11803914","-0.73418575","-0.24827277"," 0.23158192"," 0.37412198"," 0.33479419"," 0.33301819"," 0.05981883"," 0.20678987"," 0.95744219"," 1.06434871"," 0.13174211"," 0.37380271"," 0.41082668","-0.34253893"," 0.28176675"," 0.62401477"," 0.28225775"," 0.63805278"
"M711.444T1322.388","-0.319124954","-0.259243478","-0.291624284","-0.027619019","-0.008916081","-0.299020209"," 0.139646354","-0.483433285","-0.381961551","-0.431928344","-0.636800248","-0.099237017","-0.264523711","-0.375425898","-0.119990387","-0.026059434"," 0.074542403"," 0.107491186","-0.104921693"," 0.210513662"," 0.556319779"," 0.690281162"," 0.121140862","-0.064087994"," 0.491771284"," 0.124655766"," 0.093176788"," 0.832217578"," 0.432482024"," 0.319678739"
"M637.414T1384.421","-0.348005063","-0.564965533","-0.436052787","-0.045012972","-0.056545946","-0.191989177"," 0.031329938","-0.440111973","-0.331532721","-0.184125621","-0.800399246","-0.162697550","-0.300267565","-0.142407669"," 0.203590025","-0.066404511"," 0.163311866","-0.040004490"," 0.009351439"," 0.096561613"," 0.467532440"," 0.425964609"," 0.110512273"," 0.231326183"," 0.467788504"," 0.279373780"," 0.376119584"," 0.676617929"," 0.261957825"," 0.309184816"
"M637.411T1406.122","-0.3675454144","-0.4635457642","-0.4064891468","-0.0763231161","-0.2579843273","-0.1899383180","-0.1419244809","-0.3099322994","-0.3778097983","-0.2464519213","-0.8458522259","-0.0974201128","-0.2314795884","-0.1447097451"," 0.1031646903","-0.0990930736"," 0.2756821850","-0.0003247645","-0.0172589001"," 0.2227218721"," 0.4652403432"," 0.4178446496"," 0.0748627619"," 0.2305498949"," 0.4726794127"," 0.3166635040"," 0.4317977651"," 0.6767702253"," 0.3221946020"," 0.2639110907"
"M729.452T1109.944","-0.261753399","-0.622401964","-0.497169615","-0.129473380"," 0.068223760","-0.196271566"," 0.760552288","-0.810421655","-0.647948185","-0.440550581","-0.911115876","-0.241945717","-0.339521368","-0.397443322"," 0.001038382"," 0.273530671"," 0.262226128"," 0.102238128"," 0.572307849"," 0.218208369"," 0.853574410"," 0.793140914"," 0.205139874","-0.112812451"," 0.170622032","-0.220604542"," 0.182697171"," 0.737608362"," 0.210998977"," 0.417326305"
"M571.365T1456.373","-0.176543969","-0.368016057","-0.351365996","-0.560578968"," 0.000380608","-0.575265575"," 0.135014937","-0.011402208","-0.133466291","-0.508349344","-0.561322922","-0.050314070","-0.225668575","-0.184749232"," 0.276471110"," 0.121979211"," 0.073475423"," 0.058462981"," 0.195790481","-0.063768419"," 0.312039702"," 0.433495763"," 0.335839816"," 0.064664280"," 0.499889728"," 0.274453941"," 0.050810696"," 0.410293516"," 0.203406709"," 0.324342724"
"M865.579T1358.969","-0.80657413","-1.69248149","-1.68509750","-0.34150905"," 0.72784652","-0.24829255"," 0.48551157"," 0.38329260","-0.69378924"," 0.07533379","-0.62790573","-1.71054324","-0.60572669"," 0.73211450"," 0.31134529"," 0.45778364"," 0.06169765","-0.40541389"," 0.79619878"," 0.41796075"," 0.58405757"," 0.05078489"," 1.41129120"," 0.42995829","-0.13258302"," 0.06950678"," 0.61018172"," 0.45101347"," 0.49414408"," 0.39989342"
"M867.584T1358.969"," 0.19965285"," 0.09159038","-0.88341981","-1.12282655"," 0.36783148","-0.17594001"," 0.54422631"," 0.24147287","-1.06369939"," 0.03473264","-0.81972916","-0.75512303"," 0.32277667","-0.28242065"," 0.61670402"," 0.37239733"," 0.11505533"," 0.19683627"," 0.40522666"," 0.45990452"," 0.87498575"," 0.93468397"," 0.67767647"," 0.38046257","-0.80068274"," 0.15243286","-2.06142768"," 0.42019326"," 0.32729989"," 0.22912691"
"M682.472T1373.006","-0.808199440","-0.695601736","-0.552652955","-0.217494308","-0.108566127","-0.541559581"," 0.244418745","-0.503986208","-0.724296412","-0.722487031","-0.879274150"," 0.185667528","-0.508132015","-0.462063059"," 0.001067301"," 0.291952726"," 0.309972975"," 0.205551147","-0.082705193"," 0.339180487"," 0.698889891"," 0.721889532"," 0.067386587"," 0.242215511"," 0.747959129"," 0.537324426"," 0.569120085"," 0.886352062"," 0.290867038"," 0.467203045"
"M589.459T1264.044","-0.723629972","-0.670822086","-0.645695853","-0.153082592"," 0.008981926","-0.656184219"," 0.814769972","-0.267777340","-1.559827014","-0.475427124","-0.882240285","-0.223609584","-0.388218952","-0.241382669"," 0.651378062"," 0.147882611","-0.036255131"," 0.259635783"," 0.448911406"," 0.455178841"," 0.601191457"," 0.639466248"," 0.417274417"," 0.228870121"," 0.366299694"," 0.474194823"," 0.044735121"," 0.726055018"," 0.305744562"," 0.333582763"
"M633.478T1401.37","-0.518771005","-0.391025809","-0.268901767"," 0.029810684","-0.204478214","-0.295470923","-0.159481991","-0.472331979","-0.329983227","-0.432472275","-1.348480046"," 0.342417067","-0.043678674"," 0.006636725"," 0.512131429"," 0.015881998"," 0.253634493","-0.073328037","-0.108720901"," 0.403670745"," 0.223179674"," 0.533410460"," 0.197890340","-0.017585238"," 0.250126685"," 0.401437705"," 0.659348627"," 0.396297503"," 0.191123515"," 0.247712434"
"M646.455T1423.013","-0.456769141","-0.683127891","-0.338895701","-0.230333514"," 0.058906996","-0.498983992","-0.473575609","-0.436896655","-0.341192032","-0.558774949","-0.947838449"," 0.077358213"," 0.001662344","-0.157159476"," 0.430688844"," 0.034463941","-0.066703233"," 0.239270646","-0.072438114"," 0.142822317"," 0.492519347"," 0.398709021"," 0.218325651","-0.038237067"," 0.824404926"," 0.458130686"," 0.281278100"," 0.882583221"," 0.578650130"," 0.181151439"
"M881.484T1273.289","-0.02502338","-0.01778065"," 0.37315480"," 0.68823595","-0.16355252","-0.15227619"," 0.09097020","-0.24862130","-0.03700492"," 0.42719020","-0.46814115"," 0.82606700"," 0.27339247","-0.38510728","-0.18378920","-0.30029274"," 0.09447931","-0.20118106","-0.25638542"," 0.28929523","-0.40979848","-0.28349250","-0.19955620","-0.27263284"," 0.20059355","-0.16241577"," 0.29429623","-0.05934308","-0.02182366"," 0.29054339"
"M637.412T1422.711","-0.39387778","-0.52233002","-0.40092377","-0.07907633","-0.11798220","-0.19540426","-0.21244410","-0.30747754","-0.32976817","-0.27421588","-0.84355332","-0.10020053","-0.32747795","-0.15061039"," 0.17079050","-0.05266119"," 0.29660920"," 0.02211606","-0.03243772"," 0.24099514"," 0.44313005"," 0.41988057"," 0.04245209"," 0.25913955"," 0.48392149"," 0.32486851"," 0.44430366"," 0.63426057"," 0.28107082"," 0.27690294"
"M591.474T1330.445","-0.64148939","-0.62032880","-0.53341275","-0.19120541","-0.05518549","-0.84187367"," 0.30083829","-0.58525508","-0.27307863","-0.39718536","-1.40509101"," 0.24784133","-0.37333136","-0.03106446"," 0.41989179"," 0.05213300"," 0.22277815"," 0.08214329","-0.03298176"," 0.39119726"," 0.47138875"," 0.49933418"," 0.28637495"," 0.26208421"," 0.53292854"," 0.53302576"," 0.49954963"," 0.66099562"," 0.17952333"," 0.33945507"
"M645.45T1333.909","-0.38563436","-0.61356057","-0.26411703","-0.05467250","-0.05925399","-0.23097322"," 0.38608804","-0.58178444","-0.29243995","-0.24165112","-0.60811606"," 0.01182023","-0.38330942","-0.29615918"," 0.24412391","-0.09944266","-0.06154003"," 0.06018875"," 0.06462530"," 0.40829514"," 0.28481515"," 0.47070171"," 0.38070597","-0.01066675"," 0.50281191"," 0.11780137"," 0.21427505"," 0.54872236"," 0.26396688"," 0.22437953"
"M826.523T1305.342","-0.11701902","-0.12042688"," 0.25678517"," 0.37243356","-0.27099354","-0.32521703"," 0.36535352","-0.38590560","-0.56817925","-0.04295722","-0.92219076"," 0.63315177"," 0.15755883","-0.15602410","-0.21398552","-0.16300616"," 0.13492530","-0.08621246","-0.40558209"," 0.32694889","-0.03160161"," 0.08092932"," 0.39586011"," 0.02062037"," 0.21375260"," 0.16715028"," 0.12769818"," 0.11506405"," 0.31717721"," 0.12389205"
"M593.485T1401.37","-0.664073486","-0.554365808","-0.366807695","-0.047935127","-0.168507907","-0.382500141","-0.008615788","-0.325285237","-0.067565606","-0.410560717","-1.214751817"," 0.234081124","-0.215928665"," 0.173495911"," 0.360860759"," 0.122547079"," 0.222452843"," 0.074343566","-0.090466756"," 0.144496085"," 0.172715302"," 0.315564373"," 0.350260376"," 0.162721890"," 0.379641319"," 0.430373291"," 0.579289210"," 0.418868764"," 0.005052982"," 0.370599876"
"M591.474T1402.346","-0.58542202","-0.58043869","-0.46472647","-0.17777685","-0.07839051","-0.83733298"," 0.20217112","-0.54604583","-0.30439462","-0.40932901","-1.41725778"," 0.23707621","-0.33306478"," 0.01893224"," 0.40589595"," 0.02659227"," 0.22571412"," 0.06635663","-0.12064400"," 0.41529973"," 0.43975237"," 0.52085394"," 0.27749494"," 0.25923054"," 0.54263083"," 0.51179111"," 0.53266442"," 0.66450716"," 0.18306892"," 0.32479104"
"M1123.351T817.469","-0.414879925","-0.229383900"," 0.429576065"," 0.346886097","-0.287394364","-0.007297343","-0.724386977"," 0.145862140","-0.168041273"," 0.632370383"," 0.113222756"," 0.460454327"," 0.237654701"," 0.140253024"," 0.188769095","-0.139041944"," 0.236640266","-0.271597065","-0.537958588"," 0.048671629"," 0.525368617"," 0.292043116","-0.212636699"," 0.196178471","-0.388684165","-0.360935682","-0.550594317"," 0.199702405"," 0.070199307"," 0.028979843"
"M645.458T1212.039","-0.333630502","-0.543667872","-0.188098449","-0.039981929","-0.016111337","-0.195514360"," 0.541657213","-0.505332312","-0.290597742","-0.133507824","-0.667085128","-0.001456191","-0.356640709","-0.249168228"," 0.248577789","-0.124024143","-0.076237079"," 0.012867935"," 0.026838743"," 0.577325199"," 0.275210009"," 0.294818462"," 0.444549738","-0.076713561"," 0.334299968"," 0.048550353"," 0.020115742"," 0.508865919"," 0.284113624"," 0.179976670"
"M555.363T1275.021","-0.23803381","-0.23224243","-0.73094422","-0.75196041","-0.11218563","-0.59546936"," 0.80462754"," 0.62403070","-0.22744180","-0.39558895","-0.67128358","-0.27569688","-0.48383521","-0.31155853"," 0.04045574"," 0.53968221","-0.14451364"," 0.38980557"," 0.10382715"," 0.22913847"," 0.72519356"," 0.27496864"," 0.60708797"," 0.08993260"," 0.09440009"," 0.05665065","-0.09900953"," 0.34655853"," 0.19316989"," 0.15023465"
"M277.217T1187.469"," 0.30881392"," 0.32197292","-0.54936782","-0.33569062","-0.10825108"," 0.18036831","-1.05742665"," 0.88643961"," 0.21986690"," 0.01411442"," 0.17107516","-0.72248652","-0.03390799"," 0.02661244"," 0.25841920"," 0.66118577","-0.29057799"," 0.59782625"," 0.07858435","-0.39752915"," 0.56026314"," 0.39370220"," 0.84872787"," 0.32446122","-1.42282289","-0.39684353","-0.23776092","-0.89607717"," 0.28560362"," 0.31070502"
"M670.528T1488.279","-0.54740831","-0.48729215","-0.42132101","-0.06426936"," 0.07223319","-0.31701386","-0.39132831","-0.45875292","-0.45200218","-0.63303589","-0.61609367"," 0.23598318","-0.27225316","-0.37456536"," 0.10837309","-0.03829540"," 0.27862902"," 0.02557507","-0.04757018"," 0.21198512"," 0.44931557"," 0.45716165"," 0.04552265"," 0.29021310"," 0.77906876"," 0.53674752"," 0.38644826"," 0.82497708"," 0.21127638"," 0.20769214"
"M679.449T1212.039","-0.32027224","-0.95258560","-0.49381201","-0.31263413","-0.11294881","-0.17122171"," 0.24475375","-0.32288295","-0.41089247","-0.04926494"," 0.05850830","-0.32649496","-0.30462600","-0.37380134"," 0.13096329"," 0.13971190"," 0.19351439"," 0.10082922","-0.03836919"," 0.16067124"," 0.55500380"," 0.63481213"," 0.23847226","-0.01563268"," 0.36792018"," 0.05319624"," 0.06884247"," 0.77044657"," 0.26100055"," 0.22679270"
"M697.464T1209.593","-0.48258384","-0.50466126"," 0.22759816","-0.09448559","-0.30803209","-0.54169955"," 0.61475681","-0.75933345","-0.21421843","-1.26092671","-0.92800733"," 0.34216105","-0.15111819","-0.49297064","-0.27449207"," 0.15453089"," 0.36148406"," 0.14653580","-0.26104245"," 0.50911912"," 0.58330408"," 0.51599941"," 0.28422041"," 0.06212568"," 0.51787738"," 0.22922501"," 0.26351780"," 0.60999117"," 0.42314223"," 0.42798252"
"M985.571T1146.934"," 0.247856845","-0.315611223"," 0.261313673","-0.020146053"," 0.247344672"," 0.322163545"," 0.646401452"," 0.201158955","-0.202119364"," 0.423507868","-0.361204086","-0.157802710"," 0.076328970"," 0.232712227","-0.038620250","-0.228349824","-0.119383416","-0.193670110"," 0.340602551"," 0.465203302","-0.002322728","-0.515299484"," 0.106418724"," 0.095643637","-0.398640301","-0.280120803","-0.487841208","-0.256377949"," 0.055722850","-0.144869761"
"M424.216T1338.866"," 0.328218920","-0.337153956","-0.170624805","-0.066981529"," 0.394785299"," 0.225683186"," 0.567201618","-0.075645161"," 0.127378686","-0.090872707","-0.195704917","-0.046874536","-0.400920174","-0.100666712"," 0.371828049"," 0.114694355","-0.571192611"," 0.247039168","-0.125083269","-0.424178763"," 0.003356981"," 0.074869665"," 0.408623254"," 0.044751364","-0.107745385","-0.482677370"," 0.232550055","-0.339977807"," 0.107349578"," 0.287969523"
"M565.409T1275.021","-0.372388806","-0.486519424","-0.465755557","-0.235910594"," 0.019877559","-0.437148612"," 0.678933736","-0.681951731","-0.324362516","-0.543307832","-0.946685628"," 0.085017592","-0.251072175","-0.219879693"," 0.045375377","-0.102948683"," 0.079017112"," 0.008521074","-0.006218423"," 0.294163930"," 0.400658180"," 0.470954658"," 0.189785922"," 0.248061104"," 0.526911625"," 0.068472272"," 0.702681901"," 0.711946249"," 0.134963150"," 0.408808233"
"M698.466T1253.346","-0.511862421","-0.498578853"," 0.144616092","-0.019194878","-0.213551505","-0.433665624"," 0.427363654","-0.823769293","-0.326804208","-0.827731875","-0.866605601"," 0.323854201","-0.178082526","-0.836205272","-0.148545281"," 0.081659644"," 0.416394587"," 0.181542343","-0.163985251"," 0.378244954"," 0.563402147"," 0.558037829"," 0.336929219","-0.005108878"," 0.563175662"," 0.288145129"," 0.123852271"," 0.687988377"," 0.356859901"," 0.421625455"
"M661.446T1372.452","-0.57774291","-0.58405591","-0.29717173","-0.04265142","-0.27290565","-0.39987939","-0.10035226","-0.54415627","-0.14409543","-0.38148083","-0.65521038"," 0.06268715","-0.27466982","-0.14620146","-0.07773110"," 0.01064781","-0.04119595"," 0.12464796","-0.07251840"," 0.35745990"," 0.46053211"," 0.55673451"," 0.21425904"," 0.01134028"," 0.62534198"," 0.28583211"," 0.19367504"," 0.90943843"," 0.34345928"," 0.45596329"
"M695.45T1338.973","-0.53715652","-0.34080495","-0.41602018","-0.28980030","-0.02134016","-0.45540456","-0.42952224","-0.51737291","-0.40623911","-0.43015426","-0.72068031","-0.06289074","-0.31382169","-0.40228910","-0.14217333"," 0.10025899"," 0.24109384"," 0.14015873"," 0.05146659"," 0.12088215"," 0.70772289"," 0.63844873"," 0.16339548"," 0.14153674"," 0.74918096"," 0.29172562"," 0.40619599"," 1.02056335"," 0.27458751"," 0.43845279"
"M593.49T1490.213","-0.707138401","-0.517708341","-0.327157689","-0.028826510","-0.157376843","-0.354399584","-0.177681872","-0.345956895","-0.050667645","-0.392121531","-1.146198759"," 0.252207126","-0.191000190"," 0.168806876"," 0.310279061"," 0.142026171"," 0.238708588"," 0.048459061","-0.106509581"," 0.122016181"," 0.150968253"," 0.335607658"," 0.351478377"," 0.159997066"," 0.362097737"," 0.451380641"," 0.632048158"," 0.423536172"," 0.001739457"," 0.351387258"
"M951.567T1289.006","-0.20676218","-0.45162954"," 0.09274109","-0.00248516"," 0.27426521"," 0.21860348"," 0.14944256","-0.26728125","-0.41415694"," 0.45427694","-0.87014969"," 0.47856009"," 0.26524110"," 0.20392477"," 0.16443369","-0.48608517","-0.08927959","-0.47119820","-0.05133301"," 0.47616485","-0.44225736"," 0.20953057","-0.06667542","-0.30013470","-0.09001526","-0.24205957"," 0.43199827"," 0.33067084"," 0.31671958"," 0.38492998"
