"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","X9.1","X9.2","X9.3","X9.4","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M898.573T1506.898","-1.00147170"," 0.58877826"," 0.01064514","-0.11475946"," 0.92888099","-0.68747273","-1.01374705"," 0.74269176"," 0.08830898","-0.55615090","-0.51718287","-0.32374801"," 0.76658895"," 1.30077511","-0.48687972"," 0.37702099","-0.38748643","-0.69180110"," 0.14401598","-0.28523989","-0.54699155"," 0.82064188"," 1.73111900","-0.72245415","-0.16796008","-0.62314426"," 0.75197762","-0.71105256"," 0.05348415"," 0.53261364"
"M628.514T1473.756","-0.69691765"," 0.15807046"," 0.27397561"," 0.33640031","-0.36420178"," 0.04760317","-0.89326586","-0.44782261"," 0.67109411","-0.04011611","-0.50562299"," 0.52746689"," 0.19048307","-0.08872571","-0.50256389","-0.25619655"," 0.77057421","-0.31299524","-0.53160569","-0.29096506","-0.22656622"," 0.31896862"," 0.20667849","-0.51193158"," 0.44177518"," 0.24602862"," 0.57105121"," 0.43612726"," 0.08195446"," 0.39124529"
"M505.253T1389.277","-0.55765637","-1.09920701"," 0.76671585"," 0.50593651"," 0.31524474"," 0.13543292","-1.20226060"," 0.25739054"," 0.23942284","-0.03780496"," 0.37531283"," 0.19235888"," 0.68612359","-0.72091018","-0.27177299"," 0.04381589","-0.15881963","-0.48302941"," 0.36113039"," 0.10488707","-0.14920944"," 0.26233442"," 0.01867672"," 0.27772628"," 0.20507150"," 0.47160569","-0.54862369"," 0.15434246"," 0.29854959","-0.44278441"
"M603.466T1540.694"," 0.238324375"," 0.012052753"," 0.772323087"," 0.043494128","-0.066613087","-0.007308086","-0.200195023"," 0.145408100"," 0.112428257","-0.107227413","-0.280812384"," 0.042374946"," 0.286315226","-0.442779864"," 0.266150671","-0.322608633"," 0.092284063"," 0.015399560","-0.011889330","-0.352194257","-0.007842797"," 0.504013860","-0.743057943","-0.759641346"," 0.104561376","-0.115935645"," 1.034671301","-0.267300711","-0.636217474"," 0.651822288"
"M511.378T1591.725","-0.16017601","-0.19674070"," 0.44904334"," 0.06515208"," 0.10627534","-0.11497503","-1.09359343"," 0.67278731"," 0.10278328","-0.27855792","-0.17195409","-0.20766129","-0.51245947","-0.15205946","-0.29615518"," 1.09718080","-0.12559085","-0.32285900","-0.19560214","-0.20475285","-0.05434040"," 0.12881989","-0.02803890","-0.32775599","-0.02445179","-0.17888581"," 1.84579890"," 0.07027894","-0.29849538"," 0.40698582"
"M565.563T1608.07","-0.31954706"," 0.93500933"," 0.10581890"," 0.47987785","-0.09315712"," 0.54582858","-0.53685831","-0.22246376","-0.24234071","-0.16690447","-0.41338415"," 0.31216009","-0.03602552","-0.15321648","-0.24039877","-0.07776908","-0.08581468","-0.30911909","-0.08514606"," 0.38409417","-0.34862791"," 0.44910455","-0.56405710","-0.27367285"," 0.64682417","-0.33010882"," 0.03761484"," 0.44826298","-0.21790203"," 0.37191852"
"M646.595T1557.26"," 0.10499952"," 0.35411407"," 0.55945995"," 0.08596097"," 0.43643043","-0.48746348","-1.28895338"," 0.50193259"," 0.02855728","-0.24430244","-0.17537282"," 0.50603141"," 0.26176466"," 0.03029386","-0.05567886"," 0.19368872"," 0.09339167","-0.09107647"," 0.45830515","-0.18974257","-0.24878006"," 0.22030510","-0.47130907","-0.13718323"," 0.10750088"," 0.09169790","-0.57611245","-0.19811236","-0.25448140"," 0.38413444"
"M861.571T1506.859","-0.19243631"," 0.17701029"," 0.04339742","-0.19110136"," 0.26546237","-0.94540631","-1.24753075"," 0.08928412","-0.28540499"," 0.41150785"," 0.01101659"," 0.21046216"," 0.22602980"," 0.72257635","-0.08127183"," 0.24896235","-0.30411802"," 0.17438982","-0.16777686","-0.14207840"," 0.14301336"," 0.36169595"," 1.15349845","-0.41067758","-0.52635177"," 0.06597429"," 0.10194051"," 0.26422399","-0.30998066"," 0.13368916"
"M511.372T1473.254","-0.089374968","-0.487330320"," 0.381027363"," 0.009836637","-0.090877767","-0.104675961","-0.469130032"," 0.557596613"," 0.016446652","-0.175141769","-0.165428290","-0.282926124","-0.491299352","-0.228299150","-0.273396998"," 0.880631235","-0.010523382","-0.348036739","-0.071955594","-0.188516778","-0.046181450","-0.051269856"," 0.134202737","-0.114323487","-0.186818174"," 0.082194498"," 1.789257693","-0.042978020","-0.257119686"," 0.324410471"
"M628.526T1540.694","-0.49242692","-0.19161993"," 0.12232914"," 0.17512149"," 0.01783678","-0.35019057","-0.95546262","-0.42431562"," 1.16345251","-0.42453212","-0.41952692"," 0.86174565","-0.44160988"," 0.04436422","-0.22099698"," 0.43401395"," 1.28539910","-0.23026849","-0.27746977","-0.32502698","-0.16941332","-0.03899912"," 0.10367592","-0.26715058"," 0.37083875"," 0.05201407"," 0.73692941"," 0.01345606","-0.34209219"," 0.18992494"
"M311.153T1423.174"," 0.048478087","-0.074004520","-0.165451775","-0.411179877","-0.305970383","-0.038338252"," 0.164224080","-0.066406153"," 0.376758788","-0.121265037"," 0.918069546","-0.122582157","-0.144337502"," 0.020226615","-0.057572090"," 0.325540328","-0.122152767","-0.068762600","-0.093614227"," 0.175993709"," 0.055218246","-0.035375417"," 0.707129965","-0.412071314","-0.298293698"," 0.007868038"," 0.003636909","-0.155815439"," 0.055242450","-0.165193555"
"M515.356T1423.01","-0.15777838","-0.41137112","-0.01941453","-0.29866308","-0.09750836","-0.26964267","-0.52520236"," 0.11656204"," 1.08313498"," 0.05502652","-0.05658759","-0.12003422","-0.11131401"," 0.29984977","-0.15830370"," 0.19310819"," 0.43502558"," 0.05197125"," 0.14385556","-0.08542995"," 0.36662406","-0.29148733","-0.15393102"," 0.06473310","-0.18723783"," 0.08594094"," 0.07295505","-0.12076174"," 0.13386818","-0.03798735"
"M602.509T1557.998","-0.147401694","-0.021043009"," 0.464599241"," 0.381702925"," 0.035737088","-0.290098742","-0.623403726"," 0.393959040","-0.041520053","-0.719043945","-0.462276356"," 0.262146644"," 0.117460347","-0.436611838"," 0.220238506"," 0.063725009"," 0.200597125"," 0.221800782"," 0.006544783","-0.520574053"," 0.114500681"," 0.521256273","-0.774534948","-0.572072429"," 0.490643464","-0.128853798"," 1.064691350"," 0.255333917","-0.468616219"," 0.391113635"
"M893.613T1591.283","-0.596616725"," 0.309670771","-0.067058754","-0.008744839"," 0.582053852","-0.730774239","-0.519288485"," 0.262767264"," 0.150138104","-0.155431858","-0.336420013","-0.145415140"," 0.349101179"," 0.935176497","-0.342416715"," 0.051741586","-0.397304146","-0.169629652","-0.068620024","-0.037838551","-0.312785693"," 0.318865120"," 1.592766740","-0.108320386","-0.428100392","-0.047076154"," 0.520067290","-0.817036978","-0.225945979"," 0.442476317"
"M841.605T1491.422","-0.88445127","-0.14102492"," 0.35709351","-0.60016365"," 0.45308617","-0.27513142","-0.63518132"," 0.32206844","-0.52327055"," 0.26695885"," 0.46987489","-0.69316567"," 0.27302790"," 0.41951041","-0.23416929"," 0.08989667","-0.50641548","-0.11917319"," 0.09052200"," 0.44055262","-0.21249572"," 0.32212444"," 1.10434877","-0.80376292","-0.48493975"," 0.31781507"," 0.51618075","-0.20051615"," 0.29154262"," 0.57925819"
"M427.285T1591.149","-0.28718009","-0.55547962"," 0.19987909","-0.16810729"," 0.31967970"," 0.44774824","-1.66941033"," 0.12972610"," 0.32502526","-0.40856033","-0.46081681","-0.10455327"," 0.01923229","-0.06823665"," 0.21537683"," 0.35935728","-0.04944755"," 0.25023124"," 0.11800345","-0.01488371"," 0.49336461"," 0.46544932","-0.21094445","-0.11327194","-0.08364071","-0.02568075"," 0.66938062"," 0.09457664"," 0.29230896","-0.17912613"
"M536.576T1574.556","-0.47647096"," 1.10193126"," 0.67041452","-0.57063411","-0.31218045","-0.94312701","-1.02809907"," 0.97223148","-0.48390656"," 0.01216906","-0.19403708","-0.42099782"," 1.17149468","-0.64966845"," 0.36846469"," 0.92830006"," 0.14519049","-0.01207891"," 0.52176987","-0.03524803","-0.11116042"," 0.63381842","-0.30271858","-0.45922016","-0.34822263","-0.90610091","-0.03305307"," 0.90005702","-0.40478377"," 0.26586643"
"M628.529T1624.373","-0.66840706","-0.04339987"," 0.02550918"," 0.29308682","-0.04073679","-0.50959330","-1.26065077","-0.31934125"," 1.19238350","-0.51540775","-0.29784315"," 0.88398510","-0.32917442"," 0.10239696","-0.32788391"," 0.56786346"," 1.38728309","-0.15815378","-0.24394003","-0.44841355","-0.21819403"," 0.03982519","-0.02563880","-0.27978471"," 0.48947804","-0.04857878"," 0.88604978","-0.01494399","-0.20414931"," 0.08637411"
"M534.319T1540.699","-0.256675545"," 0.164732851"," 0.158679428","-0.608349509"," 0.112984512","-0.079733402","-0.965230591"," 0.006564285"," 0.280910573","-0.163768672"," 0.175253431","-0.219840528"," 0.421506304"," 0.906014814","-0.208352210"," 0.017058604"," 0.242045231","-0.098967926","-0.353429895","-0.324925869","-0.283435620"," 0.302129077"," 1.042016098"," 0.052198232","-0.222417601","-0.128070907","-0.031440031"," 0.133177255","-0.172657043"," 0.102024653"
