"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"M177.034T19.126","-0.025370280"," 0.181264173"," 0.133235894","-0.094342274"," 0.385405502"," 0.139953108","-0.158813050"," 0.080533669","-0.014184241"," 0.136190178","-0.095996345"," 0.213236927"," 0.008895342"," 0.045597840"," 0.116231331"," 0.063403730"," 0.091090895"," 0.030030062","-0.071648644"," 0.029061811","-0.468725301"," 0.159239249"," 0.221737197"," 0.108296829","-0.283704825","-0.293588297","-0.414701135","-0.082220941"," 0.147280140"," 0.271868062"," 0.185687045"," 0.273479264","-0.337775238","-0.295893090"," 0.114648225"," 0.142369230"," 0.052356701","-0.091860108"," 0.307252980"," 0.164225098","-0.001920312","-0.043125427","-0.158196341"," 0.128007727","-0.879704681","-0.118807681"
"M222.962T20.134","-0.078739822","-0.025346247"," 0.191606535","-0.219475636"," 0.092723973"," 0.145214157","-0.200476357"," 0.103844656","-0.185617758","-0.084986252"," 0.171000546"," 0.248543107"," 0.224142645","-0.345784004"," 0.095342232","-0.210490043"," 0.108420551","-0.419386431"," 0.011737518","-0.069554691","-0.149391689"," 0.101764948"," 0.246445010"," 0.138522686","-0.170609225","-0.242142259","-0.428049230","-0.141865904","-0.169529303","-0.146860705"," 0.255535311"," 0.100024181","-0.195544398","-0.100562037","-0.006526411"," 0.621461253"," 0.123727174"," 0.468739090"," 0.120075878"," 0.267215638"," 0.069625639"," 0.402304235","-0.112270102"," 0.016806029","-0.528237598","-0.093376888"
"M243.886T1577.62","-0.110587104"," 0.243650510"," 0.112118729"," 0.142596287","-0.008603753"," 0.113858538"," 0.133713978"," 0.021693775","-0.014222433","-0.132087167","-0.267574058","-0.109340559","-0.109548034"," 0.165507356","-0.137873195","-0.017662338","-0.128776181","-0.014515469"," 0.384241587"," 0.109388292"," 0.117336996"," 0.089470585","-0.080766072"," 0.052641540","-0.001829597"," 0.336111912","-0.289052772"," 0.054654495"," 0.083985782","-0.162336615"," 0.153118485","-0.057904081"," 0.274117782"," 0.055520929","-0.198159814","-0.367194541"," 0.136216252","-0.116470042"," 0.202018540"," 0.113705280"," 0.215288826","-0.187306558","-0.098902434","-0.093134950"," 0.185669734","-0.792778421"
"M247.083T835.562","-0.0440323875"," 0.0807233707"," 0.5278514163"," 0.2774457835"," 0.0330800378"," 0.1590058738"," 0.2614006892"," 0.3509790049","-0.1142882236"," 0.4486504042"," 0.2856636384","-0.6949729802"," 0.4309586810"," 0.4289979999"," 0.2914847928"," 0.1992180147","-1.3470229474"," 0.0840911312"," 0.3739001017"," 0.4101611678"," 0.3838469491"," 0.1165689277"," 0.2922791132"," 0.0653220733"," 0.1043232839","-0.5418157279","-0.1511822767"," 0.3542664049"," 0.4984791410"," 0.3591695639","-0.0002289598"," 0.2049409130"," 0.2720694901"," 0.4164072397","-0.8482135742","-0.1716277028","-0.7073762499","-1.3130112630","-0.6262371697","-0.5471355194","-0.6525507937"," 0.2527747296"," 0.1176746887"," 0.0818666388"," 0.1575737440","-0.5614792333"
"M250.958T20.121"," 0.1930424902"," 0.0817391520"," 0.0298156629"," 0.0099593262","-0.1043752407"," 0.2558129743","-0.5488007764","-0.3555555147","-0.1483441505","-0.0867918319"," 0.0753055623","-0.0208533146"," 0.0777115250"," 0.0587713325"," 0.0830035041"," 0.1441489330"," 0.3023505786","-0.1336639502"," 0.0958956528"," 0.0783399258"," 0.0920922282"," 0.2799529129"," 0.1176424834","-0.0434234065","-0.0980330248","-0.4604286524"," 0.1399993994","-0.1240865399"," 0.1322974039","-0.1302615575"," 0.3753703711"," 0.2134468360","-0.0566953886","-0.2924690874"," 0.0572948677"," 0.0439254232","-0.1418535250","-0.1343221251","-0.0002453103"," 0.2186542554","-0.2303983866"," 0.4300137203","-0.1541537382","-0.0632910671","-0.1744983924","-0.0840415400"
"M274.939T20.136"," 0.0798060784"," 0.4491973150","-0.4492439965","-0.1394373324","-0.0684022422"," 0.0072682220","-0.5694639015"," 0.1611313088"," 0.3690651705"," 0.0448273142","-0.0804486952"," 0.2473032435"," 0.2113999168","-0.0337156927","-0.1312483642"," 0.2428444584","-0.1281893050","-0.4028954202"," 0.2325378160"," 0.3911390550","-0.1238574549"," 0.0977155016"," 0.0629204722"," 0.1746946959","-0.2228493215","-0.1081682534","-0.2595011400"," 0.0139311999"," 0.3081504250"," 0.0206129298"," 0.0301779528"," 0.0066628353","-0.4119604470","-0.0138566824"," 0.1894736790","-0.0005377962","-0.1744853257"," 0.1541963167"," 0.0286853798","-0.1081245886"," 0.0033408936","-0.0840798834","-0.2635298895"," 0.2543555571","-0.0101694136"," 0.0027274089"
"M286.907T1578.052","-0.6696116294"," 0.2427174543","-0.2023223030","-0.0706805392"," 0.1592013735","-0.6094004270"," 0.0245425864"," 0.2397102749"," 0.1451543976"," 0.1911532997","-0.2074972805"," 0.1116079036","-0.0008331991","-0.0426848962"," 0.0217871298"," 0.1567802846","-0.1525438662"," 0.0517085536"," 0.2461253953","-0.0492029697","-0.1598302732","-0.1681141051"," 0.2114062841","-0.0876245805"," 0.3557405860"," 0.0696631389","-0.0912103426","-0.0715080905"," 0.4862520612"," 0.1348988552"," 0.2027659566","-0.0056325226","-0.1148420319"," 0.2090069206"," 0.2273498506","-0.1548014058","-0.2101519369"," 0.1564756962","-0.1335080918"," 0.0849373110"," 0.2774523834"," 0.1008550615","-0.0015843083","-0.1020418748"," 0.0582291535","-0.8598952380"
"M296.921T20.131"," 0.017464682"," 0.230733992"," 0.316261419"," 0.150255101"," 0.040858103","-0.062566797","-0.416257580"," 0.165625545"," 0.012483160"," 0.207236035","-0.036331123"," 0.056534875","-0.061892822"," 0.179350977","-0.047002902","-0.024332128"," 0.119594043","-0.142640710"," 0.295076085"," 0.081379822"," 0.041798326"," 0.279333667"," 0.047040277"," 0.132869182","-0.132761775","-0.775987599","-0.761674663"," 0.018473329"," 0.148521375","-0.103505955"," 0.136431021"," 0.245040199","-0.330204328"," 0.212565758"," 0.033882271"," 0.231768141","-0.077960675"," 0.314825880"," 0.008315039"," 0.056911995","-0.043840737","-0.009575996"," 0.125572371"," 0.006280529","-0.964365787"," 0.078418379"
"M302.934T20.131","-0.019292304","-0.112235701","-0.080825100"," 0.059171221"," 0.202129708"," 0.133829653","-0.193805769","-0.223625321","-0.071286183"," 0.255988523"," 0.176085036","-0.117850835","-0.116289028"," 0.198854224"," 0.041121925","-0.045114234"," 0.300913720","-0.265209898"," 0.233480298"," 0.294886113"," 0.097301215"," 0.193419427","-0.041096243"," 0.186773158","-0.291868186","-0.432587929","-0.406273284","-0.021314785"," 0.131284120"," 0.143313739"," 0.395807919"," 0.115006337","-0.624066486","-0.050012939"," 0.161748139"," 0.008260685"," 0.071669901"," 0.055892246"," 0.074442630","-0.077826478"," 0.224140712"," 0.239074929","-0.462268445"," 0.281953255","-0.557699138","-0.066000544"
"M309.131T17.119","-0.137140392"," 0.012097360","-0.127244764","-0.131942163","-0.010509677","-0.033906246","-0.275348125","-0.343143742","-0.251266935"," 0.014564838","-0.160003065","-0.182896631","-0.236245892","-0.116344520","-0.228389381","-0.038863400"," 0.597178733"," 0.015219629"," 0.047394356","-0.045305193"," 0.396342959","-0.034929349"," 0.056326604","-0.061827647","-0.080407944"," 0.672511335","-0.082235926"," 0.124566465","-0.310761723"," 0.560042613"," 0.050470011","-0.035922370"," 0.082343121"," 0.487180140","-0.450008428","-0.071248399"," 0.517900410","-0.009426001"," 0.597459932","-0.241726492","-0.405287716","-0.078361893","-0.011014884","-0.042411994"," 0.131261646","-0.128739262"
"M337.056T22.131"," 0.123828548"," 0.096810009"," 0.211856440"," 0.018656590"," 0.236798113"," 0.112691049","-0.150796206"," 0.099647815"," 0.179840339","-0.211866930","-0.147742662","-0.068404796"," 0.025885360"," 0.037290228"," 0.031947006"," 0.144052946"," 0.128570279","-0.310788476","-0.204498924"," 0.169399862","-0.150151853","-0.061417465"," 0.112638859","-0.004453660","-0.042170104"," 0.211437208","-0.670407748","-0.047748317"," 0.212629225"," 0.007479527"," 0.154352550"," 0.032692843"," 0.061041537"," 0.056941428"," 0.174074517"," 0.082558267","-0.098876208","-0.021634739","-0.291212766"," 0.206550835"," 0.272343807","-0.031104757"," 0.042183499"," 0.408585256","-0.038300248","-1.101208079"
"M354.284T1595.998"," 0.112188544","-0.273050823","-0.156916702"," 0.079868637"," 0.491882202"," 0.307173934"," 0.294309115"," 0.302070090","-0.092150230","-0.087878576"," 0.499918963"," 0.068648450","-0.097670763","-0.084333013","-0.050091045","-0.006911427","-0.435710184","-0.162700305"," 0.465685052"," 0.055536634","-0.102602835","-0.250277830"," 0.448296555","-0.038551120","-0.179358669","-0.259009035","-0.041921484"," 0.066235666"," 0.164672254"," 0.301855058","-0.262257635","-0.080327403"," 0.181321702","-0.431774487","-0.272942690"," 0.103530938","-0.178812628","-0.217164183","-0.001207193","-0.137756716","-0.228534685"," 0.293387518"," 0.001357276"," 0.099500296"," 0.175258492","-0.382785716"
"M364.909T21.126"," 0.364978869","-0.160283384"," 0.411990235"," 0.256727598","-0.024408611"," 0.014669329","-0.536834311"," 0.306819200"," 0.297419686"," 0.071487510"," 0.216283346"," 0.034603758"," 0.541788741"," 0.296902451","-0.194449875"," 0.003857082","-0.176562518","-0.402818381"," 0.367013848","-0.032276997","-0.161834835","-0.020234924","-0.012232848","-0.149399736"," 0.039813102","-1.001471032","-0.894779950"," 0.084834621"," 0.461821320","-0.126923588","-0.010955578","-0.014798212","-0.869965887","-0.049107371","-0.063777984"," 0.229236778","-0.085641702"," 0.375099546","-0.020009336","-0.055415011"," 0.193970096"," 0.486877706","-0.129639655"," 0.185396709","-0.245753483"," 0.197983677"
"M367.151T397.982","-0.3995170167","-0.5099825984","-0.4512087417","-0.3002923494"," 0.2146051841","-0.1137744015","-0.0009679489"," 0.9391632346"," 0.0825433880"," 0.4814232235"," 0.5352688410","-0.6151070533","-0.9278514097"," 0.4522761675","-0.1454315417"," 0.2185849771","-0.5446249262","-0.2367432993","-0.4084484538"," 0.8740896865"," 1.0605904327"," 0.0920658572"," 0.9791074098","-0.5159752071","-0.0473201480","-0.5134947079","-0.2251355865","-0.3961486469"," 0.0462439375","-0.2232865466","-0.3661022163","-0.6394390215","-0.6076976187","-0.7189541842","-0.5540251587"," 1.0241709123","-0.9832723798","-0.5768733459","-0.5042679810","-0.5942154488","-0.5811179825"," 0.5909484373"," 1.8253174217"," 1.5971154851"," 2.3832418670","-0.6954805420"
"M372.364T1640.641","-0.412069262","-0.001529702"," 0.009350091"," 0.035718461"," 0.071209700","-0.291219113","-0.169222852","-0.016223143"," 0.051779043","-0.243352845","-0.075013527","-0.270939978"," 0.066512024"," 0.235078408","-0.355881802","-0.263629511"," 0.486342562"," 0.074968187","-0.077908101","-0.216840401"," 0.159921199","-0.193978893","-0.295268507"," 0.131905698","-0.308466394"," 0.348746882"," 0.740445907","-0.135625593","-0.211407982"," 0.354590717","-0.445550634","-0.160850159","-0.069847076"," 0.040480926"," 0.967261423"," 0.477876971","-0.348742854"," 0.537327790","-0.062561719","-0.237772740"," 0.323001810","-0.413117400"," 0.021324958","-0.135714376"," 0.289959533","-0.011067726"
"M380.918T17.845"," 0.0518022753"," 0.0240642783","-0.0289412950","-0.1176104893","-0.0271045315"," 0.1143270354","-0.4408485948","-0.1064850328","-0.0397071092","-0.0144049658","-0.0878824476"," 0.2132967012"," 0.0447281346","-0.1937053010","-0.0338410483","-0.0099347399"," 0.6969322943","-0.1456152307"," 0.0352546831"," 0.0701236369","-0.2063469278"," 0.1581900874"," 0.1739014677","-0.0006002678","-0.0664939704","-0.2547802025","-0.0536632989"," 0.1454569558"," 0.0748683938"," 0.1241006207"," 0.2032343284"," 0.1594204497","-0.3106750976","-1.0344567329","-0.2928182887"," 0.1368857361"," 0.6245849089"," 0.1885601918"," 0.4932394104"," 0.0086355509","-0.1168969331"," 0.1630650768","-0.2507637799"," 0.0876820916","-0.3651597802"," 0.2063817566"
"M382.315T1625.896"," 0.179507030","-0.260533872","-0.097941281"," 0.152839710"," 0.060529420","-0.132766146"," 0.240958246","-0.091629597"," 0.169893500","-0.094848288","-0.156416920"," 0.195447373","-0.015590292"," 0.360012393","-0.090524325"," 0.191368019","-0.579348661","-0.120427756"," 0.275321214","-0.059950416"," 0.098108550","-0.102339032","-0.014859964"," 0.114347161"," 0.062979287","-0.100895906","-0.141883629"," 0.547659758"," 0.309974281","-0.364845763","-0.072094865"," 0.118855510"," 0.337888856","-0.339199010"," 0.513735890","-0.367519063","-0.019939840","-0.584379454","-0.133728746"," 0.006411877","-0.375108063"," 0.610443173"," 0.156845018"," 0.120593146"," 0.201043455","-0.707991977"
"M385.292T1611.168","-0.1908367478","-0.5317721030","-0.1797232554"," 0.0148539109","-0.0804545477","-0.3556800632"," 0.4871248572","-0.0695634109","-0.0883496467","-0.0833795337"," 0.0648398350","-0.1211950994"," 0.2676472317"," 0.3567592393","-0.2226842342","-0.1470052906","-0.0415350894"," 0.0909214465"," 0.1235745499","-0.0709561775"," 0.0457450107"," 0.0221296954"," 0.6170548906","-0.2827227258"," 0.2466005066","-0.0082493483"," 0.0612661946"," 0.3568261315"," 0.0695031770"," 0.0992899617","-0.0641947694"," 0.0721525614","-0.0451275159","-0.0718094559","-0.1874763473"," 0.0008808482","-0.1093792569","-0.0540487522"," 0.7322376254","-0.3563103604","-0.3145931199","-0.1174234189"," 0.2319291166"," 0.2464424481"," 0.1968831958","-0.6101921635"
"M392.904T19.162"," 0.076913475"," 0.152989759"," 0.222571224"," 0.017555301"," 0.159424050"," 0.090005519","-0.371053116","-0.100690016"," 0.087421600"," 0.074115873","-0.031217571"," 0.181023608"," 0.251976323"," 0.265697583","-0.099719328","-0.134084214"," 0.074765526","-0.225492468"," 0.198383740"," 0.211114568","-0.031571551"," 0.318887986"," 0.041667117"," 0.202817288","-0.043386555","-0.822038541","-0.271329437"," 0.058993706"," 0.024360458"," 0.314564596"," 0.036233810"," 0.338643930","-0.368709120","-0.029355950","-0.037969556"," 0.038896723","-0.128348337","-0.004877307"," 0.094889440","-0.073830123"," 0.215287042","-0.107306978","-0.170639633"," 0.056207859","-0.765601296"," 0.011812991"
"M408.915T17.478"," 0.0462026740"," 0.0920475030","-0.0307525882","-0.0261032584"," 0.0147660083"," 0.0908536476","-0.4913418670","-0.1279967868"," 0.0572045836","-0.1866106214","-0.1123502622"," 0.1377161000","-0.1256777375","-0.2089860433","-0.0887126165","-0.0002041659"," 0.1386388787","-0.0946758716"," 0.1162229833","-0.0083115529","-0.2125452367"," 0.2392176455"," 0.1250191599"," 0.0559123573","-0.1663936680"," 0.3457323447","-0.1891230045"," 0.0578883530"," 0.2416515594"," 0.0868602307"," 0.2488331990"," 0.1033225927","-0.6668944951","-0.1633334986"," 0.0684914680"," 0.3722550037"," 0.2848454502"," 0.1289058838"," 0.3546777377"," 0.0568492007"," 0.0076166817"," 0.1906471900","-0.1391198842"," 0.0010102126","-0.6035948049","-0.0206606854"
"M423.199T1618.85","-0.286420706"," 0.006455445","-0.198164549"," 0.960981947","-0.023096133","-0.020010852","-0.201115449","-0.172542106"," 0.686904243","-0.166977197","-0.239358033","-0.086216322","-0.049507692","-0.139242762","-0.156863214"," 0.844318233","-0.025915036"," 0.797096179","-0.112731186","-0.257674834","-0.147445558","-0.178493226","-0.266551400"," 0.007243671","-0.015032241"," 0.128199769"," 0.222616221"," 0.020265039","-0.104326523"," 1.051843177","-0.198365754","-0.158013444","-0.079894438","-0.291661007","-0.239931571","-0.125412021","-0.275141043","-0.380024562","-0.071184122","-0.349708549","-0.021128913"," 0.789936173","-0.010763018"," 0.043685209","-0.120424010","-0.390207835"
"M428.917T12.217","-0.127755801","-0.187698256","-0.056649958","-0.582614090"," 0.450312204","-0.016463477","-0.177149833","-0.207877755"," 0.020847765","-0.074475420","-0.008832293","-0.195416793"," 0.197400624","-0.110840230","-0.024759843","-0.038138067","-0.191763217","-0.059326225"," 0.471879882"," 0.910645850","-0.517097980","-0.074659354"," 0.018095116","-0.154956272","-0.077647349"," 0.189596073","-0.019538206"," 0.022194784","-0.071502960","-0.244746446","-0.076504537","-0.019730959"," 0.103163758","-0.082429473","-0.175909711"," 0.114499994"," 1.005552496","-0.032625625","-0.246323473"," 0.050988036"," 0.842130181","-0.311699217","-0.053871786","-0.048783633","-0.037706485","-0.091812038"
"M465.262T1356.121","-0.94842279","-0.67056265"," 0.58784793"," 0.56789546"," 0.29601118"," 0.27002625"," 0.13095177","-0.30068558"," 0.21473460"," 0.14466488"," 0.55320940"," 0.13112455","-0.07358984"," 0.58371288","-0.35120673","-0.28172892","-1.01360275"," 0.18848762"," 0.42655797","-0.09970336"," 0.08587456"," 0.30899985"," 0.28532444"," 0.48607529"," 0.39028756","-0.35509669"," 0.02036164"," 0.63243129"," 0.27758521","-0.22316775"," 0.39952931","-0.27772681","-0.11214493"," 0.50480440"," 0.17064023","-0.36828761","-1.86041431","-1.21180876","-0.27779841"," 0.36895884"," 0.02858713"," 0.17278896"," 0.21778778"," 0.31579586"," 0.23869326","-0.57380225"
"M468.418T1628.573","-0.592431146","-0.117404501","-0.118731351","-0.200062229","-0.110026904","-0.289613133"," 0.181748620","-0.513851878"," 0.453794134","-0.216083311","-0.073323688","-0.282939805","-0.202945608","-0.014231955"," 0.405701196","-0.263240572"," 0.259685290","-0.260890194","-0.340103745","-0.003790500","-0.083408385"," 0.885293973","-0.076272405","-0.079064086"," 0.172490208"," 0.383350462"," 0.221158851","-0.019445854","-0.177731127","-0.099129347","-0.094151417","-0.238663183","-0.072038656"," 0.463626744"," 0.047260605"," 0.015985560","-0.208804844"," 0.212396270"," 0.115277865"," 0.002876132","-0.212401607","-0.033085873"," 1.002380930"," 0.054209031"," 0.198924565","-0.082293131"
"M468.42T1635.273","-0.180625070","-0.217245876"," 0.364569927","-0.022188036","-0.005100976","-0.254511744"," 0.209707010","-0.089670144","-0.055681117","-0.251296974","-0.094264333","-0.104491678","-0.088798779","-0.001784491"," 0.226462766","-0.237112711"," 0.048952498","-0.226443164"," 0.226937303","-0.123753452"," 0.087616151"," 0.530163762","-0.067296718"," 0.058327350"," 0.092276611"," 0.043587664"," 0.151853370"," 0.121619546","-0.599217662"," 0.120852422","-0.025886112","-0.203756725"," 0.205014434","-0.025332046","-0.189594330"," 0.153981293","-0.255875071"," 0.129360621","-0.138206415"," 0.501951417","-0.049299504","-0.672785238"," 0.749596739"," 0.085904386"," 0.149179388","-0.077696296"
"M480.892T18.142"," 0.063506951"," 0.265435906"," 0.152926067","-0.205193427","-0.053413367"," 0.124124527","-0.398457167"," 0.017556983","-0.148031626"," 0.019116682"," 0.053451287"," 0.036270214","-0.188826957"," 0.081268397"," 0.288970429"," 0.032446756"," 0.608852933","-0.192340602"," 0.134860954"," 0.063732632","-0.094303676"," 0.283033341"," 0.077361924"," 0.084144111","-0.048530752","-0.990895132","-0.318089390","-0.012121794","-0.030236169","-0.158343526"," 0.137242346"," 0.002223925","-0.635399698"," 0.061784225"," 0.558097233"," 0.145543351","-0.277675794"," 0.385133393"," 0.191862097","-0.034741103"," 0.714187327"," 0.087531263","-0.125105208"," 0.037252670","-0.542041348","-0.254171185"
"M496.906T15.036","-0.119777753","-0.056658496","-0.064927549","-0.285642863","-0.041769359","-0.059141607","-0.434812111","-0.214123182","-0.379359826","-0.047022850","-0.111781124"," 0.587088430","-0.003478758","-0.163929707","-0.072122772","-0.069423100"," 0.629457044","-0.228514528"," 0.021952605","-0.058169756","-0.202059816","-0.255691184","-0.228697568","-0.076721172","-0.206232895"," 0.554247390"," 0.462819595","-0.064107532","-0.030462353","-0.141512336","-0.029115123"," 0.042281390"," 0.545328049","-0.122965719"," 0.605281739","-0.069832574"," 0.539085367","-0.327865216"," 0.578020640","-0.097799097"," 0.568551938","-0.073977097","-0.201872343","-0.048717346","-0.143070548","-0.402758928"
"M516.891T17.488"," 0.119797780","-0.015965886"," 0.020123173","-0.003227982","-0.151059842"," 0.117302148","-0.021538319"," 0.012403925","-0.209287137","-0.123179087","-0.053835862"," 0.622076118","-0.066979428","-0.120977495"," 0.045475953","-0.020592803"," 0.649511891","-0.273298413"," 0.122896150","-0.005736235","-0.994480692"," 0.006679907"," 0.149103683"," 0.143981408","-0.142259606","-0.506759283","-0.069723070"," 0.042888123","-0.041726324"," 0.025489223"," 0.073464027"," 0.189653117","-0.345815105","-0.144881324"," 0.533774707"," 0.112401481"," 0.657767522"," 0.092936001"," 0.498354113","-0.072730053"," 0.358169362","-0.044790821","-0.128891374"," 0.070256375","-0.415926530","-0.690843516"
"M516.892T11.105"," 0.065207029","-0.377447241","-0.139066638","-0.386652522","-0.181290925"," 0.140046363"," 0.297221448","-0.184102162","-0.126284539"," 0.061759376"," 0.009643192"," 0.063627515","-0.141550744","-0.115000642","-0.114459011","-0.166389908","-0.200292753","-0.245875234","-0.169808878","-0.111765839"," 0.898350284","-0.154052141"," 0.022083470","-0.578366350"," 0.176899222"," 0.191403294"," 0.135285179"," 0.095124416"," 0.111739078","-0.299173899","-0.122213096","-0.124568496"," 0.258692250"," 0.045917898"," 0.024825020"," 0.027916773"," 0.108996094","-0.026881297","-0.377473406"," 0.337567899","-0.318529729"," 0.194928789"," 0.056830051"," 0.269095865"," 0.139408785"," 0.928676159"
"M534.88T16.971"," 0.077167614","-0.044616466","-0.270028359"," 0.008979992"," 0.089537251","-0.034200557","-0.172676991","-0.064610450","-0.328365384"," 0.016036575","-0.094972936","-0.114125498","-0.161825875","-0.218084312","-0.198757516","-0.286678066"," 0.621807369","-0.096112543"," 0.050651935"," 0.014495790","-0.025648685"," 0.105081919"," 0.073347281","-0.031035443","-0.142203247"," 0.516281666","-0.232450209"," 0.607137199","-0.062388278","-0.180729466","-0.144475333","-0.076054103","-0.382791400"," 0.053813379"," 0.542715599","-0.186884676"," 0.597022155","-0.693598130"," 0.714516831"," 0.047430088"," 0.581064872"," 0.101129871","-0.099589345","-0.019277338","-0.275880282","-0.180156499"
"M536.899T13.11"," 0.135864878","-0.038728415","-0.249136561","-0.240562292","-0.032895109"," 0.019736854"," 0.134818856","-0.131026848","-0.254418129","-0.113803497"," 0.001172488"," 0.641460720","-0.256726148","-0.562589335"," 0.073497940","-0.203391768","-0.170364449","-0.114241211","-0.186544943","-0.014093526","-0.162504569","-0.040022476","-0.403560483"," 0.609249360","-0.050649361"," 0.128922533"," 0.246526588","-0.226552844","-0.382894526","-0.146633449"," 0.039274084"," 0.168400797"," 0.600146014","-0.137736157"," 0.583682274","-0.261249537"," 0.682583813"," 0.018957235"," 0.677833503","-0.301854130","-0.112502371","-0.010603241"," 0.107448257"," 0.169245270"," 0.077602353","-0.311138444"
"M544.888T18.116"," 0.1374667962"," 0.2015949729"," 0.1277760208","-0.0876824766"," 0.0068440880","-0.0644130653","-0.4892267530","-0.1049860661","-0.1341426433"," 0.0276186861","-0.0812962004"," 0.2159646216","-0.0788714877","-0.0402750956"," 0.0272548491"," 0.0129299572"," 0.0798273606","-0.2922346371"," 0.2199714023"," 0.0349881896","-0.1088372118"," 0.2062549083"," 0.2677718994","-0.0007955898","-0.1807566371","-0.6634067941","-0.3486742620","-0.0154120910"," 0.2868928479"," 0.1946307987"," 0.1762673983"," 0.0792289455","-0.4833334706","-0.1125379424"," 0.2212084328"," 0.1724281680"," 0.2895674598"," 0.1063297366"," 0.7713399188"," 0.1884230596","-0.1236403063"," 0.1045244113","-0.3259796281"," 0.1025657805","-0.5666214491"," 0.0434530979"
"M573.464T1458.338","-0.129743865","-0.370721793"," 0.004911202"," 0.221929984"," 0.125100900"," 0.005554688"," 0.451687192","-0.045631553"," 0.072965709","-0.170114729","-0.593271605","-1.347041180"," 0.494288248"," 0.109176336"," 0.141493981"," 0.587517899","-0.906957633"," 0.186598622"," 0.441080437"," 0.569144340"," 0.625144469"," 0.507379829"," 0.379245004"," 0.692903956"," 0.636485301","-1.135768401"," 0.550153880"," 0.722754269"," 0.410238373"," 0.519296934"," 0.035108233"," 0.121997706"," 0.403405337"," 0.239646605","-1.408112091"," 0.469606229","-2.094424796","-0.985898912","-1.305623433","-0.383697313","-1.190624848"," 0.149158363"," 0.749912502"," 0.675642944"," 0.444150059"," 0.323952619"
"M575.48T1424.867"," 0.08052910","-0.06367119"," 0.20786279"," 0.28750077"," 0.27374489"," 0.06710735"," 0.44103597"," 0.13147709"," 0.25529660"," 0.07153862","-1.23921303","-1.53245357"," 0.52163542"," 0.23817603"," 0.28584151"," 0.70679262","-1.37930130"," 0.30263949"," 0.71806236"," 0.56574966"," 0.82413876"," 0.60160455"," 0.40035439"," 0.51640001"," 0.59600240","-1.77243591"," 0.50088946"," 0.61444225"," 0.46531912"," 0.51603765"," 0.24574668"," 0.17300398"," 0.41462597"," 0.34169879","-2.68144699"," 0.41882358","-2.68543474","-0.67198262","-1.41871990","-0.21771775","-0.54552546"," 0.30268034"," 0.66578961"," 0.47744375"," 0.62366401"," 0.35424689"
"M591.475T1442.976","-0.330549332","-0.222892348","-0.204647795"," 0.094222145"," 0.111838012","-0.467235718"," 0.193051588","-0.256057531"," 0.016279469","-0.174960624","-0.815113693","-1.427166556"," 0.379494563","-0.123359218"," 0.187823515"," 0.623433000","-0.681980317"," 0.124252011"," 0.432666691"," 0.567175960"," 0.619530234"," 0.458132155"," 0.445125602"," 0.655857871"," 0.700607115","-1.152895627"," 0.713862518"," 0.805365062"," 0.285958721"," 0.521892532"," 0.002529403"," 0.190049450"," 0.435270667"," 0.081845455","-1.126786445"," 0.661492482","-1.400645558","-0.395842503","-1.156911813","-0.574579634","-1.222687331"," 0.057996532"," 0.878440216"," 0.700927485"," 0.500905478"," 0.288286113"
"M602.869T15.948","-0.157682351","-0.588535624"," 0.117899056"," 0.087848327","-0.206794820"," 0.021110817","-0.028330015","-0.035146271","-0.248447499","-0.316660959"," 0.037551200"," 0.526299707","-0.317568997"," 0.142554107"," 0.645119684"," 0.002366684"," 0.540419660","-0.591056353"," 0.032473243","-0.598387296"," 0.037166944","-0.213921264","-0.238016861","-0.025868687","-0.079726570"," 0.471171007"," 0.505336404","-0.012783968"," 0.054001431","-0.067714551","-0.015411084"," 0.063418475","-0.319590181","-0.076992614"," 0.469300962","-0.038936885"," 0.443618469","-0.162868677"," 0.486625900"," 0.060274103","-0.150464148","-0.018848374","-0.024224245"," 0.037148880"," 0.380064414","-0.627791183"
"M612.874T18.123"," 0.050303933"," 0.144378399"," 0.044072383","-0.332933261"," 0.014045146"," 0.135550445","-0.040861302","-0.104681347"," 0.005066666"," 0.085625617","-0.134464530"," 0.063534958"," 0.048421150","-0.161352110","-0.065819645"," 0.076840310"," 0.102806355","-0.090874195"," 0.077406196","-0.008339817","-0.095892525"," 0.152290945"," 0.069050431"," 0.071193442","-0.306663473","-0.544990327","-0.277309603"," 0.218308746"," 0.328582069","-0.129434519"," 0.082877742"," 0.136570923","-0.413363094","-0.326708353"," 0.589690852"," 0.405797478"," 0.143782681"," 0.067146968"," 0.700934126"," 0.027438993","-0.105539573"," 0.104926235","-0.218952882"," 0.051767149","-0.495259139","-0.144970638"
