"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"M868.816T18.125"," 0.1596018742"," 0.0056948167"," 0.1847491755","-0.0459172551"," 0.0640965841"," 0.1319730975","-0.2964512283"," 0.0022877998","-0.0883410521","-0.0431015723"," 0.0797704104"," 0.6304089457","-0.0489670784","-0.0002907193"," 0.0268541645"," 0.0315569727"," 0.7707814496"," 0.0008720855"," 0.0781894239"," 0.1467550133"," 0.1552523709"," 0.0370531518"," 0.2128489977"," 0.0792175191","-0.1283907831","-0.2136745031","-0.2972224827"," 0.1176976803","-1.0812694514"," 0.0068220585"," 0.2095960278"," 0.1883384709","-0.3828032025","-0.2934691284","-0.1425709805","-0.0023642897","-0.0995667483","-0.0249042338"," 0.1957784542","-0.0837728287"," 0.0233809713"," 0.0749101508"," 0.0251950111"," 0.1032776083","-0.2191201016","-0.2507626472"
"M868.822T11.111","-0.007291964","-0.177662172"," 0.047422344","-0.528659846","-0.061298492"," 0.010033332","-0.046508129","-0.287421871","-0.224262699","-0.089938132"," 0.215512264","-0.002628261","-0.156185700","-0.136510989"," 0.151542184"," 0.082014013","-0.228263009"," 0.166613017"," 0.220475166"," 0.107036337"," 0.006607338","-0.056755286"," 0.153727523","-0.264005020"," 0.060236030"," 0.390041041"," 0.307046630","-0.209922806","-0.168778604","-0.199633227"," 0.311468147"," 0.155429102"," 0.486100504","-0.132760833","-0.309864585","-0.127493509","-0.155324770","-0.010390725"," 0.225993512","-0.084577640"," 0.112192720"," 0.243012078"," 0.230069837"," 0.176278577"," 0.211810327","-0.404523751"
"M869.819T17.127"," 0.0641181965","-0.1071984741","-0.1301541443","-0.0579943920"," 0.1491670972"," 0.0628485918","-0.1551077450","-0.2231067572"," 0.0428560661"," 0.0428357460"," 0.0396525053"," 0.5340845191"," 0.0005752544","-0.0527955917"," 0.0270809774"," 0.0201724835"," 0.5764700745","-0.0904699531","-0.0710953439"," 0.0476306356"," 0.0740628480"," 0.1129473895"," 0.0451693637"," 0.0971808332","-0.1373526444","-0.5646079847","-0.3146041024"," 0.6497622860"," 0.0095047195","-0.0198554869"," 0.0365152026"," 0.0053141477","-0.4961065718","-0.3119709988","-0.3574285622","-0.0035745803"," 0.6553364104","-0.1239313180","-0.0085335783"," 0.0139490277"," 0.5035160137","-0.3427588224"," 0.0808676710"," 0.1450933367","-0.3354344135","-0.1326299323"
"M869.821T17.042"," 0.057968030","-0.095802722"," 0.038865308","-0.078900185"," 0.395616119"," 0.117704382","-0.382450482","-0.241840615"," 0.162366445"," 0.153574340"," 0.150620863","-0.076036155","-0.006525068","-0.092045692"," 0.270958866"," 0.130423774"," 0.004025132"," 0.005546805"," 0.208166522","-0.788475189"," 0.205321917","-0.489735188"," 0.155410213"," 0.196851451","-0.017247153","-0.418338441"," 0.001073755"," 0.103460812"," 0.037775035"," 0.638416966","-0.552567257"," 0.118230417","-0.353854970"," 0.144671518","-0.266202142"," 0.100767160","-0.067235883","-0.117072109"," 0.726745553"," 0.013561870"," 0.057276369","-0.047082241"," 0.189222496"," 0.241074899","-0.248226591","-0.286058933"
"M869.824T12.108","-0.1635869167"," 0.0589091031"," 0.4770258043","-0.5151154765"," 0.1784825668","-0.1576707518","-0.0367946534","-0.0839973249","-0.0421264805","-0.0077970280"," 0.1113798600","-0.1346114574"," 0.0149057550","-0.3193841374"," 0.0544663212"," 0.1161708206","-0.3456329896","-0.0884016891","-0.4349688587"," 0.6778965740","-0.0369183901"," 0.2010613441","-0.0665906578","-0.3015782549"," 0.2441469449","-0.0711598677"," 0.1745345093","-0.2575873863","-0.0093712802","-0.1476560612"," 0.1423903547","-0.1821077802","-0.1383852264","-0.0248740458"," 1.1479427137","-0.1261223289","-0.2269990486"," 0.0008275605"," 0.1083042163","-0.1082598581","-0.1628742447"," 0.4343692321"," 0.0927756899","-0.0335615920"," 0.4517792830","-0.4632348665"
"M870.834T13.111","-0.048294743","-0.040139444"," 0.019452474","-0.106389349"," 0.271189992"," 0.212238922","-0.053944997","-0.002701028","-0.180517126"," 0.027528459","-0.104307418"," 0.095615268"," 0.052954973"," 0.088269679"," 0.069068494"," 0.030167207","-0.252630861"," 0.002007445"," 0.109545967"," 0.092998589","-0.377929419"," 0.237166299"," 0.194483824"," 0.062937895"," 0.173868769","-0.029812452","-0.112077801"," 0.016914536"," 0.193142886","-0.239831609"," 0.131572528"," 0.158791798","-0.182033106"," 0.027011078","-0.110763464"," 0.050183070","-0.148869754","-0.057344192"," 0.037782197"," 0.143393789","-0.232679380"," 0.181829658","-0.071195567"," 0.108912395","-0.203579168","-0.233987313"
"M871.491T17.124","-0.014982504","-0.078733974"," 0.250716276"," 0.355954559","-0.159780562"," 0.036296479","-0.091362142","-0.203248170","-0.098053136","-0.086405308","-0.207328216","-0.043356828","-0.166253938","-0.056486666","-0.165385601","-0.048283960"," 0.007413061","-0.137884163","-0.054489226"," 0.082905850","-0.081665221"," 0.140747708"," 0.415491904"," 0.088806563"," 0.039608226","-0.623907241","-0.585213024"," 0.904857115","-0.157747542"," 0.184197777"," 0.377471387","-0.112843164","-0.018732340","-0.151290004","-0.061365573","-0.086063027"," 0.993759110","-0.085631840","-0.044358419"," 0.132137597","-0.059335753"," 0.353407382","-0.198256193"," 0.068706586","-0.620718446"," 0.066684603"
"M871.83T16.541"," 0.011268568"," 0.015528753","-0.201113844","-0.037003570","-0.053810626"," 0.086178058","-0.498486660"," 0.801534611","-0.103786263"," 0.084992415","-0.052933016"," 0.121060984","-0.099007944"," 0.004451595","-0.018607792"," 0.036826333"," 0.058867335","-0.098245729"," 0.051085226"," 0.077280764"," 0.062619319"," 0.039013731","-0.274207496","-0.039177893","-0.042997392"," 0.842861393","-0.311057576"," 0.030113079"," 0.131805274"," 0.259037204"," 0.039310365"," 0.154947623"," 0.617351629","-0.485223251","-0.358003471"," 0.013783056","-0.420724900"," 0.140336761"," 0.122328799","-0.367244036","-0.024228284"," 0.155637224"," 0.098919960"," 0.019959580","-0.415131357","-0.176108542"
"M875.812T18.123"," 0.30414426"," 0.14400882"," 0.16546776","-0.03165729"," 0.27003848"," 0.35793918","-0.32236733"," 0.16620513","-0.15597298"," 0.30558059","-0.03025657"," 0.13790429"," 0.16313624"," 0.01176049"," 0.15321500"," 0.17143837","-0.34520825","-0.04757897"," 0.17985752"," 0.16930434","-0.31427961"," 0.28908104"," 0.32768324"," 0.11388896","-0.03897053","-0.85212615","-0.21661376"," 0.12748951"," 0.34608766","-0.60178805"," 0.24571735","-0.17717933","-0.54897147","-0.25361329","-0.35034789"," 0.18475509","-0.22365827"," 0.24742031"," 0.16755482","-0.39599562","-0.05483919"," 0.28061858"," 0.04991896"," 0.08501937","-0.36280499"," 0.15899415"
"M875.822T12.11"," 0.2112294767","-0.0712303760","-0.1636752744","-0.0136322050","-0.0831238929","-0.2094701411","-0.0003820404","-0.0907594214","-0.0692692320","-0.1193468482","-0.0691097291"," 0.9475114399","-0.1246652755","-0.1278110814","-0.1637195351","-0.1961163487","-0.2745082610","-0.2216152274"," 0.0914641368","-0.1738550207","-0.1973994631","-0.0621607276","-0.0847277101","-0.0616438017"," 0.1990276739"," 0.1636901839"," 0.8129115361","-0.2424283558"," 1.0187859708","-0.3399307338","-0.0752960260"," 0.1064252561","-0.0330082598","-0.3120128536","-0.0750321225","-0.0798695966","-0.2140968308"," 0.0057585995","-0.1616092395"," 0.0853874287"," 0.8575936490","-0.0033710499"," 0.1098090674"," 0.0868818323"," 0.1074007779","-0.6890003480"
"M876.835T12.141","-0.17318733","-0.16669518","-0.16179232","-0.02842187","-0.16615389"," 0.25198847","-0.05348626","-0.25748700","-0.13518418","-0.17524709","-0.01711171","-0.20871319","-0.19140344","-0.24726883","-0.15473964","-0.21108499"," 0.77458495","-0.17450681","-0.07492055"," 0.32023180","-0.40925800","-0.21014208","-0.08568720","-0.56162821"," 0.02046324"," 0.83137115"," 0.12237616"," 0.23510675","-0.15358816","-0.21702995","-0.13804598","-0.15371018","-0.09308169","-0.25748657"," 0.74977747","-0.11793508"," 0.84832425","-0.15980734"," 0.82106160","-0.16714032"," 0.73872774","-0.06706398"," 0.07708041","-0.12361281","-0.05911779","-0.21935436"
"M878.161T13.584"," 0.112073992"," 0.284865830"," 0.143156820"," 0.137314953","-0.050175360"," 0.192966097"," 0.035107655","-0.122682876","-0.129778263"," 0.060134521","-0.154016833","-0.106560238"," 0.104277944","-0.121830961"," 0.188549936"," 0.291545074","-0.075047739","-0.235851900"," 0.067014394"," 0.277266977","-0.089336800","-0.579605764"," 0.185783542","-0.803905428","-0.002731681","-0.053466361"," 0.068011659"," 0.013936744"," 0.061040775","-0.033427506"," 0.149534116","-0.005809870","-0.278210786"," 0.148445845"," 0.128415974"," 0.107363866"," 0.032665728"," 0.129204285"," 0.172743017","-0.019764353"," 0.045969656"," 0.180491146","-0.033329022"," 0.204536297"," 0.148704139","-0.775589242"
