"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"M1064.785T17.122",0.00764,-0.074847,0.021659,0.0016226,-0.028485,0.016576,-0.017673,0.0035984,0.029385,0.0033063,-0.0017933,0.033551,0.029254,0.021732,0.057712,0.036742,-0.050028,0.072969,0.016988,0.048512,0.028933,0.02963,0.015052,-0.019476,-0.056666,-0.026513,0.031833,0.0096454,0.039864,0.034384,-0.0097749,-0.05756,0.056432,0.046212,0.0095649,-0.0038148,0.0077918,0.00082424,0.031988,-0.099909,0.039162,0.083672,-0.059193,0.030476,0.0067344,-0.0026941
"M1064.789T12.169",0.02381,0.040788,-0.039196,-0.029915,-0.021665,0.035987,0.021664,0.0085863,0.031231,-0.00081261,-0.022718,0.010279,0.012029,-0.059577,0.062018,0.0019244,-0.012247,-0.059192,-0.022572,-0.076,-0.037263,-0.013701,-0.016955,-0.053575,0.0077803,0.017015,-0.0007759,0.010972,0.051479,0.01727,0.055498,-0.034845,-0.067722,-0.034028,0.0026101,-0.00010521,-0.008562,-0.0028773,-0.041485,-0.017423,0.040798,-0.0096612,-0.019311,-0.026376,-0.086999,0.0030248
"M1064.793T12.109",-0.056718,0.036541,-0.043941,0.0090235,-0.023376,-0.062082,-0.026005,-0.00085593,-0.044474,-0.063895,-0.075739,-0.05973,-0.0025797,-0.036899,-0.038921,0.044646,-0.00091451,0.059315,0.034598,-0.0026568,-0.030542,0.00043725,-0.03326,-0.028493,-0.016366,-0.012288,-0.069033,0.014455,0.073418,0.044507,0.067902,-0.067877,0.028189,-0.11504,0.13806,0.014112,0.011754,0.018296,0.029265,0.0074699,-0.017049,0.0065347,-0.043996,0.014894,-0.092033,0.02611
"M1066.291T13.111",0.0055364,-0.029557,-0.020507,0.020904,-0.019526,0.023454,0.027569,-0.00083154,0.0022278,-0.012632,0.0069233,0.032816,-0.03071,0.019624,0.00025355,0.042826,-0.018419,-0.0061915,0.0558,0.051811,-0.0060897,0.0057017,0.029849,-0.029162,0.00070626,-0.022878,-0.0051373,-0.027881,0.016921,-0.023181,-0.01712,0.0079897,0.0073013,-0.03906,0.03607,0.030028,0.0096663,0.014571,0.028742,0.018008,-0.010344,-0.054577,0.025727,0.074827,0.030836,0.012456
"M1067.787T17.122",0.011213,-0.078467,-0.0032794,0.046224,-0.028564,0.0022067,-0.011543,-0.059105,0.0030807,-0.057106,0.054682,-0.029446,0.026755,0.034227,0.040789,-0.00072524,-0.033112,0.021716,-0.0096187,-0.010318,0.033671,-0.010919,-0.053785,-0.027109,0.012664,-0.025709,0.0038088,0.048502,0.019005,0.049137,0.0018041,0.10354,-0.0031737,-0.042117,-0.126,0.027125,0.072025,-0.011298,-0.020938,-0.043552,0.0014365,0.0016262,-0.0055715,-0.006298,0.035543,0.0066417
"M1069.799T12.107",-0.018044,0.025396,-0.068749,-0.013804,-0.012709,-0.058114,-0.066236,-0.01198,0.13227,-0.0063386,-0.09178,-0.049845,0.00082508,0.046614,-0.032816,-0.049264,-0.0086037,0.018769,0.023757,0.04399,-0.058241,0.015986,-0.031699,-0.04732,-0.044529,0.01289,0.054723,0.041154,-0.0085163,0.010963,-0.02619,-0.038848,-0.027577,0.032902,-0.016455,-0.014116,-0.071245,0.016318,0.013664,-0.00028225,-0.0004858,-0.062148,-0.021764,-0.0088309,-0.043705,-0.0028697
"M1072.289T13.111",0.0011906,-0.0020593,-0.02348,-0.034221,0.0096487,0.0032136,-0.033483,-0.040995,0.011748,-0.011653,0.056543,0.0024917,0.022965,-0.0073176,0.011326,0.075727,0.072165,0.051759,-0.043081,0.053133,-0.0036057,0.026708,0.0058501,0.051691,-0.097484,0.079322,0.0052279,-0.023826,0.022896,-0.016594,-0.043085,-0.0099903,0.03405,0.0037091,0.024893,0.083427,-0.024006,0.038595,-0.085891,-0.012329,-0.028155,-0.034929,0.011281,-0.030333,-0.0094217,5.7568e-05
"M1072.785T17.12",0.0065511,-0.076955,0.020286,0.017432,-0.014698,0.018231,-0.012724,-0.036639,0.042484,-0.048948,0.041018,-0.019379,-0.015923,0.028461,0.0070958,0.039166,-0.0093877,-0.066092,-0.0020725,-0.0021191,0.060342,0.021834,-0.033874,-0.052675,-0.049956,-0.034286,-0.027811,0.022635,0.03572,-0.096082,-0.010967,-0.023134,-0.022295,0.066668,-0.034729,0.030286,-0.0071614,-0.049881,-0.067183,0.096782,0.062905,-0.029388,-0.010608,0.034136,-0.049456,0.017754
"M1072.791T12.666",-0.012115,0.037973,-0.074296,-0.024709,0.004816,-0.0087329,-0.010173,-0.0089528,0.012135,0.030663,0.033865,0.059246,-0.047814,0.060941,0.014679,0.012033,0.055358,0.067941,0.017164,0.062419,-0.025331,0.0077566,-0.035016,-0.0012382,-0.05892,-0.0086729,-0.044407,0.040431,-0.0071802,0.0045238,-0.020519,-0.010794,-0.016245,-0.014504,0.047693,0.001878,0.02501,-0.0020153,-0.0038088,-0.044207,0.066598,-0.026011,-0.017069,0.065737,-0.016748,-0.030669
"M1073.787T12.113",-0.063819,0.0077534,-0.036387,-0.051585,0.059139,-0.073321,-0.065571,0.051623,-0.06254,-0.021478,0.016534,-0.064003,0.004734,0.008281,0.060531,0.0014461,0.022941,-0.028784,-0.0024154,0.029004,0.019643,-0.035047,0.016987,0.0025457,-0.074578,-0.013687,0.019746,0.032828,0.0017611,0.030073,-0.03804,-0.0058847,0.010097,0.026919,-0.013783,-0.047014,-0.01526,0.027598,0.044166,0.021643,-0.010696,-0.05619,0.0001114,0.01475,-0.025615,-0.015913
