"","C9.1","C9.2","C9.3","C9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","F9.4","X9.1","X9.2","X9.3","X9.4","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3","BLANK_2_Dup1","BLANK_2_Dup2","BLANK_2_Dup3","BLANK_2","QC.1.Dup","QC.1","QC.2","QC.3","C15.1","C15.2","C15.3","C15.4","D15.1","D15.2","D15.3","D15.4","F15.1","F15.2","F15.3","F15.4","X15.1","X15.2","X15.3","X15.4"
"Label","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","First","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Second","Test","Test","Test","Test","Test","Test","Test","Test","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third","Third"
"M1460.051T13.111","22441.122","20065.523","21687.108","21138.404","20066.513","20466.956","20567.518","22321.537","22119.688","22517.852","20332.712","22890.43","22012.619","22655.982","22271.764","19417.789","19974.6971","19426.104","21486.458","22100.544","20254.403","20223.294","22631.251","20784.082","22903.248","16985.872","19990.485","19196.504","20468.133","19116.033","18260.998","18260.998","18260.998","18260.998","18798.149","18798.149","21389.42","20229.634","20523.734","21604.472","18713.636","19862.942","19782.593","22014.549","20525.351","21483.721","23916.4519","19798.758","20294.249","21388.898","21556.438","20650.768","19983.496","24536.297"
"M1461.717T12.108","12499.7","12138.627","10977.622","12344.525","12669.391","11590.627","11817.643","12761.687","11276.279","11511.239","12446.176","14061.229","11627.105","11778.987","12985.7","12075.836","10728.793","12539.436","11798.467","11714.033","10345.885","13864.333","12113.74","10956.471","12723.884","10729.259","10994.791","6961.438","11780.415","10915.165","10927.026","10927.026","10927.026","10927.026","14227.268","14227.268","10890.574","13129.821","11924.104","11898.559","11292.626","12100.857","11742.667","12072.832","11898.74","11461.413","11491.0765","11243.828","13311.951","12960.492","12334.54","13246.257","11318.594","9236.565"
"M1464.714T13.136","19933.622","16589.62","16129.971","18162.55","16102.942","18113.481","17051.587","16903.976","16620.432","18168.279","16526.623","17109.107","16690.262","15841.382","16517.609","17957.372","15418.2387","16273.264","14887.247","16934.529","15165.82","16497.332","17937.176","16104.519","15899.87","12654.484","15491.776","16977.584","17594.178","15709.183","16093.836","16093.836","16093.836","16093.836","16898.865","16898.865","15307.627","18629.664","15971.822","17529.994","14295.541","16830.668","15929.686","17021.527","18036.154","17165.217","17632.3814","16716.507","17759.871","17543.297","15810.542","17843.756","13919.404","18946.602"
"M1467.38T13.11","15719.237","14509.994","14594.333","14282.631","14296.087","15606.077","12453.271","13839.999","9873.897","15647.29","15664.295","15280.362","9630.891","14471.038","14235.163","15188.684","13376.9032","13396.863","13888.589","15215.196","11779.432","14158.054","15544.884","13302.466","13104.046","11675.215","13829.76","14480.111","14948.008","12502.828","11327.156","11327.156","11327.156","11327.156","12920.971","12920.971","13201.645","12297.424","15155.275","13053.602","12078.274","13644.785","13641.102","13561.867","16267.736","13755.852","14051.8833","14059.494","12905.333","14913.307","12369.093","13901.976","13883.307","17649.624"
"M1470.717T14.622","12236.992","12365.012","12659.513","9630.261","12186.271","13013.65","12549.293","11135.138","10895.502","12844.626","11914.717","13110.709","10877.443","9390.086","12340.423","13288.43","11233.6774","12816.042","9367.883","12538.569","10814.777","11221.486","12885.635","10999","11469.35","9972.697","10072.88","10288.195","12410.02","11113.279","11081.565","11081.565","11081.565","11081.565","13879.427","13879.427","11055.298","12528.088","12662.464","12315.49","10614.211","10876.348","12327.202","11658.703","10935.18","12372.386","11663.5128","12291.862","12167.031","13570.038","13063.176","12920.124","10645.163","12434.72"
"M1470.72T12.108","12957.993","13437.176","11936.642","10829.401","12651.023","13638.716","12842.627","11595.837","11407.625","13388.102","12589.994","11914.026","11424.245","10698.602","12830.553","13688.964","11943.5114","13010.595","9525.818","12538.987","10851.314","11220.26","13487.473","11345.929","10692.733","10126.157","10069.596","10330.4","11792.94","11556.517","11114.375","11114.375","11114.375","11114.375","13121.798","13121.798","11521.408","8545.56","12660.844","12804.831","9546.993","11344.459","12944.874","11596.058","11605.789","12372.363","12550.1658","12985.698","12584.504","13568.297","11845.152","12950.038","11404.647","11876.477"
"M1472.709T14.053","13864.598","11124.934","12566.1","12731.513","11914.018","11613.167","12187.816","11619.803","10978.539","12448.254","12100.907","12909.032","12869.127","12403.065","12386.339","13158.19","13096.4695","12287.665","12454.72","11491.731","7054.763","11252.358","12801.898","10837.642","11182.325","10411.109","10381.91","12255.853","11692.097","12880.129","11152.179","11152.179","11152.179","11152.179","14589.725","14589.725","11699.728","11910.144","11433.077","11155.475","9693.189","11316.174","12436.951","7399.603","11432.933","11977.073","11708.6159","11515.161","12033.796","11614.495","11724.855","12384.384","12553.933","12664.105"
"M1472.714T13.108","9214.033","11124.934","13238.4","12404.361","11914.018","11613.167","11030.994","11620.446","10955.79","12448.254","12100.907","12909.032","12869.127","12403.065","12386.339","13158.19","13879.4169","12287.665","12454.72","11491.731","10764.691","11252.358","8822","10837.642","11182.325","10392.198","10381.91","12255.853","11810.257","12847.645","11129.118","11129.118","11129.118","11129.118","14589.725","14589.725","8453.284","11910.144","11433.077","11155.475","9693.189","11291.336","11646.878","13691.941","12075.491","11977.073","11708.6159","11515.161","12033.796","11614.495","11724.855","6589.71","12553.933","13327.419"
"M1473.715T13.11","31141.144","30405.918","31704.89","32472.048","31927.246","31870.428","29224.956","29105.66","29764.147","33226.636","31375.321","32976.142","32775.713","31830.039","31015.352","32504.039","28326.8565","32592.622","31858.478","29822.493","28152.71","29696.675","28703.511","30138.817","31730.424","25200.28","27872.707","29986.378","33962.28","29053.193","26009.15","26009.15","26009.15","26009.15","28044.047","28044.047","30441.033","30375.078","29897.515","31609.402","27040.928","29720.748","31056.029","29162.082","31116.479","29225.343","32030.9901","31257.043","34254.474","29106.585","29713.564","29490.432","27191.499","36112.033"
"M1474.048T13.111","22874.418","23038.91","21479.577","22364.534","23653.626","23026.584","20601.055","23712.9","22962.307","22504.31","21675.754","21529.174","22983.03","22843.368","22894.988","23406.589","21420.8802","25457.173","19556.496","24159.263","20849.619","21084.378","25661.942","21447.718","22320.762","17817.441","22286.446","20877.508","24424.469","23346.091","21141.431","21141.431","21141.431","21141.431","21041.059","21041.059","23942.992","22031.707","20529.75","23689.852","19711.647","23563.877","22479.963","22057.1","22508.63","20977.486","23152.585","23401.004","24574.848","24160.25","21002.655","21610.922","19857.676","26280.167"
