"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15"
"M589.459T1264.044",0.0036678,0.0041846,-0.0044452,-0.020288,0.026031,0.02884,-0.059616,0.0021574,0.0064609,0.022964,-0.032128,0.013155,-0.00028824,0.018032,-0.010114
"M633.478T1401.37",-0.0011995,-0.027604,-0.01825,-0.0097101,0.017066,-0.0067641,-0.0093486,-0.022331,-0.0099424,-0.011628,-0.01184,-0.007451,0.0061132,0.0079454,0.0039715
"M646.455T1423.013",0.010501,-0.014246,-0.020977,-0.019107,-0.013558,0.008292,-0.053304,0.016259,-0.0138,0.03492,-0.0018268,-0.015191,-0.033682,0.011412,0.0050363
"M881.484T1273.289",-0.0057101,-0.01164,-0.024442,-0.0032242,0.007402,-0.031508,0.022179,0.021489,0.012998,0.0054421,0.017176,-0.0018811,0.0021365,-0.00073896,0.0054503
"M637.412T1422.711",0.011414,-0.017316,-0.021454,-0.00523,0.0063639,0.0054145,-0.023264,0.0029429,-0.0014738,-0.01593,0.0066439,0.010657,-0.013233,0.0072057,-0.00081254
"M591.474T1330.445",0.010313,-0.024582,-0.019111,-0.012556,0.0082371,0.0005815,-0.033985,-0.0090976,0.017649,-0.0022627,-0.01307,0.011294,0.0040825,0.0082634,0.0059437
"M645.45T1333.909",-0.0026102,-0.009128,-0.01479,-0.021651,0.013378,0.0055963,-0.039062,0.0025993,0.015141,0.013322,0.011842,-0.0083524,-0.01447,0.011173,0.004797
"M826.523T1305.342",0.0007972,-0.016409,-0.0023685,-0.030037,0.0014888,-0.017521,0.0058125,0.0087814,0.011279,-0.0057271,0.0072016,-0.01106,-0.013335,-0.008421,0.00082714
"M593.485T1401.37",-0.00061419,-0.026846,-0.010906,-0.0009537,-0.0087844,-0.0062167,-0.014943,-0.0033926,0.022236,-0.0066707,-0.015443,0.0039566,0.021056,-0.0039199,-0.0034509
"M591.474T1402.346",0.010515,-0.026899,-0.019682,-0.01381,0.0094303,-0.00074724,-0.031047,-0.010046,0.018144,-0.0031507,-0.0073612,0.0049257,0.0034463,0.0040273,-0.0025867
"M1123.351T817.469",0.015737,-0.0058827,0.0081581,-0.015521,0.026231,0.039863,0.0078386,0.0073764,-0.012502,-0.018916,0.037796,0.036776,-0.0033713,0.0072795,0.0034277
"M645.458T1212.039",-0.0028013,-0.0036703,-0.0087473,-0.03039,0.019546,-0.0018821,-0.030791,0.0056901,0.0093158,0.019075,0.016514,0.0059319,-0.0058245,0.0068618,0.0092499
"M555.363T1275.021",-6.7699e-05,0.0016152,0.0289,-0.012633,0.0015931,0.022272,-0.032957,-0.0070415,-0.0058751,0.051654,0.024268,0.021473,0.0076039,0.018683,0.00058617
"M277.217T1187.469",-0.014402,0.0028906,0.075655,0.010643,0.020011,0.030525,0.01795,0.012431,-0.029134,-0.0096236,0.008561,-0.015607,0.0063512,0.02345,-0.0059528
"M670.528T1488.279",0.016161,-0.016458,-0.028751,-0.0088235,-0.0065641,0.0089402,-0.034229,-0.0038218,0.013023,-0.0051397,-0.0079109,0.0096318,-0.012496,0.0012824,-0.0030105
"M679.449T1212.039",0.0046583,-0.011537,-0.011114,-0.016744,0.0060193,0.040023,-0.033888,0.0012598,-0.013199,0.011225,0.026071,0.012447,0.00046512,0.013011,0.0087366
"M697.464T1209.593",0.0098092,-0.023564,-0.014259,-0.02735,0.012338,0.015197,-0.0079949,0.0066938,-0.0043346,0.022157,0.03545,0.010955,-0.0067662,0.025485,-0.0037661
"M985.571T1146.934",-0.0028697,0.02305,0.011085,-0.013067,0.023122,-0.023681,0.0072861,0.0066111,0.0023927,-0.0061752,0.0094532,0.036808,-0.0050189,-0.0042539,-0.0019576
"M424.216T1338.866",-0.013204,-0.0088053,0.024187,0.012421,-0.0027479,0.0044395,-0.015954,0.025176,0.014591,0.012314,0.024499,-0.029851,-0.027339,0.0075575,0.00076379
"M565.409T1275.021",0.0015603,-0.023587,-0.022266,0.0013277,0.015916,-0.00023695,-0.043288,0.0065239,0.018305,-0.011458,0.02887,0.0085411,-0.0089701,0.0023766,0.0044286
"M698.466T1253.346",0.0085623,-0.018157,-0.016902,-0.029878,0.0019696,0.026472,-0.014894,0.011665,-9e-04,0.01458,0.022403,0.011175,0.005441,0.033362,0.002015
"M661.446T1372.452",0.0060907,-0.015636,-0.020714,-0.018605,0.011484,0.019877,-0.042812,0.020867,0.0057195,0.031103,0.0047165,0.0040137,-0.0096444,0.0076097,0.0072513
"M695.45T1338.973",0.0095774,-0.01865,-0.024964,-0.005793,-0.0027485,0.031039,-0.048888,0.010545,-0.00083625,0.0088037,0.016695,0.020845,-0.0085684,0.020719,0.0041999
"M593.49T1490.213",-0.0011218,-0.027968,-0.010802,0.00017729,-0.0095812,-0.0060635,-0.013786,-0.0072512,0.018245,-0.0094938,-0.017256,0.0028119,0.020783,-0.0079804,-0.0043927
"M951.567T1289.006",-0.013638,-0.014051,-0.026157,-0.012192,0.037541,-0.014815,-0.0038415,0.024267,-0.01194,-0.014486,0.0058468,-0.0043078,-0.014062,-0.022312,0.0052866
"M593.489T1431.043",-0.0010688,-0.026559,-0.011375,0.0012347,-0.0068088,-0.0065109,-0.015589,-0.0069945,0.021806,-0.0084086,-0.013941,0.0020899,0.019325,-0.0055746,0.0034606
"M639.424T1291.55",-0.0012035,-0.0089797,-0.016978,-0.0092318,0.022068,-0.020128,-0.016144,-0.0022478,-0.016116,0.011049,-0.022453,0.027029,-0.012407,0.036119,-0.0010878
"M986.591T1195.638",-0.01314,0.018019,0.0085558,-0.0098455,0.038346,-0.028426,0.0070184,-0.0033818,0.010638,-0.008664,-0.0029883,-2.2116e-05,0.0020168,-0.012042,-0.00092959
"M591.473T1440.13",0.010342,-0.025584,-0.022045,-0.016889,-0.0019944,0.0048367,-0.032659,-0.0029803,0.025864,0.0029473,-0.012926,0.012658,0.0013195,0.0058749,0.0062034
"M590.465T1389.456",0.01751,-0.0095168,-0.018396,-0.01768,-0.012563,0.012178,-0.042928,-0.015245,-0.011509,0.0050295,-0.0089933,-0.0076098,-0.0057289,0.038457,0.00018726
"M631.469T1330.308",0.0040139,0.0052809,-0.0091807,-0.014693,0.058305,-0.0064586,-0.023722,-0.048023,0.016279,0.021663,0.00018633,-0.014754,0.0022881,0.015602,0.0096178
"M637.415T1439.736",0.0089526,-0.019513,-0.019383,-0.0027398,0.011541,0.007022,-0.021393,0.006269,-0.009228,-0.018172,0.01267,0.01857,-0.01897,0.0016466,-0.00094625
"M759.217T1590.788",-0.0048723,0.0080941,0.0099365,0.0047756,0.021311,-0.00065898,0.03059,0.09891,-0.0093508,0.0029865,-0.0029739,0.022858,-0.015388,0.036918,0.0044783
"M711.441T1125.643",-0.0019581,0.0045095,0.0010131,-0.020619,0.011224,0.032777,-0.044268,-0.022704,-0.042698,-0.016926,0.014492,0.002123,-0.024661,0.053741,0.0012352
"M810.527T1193.498",-0.0047242,-0.016334,0.0078094,-0.017698,0.012723,0.010063,0.028876,0.011119,-0.0004887,0.0063746,0.037181,-0.0038128,0.0068711,-0.028002,-0.0050195
"M646.453T1439.754",0.0017325,-0.015643,-0.022899,-0.018236,0.0044377,-0.00054752,-0.015644,0.0054944,0.011856,0.018308,0.0043804,-0.00044463,-0.024878,0.011642,9.787e-05
"M379.265T1372.423",-0.0020768,-0.0014387,-5.9194e-05,-0.010236,0.030816,-0.00060198,-0.0076711,-0.043671,-0.031663,0.0012617,0.016505,-0.022475,0.0051891,-0.044399,0.0039201
"M926.605T1358.969",-0.0074113,-0.033049,0.01285,-0.0213,0.015662,-0.020738,-0.03694,0.025305,0.036963,0.019458,-0.047842,-0.028124,-0.047291,-0.011844,-0.012746
