"","filter","C12.1","C12.3","C12.4","F12.1","F12.2","F12.3","F12.4"
"M684.476T1302.601",37979.43775,13097.9795,73296.677,89611.488,70200,63881.172,6989.1055,54439.822
"M331.187T1104.601",163571.199,23353.744,294471.293,357966.739,171000,230103.078,26853.907,170578.066
"M549.424T1386.472",217485.3155,81933.5463,177754.677,268521.32,485000,370673.474,94674.485,336726.319
"M423.211T1338.363",91239.21015,122076.2597,310222.07,269250.678,191000,179991.11,94977.372,215295.112
"M886.353T1006.792",51699.49345,9396.4631,35386.349,54429.982,73200,74981.799,7985.6678,82175.224
"M585.283T918.479",28452.62825,4197.5368,57708.363,67834.892,27600,29533.315,4625.1565,25711.265
"M956.379T959.199",70587.8126,14181.0908,48687.792,84594.569,92900,115383.971,7025.1252,111144.508
"M329.157T1608.526",29300.8726,122997.5359,94952.883,85513.005,123000,148481.04,128071.1241,160809.376
"M549.19T901.604",263571.2081,656.37016,102832.656,274541.633,315000,318256.923,3281.8508,426018.396
"M822.526T1212.039",127900.896,20208.255,210598.901,205964.119,151000,102818.522,16834.8815,172864.45
"M351.108T857.905",99489.71565,21445.2347,289118.119,176069.92,109000,128616.234,16492.6358,153354.746
"M640.557T1608.472",39520.4355,52851.229,54887.321,61274.378,91400,95379.421,45035.0672,115510.812
"M423.212T1319.031",85223.09065,126128.3267,320811.701,278610.073,165000,179869.195,100973.0051,182964.435
"M541.474T1573.977",170020.71755,5777.828,52112.167,58834.071,227000,261700.702,9605.7539,174759.356
"M519.225T1025.439",124875.66565,2596.0179,34676.039,129507.647,116000,237803.141,8510.0997,163429.823
"M817.32T1025.439",53602.74605,4833.8009,10536.783,41665.759,48900,86247.989,4066.658,73676.076
"M629.459T1473.698",152415.97475,154737.2125,288053.576,279524.287,432000,338296.082,97407.3634,400797.367
"M847.517T1163.004",470482.1593,2174.9207,874899.681,875194.389,117000,102017.624,6572.7834,174655.045
"M898.349T936.403",62947.0043,9190.3884,48918.711,69643.952,80100,103903.108,8246.6208,112179.365
"M652.416T1356.524",144570.9938,28020.5514,162743.201,209119.406,233000,253448.438,17937.724,246905.74
"M449.365T1540.699",132245.6745,155479.3609,174479.126,204876.936,341000,277249.221,156073.219,317794.473
"M537.533T1295.888",25976.27025,8050.1714,68647.361,58469.949,7970,8347.275,9502.7629,1594
"M561.396T1195.638",35473.0932,17371.921,85726.851,778915.499,57000,41886.214,34395.2096,37385.455
"M530.218T901.604",137871.70535,1903.1543,39487.65,108556.667,137000,180134.215,1509.4282,181839.103
"M812.538T1253.346",30680.8485,24249.117,81771.399,99545.275,41800,37960.585,11133.278,39303.614
"M495.298T1036.333",86803.94055,3108.3069,141614.109,135255.078,28300,41769.5,621.66138,69761.11
"M367.15T410.425",28576.2066,23149.3148,39264.813,73062.191,26100,67136.915,21682.0108,28918.809
"M589.228T896.878",54129.4045,2019.5915,24321.582,49432.362,52800,83163.393,3383.002,102191.767
"M617.489T1624.961",220716.9257,89331.7896,117002.527,178159.556,325000,322768.168,71725.8192,467331.438
"M535.409T1440.116",112113.9216,109958.9858,99747.134,110307.357,215000,273711.83,52800.0806,218933.963
"M673.432T1355.711",89266.3328,13628.2601,163104.37,174641.862,174000,150591.258,19517.9384,194914.761
"M817.317T940.819",117301.6601,14439.3851,44197.551,97452.08,160000,200632.057,30482.1778,149283.049
"M438.146T926.75",72132.3569,3205.8092,50703.909,69619.004,93700,104474.432,2844.2707,110000.288
"M535.375T1490.352",115513.88745,127001.4741,120584.546,172386.853,247000,231613.795,79513.8467,263495.049
"M808.52T1220.972",63039.46685,8213.0399,120697.147,159858.192,30800,45389.747,10077.1133,46258.9
"M577.49T1591.335",118357.4219,135842.0042,152439.223,164729.178,270000,254996.071,102007.6504,309666.434
"M1059.419T884.787",205913.52125,810.8953,71001.183,205845.58,233000,251100.083,1271.8575,351432.379
"M813.332T1056.081",53045.7846,3272.8688,11942.724,42455.745,67200,87189.783,654.57376,54107.162
"M869.334T919.017",95336.17805,13744.4729,53492.947,107737.704,152000,139916.306,12469.3783,117993.47
"M449.347T1490.033",117445.8075,113243.658,110810.716,125642.701,253000,214091.118,104197.3027,244854.871
"M374.303T1319.161",53214.6484,67083.7649,103723.931,112107.063,37300,46823.164,27078.3991,17076.367
"M504.265T1099.137",140644.38555,8042.4331,280340.786,278250.498,115000,101751.407,12353.5359,99608.191
"M479.188T913.185",181040.6812,760.3332,29252.107,50165.806,197000,303139.477,3816.3356,198149.805
"M291.195T1053.001",178377.0214,3826.4803,285157.375,352887.774,114000,183139.386,9053.3052,194649.973
"M821.505T1179.269",121670.92,31978.847,262457.535,244059.415,163000,159894.235,31978.847,191155.507
"M820.327T1006.792",60499.03865,1367.9568,22036.529,48770.183,79800,92224.196,1709.2317,64943.838
"M764.518T1295.888",108965.33925,66300.1355,170012.442,262870.922,142000,157640.652,16302.922,256218.372
