"","C12.1","C12.3","C12.4","F12.1","F12.2","F12.3","F12.4"
"Label","Control","Control","Control","Fusarium","Fusarium","Fusarium","Fusarium"
"M684.476T1302.601","13097.979","73296.677","89611.488","70200.000","63881.172"," 6989.105","54439.822"
"M331.187T1104.601"," 23353.74","294471.29","357966.74","171000.00","230103.08"," 26853.91","170578.07"
"M549.424T1386.472"," 81933.55","177754.68","268521.32","485000.00","370673.47"," 94674.49","336726.32"
"M423.211T1338.363","122076.26","310222.07","269250.68","191000.00","179991.11"," 94977.37","215295.11"
"M886.353T1006.792"," 9396.463","35386.349","54429.982","73200.000","74981.799"," 7985.668","82175.224"
"M585.283T918.479"," 4197.537","57708.363","67834.892","27600.000","29533.315"," 4625.157","25711.265"
"M956.379T959.199"," 14181.091"," 48687.792"," 84594.569"," 92900.000","115383.971","  7025.125","111144.508"
"M329.157T1608.526","122997.54"," 94952.88"," 85513.01","123000.00","148481.04","128071.12","160809.38"
"M549.19T901.604","     0.000","102832.656","274541.633","315000.000","318256.923","  3281.851","426018.396"
"M822.526T1212.039"," 20208.26","210598.90","205964.12","151000.00","102818.52"," 16834.88","172864.45"
"M351.108T857.905"," 21445.23","289118.12","176069.92","109000.00","128616.23"," 16492.64","153354.75"
"M640.557T1608.472"," 52851.23"," 54887.32"," 61274.38"," 91400.00"," 95379.42"," 45035.07","115510.81"
"M423.212T1319.031","126128.3","320811.7","278610.1","165000.0","179869.2","100973.0","182964.4"
"M541.474T1573.977","  5777.828"," 52112.167"," 58834.071","227000.000","261700.702","  9605.754","174759.356"
"M519.225T1025.439","  2596.018"," 34676.039","129507.647","116000.000","237803.141","  8510.100","163429.823"
"M817.32T1025.439"," 4833.801","10536.783","41665.759","48900.000","86247.989"," 4066.658","73676.076"
"M629.459T1473.698","154737.21","288053.58","279524.29","432000.00","338296.08"," 97407.36","400797.37"
"M847.517T1163.004","  2174.921","874899.681","875194.389","117000.000","102017.624","  6572.783","174655.045"
"M898.349T936.403","  9190.388"," 48918.711"," 69643.952"," 80100.000","103903.108","  8246.621","112179.365"
"M652.416T1356.524"," 28020.55","162743.20","209119.41","233000.00","253448.44"," 17937.72","246905.74"
"M449.365T1540.699","155479.4","174479.1","204876.9","341000.0","277249.2","156073.2","317794.5"
"M537.533T1295.888"," 8050.171","68647.361","58469.949"," 7970.000"," 8347.275"," 9502.763","    0.000"
"M561.396T1195.638"," 17371.92"," 85726.85","778915.50"," 57000.00"," 41886.21"," 34395.21"," 37385.46"
"M530.218T901.604","  1903.154"," 39487.650","108556.667","137000.000","180134.215","  1509.428","181839.103"
"M812.538T1253.346","24249.12","81771.40","99545.27","41800.00","37960.58","11133.28","39303.61"
"M495.298T1036.333","  3108.307","141614.109","135255.078"," 28300.000"," 41769.500","     0.000"," 69761.110"
"M367.15T410.425","23149.31","39264.81","73062.19","26100.00","67136.91","21682.01","28918.81"
"M589.228T896.878","  2019.591"," 24321.582"," 49432.362"," 52800.000"," 83163.393","  3383.002","102191.767"
"M617.489T1624.961"," 89331.79","117002.53","178159.56","325000.00","322768.17"," 71725.82","467331.44"
"M535.409T1440.116","109958.99"," 99747.13","110307.36","215000.00","273711.83"," 52800.08","218933.96"
"M673.432T1355.711"," 13628.26","163104.37","174641.86","174000.00","150591.26"," 19517.94","194914.76"
"M817.317T940.819"," 14439.39"," 44197.55"," 97452.08","160000.00","200632.06"," 30482.18","149283.05"
"M438.146T926.75","  3205.809"," 50703.909"," 69619.004"," 93700.000","104474.432","  2844.271","110000.288"
"M535.375T1490.352","127001.47","120584.55","172386.85","247000.00","231613.80"," 79513.85","263495.05"
"M808.52T1220.972","  8213.04","120697.15","159858.19"," 30800.00"," 45389.75"," 10077.11"," 46258.90"
"M577.49T1591.335","135842.0","152439.2","164729.2","270000.0","254996.1","102007.7","309666.4"
"M1059.419T884.787","   810.8953"," 71001.1830","205845.5800","233000.0000","251100.0830","  1271.8575","351432.3790"
"M813.332T1056.081"," 3272.869","11942.724","42455.745","67200.000","87189.783","    0.000","54107.162"
"M869.334T919.017"," 13744.47"," 53492.95","107737.70","152000.00","139916.31"," 12469.38","117993.47"
