"","sample","condition","sodium_formate","M589.459T1372.544","M285.134T1052.907","M569.292T994.771","M637.414T1384.421","M867.584T1358.969","M593.485T1401.37","M985.571T1146.934"
"1","F12.1","Fusarium",4043455.006,177000,59500,39900,212000,5040,341000,111000
"2","F12.2","Fusarium",3773975.074,163865.837,95671.297,59084.648,170563.001,21154.058,333144.566,112383.819
"3","F12.3","Fusarium",3345590.809,14712.6626,3603.0154,5226.939,48200.3358,7990.8268,66489.44,15277.6498
"4","F12.4","Fusarium",3565069.568,117960.702,128288.515,66932.652,173888.749,0,359844.889,92054.447
"5","C12.1","Control",3985225.417,22898.1671,10686.981,1421.487,53442.2594,18354.2891,156741.0441,1537.3531
"6","C12.3","Control",3922751.054,83715.581,221176.579,116906.609,143299.106,32761.048,216680.445,178876.252
"7","C12.4","Control",3861917.098,104461.691,269413.681,125497.818,151115.548,35158.164,263561.921,191828.13
