"","BLANK.2","QC.1","QC.2","QC.3","C12.1","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.3","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M637.411T1406.122"," 45964.12","134487.10","173000.00","145857.17"," 61456.31","138479.70","165096.32","209398.36","192000.00","146092.30","173000.00","211000.00","173891.62"," 60764.16","180067.27","234334.29","179479.61","169000.00"
"M729.452T1109.944","  7647.472","101677.777"," 95800.000"," 84450.709"," 10357.191","136145.562"," 90870.261","190769.494","170000.000"," 89188.023"," 65800.000"," 90300.000"," 54858.297","  8113.262"," 80678.754","158785.082"," 90531.878","112000.000"
"M571.365T1456.373"," 53371.88","180179.40","166000.00","172555.32"," 66311.68","183263.92","149744.00","205001.73","213000.00","198644.20","171000.00","235000.00","186558.62"," 68460.17","150087.44","207958.48","182171.55","196000.00"
"M865.579T1358.969"," 2250.955","19540.423"," 9280.000"," 4283.683","35030.425","34205.668","17299.984","24226.408"," 9020.000","99043.956","18400.000"," 6870.000"," 9152.824"," 5239.494","22403.472","18118.453","19866.652","16600.000"
"M867.584T1358.969"," 6016.550","32248.813","20500.000","24506.329","18354.289","32761.048","35158.164","70727.559","74000.000","49353.927","32300.000"," 5040.000","21154.058"," 7990.827","    0.000","32630.246","28642.034","24200.000"
"M682.472T1373.006"," 45161.74","248173.68","242000.00","223915.97"," 40139.07","151684.88","249633.58","404373.07","396000.00","178507.74","231000.00","430000.00","310530.03"," 32758.56","304923.08","480304.73","236355.04","289000.00"
"M589.459T1264.044"," 2649.856","41309.870","31000.000","47899.939"," 2791.111","58991.340","58552.814","74029.921","74100.000","55489.208","45400.000","54600.000","58655.228","10292.313","31659.597","82349.124","48393.349","49500.000"
"M633.478T1401.37"," 184877.2"," 862132.3","1030000.0"," 794202.7"," 584312.0"," 739106.6","1181824.3","1041296.6","1330000.0"," 968445.4"," 826000.0","1070000.0","1152473.7"," 202670.3","1389702.6","1159630.5"," 970499.9","1010000.0"
"M646.455T1423.013"," 17758.45"," 93340.98"," 80300.00","115337.12"," 38008.98"," 80723.10"," 99018.18","147939.18","128000.00","106494.68"," 85700.00","208000.00","133537.83"," 22182.73","105295.27","208316.39","155201.40","102000.00"
"M881.484T1273.289","  4869.613","191224.220","244000.000","206198.924","  2391.935","190522.891","280392.052","175100.786","183000.000","194741.197","193000.000","275000.000","196437.209","  2217.884","259795.111","214292.268","223887.866","278000.000"
"M637.412T1422.711"," 45972.91","134560.52","170000.00","143241.16"," 61474.89","131927.93","161830.86","199015.29","186000.00","137348.17","171000.00","206000.00","169182.36"," 53123.50","175931.57","219396.65","167832.66","165000.00"
"M591.474T1330.445"," 24422.22","287457.34","333000.00","298150.85"," 80933.80","251686.33","401536.96","459810.05","452000.00","354838.41","361000.00","494000.00","461127.91"," 37345.28","419319.02","539353.05","316898.69","375000.00"
"M645.45T1333.909"," 52065.19","284974.03","280000.00","323479.91"," 63119.62","312372.97","401946.51","381597.75","420000.00","391694.64","302000.00","453000.00","313237.79"," 28201.35","318996.22","443078.14","360703.49","345000.00"
"M826.523T1305.342","  7183.433","190334.308","227000.000","202089.747","  8280.428","153077.115","260958.191","208485.434","216000.000","273600.419","216000.000","251000.000","226230.141"," 15729.145","207480.492","219987.177","260139.611","222000.000"
"M593.485T1401.37"," 53538.40","272104.30","284000.00","261169.05","156741.04","216680.45","263561.92","282573.67","306000.00","315815.58","279000.00","341000.00","333144.57"," 66489.44","359844.89","333378.11","233447.10","320000.00"
