"","QC.1","QC.2","QC.3","C12.3","C12.4","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","X12.1","X12.2","X12.3"
"Label","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas"
"M369.19T1295.888"," 0.08426349"," 0.20334747"," 0.13723649","-0.06504728"," 0.09957269"," 0.16800112"," 0.21061683"," 0.22215361","-0.07978904","-0.25818328","-0.08751505","-0.29263729","-0.44948577"," 0.25464204","-0.14717604"
"M819.312T959.199"," 0.19549958","-0.16814131"," 0.13470417","-0.84091947","-0.22817780"," 0.89933027","-0.23162867","-0.12533618"," 0.80206518","-0.40525565"," 0.51784653"," 0.05757508","-0.26952390","-0.15553594","-0.18250189"
"M984.375T812.644","-0.12498411","-0.38356194"," 0.12124892","-0.73743018"," 0.25575871"," 0.44068546"," 0.10903346","-0.30457319"," 0.38609496","-0.44119121"," 0.52131397"," 0.27497508","-0.01976385"," 0.07873899","-0.17634505"
"M472.321T1423.013","-0.198894328"," 0.001497541"," 0.088615515","-0.456524382","-0.049738697"," 0.326947171","-0.015462315","-0.176123540","-0.041424283"," 0.113579345"," 0.122558412"," 0.404233928"," 0.468599637","-0.214597307","-0.373266698"
"M513.269T1221.408","-0.072898368","-0.078078706"," 0.009949961","-0.173178738"," 0.089135509"," 0.174447170","-0.244759919"," 0.537835341","-0.161200796","-0.477137955","-0.080476862"," 0.141902462","-0.437813699"," 0.608871494"," 0.163403107"
"M849.325T990.311","-0.007856615"," 0.001554313","-0.077932226","-0.747072743","-0.297223735"," 0.467877560","-0.153645433","-0.161507577"," 0.443751368","-0.263400450"," 0.503051416"," 0.238745426","-0.006869869","-0.066795187"," 0.127323752"
"M844.318T843.183"," 0.1058448","-0.2303006","-0.1774525","-0.8429598"," 0.2847418"," 0.5099101"," 0.1298347","-0.1175265"," 0.6250548","-0.2906716"," 0.3986878"," 0.0792265","-0.3649803"," 0.1358061","-0.2452153"
"M981.368T857.905","-0.02067367","-0.17186067","-0.16254011","-0.95382313"," 0.06277725"," 0.44583630"," 0.37484154","-0.18582647"," 0.32645423","-0.10046033"," 0.09690021"," 0.31409219"," 0.15851547"," 0.05302256","-0.23725537"
"M711.567T1574.614"," 0.022939820"," 0.001670396","-0.305909032","-0.493479771","-0.340045659","-0.015164606"," 0.160784925","-0.263395429","-0.293542650"," 0.356046012","-0.082413196"," 1.302391866","-0.077758666","-0.332246000"," 0.360121989"
"M424.206T1456.482"," 0.10538882","-0.07641347"," 0.28399941"," 0.17231876","-0.27655961","-0.59799420"," 0.02991498"," 0.31992335","-0.20913999","-0.14278199"," 0.01941583"," 0.40865876","-0.29865197"," 0.06441600"," 0.19750533"
