"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"M851.519T1328.051",0.017075,-0.0078051,0.031398,0.019228,-0.00092166,-0.0081552,0.015641,0.010374,0.012914,-0.0094382,0.00039022,-0.013782,0.0010236,-0.0024387
"M861.451T1062.153",0.018004,0.00058118,0.026485,0.018295,0.0047178,0.0072961,0.036056,-0.00085941,0.006744,-0.0037922,-0.0087811,-0.031539,0.017484,-0.0039751
"M559.975T1203.448",0.0061666,-0.034646,0.039882,-0.0061163,-0.027681,0.033615,-0.033822,-0.029615,-0.0064929,0.023288,0.039542,0.029733,-0.010862,0.00039907
"M545.297T1155.639",0.015143,-0.022837,0.012265,-0.011845,0.017441,0.015405,-0.0093032,-0.018244,0.00069738,-0.02152,0.016218,0.0022535,0.01535,-0.0028312
"M1059.606T1053.565",0.01843,-0.015478,0.032261,0.0025617,0.035362,-0.0037146,-0.01965,0.018942,0.0098889,-0.031645,0.064935,0.018532,0.0016456,-0.001956
"M1096.195T893.605",0.025584,-0.0030175,0.01888,0.012121,0.015896,-0.0093804,0.020426,0.019799,0.013987,-0.0023324,-0.006622,0.0045914,0.0035978,0.0011035
"M180.067T785.272",0.028097,0.023915,-0.020951,-0.012538,0.0026097,-0.0042709,0.015422,-0.0002596,0.0051584,0.0040611,0.023839,-0.012831,0.012391,0.0025123
"M849.51T1359.918",0.0171,-0.0071289,0.03196,0.019928,-0.0029466,-0.0059929,0.012906,0.0076908,0.010226,-0.0057924,-0.00076412,-0.015649,-0.0016787,0.0028698
"M633.053T106.254",0.020695,-0.011449,0.012364,0.0016528,-0.00087588,-0.005269,0.0093116,-0.0055251,0.010652,0.021499,-0.0080792,0.0027154,-0.00013923,0.0011555
"M1014.89T1344.191",0.020754,0.0042855,0.0085692,0.018516,0.0013645,0.014071,-0.0056079,-0.032387,-0.00092746,0.011018,-0.0040552,-0.019192,-0.0099335,0.0008773
"M473.173T806.642",0.021704,0.0013092,0.0010014,0.0041418,0.0069867,0.012635,-0.013707,-0.025755,0.026639,0.00072857,0.017681,0.031077,0.0047419,0.0050684
"M1269.507T907.7",0.01795,-0.013504,0.015619,-0.009119,-0.0070831,0.0035381,-0.0036233,0.022376,-0.010024,0.021299,0.0088882,-0.0035523,0.018776,0.00056802
