"",F.stat,p.value,-log10(p),FDR
M283.086T201.788,17.56,0.00026053,3.5841,0.56796
M315.405T313.892,13.863,0.00067835,3.1685,0.7394
M1712.298T909.092,7.9626,0.005258,2.2792,0.99434
M374.109T731.372,7.8777,0.0054535,2.2633,0.99434
M698.888T1003.439,7.6562,0.0060055,2.2214,0.99434
M1231.291T836.99,6.6024,0.0097604,2.0105,0.99434
M449.004T832.738,6.5065,0.010226,1.9903,0.99434
M698.86T68.208,6.4448,0.010539,1.9772,0.99434
M1130.437T924.326,6.4295,0.010619,1.9739,0.99434
M433.038T831.69,6.1472,0.012223,1.9128,0.99434
M410.078T615.621,6.102,0.012506,1.9029,0.99434
M272.073T418.674,6.0867,0.012604,1.8995,0.99434
M204.085T413.719,6.0235,0.013016,1.8855,0.99434
M469.036T876.272,5.803,0.01459,1.836,0.99434
M642.302T1183.207,5.765,0.014883,1.8273,0.99434
M637.177T857.418,5.5643,0.016555,1.7811,0.99434
M1168.035T908.053,5.3831,0.018261,1.7385,0.99434
M380.071T778.258,5.3284,0.018817,1.7254,0.99434
M246.097T864.37,5.2595,0.019547,1.7089,0.99434
M857.325T1034.658,5.1435,0.020852,1.6808,0.99434
M975.202T831.412,5.125,0.021069,1.6763,0.99434
M404.065T806.181,5.005,0.022549,1.6469,0.99434
M453.17T879.981,4.98,0.022873,1.6407,0.99434
M516.992T825.04,4.8757,0.024285,1.6147,0.99434
M401.027T415.826,4.8693,0.024375,1.6131,0.99434
M365.052T459.24,4.8124,0.025192,1.5987,0.99434
M1197.439T886.215,4.7375,0.02632,1.5797,0.99434
M539.034T616.33,4.5749,0.028979,1.5379,0.99434
M790.016T1120.766,4.5477,0.029456,1.5308,0.99434
M435.234T1304.756,4.4859,0.030572,1.5147,0.99434
M687.305T1181.604,4.4509,0.031226,1.5055,0.99434
M541.425T1223.783,4.4371,0.031488,1.5019,0.99434
M1176.528T983.06,4.3621,0.032963,1.482,0.99434
M721.9T1109.959,4.2885,0.03449,1.4623,0.99434
M781.218T930.113,4.279,0.034693,1.4598,0.99434
M1042.847T909.803,4.2719,0.034844,1.4579,0.99434
M319.076T917.392,4.185,0.03678,1.4344,0.99434
M1130.433T884.599,4.1773,0.036958,1.4323,0.99434
M271.07T418.897,4.1567,0.03744,1.4267,0.99434
M338.196T1226.316,4.0831,0.039217,1.4065,0.99434
M459.275T1179.554,4.074,0.039444,1.404,0.99434
M609.777T834.854,4.0575,0.03986,1.3995,0.99434
M463.02T875.074,4.0389,0.040334,1.3943,0.99434
M365.135T389.484,4.0182,0.04087,1.3886,0.99434
M469.019T418.674,4.0176,0.040886,1.3884,0.99434
M203.083T418.775,4.0173,0.040892,1.3884,0.99434
M861.253T1033.436,4.0161,0.040924,1.388,0.99434
M375.129T729.569,3.9042,0.043976,1.3568,0.99434
M387.034T831.689,3.8311,0.046117,1.3361,0.99434
M339.058T415.891,3.8294,0.046168,1.3357,0.99434
M263.13T940.795,3.8283,0.046202,1.3353,0.99434
M642.242T817.768,3.8202,0.046447,1.333,0.99434
M1613.665T937.741,3.7449,0.048802,1.3116,0.99434
M429.156T412.291,3.7401,0.048957,1.3102,0.99434
M1109.422T909.522,3.73,0.049285,1.3073,0.99434
M643.245T933.361,3.7284,0.049339,1.3068,0.99434
M471.046T618.546,3.6998,0.050282,1.2986,0.99434
M870.194T810.976,3.6837,0.050824,1.2939,0.99434
M481.099T800.114,3.6746,0.05113,1.2913,0.99434
M1043.507T948.503,3.573,0.054733,1.2618,0.99434
M664.226T813.714,3.5626,0.055121,1.2587,0.99434
M679.277T1051.577,3.5454,0.055763,1.2537,0.99434
M1462.085T939.347,3.5339,0.0562,1.2503,0.99434
M333.041T419.397,3.4998,0.057519,1.2402,0.99434
M1192.997T906.309,3.48,0.0583,1.2343,0.99434
M1005.407T928.554,3.4421,0.059831,1.2231,0.99434
M632.783T316.499,3.3847,0.062243,1.2059,0.99434
M1063.398T908.83,3.3207,0.06507,1.1866,0.99434
M927.398T981.461,3.3127,0.065434,1.1842,0.99434
M821.606T900.199,3.3083,0.065636,1.1829,0.99434
M1125.372T909.368,3.2743,0.067211,1.1726,0.99434
M531.009T876.272,3.2233,0.069668,1.157,0.99434
M804.318T962.853,3.2028,0.070682,1.1507,0.99434
