"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X36.F9.3.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas"
"M701.418T1268.098","-0.007517612","-0.034740590"," 0.404385653"," 0.025461376","-0.556152360"," 1.197052152","-0.197646150","-0.281118284","-0.419040951"," 0.433042657","-0.574298410"," 0.657264734","-0.588231068","-0.058461147"
"M1013.583T1248.821","-0.239205735","-0.728536154"," 0.002754649"," 0.081118763","-0.116030543"," 1.402276114","-0.205241357","-0.364742757","-0.251808040"," 0.379439926","-0.290816539"," 0.514036673","-0.340886057"," 0.157641058"
"M968.577T1247.645","-0.06730731","-1.54290368","-0.02102888"," 0.18173887","-0.04101589"," 1.28308509","-0.21165529","-0.12611452","-0.24954870"," 0.47650829","-0.24711013"," 0.54957010","-0.23632557"," 0.25210762"
"M559.618T1204.987"," 0.06729108","-0.25087261"," 0.41309863","-0.58149260","-0.02479237"," 0.92020343","-0.22965957","-0.80146927","-1.24756117"," 0.78311870","-0.18300561"," 0.82634228"," 0.47432036","-0.16552129"
"M923.451T1327.672","-0.2473633903","-0.1564815791"," 0.2575536776"," 0.0672406431","-0.3730456153"," 1.2370504522","-0.2551595728","-0.3380027057","-0.1456571698"," 0.4959199681","-0.5703242084"," 0.6354871193","-0.6064634436","-0.0007541753"
"M917.49T1360.024","-0.68914064","-0.14611785"," 0.19609816","-0.03450164","-0.37884382"," 1.22755205","-0.26196854"," 0.10766238","-0.14998567"," 0.47610489","-0.49437080"," 0.64021725","-0.53668629"," 0.04398052"
"M875.467T1241.171","-0.009019619","-1.258409878"," 0.246378281","-0.077627720","-0.269373708"," 1.325699125","-0.105254878"," 0.092184881","-0.152184723"," 0.084757688","-0.451125219"," 0.692735413","-0.204777176"," 0.086017534"
"M1085.513T1348.399","-0.310862691","-0.807597080"," 0.006574057","-0.222711971"," 0.082823091"," 1.364471148","-0.246586384","-0.395673747","-0.114694072"," 0.317672843","-0.260550194"," 0.659694979","-0.249666746"," 0.177106766"
"M466.978T106.664","-0.47339853","-0.38078229"," 0.02950784"," 0.35973244","-0.14826563"," 1.14026047"," 0.10921543","-0.79483889","-0.25872194"," 0.50129296","-0.30089474"," 0.05596814","-0.14457449"," 0.30549923"
"M851.519T1328.051","-0.168552140","-0.133944185"," 0.267078221"," 0.053077926","-0.516000482"," 1.253034174","-0.286019731","-0.243786083","-0.200775080"," 0.409681107","-0.564996662"," 0.655057605","-0.526916998"," 0.003062327"
"M861.451T1062.153","-0.23694282","-0.40678842"," 0.46046722","-0.19457951","-0.43986373"," 1.45743000","-0.22933901"," 0.04186796","-0.12546915"," 0.09766885","-0.60180383"," 0.34438002","-0.50923223"," 0.34220464"
"M559.975T1203.448","-0.05433736"," 1.28112592"," 0.20543511","-0.50181652"," 0.37898175"," 0.74466092","-0.72146243","-1.31965941","-0.82769627"," 0.40859895"," 0.02358769"," 0.44872859"," 0.26432232","-0.33046927"
"M545.297T1155.639"," 0.19240308","-0.01109677"," 0.21649851"," 0.15427371"," 0.16775043"," 1.06541783","-0.30825915","-0.74688492","-0.79918916"," 0.70199127","-0.14044871","-0.27355223","-0.25465683"," 0.03575295"
"M1059.606T1053.565"," 0.3848828","-0.4013091"," 0.5578298"," 0.6865971","-0.4792739"," 1.1130203","-0.2816188","-0.9500399","-0.9855357"," 0.7704300","-0.4634453"," 0.4753810"," 0.1073206","-0.5342391"
"M1096.195T893.605","-0.49267999","-0.85004569"," 0.29318196"," 0.26503357","-0.25789069"," 1.51825293","-0.18131306","-0.20570835","-0.23644876"," 0.74983780","-0.63042938"," 0.54016282","-0.49039621","-0.02155695"
"M180.067T785.272","-0.21609442","-1.98279425"," 0.09979010","-0.56555934","-0.03100549"," 0.97714102"," 0.09455107"," 0.10813403","-0.16951379"," 1.02354855","-0.28826781"," 0.22048227"," 0.18590060"," 0.54368745"
"M849.51T1359.918","-0.17372731","-0.13153719"," 0.26261495","-0.01814150","-0.47539349"," 1.25716430","-0.30549124","-0.30024695","-0.16550011"," 0.35994924","-0.51742937"," 0.69689895","-0.52100383"," 0.03184356"
"M633.053T106.254","-0.57428197","-0.32145084"," 0.02821299","-0.16647777"," 0.08701026"," 1.24413708","-0.02997892","-0.45844518","-0.29712750"," 0.74660875","-0.36716035"," 0.37753079","-0.39275086"," 0.12417351"
"M1014.89T1344.191","-0.002184354","-0.800601598","-0.039884302","-0.536205178"," 0.226134512"," 1.367443752","-0.142435984","-0.439757505","-0.202924869"," 0.126127419","-0.045189224"," 0.537808154","-0.347797001"," 0.299466178"
"M473.173T806.642"," 0.01649606","-0.89265723","-0.09906053","-0.26406883"," 0.56666783"," 1.11279750","-0.15364637","-0.25444076","-0.79388259"," 0.65523331","-0.25463188"," 0.50518887","-0.04441713","-0.09957823"
"M1269.507T907.7","-0.53935670","-0.18443404"," 0.26414375"," 0.02785257","-0.07929538"," 0.87434355","-0.40068924","-0.79311292","-0.14609580"," 0.83480797","-0.47682938"," 0.26367785"," 0.02780748"," 0.32718029"
"M985.574T1225.672","-0.03951210","-0.94306451"," 0.04426792","-0.22630445"," 0.10966942"," 1.13723950","-0.23426977","-0.65290186","-0.05463843"," 0.54653820","-0.21993075"," 0.72083806","-0.40428171"," 0.21635046"
"M1030.586T1195.906","-0.12532523","-0.68113732"," 0.08483934","-0.16177634","-0.04910103"," 1.31302883","-0.25175393","-0.40742448","-0.30203403"," 0.63035494","-0.31930589"," 0.58949608","-0.48713248"," 0.16727155"
"M1097.549T894.492","-0.34409782","-0.86444236"," 0.35252673"," 0.05804843","-0.13370431"," 1.23942372"," 0.03433356","-0.23246513","-0.38646944"," 0.83381498","-0.38851574"," 0.50443705","-0.79461125"," 0.12172160"
"M901.267T743.636","-0.07843527","-0.19427552"," 0.48221500"," 0.12062385","-2.25674151"," 0.99483576","-0.31075849"," 0.09134137"," 0.09347459"," 0.83165769","-0.39875924"," 0.43970861"," 0.02356638"," 0.16154676"
"M779.462T1401.836"," 0.006987547"," 0.309714832"," 0.629276807"," 0.171414644","-0.757633361"," 1.124181554","-0.330484516","-0.207161499","-0.011049150"," 0.258315490","-0.541779824"," 0.278909460","-0.921855592","-0.008836392"
"M917.503T1359.918","-0.17691841","-0.17063578"," 0.19526819","-0.08362760","-0.44976161"," 1.24837007","-0.24885693","-0.30405753","-0.13274633"," 0.46763366","-0.52598112"," 0.66692904","-0.53611622"," 0.05050057"
"M851.912T1326.892"," 0.34005582","-0.26288274"," 0.06730447"," 0.15282059","-0.41253763"," 1.34131917","-0.58435628","-0.66068931","-0.02238581"," 0.67982165","-0.57962834"," 0.68607489","-0.39572400","-0.34919249"
"M705.267T1050.095"," 0.24884919","-0.45850261"," 0.71921921"," 0.05604482","-0.29695279"," 0.65403678","-0.16265905","-0.68231937","-0.79159491"," 0.90541521","-0.32337550"," 0.52539802","-0.51074140"," 0.11718239"
"M983.568T1252.43","-0.18079031","-0.63571612"," 0.18192624","-0.30637929","-0.02898539"," 1.28583306","-0.54209208"," 0.12487394","-0.55251822","-0.06135729","-0.22708855"," 0.86679227","-0.24237623"," 0.31787796"
"M457.19T799.683","-0.43577695","-1.19458202"," 0.16474287"," 0.04879237"," 0.03982820"," 0.75205600","-0.33144141","-0.47857764","-0.17301381"," 0.66612509","-0.19175131"," 0.69296900"," 0.04438759"," 0.39624204"
"M846.46T1187.467","-0.629424761","-0.186910656"," 0.507904072"," 0.291527224","-0.093254011"," 1.280712119","-0.431110598","-0.447026181","-0.959883297"," 0.374503175","-0.014794197"," 0.426497653","-0.115918417","-0.002822125"
"M821.506T1329.663"," 0.03497236","-0.56276004"," 0.34821024","-0.50773451","-0.28019254"," 1.30415125","-0.27397624","-0.06236120","-0.17036533","-0.22623679","-0.54249408"," 0.93294156","-0.10633256"," 0.11217787"
"M347.184T1141.626","-0.28879992","-0.61087267"," 0.02074486","-0.26717633"," 0.59843955"," 1.18914652","-0.14298124","-0.91714602","-0.21717304"," 0.68764310","-0.18583085"," 0.18830662","-0.28966058"," 0.23535997"
"M768.448T1315.096","-0.15555645","-0.63713402"," 0.10477647","-0.18802813","-0.04923348"," 1.03728219","-0.21096075","-0.82874459"," 0.06474367"," 0.60285019","-0.43183032"," 0.64864306","-0.29341272"," 0.33660488"
