"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"M633.146T772.656",0.47788,0.64963,0.60518,0.68677,0.7502,0.75449,0.75446,0.75446
"M403.16T816.749",0.47735,0.81438,0.76665,0.75539,0.79347,0.79655,0.79667,0.79667
"M581.318T900.123",0.47719,0.66303,0.59758,0.73546,0.72973,0.72914,0.72912,0.72912
"M354.911T65.484",0.47696,0.60893,0.56007,0.69704,0.74528,0.74611,0.74607,0.74607
"M998.841T1404.514",0.47657,0.60802,0.7369,0.74631,0.74037,0.74088,0.74084,0.74084
"M309.61T1127.503",0.47616,0.81645,0.77127,0.75144,0.74768,0.74727,0.74723,0.74723
"M407.045T415.442",0.47595,0.90619,0.80474,0.81202,0.81111,0.81047,0.81045,0.81045
"M494.854T65.043",0.47574,0.64712,0.79237,0.76493,0.75782,0.75773,0.7577,0.7577
"M433.777T806.208",0.47475,0.88168,0.78573,0.75555,0.75564,0.75518,0.7552,0.7552
"M772.809T66.771",0.47389,0.41605,0.81587,1.0606,1.0529,1.052,1.0519,1.0519
"M615.152T88.13",0.47364,1.4063,1.2509,1.2023,1.1987,1.1979,1.1978,1.1978
"M776.814T66.22",0.47223,0.70595,0.72206,0.75403,0.7482,0.74888,0.74887,0.74887
"M497.144T415.482",0.47212,0.70951,0.65996,0.64633,0.64898,0.64893,0.64933,0.64933
"M986.8T69.273",0.47072,0.51957,0.82534,0.79634,0.89857,0.89786,0.89782,0.89782
"M531.306T1586.442",0.47027,1.6458,1.4626,1.4058,1.4104,1.4094,1.4095,1.4095
"M610.849T834.902",0.4695,1.4622,1.3493,1.3082,1.2972,1.2984,1.2985,1.2985
"M793.131T89.251",0.46932,0.58578,0.63475,0.67917,0.67329,0.67317,0.67314,0.67314
"M346.113T762.425",0.46856,0.66798,0.67233,0.6544,0.67865,0.6794,0.67937,0.67937
"M561.896T1245.178",0.46746,1.1712,1.0752,1.0352,1.0276,1.027,1.0269,1.0269
"M1048.594T1092.833",0.4664,0.87788,0.78531,0.80425,0.79921,0.79919,0.7992,0.7992
"M875.696T1193.301",0.4644,1.6432,1.4727,1.4253,1.416,1.4148,1.4147,1.4147
"M531.078T845.355",0.4636,0.37695,0.65321,0.64115,0.64501,0.6455,0.6456,0.6456
"M1029.931T1194.947",0.46348,0.8455,0.75565,0.73431,0.73175,0.73134,0.73131,0.73131
"M565.23T844.341",0.46247,1.0083,0.89291,0.85831,0.8537,0.85319,0.85315,0.85315
"M564.995T1201.416",0.46141,1.2539,1.1844,1.1419,1.1325,1.1326,1.1325,1.1325
"M558.878T1192.321",0.46128,1.5547,1.3844,1.3894,1.3779,1.3779,1.3779,1.3779
"M612.262T1245.504",0.46121,0.97796,0.87024,0.84488,0.83779,0.8371,0.83706,0.83706
"M387.165T771.864",0.459,0.80723,0.73613,0.74807,0.7413,0.74202,0.74199,0.74199
"M545.633T89.251",0.45897,0.98117,0.87043,1.2763,1.2782,1.2772,1.2772,1.2772
"M1001.569T1093.359",0.45721,0.99213,0.92823,0.91254,0.90469,0.90431,0.90436,0.90436
"M652.365T1270.263",0.45631,0.367,1.0002,0.9626,0.96146,0.96554,0.96551,0.96552
"M745.856T67.938",0.45579,0.82695,0.82218,1.0045,1.0201,1.0193,1.0193,1.0193
"M778.832T66.858",0.45522,0.6457,0.57765,0.60463,0.6236,0.6232,0.62319,0.62319
"M1162.945T896.606",0.45479,1.1161,0.99999,1.0195,1.0149,1.0154,1.0153,1.0153
"M611.147T106.977",0.45454,0.73764,0.6751,0.68023,0.67541,0.67557,0.67563,0.67563
"M658.83T67.591",0.4545,0.29679,0.26545,0.40516,0.43867,0.4423,0.4423,0.4423
"M561.784T1244.889",0.45441,0.83034,0.75895,0.77039,0.76818,0.77103,0.77111,0.77112
"M419.03T798.766",0.45377,1.0789,1.0529,1.0206,1.0117,1.0115,1.0114,1.0114
"M206.082T164.917",0.45339,1.0783,1.117,1.0879,1.0781,1.0781,1.078,1.078
