"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"M457.19T799.683",0.029986,-0.0079065,0.00094014,0.017538,0.0055983,-0.025806,0.01298,0.0062089
"M846.46T1187.467",0.016921,-0.035259,0.011724,0.024032,0.013081,-0.013176,0.01709,-0.00014169
"M821.506T1329.663",0.020398,-0.016352,-0.014185,0.035735,-0.012487,0.0061427,-0.016734,-0.023481
"M347.184T1141.626",0.025929,-0.02498,0.011053,0.0023549,0.0010304,-0.014633,-0.00061476,-0.014365
"M768.448T1315.096",0.025465,-0.020969,0.0063748,0.020847,-0.0072502,-0.010257,-0.0055731,-0.008401
"M531.078T845.355",0.015211,-0.020709,0.020824,0.017167,-0.022506,0.011771,0.026336,0.020791
"M309.118T727.508",0.028176,-0.018475,-0.027558,0.0047474,-0.022723,0.011226,-0.00035807,0.019842
"M345.183T1137.887",0.026604,-0.029856,-0.0032842,6.1223e-06,0.014375,0.00043066,0.0051405,-0.024184
"M1076.649T1193.389",0.017636,-0.034857,0.020265,-0.0082804,0.0025144,-0.008044,0.0088236,-0.031528
"M919.515T1328.715",0.018499,-0.033441,0.0028664,0.01913,-0.0081299,0.0096878,-0.0080474,0.0053116
"M277.217T1196.341",0.014809,-0.024442,0.024069,0.012457,-0.014849,-3.813e-05,0.0042007,-0.057351
"M655.999T943.196",0.027223,-0.026111,-0.0028219,0.0043663,0.0046344,-0.024283,0.0012518,0.015169
"M565.05T98.887",0.013323,-0.044967,0.00051258,0.022135,-0.01119,0.0049369,-5.3337e-05,0.0033658
"M277.129T811.716",0.030032,-0.0079124,-0.00062571,0.019674,-0.013424,-0.0031919,-0.0066052,0.011988
"M655.038T106.771",0.019759,-0.035075,0.018757,0.0028643,0.015268,-0.0053692,-0.012171,0.013164
"M1075.647T1193.908",0.017383,-0.037446,0.016245,-0.0072498,-0.0040021,-0.0088666,0.0092333,-0.04776
"M649.026T106.128",0.022492,-0.031343,0.014135,-0.0066401,-0.0046121,-0.0085916,-0.015605,0.0085954
"M1097.561T894.34",0.030502,-0.041431,0.00051969,0.02325,-0.0034647,0.0085721,0.0032162,0.0019852
"M1014.585T1248.122",0.026506,-0.023441,0.0038072,0.011126,0.010163,-0.0047112,0.0020647,0.0026245
"M868.517T1202.592",0.018919,-0.028202,0.0011032,0.026895,-0.013491,0.0060889,0.014243,0.0086916
"M1015.588T1248.088",0.026084,-0.024485,0.00068293,0.01086,5.4148e-05,-0.0033269,0.0063824,-0.0037459
