"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","C12.1","C12.4","X12.1","X12.2","X12.3"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point"
"M697.459T1191.472","-0.35781368","-0.70666522","-0.59394355","-0.18298501"," 0.09227496","-0.21002115","-0.18918359"," 0.23501285"," 0.13914899","-0.43225173"," 1.40338533","-0.41999894","-0.73608772","-0.32692736","-0.90891648"," 0.31120984"," 0.07394543"," 0.27428698"," 0.75028298"," 0.78112386"," 0.36510786"," 0.29354132"," 0.22386214"," 0.05618908"," 0.29440607","-2.00931618"," 0.39450617"," 0.59752705"," 0.26036865"," 0.52793101"
"M695.447T1189.727","-0.30442950","-0.22853064","-0.06201669","-0.11201936","-0.12524108","-0.16930924","-0.24905465"," 0.09908619","-0.02838404","-0.22000649"," 0.23092853","-0.20589689","-0.13018091","-0.04650921","-0.27587049"," 0.12595779"," 0.23753352"," 0.12249661"," 0.51599572"," 0.69002561"," 0.13556252"," 0.08676649"," 0.13144782","-0.01263619"," 0.08414668","-1.78146683"," 0.25530634"," 0.43761299"," 0.45837123"," 0.34031417"
"M917.581T1308.231","-0.28961328","-0.11038705"," 0.37086445","-0.11053930","-0.02117563"," 0.35424389","-0.42527079"," 0.06136576"," 0.01907804","-0.04128031"," 0.42708597","-0.34264226","-0.15371865","-0.72862221","-1.07891371"," 0.23527205"," 0.36651367","-0.02738602"," 0.03795610"," 0.63514884"," 0.66721467"," 0.07265454","-0.08321333"," 0.18310693","-0.07391673","-1.47495080"," 0.16208700"," 0.42330570"," 0.78949846"," 0.15623400"
"M810.529T1306.211"," 0.056901458","-0.569539106"," 0.105807773"," 0.142217425"," 0.470494495"," 0.103168708"," 0.048528497"," 0.142890672"," 0.034246012","-0.016721691","-0.518554748"," 0.032483459","-0.079311300"," 0.002455569","-0.640309788"," 0.146842981"," 0.148508396","-0.054716091"," 0.135655863"," 0.278965881"," 0.317826977"," 0.202701501","-0.099920556"," 0.001395534"," 0.226286745","-1.480538560"," 0.064704833"," 0.136518508"," 0.285326817"," 0.375683737"
"M385.182T1540.093"," 0.302832313"," 0.748098359","-0.071558118"," 0.363301826"," 0.170238098"," 0.007461085"," 1.066847934","-0.082298754","-0.003858974","-0.116674909","-0.062587057","-0.533968436","-0.305274087"," 0.387442733","-0.325526678","-0.334416961","-0.115532707","-0.185313460","-0.221022237"," 0.095581129","-0.531770243","-0.421403626"," 0.304271095"," 0.103747966","-0.053244196","-0.442875905"," 0.201039432"," 0.246898472","-0.317091532"," 0.126657437"
"M441.228T1306.216"," 0.136182174"," 0.149722657"," 0.400034839"," 0.328382173"," 0.245368718"," 0.121487420"," 0.117475951","-0.032182544","-0.063533856"," 0.205381305","-0.032790336","-0.205285647"," 0.039603394"," 0.262261733","-0.449607529","-0.137439635"," 0.162616094"," 0.069806959","-0.228412930","-0.032595124","-0.010651241","-0.141972322","-0.002246175","-0.046527446"," 0.193839982","-1.690203847"," 0.354024436","-0.031428413"," 0.186635108"," 0.132054101"
"M711.445T1221.644","-0.256174632","-0.299971823","-0.323567069"," 0.054170209","-0.142396441","-0.162952756","-0.354210365"," 0.016060648"," 0.143696196","-0.316423173"," 0.333110202","-0.308829088","-0.505106875","-0.275084621","-0.489955476","-0.002208661"," 0.138534935"," 0.197896396"," 0.636275462"," 0.671668464"," 0.242237956"," 0.064100741"," 0.506796160","-0.009484804","-0.002088817","-1.671236799"," 0.308720127"," 0.895601455"," 0.539119008"," 0.371703442"
"M557.468T1423.166","-0.33305759"," 0.58585605","-0.08561649"," 0.10183913"," 0.38692186"," 0.17336890","-0.05509667"," 0.37131864","-0.29088346","-0.57719622","-0.42516505","-0.31282816","-0.23594107","-0.57399636","-1.11070032","-0.00757311"," 0.31765624"," 0.10527605"," 0.32868957"," 0.75624089"," 0.43488248"," 0.14885610"," 0.29900331"," 0.36108854"," 0.15012416","-1.69007134"," 0.20628075"," 0.56485996"," 0.30697753"," 0.09888569"
"M679.436T1338.726","-0.35149405","-0.46477259","-0.26842925","-0.12289539"," 0.11279232","-0.18263626","-0.32619123"," 0.01808920","-0.10552203","-0.31949973","-0.09605208","-0.52896774","-0.38664581","-0.73610743","-0.67123996"," 0.09028288"," 0.33841982"," 0.13290423"," 0.64001286"," 0.67153272"," 0.24555645"," 0.14396695"," 0.70016977"," 0.36682423"," 0.39659919","-1.25122025"," 0.27802623"," 0.98451057"," 0.33906757"," 0.35291880"
"M589.459T1372.544","-1.07052221"," 0.29326878","-0.40507685"," 0.05275835"," 0.22145836","-0.11025625","-0.67357074"," 0.49865657","-0.09154784","-0.51569682","-0.03829919","-0.82957785","-0.54995624","-0.73474557","-1.48110794"," 0.18686787"," 0.30880478"," 0.03182072"," 0.74778807"," 0.78924007"," 0.36584032"," 0.31858418"," 0.57068551"," 0.56483635"," 0.36934839","-0.89004522"," 0.22438849"," 0.86770398"," 0.53137304"," 0.44697889"
"M681.469T1408.485","-0.668465900","-0.680898418","-0.633692534","-0.178469123"," 0.126902501","-0.386107457","-0.393306452"," 0.111931108","-0.009201659","-0.403109795","-0.017248130","-0.564835698","-0.486813504","-0.691398963","-0.944121869"," 0.220598280"," 0.353578910"," 0.229598787"," 0.744497586"," 0.655424904"," 0.201452352"," 0.276578352"," 0.750219037"," 0.497023464"," 0.788745250","-0.853725619"," 0.234441810"," 0.943031293"," 0.378932593"," 0.398438896"
"M695.451T1225.817","-0.395703842","-0.327005230","-0.241859638","-0.173784753","-0.120278151","-0.235359368","-0.357300344","-0.006637065","-0.015057919","-0.275804731"," 0.192813700","-0.406422219","-0.279015376","-0.196362787","-0.414250348"," 0.114173386"," 0.273499006"," 0.126191378"," 0.592413316"," 0.637246569"," 0.368109889"," 0.124035011"," 0.527951562"," 0.150370420"," 0.188741823","-1.605257575"," 0.182937728"," 0.844955474"," 0.360889712"," 0.365770370"
"M285.134T1052.907"," 0.27195415"," 0.19412640"," 0.50807252"," 0.14972364"," 0.23705206"," 0.35701018"," 0.16604380","-0.01408382"," 0.08871506"," 0.07527171","-1.60148536","-0.05330106","-0.16233605"," 0.41999055"," 0.29517355","-0.01468265"," 0.15148372","-0.05290664","-0.04517991"," 0.48135297"," 0.30721641","-0.05464309","-0.76713835","-0.35342379","-0.08696962","-2.06206309"," 0.41655476"," 0.24656741"," 0.38626523"," 0.51563930"
"M681.469T1389.183","-0.673624061","-0.680566050","-0.620775796","-0.129616284"," 0.137464890","-0.363685032","-0.376239740"," 0.090127214","-0.005482513","-0.463145362","-0.005837876","-0.547963171","-0.590277425","-0.707125501","-0.950109842"," 0.225789895"," 0.361320543"," 0.221337388"," 0.759060504"," 0.673158536"," 0.216352204"," 0.282287196"," 0.773732440"," 0.526474678"," 0.690830986","-0.842628504"," 0.247665979"," 0.956172497"," 0.395419649"," 0.399882557"
"M680.474T1439.81","-0.374030449","-0.480796254","-0.206563374","-0.405305604","-0.187909539","-0.181708013","-0.372966364","-0.151804406","-0.004174694","-0.224430150","-0.100227435","-0.585080358","-0.508086055","-0.431033717","-0.648950021"," 0.049631573"," 0.200194920"," 0.144782175"," 0.434493830"," 0.432386746"," 0.247235927"," 0.083696820"," 0.545138504"," 0.317272069"," 1.341221534","-0.159969201"," 0.109412189"," 0.771960407"," 0.308195833"," 0.037413104"
"M574.467T1456.399"," 0.105550959","-0.799948506","-0.233169520","-0.208346375"," 0.156592391","-0.244795485"," 0.006742599"," 0.461607061","-0.044931381","-0.356688177","-0.090002849","-0.281516431","-0.792230106","-0.440837433","-1.334348722"," 0.064695424"," 0.351418125"," 0.205687018"," 0.623292052"," 0.425325710"," 0.381916077"," 0.131378990"," 0.742677909"," 0.574759344"," 0.357670925","-1.100433270"," 0.178073934"," 0.643554310"," 0.161122828"," 0.355182601"
"M565.421T1295.888","-0.452589752","-0.511480936","-0.532303374","-0.225306577"," 0.093897900","-0.291841624","-0.108235016"," 0.078000665","-0.006472075","-0.389855258"," 0.304767611","-0.722941474","-0.284713472","-0.787393487","-0.939153024","-0.079526888"," 0.040444086","-0.059966304"," 0.343624814"," 0.486456000"," 0.117010285"," 0.225536305"," 0.543537417"," 0.073337870"," 0.687168900"," 0.940282241"," 0.320389764"," 0.673420471"," 0.116779557"," 0.347125375"
"M681.474T1424.253","-0.66309085","-0.60662703","-0.56787853","-0.12001856"," 0.17713840","-0.36481760","-0.39336781"," 0.05502493","-0.06214089","-0.49311731","-0.42712070","-0.59990530","-0.53837576","-0.61339401","-0.79722041"," 0.21032190"," 0.37111827"," 0.21863467"," 0.74154763"," 0.66244880"," 0.19703609"," 0.27659922"," 0.76511308"," 0.54618021"," 0.83857062","-0.73389837"," 0.20443986"," 0.95886268"," 0.36384807"," 0.39408870"
"M569.292T994.771"," 0.07234261","-0.17930642"," 0.44609804"," 0.17117137"," 0.25934156"," 0.29131548"," 0.27081176"," 0.16202873"," 0.07015577"," 0.01744826","-1.13361359"," 0.12290399","-0.11750181"," 0.50109823"," 0.30671376"," 0.10050473"," 0.19011476"," 0.11467163"," 0.05359043"," 0.25045142"," 0.30512957"," 0.03221480","-0.54682164","-0.22730942","-0.10155711","-2.84515957"," 0.27821828"," 0.20958021"," 0.39864533"," 0.52671886"
"M989.67T1341.992","-0.344322464","-0.330142239"," 0.489827028"," 0.253645315","-0.071528821"," 0.741244985"," 0.396194608","-0.493299028","-0.002460787"," 0.105235139","-0.136291003","-0.328961004","-0.483664702","-0.800751715","-0.531498025","-0.212714008","-0.004466478"," 0.744842734"," 0.690115207"," 0.519914172","-0.219790104","-0.090967814","-0.251810604","-0.452103917","-0.033733250","-1.155691968"," 0.277328522"," 0.297665204"," 0.943825905"," 0.484359111"
"M379.265T1245.233"," 0.232602448"," 0.001381535","-0.145953432"," 0.076857264"," 0.019453096","-0.095325255"," 0.451802592","-0.018668112","-0.051753947"," 0.215103691"," 0.514713514","-0.161224326","-0.070122553"," 0.046117301"," 0.029736424"," 0.075823147","-0.086580342","-0.010814783","-0.141139940"," 0.137692619","-0.152103485","-0.047284852","-0.350758797","-0.577953915"," 0.070869661","-0.532770890"," 0.613131432","-0.046008268"," 0.039790459","-0.036612285"
"M679.452T1355.733","-0.364254486","-0.510414711","-0.311980260","-0.049005530"," 0.073301430","-0.225273546","-0.370357420"," 0.009968435","-0.124657228","-0.336200127","-0.137767221","-0.575293554","-0.405465013","-0.459118409","-0.693227699"," 0.080130919"," 0.377971860"," 0.116628538"," 0.633735767"," 0.601097261"," 0.310942237"," 0.137763126"," 0.692182344"," 0.367873953"," 0.380836342","-1.250048442"," 0.339831693"," 0.964767453"," 0.394224946"," 0.331807342"
"M713.46T1208.68","-0.09358735","-0.74025626","-1.18159093","-0.17612119","-0.03153451","-0.58034478","-0.14753540"," 0.27987778"," 0.45175186","-0.54724840"," 0.37144894","-0.51922203","-0.40671416","-0.61055801","-0.06831708"," 0.40684018"," 0.37181037"," 0.37022846"," 0.92641151"," 1.02163463"," 0.19094909"," 0.40655579"," 0.43953356","-0.23149956"," 0.32457810","-2.08125130"," 0.25779516"," 0.62942312"," 0.32501544"," 0.64192697"
"M711.444T1322.388","-0.222780734","-0.171702699","-0.199323059"," 0.025869623","-0.035219496","-0.176206661","-0.270804627","-0.052921821"," 0.041822959","-0.205631677"," 0.168544572","-0.362933370","-0.276379445","-0.319000398","-0.493753177"," 0.027199927"," 0.113011842"," 0.141116678"," 0.523960992"," 0.638228120"," 0.152759655","-0.005237887"," 0.468902058"," 0.155757818"," 0.128906703","-1.522915871"," 0.228993365"," 0.759297835"," 0.418329175"," 0.322109599"
"M637.414T1384.421","-0.278378627","-0.475997085","-0.358576902","-0.002398262","-0.109591268","-0.234896924","-0.091110228"," 0.224041793","-0.012903072","-0.136271548"," 0.067138682","-0.362274211","-0.263374793","-0.129109028","-0.690441896","-0.021882747"," 0.187354429"," 0.002163714"," 0.464453758"," 0.426591696"," 0.139261916"," 0.249305274"," 0.464686993"," 0.293069430"," 0.381190352","-1.110934614"," 0.126554957"," 0.654899288"," 0.277206107"," 0.320222814"
"M637.411T1406.122","-0.31122443","-0.40096381","-0.34762832","-0.03899512","-0.05871621","-0.18403257","-0.10292170"," 0.12878681","-0.20880872","-0.14520055","-0.10031809","-0.25736874","-0.32081939","-0.19802844","-0.75833694","-0.06028007"," 0.29005303"," 0.03204675"," 0.46724855"," 0.42294391"," 0.10233068"," 0.24786418"," 0.47420245"," 0.32836162"," 0.43598703","-0.95429307"," 0.24054669"," 0.66498283"," 0.33353199"," 0.27904962"
"M729.452T1109.944","-0.16804043","-0.49913225","-0.38416324","-0.04660134","-0.14985607","-0.23943497","-0.29260996"," 0.07321440"," 0.13489364","-0.10792512"," 0.77048279","-0.67174290","-0.52258484","-0.33218439","-0.76418478"," 0.32337475"," 0.31299666"," 0.16612038"," 0.85588134"," 0.80040063"," 0.26058888","-0.03130585"," 0.22889992","-0.13026390"," 0.23998545","-1.57016786"," 0.27258635"," 0.74941922"," 0.26596780"," 0.45538569"
"M571.365T1456.373","-0.116046683","-0.288803730","-0.273781094","-0.462544979","-0.002154864","-0.160369707","-0.123449940"," 0.292689378"," 0.043584768","-0.475796074"," 0.165059545"," 0.032953639","-0.077179544","-0.415420431","-0.463216217"," 0.153297969"," 0.109535082"," 0.095990001"," 0.324781392"," 0.434365983"," 0.346255213"," 0.101585167"," 0.494270408"," 0.290869373"," 0.089085672","-1.077346158","-0.014294145"," 0.413431591"," 0.226766505"," 0.335881880"
"M865.579T1358.969","-0.80663929","-1.69245271","-1.68506948","-0.34162412","-1.71051260","-0.60581340"," 0.73188410"," 0.31116009"," 0.72761657","-0.24841764"," 0.48530766"," 0.38309967","-0.69386649"," 0.07517395","-0.62799006"," 0.45758271"," 0.06153927","-0.40552211"," 0.58384308"," 0.05062768"," 1.41098784"," 0.42976035","-0.13272054"," 0.06934756"," 0.60996442"," 0.80051818"," 0.41776410"," 0.45081326"," 0.49393924"," 0.39969871"
"M867.584T1358.969"," 0.21289124"," 0.10449232","-0.87355357","-1.11370572","-0.74485733"," 0.33639840","-0.27068319"," 0.63124090"," 0.38159350","-0.16387102"," 0.55853753"," 0.25484147","-1.05439446"," 0.04745755","-0.80966462"," 0.38617356"," 0.12803033"," 0.21006589"," 0.89032679"," 0.95021088"," 0.69240319"," 0.39426392","-0.79055890"," 0.16552423","-2.05522973"," 0.04060257"," 0.47395321"," 0.43411830"," 0.34093571"," 0.24245707"
"M682.472T1373.006","-0.74202546","-0.63371271","-0.49620392","-0.17379989"," 0.21401943","-0.45337724","-0.40906146"," 0.03644425","-0.06901702","-0.48553271"," 0.27053484","-0.44938921","-0.66131540","-0.65957488","-0.81039539"," 0.31625989"," 0.33359437"," 0.23314637"," 0.70771087"," 0.72983525"," 0.10023972"," 0.26841545"," 0.75491275"," 0.55229385"," 0.58287951","-1.10666724"," 0.36169038"," 0.88803908"," 0.31521552"," 0.48484098"
"M589.459T1264.044","-0.59869228","-0.54969024","-0.52637485","-0.06926405","-0.13470819","-0.28745422","-0.15120037"," 0.67721941"," 0.08112054","-0.53610732"," 0.82883573","-0.17569279","-1.37462492","-0.36837733","-0.74587161"," 0.21001070"," 0.03914370"," 0.31370986"," 0.63064974"," 0.66616608"," 0.45998753"," 0.28516147"," 0.41268654"," 0.51280571"," 0.11429701","-1.69423359"," 0.49516020"," 0.74651443"," 0.35649560"," 0.38232751"
"M633.478T1401.37","-0.506725474","-0.379785204","-0.258430668"," 0.038399588"," 0.349036230","-0.034626712"," 0.015371648"," 0.517681218","-0.194413050","-0.284832411","-0.149700349","-0.460579061","-0.319127252","-0.420970515","-1.331206498"," 0.024558667"," 0.260813077","-0.064089253"," 0.230550155"," 0.538826169"," 0.205420170","-0.008697691"," 0.257327372"," 0.407684978"," 0.663970796","-0.362561360"," 0.409903948"," 0.402577165"," 0.198695983"," 0.254928334"
"M646.455T1423.013","-0.42008302","-0.64036199","-0.30537555","-0.19972924"," 0.09969817"," 0.02603543","-0.12852059"," 0.44353868"," 0.08174254","-0.46116402","-0.43643809","-0.40074429","-0.30761021","-0.51934905","-0.89796268"," 0.05795600","-0.04049392"," 0.25726179"," 0.50370847"," 0.41241780"," 0.23687936","-0.01279233"," 0.82667992"," 0.47024346"," 0.29814097","-0.77860667"," 0.16340397"," 0.88329560"," 0.58752587"," 0.20070361"
"M881.484T1273.289"," 0.0904648008"," 0.0942358959"," 0.2977854326"," 0.4618396861"," 0.5336045988"," 0.2458418829","-0.0970211703"," 0.0077997240"," 0.0183364132"," 0.0242076940"," 0.1508595278","-0.0259566022"," 0.0842263362"," 0.3259202096","-0.1402546656","-0.0528605282"," 0.1526866267","-0.0012557511","-0.1098772109","-0.0441130934","-0.0004097278","-0.0384587624"," 0.2079374502"," 0.0189282911"," 0.2567259045","-3.1348131567"," 0.2541220221"," 0.0725954585"," 0.0921308092"," 0.2547719044"
"M637.412T1422.711","-0.34031444","-0.46121347","-0.34694612","-0.04402389","-0.06390595","-0.27781905","-0.11135161"," 0.19115033","-0.08064202","-0.15351152","-0.16954939","-0.25899469","-0.27997460","-0.22768889","-0.76354826","-0.01916201"," 0.30957066"," 0.05121821"," 0.44747582"," 0.42559345"," 0.07035844"," 0.27430429"," 0.48586865"," 0.33616828"," 0.44858042","-0.91220610"," 0.25722681"," 0.62736752"," 0.29494596"," 0.29102316"
"M591.474T1330.445","-0.587076704","-0.566637471","-0.482684365","-0.152142774"," 0.271936983","-0.328060101"," 0.002539016"," 0.438122294","-0.020759741","-0.780629939"," 0.323127290","-0.532759406","-0.231224961","-0.351100932","-1.324647361"," 0.082900294"," 0.247728206"," 0.111887540"," 0.487863739"," 0.514856514"," 0.309157007"," 0.285694332"," 0.547305656"," 0.547399561"," 0.515064619","-0.975647774"," 0.410405950"," 0.671006962"," 0.205947925"," 0.360427642"
"M645.45T1333.909","-0.260791094","-0.448576043","-0.160674813"," 0.011883361"," 0.066665709","-0.258875618","-0.187073855"," 0.258057192"," 0.008108741","-0.133368134"," 0.375019282","-0.422396170","-0.184009640","-0.142165490","-0.444090395","-0.025002100"," 0.006225306"," 0.106515797"," 0.291582086"," 0.444731201"," 0.370585074"," 0.048139033"," 0.471186309"," 0.153981961"," 0.233465166","-1.597645074"," 0.393315375"," 0.509011233"," 0.274405507"," 0.241790092"
"M826.523T1305.342"," 0.008290996"," 0.006184482"," 0.239351979"," 0.310838149"," 0.471996873"," 0.178016827","-0.015819365","-0.051647273","-0.086885852","-0.120403224"," 0.306461735","-0.157916874","-0.270586370"," 0.054071093","-0.489412830","-0.020135210"," 0.164026279"," 0.027333568"," 0.061090376"," 0.130649543"," 0.325318889"," 0.093370545"," 0.212752095"," 0.183945629"," 0.159558952","-2.588811512"," 0.282722539"," 0.151749372"," 0.276682335"," 0.157206255"
"M593.485T1401.37","-0.644141584","-0.535672386","-0.350231600","-0.034958754"," 0.243873842","-0.201055829"," 0.183972570"," 0.369222273","-0.154170399","-0.365746895"," 0.003916712","-0.309177884","-0.054367626","-0.393490698","-1.188603359"," 0.133598894"," 0.232376832"," 0.085939547"," 0.183200773"," 0.324437234"," 0.358741557"," 0.173320176"," 0.387790822"," 0.437950085"," 0.585184906","-0.450067383"," 0.155300121"," 0.426575432"," 0.017431177"," 0.378851446"
"M591.474T1402.346","-0.54068206","-0.53584812","-0.42360468","-0.14525713"," 0.25715963","-0.29588989"," 0.04555510"," 0.42091856","-0.04885015","-0.78504133"," 0.22330092","-0.50248628","-0.26807919","-0.36986790","-1.34758137"," 0.05298550"," 0.24613815"," 0.09155782"," 0.45376004"," 0.53243038"," 0.29636670"," 0.27864983"," 0.55355445"," 0.52363923"," 0.54388681","-0.90554903"," 0.43004043"," 0.67177722"," 0.20477135"," 0.34224498"
"M1123.351T817.469","-0.30242233","-0.14855205"," 0.39805996"," 0.32946804"," 0.42367370"," 0.23885981"," 0.15806442"," 0.19830885","-0.19667215"," 0.03567034","-0.55916065"," 0.16271722","-0.09766790"," 0.56627930"," 0.13564262","-0.07361275"," 0.23801833","-0.18356818"," 0.47752057"," 0.28397539","-0.13466013"," 0.20445498","-0.28069276","-0.25767520","-0.41499839","-1.65622301"," 0.08209700"," 0.20737811"," 0.09995436"," 0.06576252"
"M645.458T1212.039","-0.191704055","-0.352307172","-0.080424326"," 0.032831591"," 0.062289937","-0.209298595","-0.127120764"," 0.253476090"," 0.051084016","-0.086094833"," 0.477576540","-0.322994244","-0.158799455","-0.038682113","-0.446677027","-0.031430505"," 0.005109428"," 0.073242747"," 0.273840169"," 0.288833589"," 0.403324215"," 0.004745091"," 0.319022756"," 0.100526975"," 0.078784715","-1.818176605"," 0.504849734"," 0.452502984"," 0.280648235"," 0.201020883"
"M555.363T1275.021","-0.16008294","-0.15486545","-0.60414838","-0.62308197","-0.19401378","-0.38152664","-0.22632172"," 0.09080969","-0.04670568","-0.48209840"," 0.77925587"," 0.61655528","-0.15054054","-0.30202514","-0.55039981"," 0.54056530","-0.07583015"," 0.40554069"," 0.70769340"," 0.30208353"," 0.60129149"," 0.13538364"," 0.13940842"," 0.10539977","-0.03483526","-1.48298603"," 0.26079490"," 0.36657922"," 0.22839063"," 0.18971005"
"M277.217T1187.469"," 0.346528078"," 0.357631444","-0.377592772","-0.197295167","-0.523667727"," 0.057344483"," 0.108410710"," 0.304005773","-0.005385097"," 0.238147606","-0.806285181"," 0.833919957"," 0.271475926"," 0.097865074"," 0.230306189"," 0.643854154","-0.159229804"," 0.590392343"," 0.558697158"," 0.418155536"," 0.802099353"," 0.359731033","-1.114601033","-0.248895070","-0.114663552","-2.426402262","-0.249473588","-0.670140908"," 0.326943581"," 0.348123762"
"M670.528T1488.279","-0.53855619","-0.47863531","-0.41287847","-0.05698665"," 0.24229056","-0.26429485","-0.36627470"," 0.11509499"," 0.07907248","-0.30891015","-0.38298320","-0.45018879","-0.44345997","-0.62390563","-0.60701843","-0.03109707"," 0.28479787"," 0.03256593"," 0.45492996"," 0.46275055"," 0.05244871"," 0.29634432"," 0.78361199"," 0.54207790"," 0.39226687","-0.25255981"," 0.21837045"," 0.82937119"," 0.21766402"," 0.21409142"
"M679.449T1212.039","-0.17042127","-0.64733990","-0.30131262","-0.16466027","-0.17511472","-0.15862018","-0.21079527"," 0.16992048","-0.01404879","-0.05800078"," 0.25574627","-0.17239038","-0.23877104"," 0.03398440"," 0.11527173"," 0.17651907"," 0.21709928"," 0.14719204"," 0.48975055"," 0.54994551"," 0.25100849"," 0.05935133"," 0.34864383"," 0.11126514"," 0.12306622","-2.09206321"," 0.19232753"," 0.65224699"," 0.26800032"," 0.24219925"
"M697.464T1209.593","-0.33784781","-0.35644636"," 0.26042655","-0.01090453"," 0.35693708","-0.05861319","-0.34659790","-0.16254631","-0.19080123","-0.38764830"," 0.58657829","-0.57098832","-0.11177035","-0.99354252","-0.71308325"," 0.19887293"," 0.37321525"," 0.19213768"," 0.56008176"," 0.50338269"," 0.30812649"," 0.12102856"," 0.50496473"," 0.26179705"," 0.29068612","-2.21198799"," 0.49758657"," 0.58256360"," 0.42515757"," 0.42923515"
"M985.571T1146.934"," 0.235198490","-0.041133060"," 0.241797881"," 0.103766630"," 0.036258142"," 0.151079147"," 0.227771386"," 0.094706660"," 0.234947314"," 0.271639394"," 0.430649582"," 0.212297280"," 0.014524719"," 0.321339874","-0.063492351"," 0.001660984"," 0.055099428"," 0.018668335"," 0.112507404","-0.139062597"," 0.165835526"," 0.160551293","-0.081851523","-0.023728130","-0.125596726","-3.128712824"," 0.341787819","-0.012084347"," 0.140973657"," 0.042600616"
"M424.216T1338.866"," 0.32924198","-0.28463793","-0.13099641","-0.03537405","-0.01682313","-0.34346930","-0.06645235"," 0.36947621"," 0.39065681"," 0.23464145"," 0.54972989","-0.04336720"," 0.14394470","-0.05741630","-0.15413558"," 0.13224200","-0.50056441"," 0.25434470"," 0.02952099"," 0.09549933"," 0.40342385"," 0.06771188","-0.07298320","-0.41889934"," 0.24097689","-0.88169346","-0.36492791","-0.28724324"," 0.12546564"," 0.29210747"
"M565.409T1275.021","-0.382506319","-0.495933564","-0.475297662","-0.246869207"," 0.072081136","-0.261937348","-0.230937102"," 0.032683231"," 0.007342554","-0.446867018"," 0.662337045","-0.690161444","-0.334776009","-0.552371991","-0.953263816","-0.114726724"," 0.066117637","-0.003943943"," 0.385776469"," 0.455639717"," 0.176203791"," 0.234119830"," 0.511251828"," 0.055637784"," 0.685938853"," 0.353782457"," 0.279938530"," 0.695146105"," 0.121718886"," 0.393876293"
"M698.466T1253.346","-0.33698123","-0.32626500"," 0.19261840"," 0.06046749"," 0.33721480","-0.06771163","-0.59863770","-0.04388310","-0.09632545","-0.27389768"," 0.42071878","-0.58860525","-0.18768958","-0.59180197","-0.62316250"," 0.14182966"," 0.41186973"," 0.22240784"," 0.53046485"," 0.52613730"," 0.34776279"," 0.07183106"," 0.53028214"," 0.30840729"," 0.17586764","-2.33491514"," 0.38109335"," 0.63097205"," 0.36384143"," 0.41608962"
"M661.446T1372.452","-0.474218881","-0.479887892","-0.222268923"," 0.006287623"," 0.100880553","-0.202062446","-0.086699214","-0.025213559","-0.200478243","-0.314499317","-0.045527118","-0.444058432","-0.084808023","-0.297977609","-0.543783854"," 0.054149775"," 0.007594621"," 0.156520707"," 0.458141127"," 0.544529866"," 0.236990509"," 0.054771604"," 0.606138643"," 0.301262371"," 0.218506287","-1.358177122"," 0.365583366"," 0.861254257"," 0.353010954"," 0.454038370"
"M695.45T1338.973","-0.47240556","-0.28578812","-0.35727456","-0.23731203","-0.02165152","-0.26014256","-0.34422420","-0.09700368"," 0.01783919","-0.39470645","-0.37010725","-0.45360271","-0.34797838","-0.37070794","-0.64683114"," 0.13341005"," 0.26726301"," 0.17133176"," 0.71075890"," 0.64491901"," 0.19341654"," 0.17264145"," 0.75016168"," 0.31538471"," 0.42418021","-1.05660565"," 0.15301082"," 1.00809028"," 0.29909623"," 0.45483788"
"M593.49T1490.213","-0.68988338","-0.50224806","-0.31350275","-0.01799808"," 0.26037294","-0.17863526"," 0.17776286"," 0.31789468","-0.14533048","-0.34048655","-0.16544313","-0.33212385","-0.03963228","-0.37785110","-1.12478392"," 0.15123588"," 0.24700229"," 0.05855526"," 0.16009324"," 0.34298330"," 0.35870366"," 0.16903651"," 0.36922241"," 0.45765941"," 0.63661521","-0.41160475"," 0.13141547"," 0.43007875"," 0.01227830"," 0.35861340"
"M951.567T1289.006","-0.04789734","-0.20842080"," 0.14844283"," 0.08601701"," 0.40136751"," 0.26152568"," 0.22132959"," 0.19544111"," 0.26744146"," 0.23095226"," 0.18561363","-0.08757078","-0.18385553"," 0.38544863","-0.48278281","-0.23100828"," 0.02911869","-0.22124909","-0.20227684"," 0.22500449"," 0.04393691","-0.10910795"," 0.02863642","-0.07103664"," 0.37084379","-2.57539015"," 0.39979731"," 0.30441832"," 0.29527253"," 0.33998804"
