"","C9.1","C9.2","C9.3","C9.4","X9.1","X9.2","X9.3","X9.4","D9.1","D9.2","D9.3","D9.4","F9.1","F9.2","F9.3","QC.1","QC.2","QC.3","D12.1","D12.2","D12.3","D12.4","F12.1","F12.2","F12.4","C12.1","C12.4","X12.1","X12.2","X12.3"
"Label","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","First_Time-point","Other","Other","Other","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point","Second-Time-point"
"M439.145T828.514","-0.405674499","-0.918895622"," 0.261820133","-0.386472828","-0.115861509"," 0.163805421","-0.259706419","-0.369447617","-0.377361628","-0.563831690"," 0.587221574"," 0.346043278"," 0.418962860"," 0.186035390","-0.009386508"," 0.483553489"," 0.368935604"," 0.314812544"," 0.726662043","-0.039084644"," 0.207094004"," 0.529913486"," 0.089131341"," 0.536069609","-0.173528253","-2.409434410"," 0.272317341"," 0.231115157"," 0.429106351","-0.123913998"
"M722.265T908.018","-0.41488808"," 0.41999042"," 0.48678839"," 0.65133751"," 0.58335199"," 0.54928006","-0.65600414","-0.85581706","-0.59582172","-0.70540570"," 0.67359523","-0.40962295","-0.25488870","-0.09739010","-0.33885686","-0.07855108"," 0.61554522","-0.19668734"," 0.09454751"," 0.65927697"," 0.12108616","-0.09194566"," 0.69363353"," 0.34564560","-0.11190930","-2.82215351"," 0.70490592"," 0.56929529"," 0.23047134"," 0.23119109"
"M1028.737T1475.069","-2.01635422"," 0.57672961"," 0.46101981","-0.23172238","-0.17764758"," 0.65231884"," 1.24042099","-0.24086761"," 0.57191614","-0.27920420","-1.97054360"," 0.54878051","-0.26773244","-0.52740516","-0.72684832"," 0.55378513","-0.19503555","-0.48789322","-0.25729670"," 0.57639332"," 1.60217316","-0.50216226","-0.03357392","-0.28573197"," 0.79426880"," 0.80958874","-0.31740996","-0.23223087","-0.05682497"," 0.41908988"
"M701.546T1456.786","-0.571234630"," 0.124238934","-0.083765630","-0.092812073"," 0.583065197","-0.038324440","-0.013910880","-0.262918801"," 0.284961910","-0.383542630"," 0.049673133","-0.427861743"," 0.012977321"," 0.076663201","-0.367190345"," 0.002263757"," 0.154941333","-0.420960424","-0.264185618"," 0.103603005","-0.068046771","-0.464088911"," 0.045680923","-0.211761761"," 0.857553257"," 1.155905552"," 0.426087674","-0.225639452"," 0.040732490","-0.022103579"
"M373.363T1574.274","-0.25667451","-0.08630024"," 0.11265161"," 0.28832468","-0.09428868"," 0.12708809","-0.03449638","-0.23831868"," 0.14192885","-0.39178918","-0.15914454"," 0.23170400","-0.05976116","-0.25498765","-0.15715659"," 0.16137898"," 0.09027034","-0.17390680","-0.12045245"," 0.55298719","-0.09571225","-0.21901762","-0.37526434","-0.11250819"," 0.57032823"," 0.62938047"," 0.05748712","-0.19546296","-0.14947823"," 0.21119089"
"M365.275T1406.394","-0.41939913"," 0.55461306","-0.03085190","-0.10734683","-0.10583119","-0.18629270"," 0.61639519"," 0.22080876"," 0.05813572"," 0.57628345","-0.44537959","-0.30502150","-0.20561489"," 0.57433972","-0.31173325","-0.35260742"," 0.02194826","-0.53230976","-0.07702731"," 0.31937516","-0.04365538","-0.23374749","-0.12481746"," 0.19728888"," 0.31738866","-0.57754785","-0.12401132"," 0.02223944"," 0.04692933"," 0.65744935"
"M299.11T1608.887","-0.021611178"," 0.156311929"," 0.142462806"," 0.022718563"," 0.112521236","-0.109976785","-0.008111240","-0.028385619","-0.029744068","-0.001199052","-2.593261521","-0.054606571","-0.001220980"," 0.005173563"," 0.100684992"," 0.335359946"," 0.035504440"," 0.073117984","-0.052807224"," 0.179578643","-0.027938998"," 0.034747880","-0.041483140","-0.016635987"," 0.493957475"," 0.320450972","-0.036395936","-0.017239672"," 0.722952858"," 0.305074687"
"M840.568T1356.47","-0.09336387"," 0.62307758"," 0.19762042"," 0.25073352"," 0.06775637"," 0.15595884"," 0.41177809"," 0.09121702"," 0.83434424"," 0.20653499"," 0.17408027"," 0.13348642","-1.85182632","-1.87613046"," 0.38777083","-0.60441124"," 0.38234775"," 0.02218668"," 0.25612213"," 0.73733617"," 0.35074735","-0.04237009","-1.87045220"," 0.12272585"," 0.16285171","-0.44573203","-0.28400864"," 0.58005184"," 0.12354614"," 0.79602062"
"M891.589T1509.101","-0.59369360"," 0.32919645"," 0.06035711","-0.81699173","-0.27894717"," 0.13248500"," 0.69486913","-0.34292757"," 0.43965406","-0.42117979","-0.36322603"," 0.04161881"," 0.08894420"," 0.08932086","-0.15428196"," 0.24059538","-0.25738675","-0.56002949"," 0.03682460"," 0.33616985"," 1.39853466","-0.70219615","-0.24846667","-0.23132903"," 0.26093941"," 0.44804154","-0.03102292","-0.02744423"," 0.08299959"," 0.34857243"
"M586.241T903.94"," 0.308569508","-0.449935743","-0.137233740"," 0.007368551"," 0.009064940"," 0.015039658","-0.035095171"," 0.138872040"," 0.170509242"," 0.034801171","-0.471797842","-0.021878945"," 0.054333275"," 0.407394789"," 0.324237014"," 0.311226876"," 0.004205071"," 0.165350423"," 0.233907086"," 0.098602663","-0.129127617"," 0.352177596"," 0.121005051"," 0.208178366"," 0.348556966","-2.280851084"," 0.052275544"," 0.030858719","-0.002670199"," 0.132055791"
