"",F.stat,p.value,-log10(p),FDR
M592.477T1456.705,6.2945,0.0057039,2.2438,0.12565
M676.501T1423.01,6.1995,0.0060866,2.2156,0.1328
M646.454T1406.122,6.1729,0.0061983,2.2077,0.13397
M549.426T1489.95,6.1317,0.0063764,2.1954,0.13653
M587.443T1574.815,6.0906,0.0065594,2.1831,0.13905
M463.374T1523.897,6.0782,0.0066156,2.1794,0.13905
M571.455T1406.584,6.0416,0.0067849,2.1685,0.14131
M644.52T1393.418,5.9069,0.0074488,2.1279,0.15374
M592.477T1439.652,5.8578,0.0077079,2.1131,0.15744
M499.365T1490.14,5.8472,0.0077654,2.1098,0.15744
M365.192T1471.536,5.7978,0.0080381,2.0948,0.16154
M590.446T1338.898,5.7442,0.0083453,2.0786,0.16422
M487.304T1423.366,5.7207,0.0084847,2.0714,0.16422
M642.503T1456.373,5.7124,0.0085342,2.0688,0.16422
M625.472T1308.231,5.7049,0.008579,2.0666,0.16422
M574.467T1456.399,5.7045,0.0085817,2.0664,0.16422
M472.321T1423.013,5.6961,0.0086322,2.0639,0.16422
M629.529T1601.79,5.6893,0.0086736,2.0618,0.16422
M549.406T1423.559,5.6687,0.0088004,2.0555,0.16526
M692.521T1354.385,5.6293,0.0090485,2.0434,0.16854
M549.428T1523.962,5.5909,0.0092972,2.0316,0.17177
M333.198T1457.004,5.4898,0.0099877,2.0005,0.18305
M555.448T1352.626,5.4328,0.010402,1.9829,0.18816
M563.405T1390.077,5.4289,0.01043,1.9817,0.18816
M711.565T1605.092,5.3852,0.010761,1.9681,0.19261
M661.446T1372.452,5.3596,0.01096,1.9602,0.19465
M587.368T1406.262,5.327,0.011219,1.95,0.19771
M637.414T1384.421,5.2947,0.011483,1.94,0.19973
M711.567T1574.614,5.2789,0.011613,1.935,0.19973
M865.579T1358.969,5.2771,0.011628,1.9345,0.19973
M643.444T1405.963,5.2707,0.011682,1.9325,0.19973
M711.566T1557.453,5.2274,0.012052,1.9189,0.20453
M648.466T1423.012,5.1722,0.012542,1.9016,0.21071
M608.454T1439.392,5.1658,0.0126,1.8996,0.21071
M630.465T1474.173,5.1205,0.013021,1.8854,0.21616
M455.319T1542.988,5.0774,0.013434,1.8718,0.21985
M439.317T1473.604,5.0773,0.013435,1.8718,0.21985
M547.412T1341.992,5.0527,0.013677,1.864,0.22223
M472.315T1401.37,4.9753,0.014472,1.8395,0.23349
M645.528T1574.126,4.9394,0.014856,1.8281,0.23801
M646.453T1439.754,4.9291,0.014969,1.8248,0.23815
M647.463T1423.013,4.9002,0.01529,1.8156,0.24158
M631.469T1456.902,4.877,0.015552,1.8082,0.24404
M1002.709T1624.867,4.8606,0.015741,1.803,0.24532
M889.582T1473.64,4.8396,0.015986,1.7963,0.24675
M639.424T1423.012,4.8343,0.016048,1.7946,0.24675
M541.47T1540.699,4.8221,0.016194,1.7907,0.24733
