"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"D12.1",11.426,3.5606,4.876,3.0036,7.943,-0.18817,1.8525,5.6523,-2.8205,0.28265,1.8755,-0.79515,0.39557,0.64193,0.84143,1.4548,-0.29013,0.5462,-0.72398,-0.74821,-5.3725,2.1832,0.9328,-0.8515,-1.5448,-2.5524,0.2824,-0.24001,-1.6734,-2.9213e-15
"D12.2",5.6987,-9.6496,0.5063,-5.3575,1.969,4.5729,4.2631,2.6154,3.3123,-3.6174,3.0872,-1.5102,0.82173,2.5569,-2.5578,1.2949,-0.40242,2.6749,0.48565,-1.8817,1.3028,-0.88904,-3.8257,0.41271,-0.36314,-1.5176,0.6362,1.5325,1.1151,1.0261e-15
"D12.3",2.3847,-16.521,-12.842,-3.7912,4.4817,-8.7639,-1.221,4.8248,-2.5375,3.2414,-2.6111,1.008,0.54004,-2.8735,-1.6383,1.0607,-1.1045,0.94742,-0.30011,-0.25774,0.63753,-1.9264,-0.80724,-1.5486,-0.77917,-0.74021,-1.5054,-1.1158,0.24753,-8.1035e-15
"D12.4",10.803,8.8685,4.2626,6.3156,5.0592,1.4776,0.96684,2.2448,-3.0941,-3.5505,-0.571,-1.1869,0.97236,-1.6124,2.0796,1.7728,-3.8324,2.6977,-0.38897,-1.9713,2.3553,0.26823,2.0939,-0.52739,0.77115,2.7632,-1.5988,0.46468,0.78652,-4.2865e-15
"F12.1",2.894,-0.79926,11.428,-5.2778,-2.0491,-3.2449,-0.77677,-1.9897,-0.1435,-0.49831,-3.4979,-3.8872,0.70084,-0.43702,0.22458,0.75668,-0.38768,-1.258,0.16892,2.9958,1.8129,2.1093,-0.39552,1.5831,-4.019,-1.2178,-1.5481,0.61593,0.85421,7.3335e-16
"F12.2",9.4988,1.2196,8.1144,0.33614,4.7931,-3.9497,2.6297,1.016,0.97127,1.5181,-0.68009,0.52405,-2.4871,-3.2427,1.5776,-2.3906,-0.42325,-2.3239,2.1276,-2.1551,2.3628,1.3607,-0.96842,-1.8179,0.82095,-1.0645,3.4652,0.35951,0.46137,4.2917e-15
"F12.4",7.2183,-17.141,6.1427,-0.8215,2.7355,9.8913,-5.5989,-5.5125,-2.3534,5.7604,-0.68647,-0.74286,-4.2854,0.27215,1.0538,0.089072,0.20073,1.8014,-1.3636,-1.3228,-0.10892,-0.34159,0.31717,0.061021,0.061634,-0.077043,-0.42638,-0.07034,0.16583,3.5293e-15
"C12.1",-76.434,-0.85396,5.7044,-0.069386,9.1083,-0.38271,-0.58748,-0.37925,1.4516,-0.48484,-0.63719,1.1103,0.74441,0.033694,0.49646,-0.13735,-0.11724,0.51962,-0.33914,-0.38968,-0.1936,-0.099895,-0.057395,0.037311,0.14128,-0.054419,-0.0096797,-0.13816,-0.042381,-4.3096e-14
"C12.4",8.2374,3.145,-1.0612,-8.0935,-0.15965,-2.7491,-0.92598,-0.32287,5.9395,3.3452,1.696,2.4294,1.6812,5.0755,5.1044,1.2758,-1.3507,-0.79311,0.34618,-0.22142,1.5953,0.60212,-0.43869,-0.79832,0.62994,0.0014296,-1.2599,-1.2008,-1.281,-8.9338e-17
"X12.1",6.3213,-0.79338,10.277,-5.2611,0.48845,-0.25983,-0.32125,6.0802,2.555,0.47427,0.28814,-0.67878,-2.0414,0.58576,-2.0643,-1.7365,-1.0836,1.5975,0.69677,4.8113,-1.4725,-0.73577,-0.40369,-0.21669,1.7245,2.8534,0.73856,-1.9226,0.24329,4.574e-15
"X12.2",5.9539,-1.6319,0.44954,-1.6936,0.70847,-4.0748,2.4926,2.814,1.6184,3.0156,-0.96793,3.0169,0.8512,0.11723,0.32586,1.4731,5.0955,1.3966,-1.1744,0.011634,-0.44647,1.5011,1.5019,1.4541,0.80731,1.8911,0.28365,3.3026,1.7309,2.3842e-15
"X12.3",5.2917,-12.182,0.59707,-1.5423,-0.76734,6.7403,-1.2799,-1.2431,1.9102,0.32362,2.1205,2.6975,5.6792,-3.329,-3.1166,-0.74636,-1.3062,-2.5953,-0.50883,0.10259,0.080433,3.1943,0.49083,0.21293,1.1494,0.52405,-0.52719,-0.52685,-0.49912,-2.0296e-15
