"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X34.F9.2.neg","X36.F9.3.neg","X46.F9.4.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg","X31.C15.3.neg","X47.C15.1.neg","X50.C15.2.neg","X04.D15.4.neg","X06.D15.2.neg","X35.D15.1.neg","X37.D15.3.neg","X17.F15.3.neg","X25.F15.1.neg","X30.F15.2.neg","X51.F15.4.neg","X08.X15.4.neg","X11.X15.3.neg","X29.X15.1.neg","X42.X15.2.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M375.07T470.729"," 0.38438790","-0.27766867"," 0.57986091"," 0.11685826"," 0.57241187"," 1.31520750"," 0.01457854"," 0.31773475"," 0.08830208","-1.10086451"," 0.94719009","-0.86354388"," 0.13128218"," 0.86520668"," 0.35520267"," 0.58181373","-1.45034240","-0.02812227"," 0.05702960"," 0.13147470"," 0.30318701","-0.23282553"," 0.16885766"," 0.24751527"," 0.45718390","-0.92543301","-0.08957675"," 0.85285210"," 1.58251110"," 0.93488036"," 0.85415727","-0.89257792"," 0.64922443"," 0.98794183","-0.53438097"," 0.55910414"," 0.09249122","-1.29059922"," 0.12970289","-1.27455809","-1.02818693","-1.15680396","-1.15784132","-0.35030917","-0.35161200"," 0.08353504","-0.25328156","-0.11813374","-0.98502376"
"M562.053T1195.871"," 0.34935103"," 0.01662305"," 0.34890530"," 0.22518158"," 0.46939257"," 1.34629424"," 0.25554624","-0.28070963","-0.10154712","-0.96531840"," 1.20402890","-0.55556645","-0.03855435"," 0.71738909"," 0.02451461"," 0.57727635","-1.21369579","-0.03162967","-0.20411908"," 0.07376751"," 0.28177767"," 0.06800647"," 0.23190599"," 0.23847099"," 0.23424482","-0.71240530","-0.15395416"," 0.45868187"," 0.75335712"," 0.23722328"," 0.57804930","-0.79397994"," 0.11592665"," 0.41005859"," 0.05065014"," 1.06808602"," 0.35389135","-0.97664152","-0.46825059","-0.96754409","-0.85148443","-0.89619170","-0.75104659"," 0.94295692","-0.24136001"," 0.28160785","-0.64251976","-0.13466674","-0.93198018"
"M943.502T1194.413"," 0.022953308","-0.093926347"," 0.305444276"," 0.365226271"," 0.417840477"," 1.753174606"," 0.120925497","-0.299545561","-0.028823804","-0.972092951"," 0.532052627","-0.559135979"," 0.217874300"," 0.604314663","-0.239225214"," 0.597585404","-1.222413153","-0.089964502","-0.006912453"," 0.019931544","-0.062334604"," 0.106800251"," 0.217938651"," 0.442055973"," 0.310119914","-0.717201597"," 0.016585020"," 0.531114804"," 0.525900570"," 0.345457464"," 0.435534042","-0.799414304"," 0.260636699"," 0.411925028","-0.100958769"," 1.062378243"," 0.233049628","-0.983504643","-0.471137153","-0.974336052","-0.857368586","-0.902425548","-0.756145138"," 1.163861354","-0.052120446"," 0.176333225"," 0.072718230","-0.142251305","-0.938493959"
"M1096.565T894.076"," 0.52537551"," 0.08086010"," 1.25868324","-0.15829410"," 0.87983558"," 1.92901254","-0.47354281","-0.30654652","-0.80195174","-1.11709780","-0.22059116","-0.80560511"," 0.35559500"," 1.14230695","-0.21346729"," 0.70304688","-0.44063367"," 0.71926095"," 0.30419152","-0.04109786"," 0.70043222"," 0.95087317"," 0.26282327"," 0.53292562"," 0.25275569","-0.92483374"," 0.23273966"," 0.04979278"," 2.07013225"," 0.82191139"," 0.01213870","-0.98684663","-0.42843790","-0.23272128","-0.06450451"," 0.92330312"," 0.42653408","-1.12570562"," 0.10811591","-1.11878977","-1.03056144","-1.06454782","-0.95420878","-1.14157524","-1.02252949"," 0.01337619"," 0.32012501"," 0.18969709","-1.09175415"
"M354.093T469.671"," 0.57262739"," 0.07300621"," 0.69853058"," 0.33771052"," 0.71164230"," 1.27558676"," 0.28410763"," 0.47912333"," 0.34455376","-1.80437767"," 0.97996483","-1.54895298"," 0.40624713"," 0.87034239"," 0.53613467"," 0.66922767","-1.24967302"," 0.30546934"," 0.29823588"," 0.33888745"," 0.46944261"," 0.08267597"," 0.38960592"," 0.46511641"," 0.59119397","-1.64672111"," 0.18881924"," 0.92191404"," 1.43481626"," 0.99122361"," 0.88739945","-1.69757187"," 0.76455438"," 1.01551427","-0.15549314"," 0.71481793"," 0.33847948","-1.81143604"," 0.34338680","-1.80576508","-1.73341805","-1.76128685","-1.67080875","-0.71860592","-0.04882260"," 0.32799128"," 0.08434063"," 0.24383894","-1.78359598"
"M437.041T470.729"," 0.23154389","-0.41536831"," 0.52956305","-0.06456614"," 0.44621715"," 1.44636259","-0.18123855"," 0.13016661","-0.10091393","-0.52926737"," 0.93895076"," 0.28893716","-0.16223410"," 0.77174935","-0.03433700"," 0.37214550","-0.31837785","-0.27254861","-0.25154462","-0.21999062"," 0.12521531","-0.45884665"," 0.01713578"," 0.02421356"," 0.20633889","-1.18822140","-0.31466631"," 0.84687822"," 1.60833636"," 0.97585288"," 0.80340533","-1.47591491"," 0.52690212"," 0.97766203","-0.79997259"," 0.22387799","-0.11060735","-0.81270805","-0.01790824","-0.66569850","-0.14532182","-0.23720562","-0.04983698","-0.77168912","-0.63854022","-0.13519148","-0.57854718","-0.34099111","-0.19919989"
"M444.996T106.721"," 0.19267936"," 0.13440135"," 0.34121110"," 0.28424562"," 0.22948464"," 1.47404607"," 0.17163537","-0.23081243","-0.03268307","-1.22521199"," 1.02409110","-0.74498450","-0.03404135"," 0.90711448"," 0.02055206"," 0.21549388","-1.11417280","-0.23724582","-0.25958797","-0.14676656","-0.15358616","-0.10563665"," 0.21757939"," 0.23608917"," 0.58956754","-0.37271005"," 0.02901405"," 0.46972842"," 1.13054093"," 0.50780526"," 0.42102582","-0.62053514"," 0.34636268"," 0.18388308","-0.09977166"," 0.99147427"," 0.83351454","-0.88909691"," 0.30004310","-0.46652827","-1.51310749","-1.03363704","-0.18734370"," 1.08905365","-0.32684852"," 0.05326704","-0.89708666","-0.49071274","-1.21179646"
"M808.155T1200.534"," 0.32721658"," 0.63357314"," 0.55527642"," 0.49979247"," 0.81956826"," 1.10379675"," 0.11270584","-0.65963041","-0.31633466","-1.40993638"," 1.07160074","-1.07970633"," 0.78828287"," 0.61595431"," 0.24476510"," 0.38795488","-1.61010951"," 0.29924955"," 0.27364694"," 0.04038781"," 0.27339092"," 0.54709715"," 0.22767731"," 0.55370579"," 0.25472507","-1.20610708","-0.12169749"," 0.34222571","-0.11564888"," 0.15261637"," 0.29559849","-1.27185028","-0.53276664"," 0.60898501"," 0.54533803"," 1.38968023"," 0.53573682","-1.41906197","-0.63706587","-1.41173013","-1.31819467","-0.43689406","-1.23724914"," 0.72075921"," 0.25969324"," 0.43515939"," 0.23957290","-0.08337440","-0.28837542"
"M631.151T795.429","-0.111966332","-0.119929628"," 0.068695416","-0.158604010"," 0.182877930"," 1.140118005","-0.012019447"," 0.001601903","-0.035087243","-1.290160992"," 0.641441025","-0.933694387","-0.148129100"," 0.492039205","-0.067468290"," 0.162661744","-0.516027447"," 0.035973405"," 0.084525558"," 0.171206486"," 0.361348648"," 0.061264150"," 0.286977654"," 0.089491331"," 0.689704767","-1.070137505"," 0.117811010"," 0.692773364"," 1.363788973"," 0.784632398"," 0.580762578","-1.141103948"," 0.451532122"," 0.931743865"," 0.161676377"," 1.093468413"," 0.528043202","-1.300011615"," 0.369783710","-1.292097247","-1.191130377","-1.230023766","-1.103753777"," 0.243007947","-0.157585383"," 0.501129392"," 0.520586528"," 0.329421578","-1.261158189"
"M757.441T1176.453"," 0.49696245"," 0.31627318"," 0.91662171"," 0.31173982","-0.13663140"," 1.02449318"," 0.12573760"," 0.63707190"," 0.16324618","-1.40324423"," 0.61048010","-1.08038552"," 0.12016097"," 0.99272002"," 0.03465812"," 0.52245373","-1.59894953"," 0.03860501"," 0.09629790"," 0.44160074"," 0.49646068"," 0.50040640","-0.04175332"," 0.21644683"," 0.29973466","-1.20396471"," 0.06543155"," 0.93463250"," 1.33653839"," 0.63123412"," 0.93787877","-1.26824039"," 0.37386813"," 0.45337756"," 0.24209811"," 0.62043181"," 0.42291412","-1.41216612","-0.24292993","-0.50814401","-1.31355030","-1.34877679","-1.23441162"," 0.35449972","-0.04158132"," 0.51177757","-0.56447745","-0.47067106","-1.37697583"
"M881.515T1351.787"," 0.283415001","-0.032429405"," 0.550168349"," 0.310754847"," 0.349042601"," 1.310605411"," 0.203313988"," 0.070261146","-0.145161282","-1.257061510"," 0.482338307","-1.151426452","-0.286377834"," 0.888667910"," 0.000819304"," 0.334552491","-0.650465035","-0.204158923"," 0.006219059","-0.098314146"," 0.045304676"," 0.191966755"," 0.086621191"," 0.261825739"," 0.290848901","-2.245070476","-0.007957854"," 0.683238952"," 1.190001622"," 0.700596483"," 0.735394618","-2.313956461"," 0.414080417"," 0.585281319"," 0.028488928"," 0.897458329"," 0.208022843","-0.795407681"," 0.272907962","-0.710657812","-0.699962905","-0.202313808","-0.412472512"," 0.785344168"," 0.200223641"," 0.086180262","-0.101721604","-0.189493184","-0.949536336"
"M967.577T1245.908"," 0.26588855","-0.04897352"," 0.43873626"," 0.44856650"," 0.28230116"," 1.20584487"," 0.22572280"," 0.25760659"," 0.06846369","-1.03459169"," 0.71398024","-0.63271270"," 0.22395153"," 0.74881923"," 0.11061226"," 0.49953936","-2.12935054"," 0.15783568"," 0.10319833"," 0.17736747"," 0.35811127"," 0.39356987"," 0.31149269"," 0.43872665"," 0.69549393","-0.36704789"," 0.19687555"," 0.68492484"," 1.04620058"," 0.63867103"," 0.52843098","-1.82664981"," 0.59143561"," 0.40494645"," 0.09378166"," 0.94156737"," 0.36296832","-1.95838660"," 0.27677636","-1.95182548","-1.04721810","-0.66222586","-1.79568590"," 0.63242003"," 0.23145207"," 0.38327327"," 0.26804058","-0.02674896","-1.92617659"
"M511.24T944.134"," 0.36938851"," 0.25136892"," 0.61566410"," 0.45598834"," 0.46534018"," 1.19394787"," 0.18242780"," 0.18010082","-0.09408134","-1.83819592"," 0.93317939","-1.56192434"," 0.19496982"," 0.73003257"," 0.39935459"," 0.72788558","-2.00566102"," 0.29550437"," 0.11928189"," 0.13261917"," 0.23827064"," 0.22173844"," 0.45310096"," 0.43759646"," 0.62276307","-1.66767170"," 0.30084150"," 0.70299048"," 1.20920715"," 0.98795521"," 0.74764786","-1.72267269"," 0.75683588"," 0.65175449"," 0.10223756"," 0.77028515"," 0.27405614","-1.84583041"," 0.58277277","-1.83969657","-0.97291362","-1.79158798","-0.80726288","-0.07375220"," 0.09343485"," 0.31063248"," 0.37806072"," 0.18028980","-1.04827488"
"M557.187T899.436"," 0.120558907","-0.469879989"," 0.169366308"," 0.621846682"," 0.060350097"," 1.437396964"," 0.593875502","-0.328239031"," 0.025005092","-0.959273856"," 0.721498592","-0.583215712"," 0.022491491"," 0.747646097"," 0.669747716"," 0.542896851","-1.187227126"," 0.001492865","-0.055690286"," 0.122732421"," 0.284081963"," 0.037991216","-0.028080008"," 0.540867503"," 0.559247028","-0.727157758"," 0.325788615"," 0.540545421"," 0.939871852"," 0.552627258"," 0.377010301","-0.802024539"," 1.086342259"," 0.598240168","-0.172996448"," 1.058793038"," 0.049709323","-0.969665880","-1.547711961","-0.961316530","-0.854800445","-0.895831440","-0.762621590"," 0.055808566","-0.427425406","-0.214716412"," 0.159469612","-0.146748255","-0.928677034"
"M1029.931T1194.947"," 0.592945457"," 0.026545544"," 0.665690027"," 0.178402915"," 0.678436038"," 1.261426452"," 0.208501676"," 0.091124489"," 0.147758728","-1.781202558"," 0.987502680","-1.476857842"," 0.389095142"," 0.854070277"," 0.228853415"," 0.634130293","-0.822667525"," 0.124732387"," 0.194502843"," 0.123576844"," 0.396525767"," 0.142651286"," 0.362508684"," 0.421879648"," 0.284679443","-1.593351161","-0.407854883"," 0.558216464"," 1.041061212"," 0.483664282"," 0.792892459","-1.653941094"," 0.471432196"," 0.691837446"," 0.231728954"," 0.838685342"," 0.287494576","-0.944181216"," 0.095122566","-1.782855678","-1.696652657","-1.729858954","-0.582031087"," 0.710339661","-0.005269455"," 0.354854128","-0.108735340","-0.136977290","-0.830432580"
"M563.252T904.514"," 0.31974061"," 0.04120587"," 0.56543319"," 0.24847212"," 0.33652172"," 0.99084161"," 0.13170250","-0.11148812"," 0.04342474","-2.05460076"," 0.71507966","-0.30822037"," 0.20645430"," 0.65030366"," 0.31636071"," 0.52021945","-2.23667606"," 0.09942208"," 0.08966924"," 0.28191748"," 0.21965286"," 0.23764497"," 0.35537577"," 0.51908511"," 0.45613311","-0.45445912"," 0.44190310"," 0.44667767"," 0.86617568"," 0.63291853"," 0.54364648","-1.09459471"," 0.65761966"," 0.40312215","-0.02020350"," 0.89807835"," 0.57858712","-2.06290132"," 0.32156793","-0.53964414","-1.97115307","-1.01075938","-1.89752540"," 0.96312689"," 0.02919041"," 0.34072281"," 0.29013399"," 0.14730765","-1.14321325"
"M337.092T724.593"," 0.66945310","-0.28637785"," 0.84878042"," 0.41166854"," 0.97947372"," 1.27488654"," 0.27538232"," 0.36494772"," 0.05820216","-0.79592907"," 1.11112871","-1.43724000"," 0.44456295"," 0.81585567"," 0.41221441"," 0.74532298","-1.87301601"," 0.23971864"," 0.26619709"," 0.33465901"," 0.47255731"," 0.27578926"," 0.24168246"," 0.40010170"," 0.57058359","-1.54109160","-0.16281631"," 0.87823562"," 1.57254512"," 0.76875133"," 0.74282527","-1.59510637"," 0.67396711"," 0.97054726","-0.23626164"," 0.80302162"," 0.08923553","-1.71605497"," 0.21391855","-1.71003119","-1.63318290","-0.78827046","-1.56667802","-0.97619159"," 0.09978549"," 0.16830998","-0.06236234","-0.12721803","-1.68648281"
"M758.447T1173.243"," 0.36453446"," 0.07165416"," 0.59627256"," 0.18932092","-0.28277999"," 0.91308613","-0.03125132"," 0.15518567","-0.55980734","-0.54917742"," 0.56579816","-0.27236467"," 0.09033124"," 0.76742342","-0.22222383"," 0.47601213","-0.84180170","-0.30161053","-0.11919570"," 0.11330555"," 0.13913559"," 0.22335769"," 0.03323932"," 0.09912625"," 0.56359408"," 0.15948662","-0.11186499"," 0.88882272"," 1.50974176"," 0.56151557"," 0.82267714","-0.82321619"," 0.27111647"," 0.59980491"," 0.02904492"," 0.71274353"," 0.21517571","-1.04781667"," 0.21108026","-2.06618940","-0.91802415","-2.00183676","-0.34332459"," 0.66601486","-0.09836838"," 0.28812417","-0.69787422","-0.48543257","-0.52256556"
"M852.114T1329.753"," 0.48236932"," 0.23831532"," 0.54753579"," 0.45146184"," 0.04784519"," 0.91122414"," 0.29927920"," 0.11619928"," 0.06741047","-1.70953929"," 0.80575534","-1.39406846","-0.10797921"," 0.86113369"," 0.09603240"," 0.42529706","-1.90076226"," 0.21890992","-0.17461676"," 0.08411682"," 0.43202813"," 0.42188359"," 0.18969438"," 0.38875203"," 0.71169244","-1.51482042"," 0.24044952"," 0.87395447"," 1.23075895"," 0.67414979"," 0.56066307","-0.51366145"," 0.58784137"," 0.43951732"," 0.02986071"," 0.93330649"," 0.25171161","-0.66779106"," 0.28146876","-0.66077776","-1.62189837","-1.65631863","-1.54457068"," 0.77036629"," 0.19260040"," 0.27176757","-0.41014652","-0.45086809","-0.80753369"
"M854.516T1290.85"," 0.27625703","-0.22256064"," 0.40121831"," 0.37285837"," 0.33803564"," 1.24136399"," 0.13565123"," 0.41157293"," 0.29691396","-0.99400812"," 0.82182488","-1.52229764"," 0.25109273"," 0.84302240"," 0.25723006"," 0.66699436","-1.99956217"," 0.21119005"," 0.16338041"," 0.24481233"," 0.26474644"," 0.29098134"," 0.31345805"," 0.54595374"," 0.49599856","-0.56650617"," 0.28371416"," 0.88653552"," 1.20341379"," 0.73561704"," 0.65317527","-1.69519302"," 0.16204230"," 0.62505644"," 0.02849938"," 0.76402719"," 0.14185720","-0.89913164"," 0.54482002","-1.82105922","-1.73689456","-1.76931564","-1.66405823","-0.13533988"," 0.09934866"," 0.21847089"," 0.34365790"," 0.34080586","-0.84967148"
"M1013.86T1346.532"," 0.279210387","-0.008286289"," 0.263123835"," 0.230305552"," 0.156719537"," 1.179947206"," 0.236517561"," 0.087607031"," 0.154493324","-2.022432168"," 0.565903392","-0.548210105"," 0.219944217"," 0.814930655"," 0.281599988"," 0.465246529","-2.197723574"," 0.187446228"," 0.198570610"," 0.179989582"," 0.297432039"," 0.130981920"," 0.239523611"," 0.433791719"," 0.554117592"," 0.006472057"," 0.189894408"," 0.860502266"," 1.241923348"," 0.703081612"," 0.639996950","-1.901507063"," 0.453799349"," 0.500572229"," 0.133905840"," 0.858550810"," 0.435906663","-1.227080294"," 0.600155478","-2.024002974","-0.601711676","-1.973645052","-0.591676700"," 0.611337708"," 0.124461021"," 0.266554606"," 0.114731553"," 0.195930790","-1.998903309"
"M852.067T1329.714"," 0.32639325"," 0.23340809"," 0.51870001"," 0.39957303"," 0.17248924"," 1.15391787"," 0.29904248","-0.01099737"," 0.30747925","-2.01180512"," 0.82060905","-1.71381789"," 0.10134464"," 0.79011528"," 0.10761533"," 0.40273765","-2.19242904"," 0.16914290"," 0.09424974"," 0.15094638"," 0.42466813"," 0.40841835"," 0.36432184"," 0.31784680"," 0.75715768","-1.00010054"," 0.16274428"," 0.76242949"," 1.08167518"," 0.64223246"," 0.52313028","-0.55584253"," 0.19162472"," 0.44001865"," 0.14024545"," 0.97925338"," 0.45265378","-0.95323976"," 0.37332442","-1.00164910","-1.92902150","-0.97587261","-1.85597939"," 0.89746202"," 0.26845838"," 0.50646024","-0.31359130","-0.25394980","-0.97359378"
"M627.643T1193.32"," 0.45827159"," 0.46565801"," 0.50141662"," 0.43098003"," 0.59512451"," 1.22157118"," 0.42546404","-0.09825046"," 0.16204413","-1.68188929"," 1.10763610","-1.39991483"," 0.31195299"," 0.73039375"," 0.33177776"," 0.64168175","-1.06952619"," 0.40824488"," 0.34545114"," 0.23063250"," 0.28855997"," 0.33876903"," 0.48572867"," 0.42299550","-0.03180940","-1.50784541","-0.29940913"," 0.68377751"," 0.99870209"," 0.50581185"," 0.58737323","-1.56398178"," 0.41759172"," 0.67547744"," 0.32876431"," 0.79460182"," 0.54802297","-1.68968132"," 0.10317311","-1.68342091","-1.60355393","-1.63431950","-1.53443680"," 1.05935532"," 0.22866414"," 0.44052979","-0.06802736"," 0.24881435","-1.65894750"
"M941.508T1318.851"," 0.28657276"," 0.31141628"," 0.57630556"," 0.47329462"," 0.41933261"," 1.12752333"," 0.17316594","-0.03846345"," 0.28023119","-1.61027017"," 0.65550798","-1.30073235"," 0.18741379"," 0.70992779"," 0.13712897"," 0.41271761","-0.93804862"," 0.03805064"," 0.04705284"," 0.14838397"," 0.09095623"," 0.29521405"," 0.32078761"," 0.21729414"," 0.53082066","-0.06804328"," 0.15559381"," 0.72270392"," 1.23923768"," 0.65360179"," 0.61662056","-1.48083691"," 0.48055408"," 0.44391838"," 0.13596537"," 0.92383371"," 0.39519429","-1.61882390"," 0.22607630","-1.61195151","-1.52427731","-1.55805028","-1.44840387"," 0.99402294"," 0.21892330"," 0.48943480","-0.03883751","-0.31295461","-1.58508574"
"M701.418T1268.098"," 0.42489209"," 0.40725717"," 0.69172103"," 0.44625572"," 0.06948915"," 1.20520655"," 0.30172774"," 0.24765490"," 0.15830926","-1.62416753"," 0.71028490","-1.31003677"," 0.05773423"," 0.85553487"," 0.04870872"," 0.39189111","-0.72314668"," 0.28444720"," 0.10581049","-0.09609785"," 0.29332932"," 0.40209677"," 0.11865024"," 0.13328289"," 0.64704017","-1.43027567","-0.05740439"," 0.80955391"," 1.34824537"," 0.72904230"," 0.63274224","-1.49281382"," 0.33847667"," 0.30864458"," 0.07656824"," 0.77127098"," 0.29952271","-1.63284816","-0.05084142","-0.75325976","-1.53689878","-0.05132431","-1.45989955"," 0.95693804","-0.02782877"," 0.72148338","-0.35177464","-0.79658540","-1.59860944"
"M1013.583T1248.821"," 0.35092523"," 0.08348711"," 0.48316599"," 0.52599503"," 0.41824526"," 1.24805892"," 0.36948808"," 0.28231436"," 0.34403758","-1.88957929"," 0.68903915","-1.30371671"," 0.32271791"," 0.76260151"," 0.29535297"," 0.56781744","-1.42221566"," 0.26577040"," 0.19743854"," 0.26858674"," 0.36153524"," 0.43756877"," 0.43161927"," 0.48221396"," 0.71655214","-1.28622812"," 0.29151032"," 0.72411607"," 1.08073701"," 0.66451808"," 0.56323807","-1.54175585"," 0.65049618"," 0.46356692"," 0.21087298"," 0.96722156"," 0.42972182","-2.63885224"," 0.33962712","-1.74983678","-1.49306389","-1.76051348","-1.35385163"," 0.68561096"," 0.32911204"," 0.44051555"," 0.37093708"," 0.05924740","-1.73596710"
"M968.577T1247.645"," 0.180384396","-1.202500947"," 0.223755178"," 0.413783127"," 0.205023943"," 1.445932278"," 0.045105733"," 0.125272020"," 0.009593153","-1.041960066"," 0.690032323","-0.657826220"," 0.011878509"," 0.758503688"," 0.021985475"," 0.479730642","-1.274808590"," 0.011320763","-0.190984084","-0.051428532"," 0.187187195"," 0.258928951"," 0.207678895"," 0.388207879"," 0.631312363","-0.804859359","-0.002957590"," 0.697331054"," 1.119197914"," 0.578147343"," 0.203384868","-0.881333874"," 0.568789583"," 0.425796144","-0.027247640"," 1.014861433"," 0.171436074","-1.052575255"," 0.155936758","-1.044046606","-0.935243123","-0.977155244","-0.841084762"," 0.677007223"," 0.033334737"," 0.199641684"," 0.237469273","-0.381232516","-1.010706187"
"M559.618T1204.987"," 0.497411045"," 0.248801493"," 0.767621194","-0.009541269"," 0.425458066"," 1.163867205"," 0.265377128","-0.181428576","-0.529999790","-1.292895136"," 1.056750732","-0.983715631"," 0.301832012"," 1.090525154"," 0.815459168"," 0.315494065","-1.480306823"," 0.194089473"," 0.472070107","-0.587356846"," 0.658995353"," 0.404220538"," 0.272376948"," 0.189894011"," 0.778397384","-1.102059152"," 0.219673149"," 0.460689986"," 0.845772775","-0.155680927"," 0.610106092","-1.163611567"," 0.730607453"," 0.752736559"," 0.368400115"," 1.197619976"," 0.465719825","-1.301438982","-0.917830920","-1.294574529","-1.207001698","-1.240735611","-1.131216081"," 1.145479641","-0.711262676"," 0.346777988","-0.443096220","-0.060732389","-1.267739809"
"M923.451T1327.672"," 0.19970977"," 0.26030191"," 0.53634488"," 0.40946058"," 0.11591571"," 1.18938876"," 0.19451195"," 0.13927930"," 0.26751869","-0.98881041"," 0.69526694","-2.38640507","-0.01561262"," 0.78831827","-0.03970715"," 0.36412750","-0.84059944"," 0.14280275","-0.00442722"," 0.00638697"," 0.16815552"," 0.26584137"," 0.25819325"," 0.35172354"," 0.68451212","-0.85660647","-0.04735246"," 0.74583416"," 1.06100287"," 0.68515899"," 0.59268744","-0.40172339"," 0.39041859"," 0.39685526"," 0.12005980"," 0.92315200"," 0.33977540","-1.80967456"," 0.10862561","-1.44398744","-1.12359175","-0.87910817","-0.97227617"," 0.82375292"," 0.09844418"," 0.44902888","-0.09006349","-0.31363236","-1.55897771"
"M917.49T1360.024","-0.164271717"," 0.241221467"," 0.496765550"," 0.324569001"," 0.067437243"," 1.266986483"," 0.154711898"," 0.430727607"," 0.238333235","-0.959159569"," 0.705855887","-1.100935200","-0.018830599"," 0.828404051","-0.050428984"," 0.383174247","-1.139943249","-0.021490681","-0.010446361","-0.261845813"," 0.185410223"," 0.333642108"," 0.212157689"," 0.153193981"," 0.616378207","-0.203456241","-0.141431988"," 0.730675878"," 1.431105763"," 0.636883622"," 0.551601209","-0.940759683"," 0.347756569"," 0.455761127","-0.330111562"," 0.944348793"," 0.259993698","-1.549982938"," 0.132250048","-1.363433145","-1.245795067","-1.221270449","-0.350831076"," 0.764387296"," 0.004556146"," 0.115031846","-0.418048898","-0.478664952","-1.042182701"
"M875.467T1241.171"," 0.38495381","-0.46398162"," 0.55849152"," 0.33833599"," 0.20804846"," 1.29186822"," 0.31956389"," 0.45372022"," 0.28767601","-1.64341961"," 0.44867359","-1.34485915"," 0.08455199"," 0.86178217"," 0.25194050"," 0.44952963","-1.82439476"," 0.26762624"," 0.16041229"," 0.25916422"," 0.30440376"," 0.26364339"," 0.34659492"," 0.24181171"," 0.45817078","-1.45913802"," 0.17482343"," 0.96970363"," 1.23139060"," 0.93336414"," 0.77060990","-0.68921599"," 0.22347047"," 0.64449732"," 0.03252869"," 0.66665957"," 0.21821508","-1.65167002"," 0.37705491","-1.64504133","-0.57548241","-1.59305152","-1.48729352"," 0.64745411"," 0.28452224"," 0.27461361"," 0.23839955"," 0.06840564","-1.61912825"
"M1085.513T1348.399"," 0.21348003","-0.08819443"," 0.40626427"," 0.26701532"," 0.45257148"," 1.23093613"," 0.25251602"," 0.16197297"," 0.33261626","-0.62461418"," 0.59519936","-1.61441579"," 0.24403559"," 0.80291468"," 0.25064527"," 0.50983141","-2.08111843"," 0.16881780"," 0.12438503"," 0.16115635"," 0.12240963"," 0.12247732"," 0.35699204"," 0.41213161"," 0.51182085","-0.26691275"," 0.20837125"," 0.70631637"," 1.15903666"," 0.83124167"," 0.58561414","-0.85521816"," 0.64005420"," 0.63295784"," 0.16269223"," 0.83222694"," 0.29142143","-1.10584134"," 0.44702741","-1.90656713","-1.82426497","-1.85596864","-1.75304021"," 0.58337871"," 0.30925363"," 0.27555720"," 0.27469354"," 0.21747096","-1.88134755"
"M466.978T106.664"," 0.136904262"," 0.191486542"," 0.433286161"," 0.627900114"," 0.328517479"," 1.087895045"," 0.480260885","-0.052532801"," 0.263421358","-1.861088314"," 0.711327127","-0.340456129"," 0.238567320"," 0.448880225"," 0.330692805"," 0.595938412","-0.703321420"," 0.008933873"," 0.019442479"," 0.064949095"," 0.080666344"," 0.147927604"," 0.340209080"," 0.379558705"," 0.427072498","-1.670282719"," 0.232169433"," 0.532580276"," 1.057209260"," 0.662461011"," 0.555622770","-1.731825481"," 0.220990730"," 0.137917191"," 0.134968850"," 1.012037064"," 0.742539478","-1.869630761"," 0.300249520","-1.862767432","-0.828564789","-0.950209555","-0.287702778"," 1.373441701"," 0.211249743","-0.078743923","-0.262262804","-0.181948450","-1.835937081"
