"","X16.C9.3.neg","X19.C9.2.neg","X21.C9.4.neg","X45.C9.1.neg","X13.D9.4.neg","X20.D9.1.neg","X49.D9.2.neg","X48.D9.3.neg","X26.F9.1.neg","X34.F9.2.neg","X36.F9.3.neg","X46.F9.4.neg","X14.X9.2.neg","X23.X9.1.neg","X27.X9.3.neg","X40.X9.4.neg","X53.Blank.neg","X10.QC1.neg","X24.QC.2.neg","X39.QC3.neg","X02.C12.2.neg","X18.C12.3.neg","X33.C12.4.neg","X12.D12.2.neg","X28.D12.3.neg","X44.D12.1.neg","X52.D12.4.neg","X05.F12.4.neg","X22.F12.1.neg","X38.F12.2.neg","X43.F12.3.neg","X09.X12.3.neg","X32.X12.2.neg","X41.X12.1.neg","X31.C15.3.neg","X47.C15.1.neg","X50.C15.2.neg","X04.D15.4.neg","X06.D15.2.neg","X35.D15.1.neg","X37.D15.3.neg","X17.F15.3.neg","X25.F15.1.neg","X30.F15.2.neg","X51.F15.4.neg","X08.X15.4.neg","X11.X15.3.neg","X29.X15.1.neg","X42.X15.2.neg"
"Label","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Control","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Drought","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Fusarium","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","First-tp_Xanthomonas","Other","Other","Other","Other","Second-tp_Control","Second-tp_Control","Second-tp_Control","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Drought","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Fusarium","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Second-tp_Xanthomonas","Third-tp_Control","Third-tp_Control","Third-tp_Control","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Drought","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Fusarium","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas","Third-tp_Xanthomonas"
"M685.228T857.881"," 0.11706401","-0.66702918"," 0.26498614"," 0.03419487"," 0.46038500"," 1.18215083"," 0.15831572"," 0.53415226"," 0.12464738","-0.66142893"," 0.93153958","-1.20740182","-0.03610501"," 0.78947093"," 0.11604834"," 0.28986789","-1.70064644"," 0.22918441"," 0.12716481"," 0.23050198"," 0.17474162","-0.14743930"," 0.43483911"," 0.24980003"," 0.05683422","-0.43183306"," 0.35106587"," 0.97153903"," 1.33467761"," 1.39607672"," 0.85852812","-1.38608519"," 0.63879398"," 0.50064873","-0.01818376"," 0.43486592"," 0.20126850","-1.52298373"," 0.80966655","-1.51616554","-0.22686780","-1.46268945","-1.35390805","-1.53862926"," 0.20585970"," 0.20826280"," 0.44731659"," 0.50244890","-1.48951166"
"M307.192T1165.654"," 0.21487631","-0.22851129"," 0.00280149"," 0.25416111"," 0.54097459"," 1.34060062"," 0.12699191"," 0.30524929"," 0.20180424","-1.99886151"," 0.76435350","-0.76007299"," 0.41909079"," 0.71609599"," 0.27252500"," 0.67934109","-2.16664757","-0.16367703"," 0.04901993"," 0.21184624"," 0.08050817"," 0.21880655"," 0.54813443"," 0.54508437"," 0.51657634","-0.81380766"," 0.30310635"," 0.01228765"," 1.03328610"," 0.82412786"," 0.67405290","-1.11419904"," 0.62771525"," 0.75681378"," 0.29318465"," 1.08053531"," 0.37458965","-2.00651065"," 0.54664869","-0.84931023","-1.92196290","-1.95216417","-1.85411364"," 0.73363543"," 0.41724592"," 0.38216065"," 0.43704957"," 0.48944427","-1.16488727"
"M805.515T1328.497"," 0.13341684"," 0.31898417"," 0.64596886"," 0.56897134"," 0.20002684"," 1.06065163"," 0.34243776"," 0.34413546"," 0.39946140","-0.86430249"," 0.73997362","-1.65276664"," 0.14349760"," 0.85011069"," 0.25554523"," 0.40939043","-0.78039583"," 0.17203297","-0.10341928"," 0.13923303"," 0.46058167"," 0.47303916"," 0.34106566"," 0.42915319"," 0.79292260","-0.96983986"," 0.10456666"," 0.69606706"," 1.17302884"," 0.69133401"," 0.36170992","-1.81867075"," 0.43300805"," 0.50182425"," 0.19008249"," 0.71988505"," 0.52151704","-1.94577714"," 0.29380825","-0.95605404","-1.85868588","-1.88979580","-1.78879500"," 0.86470485"," 0.29948535"," 0.63211268","-0.07858413","-0.08194836","-1.91469942"
"M441.162T763.637"," 0.15255830","-0.08043357"," 0.71416186"," 0.34916968"," 0.20370973"," 1.21885903"," 0.34395434"," 0.17673519"," 0.40178409","-0.98127379"," 0.91832952","-1.82275479","-0.03432431"," 0.56071239"," 0.12080157"," 0.40633343","-1.23461724"," 0.11304625"," 0.40121920","-0.21406682"," 0.36520461","-0.06479282"," 0.43823340"," 0.13100702"," 0.07898956","-0.65124991","-0.05617889"," 0.78499821"," 1.32633539"," 0.66699188"," 0.79279353","-0.99988750"," 0.53961861"," 0.67891424","-0.29564344"," 0.65043123"," 0.31519371","-0.92613965"," 0.48157836","-0.89916828","-1.12513218","-2.08517014","-1.97335163"," 0.99541574"," 0.09493143"," 0.25454143"," 0.14513912","-0.14165398","-1.23585307"
"M1137.546T907.004","-0.11112133","-0.25110020"," 0.09915635"," 0.44559224"," 0.30118561"," 1.09799134"," 0.14674410","-0.01304053"," 0.27635366","-1.62951958"," 0.89398824","-1.31594082"," 0.09541142"," 0.68097312","-0.05290709"," 0.53999102","-0.94852403"," 0.32055565"," 0.14874930"," 0.20824568"," 0.25298997"," 0.28373426"," 0.66401344"," 0.28873769"," 0.38376540","-1.43596810","-0.12219161"," 0.72854315"," 1.54090917"," 0.81194007"," 0.89703112","-1.49839631"," 0.06569176"," 0.29233379","-0.09449898"," 0.65877231"," 0.38687101","-1.63818501"," 0.51173580","-0.70778365","-1.54240385","-0.40266816","-1.46553988"," 0.59700837"," 0.81163594"," 0.40537631"," 0.25288642","-0.25511832","-1.60400627"
"M963.275T732.778"," 0.2589011","-0.1112167"," 0.5681605"," 0.3691025","-0.1843163"," 0.9550995","-1.4207854"," 0.4109065","-0.2218428","-1.3326033"," 0.9543553","-1.0335490","-0.0226564"," 0.7524853"," 0.3086698"," 0.4735207","-1.5138788"," 0.1620021"," 0.2475584"," 0.3455902"," 0.3424666"," 0.2025949"," 0.4284492"," 0.2887785"," 0.4428178","-1.1480167"," 0.3239101"," 1.0068995"," 1.2702321"," 0.9513352"," 0.9232629","-1.2075534"," 0.3890898"," 0.7194973"," 0.1914773"," 1.1790234"," 0.5834210","-1.3408674"," 0.2059154","-1.3342277","-1.2495226","-1.2821518","-1.1762188","-1.3561033"," 0.5018517"," 0.6073942"," 0.5610794"," 0.3179342","-1.3082717"
"M991.316T318.206"," 0.4914679","-2.3743380"," 0.5984358"," 0.3491345"," 0.6125569"," 1.1764427"," 0.5186015"," 0.3360502"," 0.5433233","-1.5644185"," 0.8972408","-1.3109272"," 0.3349193"," 0.8461267"," 0.3993569"," 0.6029406","-1.7180732"," 0.3190838"," 0.3491024"," 0.3757727"," 0.4911489"," 0.2446384"," 0.4741784"," 0.6927430"," 0.5114942","-1.4079553"," 0.4375233"," 0.8706375"," 1.0501617"," 0.8174484"," 0.8406501","-1.4584211"," 0.6204663"," 0.7355852"," 0.3820847"," 1.0364966"," 0.5421293","-1.5714234"," 0.4578993","-0.8616298","-1.4939960","-1.5216539","-1.4318606"," 0.5005102"," 0.3519491"," 0.4755115","-2.1443393"," 0.1190184","-1.5437941"
"M867.206T809.129","-0.1965566518","-1.2212998281"," 0.5517677719"," 0.0493854772","-0.0669533634"," 0.8716530266"," 0.4242025732"," 0.2266842275"," 0.2310696379","-1.0901003808"," 0.7764294426"," 0.2852548180","-0.3964704586"," 0.4899802226","-0.3993972541"," 0.0314399487","-1.2803915228"," 0.0353990552"," 0.2827250667"," 0.1840172866"," 0.4003365485"," 0.0009789803"," 0.0685201791"," 0.5236007579"," 0.2542447401","-0.8963316527","-0.0006543479"," 1.0119484320"," 2.1698456820"," 0.6674078753"," 0.9041130604","-0.9588300461","-0.0146859304","-0.1114042084"," 0.2507540075"," 0.9991778549"," 0.4533546584","-1.0987755151","-0.0366850798","-1.0918055802","-1.0028870012","-1.0371393236"," 0.1304291318"," 1.6668542125","-0.5143403058"," 0.8371860915","-0.3609752541","-1.9385185638","-1.0645584983"
"M403.064T798.991"," 0.04226640","-0.86750165"," 0.73921803"," 0.71981726","-0.20448453"," 1.17571625"," 0.25323855"," 0.26990720"," 0.23507373","-1.65484856"," 0.61940865","-0.60151929"," 0.01431000"," 0.49006420"," 0.51725714"," 0.12356798","-1.82385523"," 0.36091600"," 0.18690421"," 0.15139408"," 0.36605513"," 0.73691634"," 0.31999039"," 0.38677955"," 0.20822125","-1.48275405"," 0.37939971"," 0.96236953"," 1.53374975"," 0.73898361"," 1.04790358","-1.53826156","-0.02736551"," 0.31674128","-0.05463005"," 0.88400296"," 0.58507987","-0.87548280"," 0.47177606","-1.65636303","-1.57739047","-1.60781147","-1.50904755"," 1.44547576","-0.17114158"," 0.55593159"," 0.10066201"," 0.34552295","-1.63216366"
"M836.522T1479.692"," 0.44679263"," 0.44363399"," 0.61101744"," 0.49064103"," 0.29479661"," 1.16711963"," 0.45532408"," 0.37459406"," 0.50416274","-1.94569895"," 0.54030411","-1.70096312"," 0.22713404"," 0.83262122"," 0.27404201"," 0.53627869","-2.09404611"," 0.28317040"," 0.24969209"," 0.34729729"," 0.28673123"," 0.43363056"," 0.43845889"," 0.40649208"," 0.67742818","-1.79463998"," 0.34130530"," 0.84352580"," 1.26470623"," 0.82827937"," 0.71215116","-1.16351623"," 0.70873634"," 0.69565732"," 0.40409909"," 0.95023997"," 0.50354328","-1.95246193"," 0.34021495","-1.94702829","-1.87770887","-1.90441142","-1.81771962"," 0.93270581"," 0.49508840"," 0.58532347"," 0.11785846"," 0.07918352","-1.92578694"
