"",f.value,p.value,-log10(p),FDR,Tukey's HSD
M1010.794T17.124,2.0667,0.039563,1.4027,0.18139,""
M1064.785T17.122,2.0642,0.039807,1.4,0.18139,""
M1025.801T13.111,2.0625,0.039984,1.3981,0.18139,qcs_0-con_9; qcs_0-foc_9
M934.803T18.124,2.0606,0.040175,1.396,0.18139,""
M712.85T18.123,2.0602,0.040214,1.3956,0.18139,con_9-con_12
M1279.087T13.111,2.0538,0.040873,1.3886,0.18307,""
M1352.731T15.036,2.0497,0.041292,1.3841,0.18365,""
M1027.799T12.11,2.0328,0.043088,1.3656,0.19031,xvm_9-dro_15
M665.856T18.124,2.015,0.045073,1.3461,0.19585,dro_15-bla_0
M764.834T11.202,2.0139,0.045197,1.3449,0.19585,""
M1030.792T17.119,2.0133,0.045268,1.3442,0.19585,qcs_0-bla_0; qcs_0-foc_12
M968.803T17.122,2.0016,0.046618,1.3314,0.19963,dro_15-bla_0
M888.815T18.125,1.9923,0.047718,1.3213,0.19963,con_12-bla_0
M762.841T18.125,1.9911,0.04787,1.3199,0.19963,foc_15-bla_0; foc_15-foc_12
M868.816T18.125,1.9893,0.048082,1.318,0.19963,""
M1157.439T14.055,1.9862,0.048456,1.3147,0.19963,foc_12-con_15; foc_15-foc_12; xvm_9-foc_12
M1175.767T14.588,1.9861,0.048473,1.3145,0.19963,""
M1121.442T16.134,1.9853,0.048564,1.3137,0.19963,dro_15-bla_0; qcs_0-dro_15
M868.822T11.111,1.9846,0.048652,1.3129,0.19963,""
M672.874T15.116,1.982,0.048977,1.31,0.19968,""
M1176.767T17.124,1.9767,0.04963,1.3043,0.1999,foc_9-bla_0
M1022.127T17.115,1.9765,0.049661,1.304,0.1999,dro_15-bla_0
