"","Comp 1","Comp 2","Comp 3","Comp 4"
"C12.3",-5.9691,1.1921,-1.0548,1.2655
"C12.4",-5.081,-1.5941,0.97896,-1.2996
"F12.1",3.626,0.85356,-1.471,-1.7055
"F12.2",3.0266,1.5267,2.0353,0.37565
"F12.4",4.3975,-1.9783,-0.48847,1.3639
