"","Comp. 1","Comp. 2","Comp. 3","Comp. 4"
"M331.187T1104.601",0.85308,0.84784,0.84835,0.8483
"M510.367T1523.593",0.84346,0.86049,0.86025,0.86036
"M329.157T1608.526",0.83043,0.8253,0.82549,0.82559
"M386.164T943.456",0.82904,0.83151,0.83582,0.83588
"M523.599T1382.768",0.82856,0.82931,0.8291,0.82908
"M659.418T1406.262",0.82544,0.841,0.84078,0.84093
"M737.493T1439.78",0.82287,0.82404,0.82381,0.82377
"M630.465T1474.173",0.81583,0.81263,0.81255,0.81258
"M351.108T857.905",0.8121,0.80728,0.80715,0.80748
"M956.379T959.199",0.81066,0.81022,0.81082,0.81078
"M605.416T1473.993",0.79918,0.79735,0.79713,0.79708
"M423.321T1473.286",0.79264,0.79252,0.79231,0.79228
"M494.565T1319.161",0.7763,0.77495,0.77515,0.77518
"M455.315T1295.888",0.76904,0.76428,0.76409,0.76414
"M629.463T1474.173",0.76572,0.76807,0.76798,0.76794
"M477.398T1574.327",0.75764,0.75574,0.75553,0.75552
"M383.284T1439.726",0.75606,0.75225,0.75212,0.75213
"M567.43T1421.35",0.73174,0.73863,0.73857,0.73853
"M629.464T1456.367",0.72996,0.72835,0.72832,0.72828
"M492.408T1557.26",0.72747,0.72708,0.72699,0.72695
"M343.224T1621.712",0.72732,0.72427,0.72418,0.72418
"M423.211T1338.363",0.71926,0.72032,0.72012,0.72017
"M821.505T1179.269",0.71713,0.72055,0.72037,0.72041
"M415.326T1295.888",0.70973,0.70715,0.70759,0.70755
"M629.459T1473.698",0.70465,0.70237,0.70241,0.70237
"M882.48T1339.403",0.70368,0.71464,0.71453,0.71465
"M523.36T1271.932",0.69231,0.76002,0.76022,0.76025
"M477.407T1590.788",0.67905,0.67979,0.67961,0.67962
"M330.263T1492.022",0.67031,0.66758,0.66759,0.66757
"M297.239T1626.197",0.66994,0.66698,0.66682,0.66693
"M325.162T1642.868",0.65723,0.65509,0.65501,0.65504
"M471.796T1446.028",0.64894,0.64807,0.64817,0.64813
"M765.518T1313.696",0.64362,0.64559,0.64549,0.64547
"M477.403T1542.988",0.64164,0.6489,0.64898,0.64903
"M652.416T1356.524",0.63563,0.63443,0.63477,0.63474
"M332.328T1440.13",0.63293,0.63297,0.6328,0.6328
