"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30"
"M967.56T1352.622",0.025048,-0.014488,0.0075231,0.01595,-0.025934,-0.0033951,-0.01184,0.013476,-0.022245,0.00016331,-0.021687,0.019409,0.01192,0.017706,0.034257,-0.024125,-0.0094541,0.031762,0.0022687,0.025089,0.012692,0.012176,0.003021,0.0059407,0.017891,0.0051921,-0.003987,0.0096581,0.0006018,-0.0015923
"M855.342T925.437",0.032099,-0.0018135,0.0049513,0.012587,0.028792,0.0038866,0.0012016,-0.018434,0.013953,-0.012261,-0.0081613,0.0019466,-0.0053157,0.0024623,-0.0055612,0.0079554,-0.0049418,-0.010874,-0.006602,-0.0094664,0.0062804,0.0049549,-0.0017883,0.010408,-0.013379,-0.0025077,-0.013144,-0.0055889,-0.0077865,-0.00073094
"M806.333T841.952",0.034829,0.005913,-0.0059118,-0.0094364,0.024918,0.0020815,0.0036188,-0.0084523,0.00063985,-0.016666,0.016998,-0.0088268,0.00026564,-0.011409,0.020578,-0.0089528,0.0053212,-0.00040702,0.0032475,-0.0023111,0.0061456,0.015546,-0.002453,0.017994,-0.0065267,-0.0028966,0.00061561,0.015566,-0.017932,-0.0074922
"M950.358T940.951",0.028148,-0.0055443,0.011122,0.00034337,0.019649,0.002571,0.0066299,-0.010561,0.021088,-0.004665,0.0060578,0.00047257,0.01153,-0.0091166,-0.012785,0.0099431,-0.0030137,0.0011189,0.0036937,-0.019955,-0.0010217,-0.004709,-0.0081699,-0.0051624,-0.0068588,-0.0017678,-0.0035931,0.010876,0.011379,-0.0013491
"M826.526T1130.872",0.029118,0.015597,-0.020092,-0.025246,-0.0045589,0.0083054,-0.013559,-0.0057239,-0.02513,0.0020958,-0.011871,-0.014968,0.013481,-0.001665,0.0030231,0.0062865,0.0060205,-0.0044741,-0.019536,0.017878,0.0073878,-0.0035518,0.0042008,-0.021046,0.006882,-0.0071539,0.012663,0.0057998,-0.0036295,-0.0030106
"M771.505T1209.593",0.031068,0.00097589,-0.030353,0.0031475,-0.024541,0.014108,-0.033784,0.00075427,-0.041179,0.020411,0.0048502,0.0012194,0.011342,-0.0098068,-0.00018226,0.0037171,0.0019255,-0.0041891,0.0036681,-0.0052445,-0.0042833,-0.017295,-0.0071887,-0.0060115,-0.0025516,-0.0051562,-0.018136,0.0032111,-0.018939,0.00053318
"M566.199T909.479",0.038597,0.0014884,-0.0095326,0.013807,0.0046938,0.0050133,-0.0037413,0.0031204,-0.0233,0.010204,-0.0050078,-0.031483,0.00043229,-0.010436,-0.0026194,0.0047965,0.0024136,0.002105,-0.010621,-0.00048383,0.0061091,-0.0042332,-2.5164e-08,-0.0059941,0.0058483,0.012,-0.0036666,-0.0029668,-0.015955,0.001308
"M850.319T858.821",0.029751,0.001988,-0.001741,-0.0012027,0.02804,0.0020201,0.00057693,-0.011677,0.011725,-0.0048871,0.014235,0.0088686,0.011885,-0.025617,0.027687,-0.0073563,0.013402,0.0082325,-0.004611,0.014265,-0.0050699,-0.0069695,0.0077528,0.014078,0.023594,-0.0083031,0.035866,-0.0011771,-0.031721,0.00034574
"M975.373T872.624",0.033108,-0.00020595,0.0014425,0.0022339,0.017969,0.0024409,0.0044297,-0.010029,0.0028871,-0.0029332,-0.0075995,-0.0016683,0.0068546,-0.0030136,-0.0039762,0.011956,-0.004904,0.0017047,-0.0089063,0.0090132,0.0037975,-0.00023672,-0.014513,0.015678,0.006184,0.0053158,0.013051,0.010707,-0.010649,-0.0039016
"M908.359T973.898",0.025945,-0.007982,0.0084859,0.0078065,0.014608,-0.0070884,0.0018203,-0.0055943,0.00082381,-0.0030929,-0.0024771,0.0014462,0.001212,-0.016516,0.010134,-0.012992,0.00022094,-0.0044662,-0.0028894,-0.028896,0.011474,-0.00013997,0.016218,0.010949,-0.0068845,-0.010989,-0.014664,-0.0091923,0.012759,-0.001605
